State,Year,BDPRP,CLPRB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NUETB,PAPRB,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB
AK,2015,4.0,17747.0,0.0,186.0,14621.0,16298.0,380887.0,0.0,1007501.0,23807.0,3.0,1429942.0,614242.0,0.0,6865.0,6865.0,622.0,7488.0,1488.0
AK,2016,5.0,13942.0,0.0,186.0,15317.0,17081.0,369865.0,0.0,1026401.0,25155.0,14.0,1435363.0,593662.0,0.0,7636.0,7636.0,412.0,8048.0,1563.0
AK,2017,5.0,14365.0,0.0,186.0,15143.0,16655.0,382940.0,0.0,1033270.0,23620.0,20.0,1454196.0,601492.0,0.0,6501.0,6501.0,436.0,6937.0,1305.0
AK,2018,3.0,13752.0,0.0,186.0,15151.0,16777.0,375279.0,0.0,997415.0,24158.0,28.0,1410604.0,604644.0,0.0,6910.0,6910.0,456.0,7366.0,1411.0
AK,2019,0.0,14867.0,0.0,186.0,14456.0,15951.0,364363.0,0.0,968358.0,22754.0,40.0,1370342.0,605689.0,0.0,6418.0,6418.0,386.0,6803.0,1270.0
AL,2015,356.0,331420.0,0.0,141.0,91902.0,92144.0,182481.0,438728.0,55421.0,258955.0,101.0,1267004.0,1917138.0,0.0,163313.0,163313.0,1565.0,164877.0,0.0
AL,2016,351.0,247632.0,0.0,141.0,64484.0,65056.0,176290.0,417334.0,46417.0,230734.0,431.0,1118407.0,1922727.0,0.0,162166.0,162166.0,1606.0,163772.0,0.0
AL,2017,292.0,326748.0,0.0,141.0,85103.0,87057.0,159686.0,446097.0,39100.0,258549.0,1812.0,1230179.0,1904206.0,1137.0,168195.0,167058.0,1712.0,169907.0,0.0
AL,2018,304.0,370533.0,0.0,141.0,101447.0,105013.0,149607.0,412584.0,33591.0,279560.0,3425.0,1245875.0,1956413.0,4462.0,171215.0,166753.0,1680.0,172895.0,0.0
AL,2019,275.0,350506.0,0.0,141.0,101563.0,105332.0,138425.0,455865.0,27687.0,278142.0,3628.0,1250624.0,1926332.0,5308.0,169739.0,164431.0,1577.0,171316.0,0.0
AR,2015,815.0,1819.0,0.0,808.0,33261.0,34194.0,1031466.0,144716.0,35611.0,117840.0,124.0,1331452.0,1062359.0,0.0,75417.0,75417.0,3799.0,79217.0,0.0
AR,2016,990.0,974.0,0.0,808.0,32958.0,34139.0,839485.0,140370.0,31580.0,115419.0,372.0,1127828.0,1053706.0,0.0,70786.0,70786.0,5118.0,75904.0,0.0
AR,2017,1244.0,832.0,0.0,808.0,27117.0,28367.0,708482.0,132736.0,30263.0,116692.0,442.0,989005.0,1057701.0,5455.0,77206.0,71751.0,4359.0,81565.0,0.0
AR,2018,1748.0,0.0,0.0,808.0,27392.0,30317.0,600455.0,132996.0,28553.0,126121.0,2117.0,888125.0,1116757.0,8489.0,82077.0,73588.0,4228.0,86305.0,0.0
AR,2019,1581.0,0.0,0.0,808.0,36819.0,39884.0,534585.0,141750.0,27538.0,133513.0,2256.0,837386.0,1096477.0,8833.0,81001.0,72168.0,4040.0,85041.0,0.0
AZ,2015,2.0,146450.0,1154.0,345.0,60906.0,113693.0,99.0,340153.0,212.0,128954.0,48229.0,615867.0,1495858.0,0.0,8001.0,8001.0,658.0,8659.0,4213.0
AZ,2016,10.0,116678.0,1078.0,345.0,66173.0,124372.0,49.0,338636.0,46.0,138522.0,52854.0,593930.0,1524720.0,0.0,7481.0,7481.0,465.0,7946.0,5000.0
AZ,2017,0.0,134024.0,1155.0,345.0,62942.0,134856.0,58.0,338246.0,74.0,149493.0,66318.0,621896.0,1531479.0,0.0,7541.0,7541.0,512.0,8053.0,5251.0
AZ,2018,0.0,140759.0,1184.0,345.0,63566.0,139517.0,44.0,325122.0,57.0,156071.0,70779.0,622052.0,1542208.0,0.0,9307.0,9307.0,489.0,9796.0,4827.0
AZ,2019,0.0,82222.0,531.0,345.0,55251.0,133794.0,68.0,333312.0,40.0,148194.0,73262.0,563836.0,1556416.0,0.0,10949.0,10949.0,425.0,11374.0,4937.0
CA,2015,747.0,0.0,4650.0,112878.0,128681.0,567365.0,271086.0,193529.0,1150741.0,737527.0,211839.0,2352883.0,7525491.0,0.0,98852.0,98852.0,40708.0,139561.0,113967.0
