,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
0,BDFDB,AK,2015,21.0,Alaska,35.0278036,16,3345612
29,BDFDB,AL,2015,1933.0,Alabama,119.2008893,164,1864412
58,BDFDB,AR,2015,4429.0,Arkansas,59.05336455,477,13453887
87,BDFDB,AZ,2015,12.0,Arizona,94.97878443,65,1724853
116,BDFDB,CA,2015,4057.0,California,351.408516,1023,30077512
174,BDFDB,CT,2015,715.0,Connecticut,36.32904924,33,1340702
261,BDFDB,FL,2015,645.0,Florida,237.3833592,45,3527420
290,BDFDB,GA,2015,1242.0,Georgia,145.6756383,247,6155856
319,BDFDB,HI,2015,383.0,Hawaii,19.7810368,16,1033143
348,BDFDB,IA,2015,31304.0,Iowa,77.41573961,198,5552396
406,BDFDB,IL,2015,19087.0,Illinois,219.157681,57,2533998
435,BDFDB,IN,2015,11841.0,Indiana,187.2335142,68,2525723
464,BDFDB,KS,2015,288.0,Kansas,64.51256023,120,2548830
493,BDFDB,KY,2015,4524.0,Kentucky,131.3429697,129,315635700
551,BDFDB,MA,2015,36.0,Massachusetts,66.74652168,34,4240538
609,BDFDB,ME,2015,43.0,Maine,16.67908857,74,2818563
638,BDFDB,MI,2015,712.0,Michigan,164.4556231,76,3049845
667,BDFDB,MN,2015,7761.0,Minnesota,89.33099915,119,3292766
696,BDFDB,MO,2015,17585.0,Missouri,124.7473311,619,7036095
725,BDFDB,MS,2015,1898.0,Mississippi,61.29692129,403,3710526
783,BDFDB,NC,2015,256.0,North Carolina,124.7782841,232,202376181
812,BDFDB,ND,2015,8545.0,North Dakota,57.9230603,16,420940
841,BDFDB,NE,2015,126.0,Nebraska,50.71057586,247,3396859
870,BDFDB,NH,2015,262.0,New Hampshire,15.27856723,46,1371086
899,BDFDB,NJ,2015,1191.0,New Jersey,103.6600002,47,1130951
986,BDFDB,NY,2015,13.0,New York,174.3599244,104,5040800
1015,BDFDB,OH,2015,6914.0,Ohio,211.1966253,175,2513363
1044,BDFDB,OK,2015,3486.0,Oklahoma,100.2883311,64,1677872
1073,BDFDB,OR,2015,1183.0,Oregon,37.89416845,169,6478283
1102,BDFDB,PA,2015,3216.0,Pennsylvania,232.9252268,102,4218295
1131,BDFDB,RI,2015,94.0,Rhode Island,10.80452453,11,671306
1160,BDFDB,SC,2015,328.0,South Carolina,73.39880613,60,3065630
1218,BDFDB,TN,2015,184.0,Tennessee,98.70392565,104,3275928
1247,BDFDB,TX,2015,18977.0,Texas,655.1432269,110,2671308
1305,BDFDB,UT,2015,9.0,Utah,63.61302159,80,1243588
1334,BDFDB,VA,2015,259.0,Virginia,107.6199041,31,2446464
1392,BDFDB,WA,2015,7251.0,Washington,75.13711456,109,1978193
1421,BDFDB,WI,2015,2614.0,Wisconsin,99.85701526,107,3755629
1519,BDFDB,AK,2016,27.0,Alaska,33.40561066,14,2247734
1548,BDFDB,AL,2016,1906.0,Alabama,113.9837834,129,1206793
1577,BDFDB,AR,2016,5377.0,Arkansas,62.12624984,703,4637664
1606,BDFDB,AZ,2016,57.0,Arizona,90.85562563,54,2053339
1635,BDFDB,CA,2016,5872.0,California,353.3561319,848,59755992
1693,BDFDB,CT,2016,1496.0,Connecticut,34.09544003,28,962061
1780,BDFDB,FL,2016,558.0,Florida,238.8326956,72,4068360
1809,BDFDB,GA,2016,1770.0,Georgia,144.537737,222,20155611
1838,BDFDB,HI,2016,451.0,Hawaii,19.81846857,18,429104
1867,BDFDB,IA,2016,38419.0,Iowa,73.98337008,149,4220545
1925,BDFDB,IL,2016,18598.0,Illinois,207.4305588,36,1325335
1954,BDFDB,IN,2016,12981.0,Indiana,181.8275677,45,11391681
1983,BDFDB,KS,2016,171.0,Kansas,62.60936987,130,1440764
2012,BDFDB,KY,2016,5658.0,Kentucky,126.8081795,76,2257870
2070,BDFDB,MA,2016,56.0,Massachusetts,64.08973529,35,841616
2128,BDFDB,ME,2016,60.0,Maine,16.15310799,41,795948
2157,BDFDB,MI,2016,1300.0,Michigan,154.5188531,61,1293489
2186,BDFDB,MN,2016,9572.0,Minnesota,91.10054342,92,16796366
2215,BDFDB,MO,2016,21036.0,Missouri,119.0157079,520,10631411
2244,BDFDB,MS,2016,8006.0,Mississippi,62.31469737,608,96309030
2273,BDFDB,MT,2016,3.0,Montana,31.13795175,90,2257495
2302,BDFDB,NC,2016,425.0,North Carolina,124.895788,156,190472938
2331,BDFDB,ND,2016,9254.0,North Dakota,54.93206111,24,502584
2360,BDFDB,NE,2016,3464.0,Nebraska,48.35090988,199,4011050
2389,BDFDB,NH,2016,399.0,New Hampshire,13.81151032,40,3111505
2418,BDFDB,NJ,2016,1246.0,New Jersey,105.6200444,34,597439
2534,BDFDB,OH,2016,8675.0,Ohio,205.3227286,132,775584
2563,BDFDB,OK,2016,4466.0,Oklahoma,96.1010241,58,1341097
2592,BDFDB,OR,2016,1394.0,Oregon,37.66506368,162,104123811
2621,BDFDB,PA,2016,4761.0,Pennsylvania,217.9773815,74,2394977
2650,BDFDB,RI,2016,130.0,Rhode Island,9.588941638,10,489512
2737,BDFDB,TN,2016,250.0,Tennessee,101.3548028,60,1102457
2766,BDFDB,TX,2016,22916.0,Texas,656.7493464,176,83607077
2853,BDFDB,VA,2016,427.0,Virginia,110.0640459,49,853133
2911,BDFDB,WA,2016,8373.0,Washington,79.4036955,127,2515938
2940,BDFDB,WI,2016,3245.0,Wisconsin,95.6153185,80,7777098
3038,BDFDB,AK,2017,29.0,Alaska,33.72913017,18,13509662
3067,BDFDB,AL,2017,1585.0,Alabama,108.5943783,104,2414699
3096,BDFDB,AR,2017,6760.0,Arkansas,64.17625679,469,2069460
3154,BDFDB,CA,2017,5436.0,California,356.5165476,786,30392556
3212,BDFDB,CT,2017,1379.0,Connecticut,33.8574222,40,788599
3299,BDFDB,FL,2017,855.0,Florida,238.4284129,56,1239122
