,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1,BDPRP,AK,2015,4.0,Alaska,35.0278036,16,3345612
30,BDPRP,AL,2015,356.0,Alabama,119.2008893,164,1864412
59,BDPRP,AR,2015,815.0,Arkansas,59.05336455,477,13453887
88,BDPRP,AZ,2015,2.0,Arizona,94.97878443,65,1724853
117,BDPRP,CA,2015,747.0,California,351.408516,1023,30077512
175,BDPRP,CT,2015,132.0,Connecticut,36.32904924,33,1340702
262,BDPRP,FL,2015,119.0,Florida,237.3833592,45,3527420
291,BDPRP,GA,2015,229.0,Georgia,145.6756383,247,6155856
320,BDPRP,HI,2015,70.0,Hawaii,19.7810368,16,1033143
349,BDPRP,IA,2015,5762.0,Iowa,77.41573961,198,5552396
407,BDPRP,IL,2015,3513.0,Illinois,219.157681,57,2533998
436,BDPRP,IN,2015,2179.0,Indiana,187.2335142,68,2525723
465,BDPRP,KS,2015,53.0,Kansas,64.51256023,120,2548830
494,BDPRP,KY,2015,833.0,Kentucky,131.3429697,129,315635700
552,BDPRP,MA,2015,7.0,Massachusetts,66.74652168,34,4240538
610,BDPRP,ME,2015,8.0,Maine,16.67908857,74,2818563
639,BDPRP,MI,2015,131.0,Michigan,164.4556231,76,3049845
668,BDPRP,MN,2015,1429.0,Minnesota,89.33099915,119,3292766
697,BDPRP,MO,2015,3237.0,Missouri,124.7473311,619,7036095
726,BDPRP,MS,2015,349.0,Mississippi,61.29692129,403,3710526
784,BDPRP,NC,2015,47.0,North Carolina,124.7782841,232,202376181
813,BDPRP,ND,2015,1573.0,North Dakota,57.9230603,16,420940
842,BDPRP,NE,2015,23.0,Nebraska,50.71057586,247,3396859
871,BDPRP,NH,2015,48.0,New Hampshire,15.27856723,46,1371086
900,BDPRP,NJ,2015,219.0,New Jersey,103.6600002,47,1130951
987,BDPRP,NY,2015,2.0,New York,174.3599244,104,5040800
1016,BDPRP,OH,2015,1273.0,Ohio,211.1966253,175,2513363
1045,BDPRP,OK,2015,642.0,Oklahoma,100.2883311,64,1677872
1074,BDPRP,OR,2015,218.0,Oregon,37.89416845,169,6478283
1103,BDPRP,PA,2015,592.0,Pennsylvania,232.9252268,102,4218295
1132,BDPRP,RI,2015,17.0,Rhode Island,10.80452453,11,671306
1161,BDPRP,SC,2015,60.0,South Carolina,73.39880613,60,3065630
1219,BDPRP,TN,2015,34.0,Tennessee,98.70392565,104,3275928
1248,BDPRP,TX,2015,3493.0,Texas,655.1432269,110,2671308
1306,BDPRP,UT,2015,2.0,Utah,63.61302159,80,1243588
1335,BDPRP,VA,2015,48.0,Virginia,107.6199041,31,2446464
1393,BDPRP,WA,2015,1335.0,Washington,75.13711456,109,1978193
1422,BDPRP,WI,2015,481.0,Wisconsin,99.85701526,107,3755629
1520,BDPRP,AK,2016,5.0,Alaska,33.40561066,14,2247734
1549,BDPRP,AL,2016,351.0,Alabama,113.9837834,129,1206793
1578,BDPRP,AR,2016,990.0,Arkansas,62.12624984,703,4637664
1607,BDPRP,AZ,2016,10.0,Arizona,90.85562563,54,2053339
1636,BDPRP,CA,2016,1081.0,California,353.3561319,848,59755992
1694,BDPRP,CT,2016,275.0,Connecticut,34.09544003,28,962061
1781,BDPRP,FL,2016,103.0,Florida,238.8326956,72,4068360
1810,BDPRP,GA,2016,326.0,Georgia,144.537737,222,20155611
1839,BDPRP,HI,2016,83.0,Hawaii,19.81846857,18,429104
1868,BDPRP,IA,2016,7071.0,Iowa,73.98337008,149,4220545
1926,BDPRP,IL,2016,3423.0,Illinois,207.4305588,36,1325335
1955,BDPRP,IN,2016,2389.0,Indiana,181.8275677,45,11391681
1984,BDPRP,KS,2016,31.0,Kansas,62.60936987,130,1440764
2013,BDPRP,KY,2016,1041.0,Kentucky,126.8081795,76,2257870
2071,BDPRP,MA,2016,10.0,Massachusetts,64.08973529,35,841616
2129,BDPRP,ME,2016,11.0,Maine,16.15310799,41,795948
2158,BDPRP,MI,2016,239.0,Michigan,154.5188531,61,1293489
2187,BDPRP,MN,2016,1762.0,Minnesota,91.10054342,92,16796366
2216,BDPRP,MO,2016,3872.0,Missouri,119.0157079,520,10631411
2245,BDPRP,MS,2016,1474.0,Mississippi,62.31469737,608,96309030
2274,BDPRP,MT,2016,1.0,Montana,31.13795175,90,2257495
2303,BDPRP,NC,2016,78.0,North Carolina,124.895788,156,190472938
