,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
5,CLPRK,AK,2015,15.073,Alaska,35.0278036,16,3345612
34,CLPRK,AL,2015,25.122,Alabama,119.2008893,164,1864412
63,CLPRK,AR,2015,19.893,Arkansas,59.05336455,477,13453887
92,CLPRK,AZ,2015,21.522,Arizona,94.97878443,65,1724853
150,CLPRK,CO,2015,21.379,Colorado,91.30387161,206,1658730
411,CLPRK,IL,2015,22.282,Illinois,219.157681,57,2533998
440,CLPRK,IN,2015,22.641,Indiana,187.2335142,68,2525723
469,CLPRK,KS,2015,22.026,Kansas,64.51256023,120,2548830
498,CLPRK,KY,2015,24.189,Kentucky,131.3429697,129,315635700
527,CLPRK,LA,2015,13.633,Louisiana,185.5592561,61,2312261
585,CLPRK,MD,2015,23.72,Maryland,62.28032684,100,1890491
701,CLPRK,MO,2015,22.992,Missouri,124.7473311,619,7036095
730,CLPRK,MS,2015,10.984,Mississippi,61.29692129,403,3710526
759,CLPRK,MT,2015,17.825,Montana,32.53164542,94,896759
817,CLPRK,ND,2015,13.617,North Dakota,57.9230603,16,420940
933,CLPRK,NM,2015,18.168,New Mexico,50.69183199,50,1126396
1020,CLPRK,OH,2015,24.51,Ohio,211.1966253,175,2513363
1049,CLPRK,OK,2015,22.33,Oklahoma,100.2883311,64,1677872
1107,CLPRK,PA,2015,25.124,Pennsylvania,232.9252268,102,4218295
1223,CLPRK,TN,2015,25.841,Tennessee,98.70392565,104,3275928
1252,CLPRK,TX,2015,13.12,Texas,655.1432269,110,2671308
1310,CLPRK,UT,2015,22.555,Utah,63.61302159,80,1243588
1339,CLPRK,VA,2015,25.546,Virginia,107.6199041,31,2446464
1455,CLPRK,WV,2015,25.589,West Virginia,91.96307825,69,491426
1484,CLPRK,WY,2015,17.399,Wyoming,64.09286316,18,249960
1524,CLPRK,AK,2016,14.957,Alaska,33.40561066,14,2247734
1553,CLPRK,AL,2016,25.68,Alabama,113.9837834,129,1206793
1582,CLPRK,AR,2016,19.705,Arkansas,62.12624984,703,4637664
1611,CLPRK,AZ,2016,21.516,Arizona,90.85562563,54,2053339
1669,CLPRK,CO,2016,21.444,Colorado,88.42427593,258,1800615
1930,CLPRK,IL,2016,22.424,Illinois,207.4305588,36,1325335
1959,CLPRK,IN,2016,22.752,Indiana,181.8275677,45,11391681
1988,CLPRK,KS,2016,23.051,Kansas,62.60936987,130,1440764
2017,CLPRK,KY,2016,24.279,Kentucky,126.8081795,76,2257870
2046,CLPRK,LA,2016,13.761,Louisiana,189.1398596,98,1499474
2104,CLPRK,MD,2016,23.431,Maryland,60.46760995,65,1349074
2220,CLPRK,MO,2016,21.912,Missouri,119.0157079,520,10631411
2249,CLPRK,MS,2016,11.272,Mississippi,62.31469737,608,96309030
2278,CLPRK,MT,2016,17.714,Montana,31.13795175,90,2257495
2336,CLPRK,ND,2016,14.219,North Dakota,54.93206111,24,502584
2452,CLPRK,NM,2016,18.48,New Mexico,48.84541366,28,2015514
2539,CLPRK,OH,2016,24.601,Ohio,205.3227286,132,775584
2568,CLPRK,OK,2016,22.072,Oklahoma,96.1010241,58,1341097
2626,CLPRK,PA,2016,25.468,Pennsylvania,217.9773815,74,2394977
2742,CLPRK,TN,2016,25.771,Tennessee,101.3548028,60,1102457
2771,CLPRK,TX,2016,13.223,Texas,656.7493464,176,83607077
2829,CLPRK,UT,2016,22.223,Utah,58.82516698,114,612804
2858,CLPRK,VA,2016,25.12,Virginia,110.0640459,49,853133
2974,CLPRK,WV,2016,25.57,West Virginia,94.48890006,54,614068
3003,CLPRK,WY,2016,17.394,Wyoming,61.25999315,23,1359346
3043,CLPRK,AK,2017,14.978,Alaska,33.72913017,18,13509662
3072,CLPRK,AL,2017,25.407,Alabama,108.5943783,104,2414699
3101,CLPRK,AR,2017,19.472,Arkansas,64.17625679,469,2069460
3130,CLPRK,AZ,2017,21.543,Arizona,90.47614096,46,1714281
3188,CLPRK,CO,2017,21.267,Colorado,88.77624019,181,1385451
3449,CLPRK,IL,2017,22.351,Illinois,205.9749865,32,1262924
3478,CLPRK,IN,2017,22.668,Indiana,175.8904931,46,4052088
3536,CLPRK,KY,2017,24.281,Kentucky,116.7819997,99,1948714
