,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
6,CLPRP,AK,2015,1177.0,Alaska,35.0278036,16,3345612
35,CLPRP,AL,2015,13193.0,Alabama,119.2008893,164,1864412
64,CLPRP,AR,2015,91.0,Arkansas,59.05336455,477,13453887
93,CLPRP,AZ,2015,6805.0,Arizona,94.97878443,65,1724853
151,CLPRP,CO,2015,18879.0,Colorado,91.30387161,206,1658730
412,CLPRP,IL,2015,56227.0,Illinois,219.157681,57,2533998
441,CLPRP,IN,2015,34295.0,Indiana,187.2335142,68,2525723
470,CLPRP,KS,2015,199.0,Kansas,64.51256023,120,2548830
499,CLPRP,KY,2015,61434.0,Kentucky,131.3429697,129,315635700
528,CLPRP,LA,2015,3439.0,Louisiana,185.5592561,61,2312261
586,CLPRP,MD,2015,1922.0,Maryland,62.28032684,100,1890491
702,CLPRP,MO,2015,138.0,Missouri,124.7473311,619,7036095
731,CLPRP,MS,2015,3143.0,Mississippi,61.29692129,403,3710526
760,CLPRP,MT,2015,41864.0,Montana,32.53164542,94,896759
818,CLPRP,ND,2015,28802.0,North Dakota,57.9230603,16,420940
934,CLPRP,NM,2015,19679.0,New Mexico,50.69183199,50,1126396
1021,CLPRP,OH,2015,17041.0,Ohio,211.1966253,175,2513363
1050,CLPRP,OK,2015,780.0,Oklahoma,100.2883311,64,1677872
1108,CLPRP,PA,2015,50872.0,Pennsylvania,232.9252268,102,4218295
1224,CLPRP,TN,2015,897.0,Tennessee,98.70392565,104,3275928
1253,CLPRP,TX,2015,35918.0,Texas,655.1432269,110,2671308
1311,CLPRP,UT,2015,14419.0,Utah,63.61302159,80,1243588
1340,CLPRP,VA,2015,14321.0,Virginia,107.6199041,31,2446464
1456,CLPRP,WV,2015,95633.0,West Virginia,91.96307825,69,491426
1485,CLPRP,WY,2015,375773.0,Wyoming,64.09286316,18,249960
1525,CLPRP,AK,2016,932.0,Alaska,33.40561066,14,2247734
