,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
95,EMFDB,AZ,2015,6590.0,Arizona,94.97878443,65,1724853
124,EMFDB,CA,2015,26544.0,California,351.408516,1023,30077512
153,EMFDB,CO,2015,19861.0,Colorado,91.30387161,206,1658730
298,EMFDB,GA,2015,13321.0,Georgia,145.6756383,247,6155856
356,EMFDB,IA,2015,536929.0,Iowa,77.41573961,198,5552396
385,EMFDB,ID,2015,8871.0,Idaho,18.03591394,108,1895904
414,EMFDB,IL,2015,211568.0,Illinois,219.157681,57,2533998
443,EMFDB,IN,2015,143711.0,Indiana,187.2335142,68,2525723
472,EMFDB,KS,2015,66196.0,Kansas,64.51256023,120,2548830
501,EMFDB,KY,2015,3723.0,Kentucky,131.3429697,129,315635700
646,EMFDB,MI,2015,38321.0,Michigan,164.4556231,76,3049845
675,EMFDB,MN,2015,158228.0,Minnesota,89.33099915,119,3292766
704,EMFDB,MO,2015,37139.0,Missouri,124.7473311,619,7036095
733,EMFDB,MS,2015,4012.0,Mississippi,61.29692129,403,3710526
820,EMFDB,ND,2015,49241.0,North Dakota,57.9230603,16,420940
849,EMFDB,NE,2015,266278.0,Nebraska,50.71057586,247,3396859
994,EMFDB,NY,2015,19780.0,New York,174.3599244,104,5040800
1023,EMFDB,OH,2015,77105.0,Ohio,211.1966253,175,2513363
1081,EMFDB,OR,2015,5404.0,Oregon,37.89416845,169,6478283
1110,EMFDB,PA,2015,13035.0,Pennsylvania,232.9252268,102,4218295
1197,EMFDB,SD,2015,152177.0,South Dakota,14.13943764,63,3577721
1226,EMFDB,TN,2015,23661.0,Tennessee,98.70392565,104,3275928
1255,EMFDB,TX,2015,47044.0,Texas,655.1432269,110,2671308
1342,EMFDB,VA,2015,5777.0,Virginia,107.6199041,31,2446464
1429,EMFDB,WI,2015,76836.0,Wisconsin,99.85701526,107,3755629
1487,EMFDB,WY,2015,1192.0,Wyoming,64.09286316,18,249960
1614,EMFDB,AZ,2016,6147.0,Arizona,90.85562563,54,2053339
1643,EMFDB,CA,2016,26893.0,California,353.3561319,848,59755992
1672,EMFDB,CO,2016,19461.0,Colorado,88.42427593,258,1800615
1817,EMFDB,GA,2016,15397.0,Georgia,144.537737,222,20155611
1875,EMFDB,IA,2016,547240.0,Iowa,73.98337008,149,4220545
1904,EMFDB,ID,2016,9206.0,Idaho,18.3418212,127,1317624
1933,EMFDB,IL,2016,234203.0,Illinois,207.4305588,36,1325335
1962,EMFDB,IN,2016,153944.0,Indiana,181.8275677,45,11391681
1991,EMFDB,KS,2016,67585.0,Kansas,62.60936987,130,1440764
2020,EMFDB,KY,2016,4035.0,Kentucky,126.8081795,76,2257870
2165,EMFDB,MI,2016,38907.0,Michigan,154.5188531,61,1293489
2194,EMFDB,MN,2016,159184.0,Minnesota,91.10054342,92,16796366
2223,EMFDB,MO,2016,37892.0,Missouri,119.0157079,520,10631411
2252,EMFDB,MS,2016,6731.0,Mississippi,62.31469737,608,96309030
2339,EMFDB,ND,2016,56353.0,North Dakota,54.93206111,24,502584
2368,EMFDB,NE,2016,278674.0,Nebraska,48.35090988,199,4011050
2513,EMFDB,NY,2016,21669.0,New York,170.1509065,73,2403723
2542,EMFDB,OH,2016,79695.0,Ohio,205.3227286,132,775584
2600,EMFDB,OR,2016,5153.0,Oregon,37.66506368,162,104123811
2629,EMFDB,PA,2016,14104.0,Pennsylvania,217.9773815,74,2394977
2716,EMFDB,SD,2016,154087.0,South Dakota,14.80376576,32,76031784
2745,EMFDB,TN,2016,25253.0,Tennessee,101.3548028,60,1102457
2774,EMFDB,TX,2016,48465.0,Texas,656.7493464,176,83607077
2861,EMFDB,VA,2016,3205.0,Virginia,110.0640459,49,853133
2948,EMFDB,WI,2016,78834.0,Wisconsin,95.6153185,80,7777098
3133,EMFDB,AZ,2017,6584.0,Arizona,90.47614096,46,1714281
3162,EMFDB,CA,2017,28804.0,California,356.5165476,786,30392556
3191,EMFDB,CO,2017,19828.0,Colorado,88.77624019,181,1385451
3336,EMFDB,GA,2017,14429.0,Georgia,141.8352401,185,2884817
3394,EMFDB,IA,2017,573399.0,Iowa,76.30357904,179,6233820
3423,EMFDB,ID,2017,9367.0,Idaho,18.70279024,88,988061
3452,EMFDB,IL,2017,225509.0,Illinois,205.9749865,32,1262924
3481,EMFDB,IN,2017,156644.0,Indiana,175.8904931,46,4052088
3510,EMFDB,KS,2017,69338.0,Kansas,59.03202784,110,1454281
3539,EMFDB,KY,2017,4065.0,Kentucky,116.7819997,99,1948714
3684,EMFDB,MI,2017,46518.0,Michigan,155.6806782,37,1287282
3713,EMFDB,MN,2017,162563.0,Minnesota,91.27720044,74,2726558
3742,EMFDB,MO,2017,38934.0,Missouri,124.5052275,316,4957942
3771,EMFDB,MS,2017,6839.0,Mississippi,60.46289527,379,2686540
3858,EMFDB,ND,2017,69595.0,North Dakota,56.92163503,19,477713
3887,EMFDB,NE,2017,283769.0,Nebraska,47.87762064,263,3743400
4032,EMFDB,NY,2017,21022.0,New York,165.8301752,52,789556
4061,EMFDB,OH,2017,83098.0,Ohio,205.0608887,118,10274821
4119,EMFDB,OR,2017,5530.0,Oregon,38.79038331,129,137275588
4148,EMFDB,PA,2017,13227.0,Pennsylvania,215.2868489,53,2661655
4235,EMFDB,SD,2017,160796.0,South Dakota,14.65586638,18,3225820
4264,EMFDB,TN,2017,25404.0,Tennessee,97.40767095,28,889496
4293,EMFDB,TX,2017,49395.0,Texas,664.9673475,219,98254981
4380,EMFDB,VA,2017,7215.0,Virginia,105.5838769,35,5764689
4467,EMFDB,WI,2017,81729.0,Wisconsin,98.64308793,95,2622475
4652,EMFDB,AZ,2018,6758.0,Arizona,94.09550866,48,539053
4681,EMFDB,CA,2018,29515.0,California,358.5947178,749,28208367
4710,EMFDB,CO,2018,19735.0,Colorado,90.06168948,142,29876375
4855,EMFDB,GA,2018,13776.0,Georgia,141.9209237,192,7882488
4913,EMFDB,IA,2018,593931.0,Iowa,82.42756253,239,8883799
4942,EMFDB,ID,2018,9324.0,Idaho,19.04276093,89,1198524
4971,EMFDB,IL,2018,208086.0,Illinois,213.1001319,64,5112413
5000,EMFDB,IN,2018,161632.0,Indiana,189.2161684,59,5700232
5029,EMFDB,KS,2018,71510.0,Kansas,62.85277614,67,1041662
5058,EMFDB,KY,2018,3997.0,Kentucky,122.771335,77,2944583
5203,EMFDB,MI,2018,49068.0,Michigan,163.7174435,56,936266
5232,EMFDB,MN,2018,166627.0,Minnesota,94.75605009,154,55322766
5261,EMFDB,MO,2018,39032.0,Missouri,124.7805316,185,3637928
5290,EMFDB,MS,2018,6798.0,Mississippi,63.23252555,469,3767073
