,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
10,GETCB,AK,2015,186.0,Alaska,35.0278036,16,3345612
39,GETCB,AL,2015,141.0,Alabama,119.2008893,164,1864412
68,GETCB,AR,2015,808.0,Arkansas,59.05336455,477,13453887
97,GETCB,AZ,2015,345.0,Arizona,94.97878443,65,1724853
126,GETCB,CA,2015,112878.0,California,351.408516,1023,30077512
155,GETCB,CO,2015,759.0,Colorado,91.30387161,206,1658730
184,GETCB,CT,2015,21.0,Connecticut,36.32904924,33,1340702
242,GETCB,DE,2015,430.0,Delaware,13.9053954,68,1452666
271,GETCB,FL,2015,10056.0,Florida,237.3833592,45,3527420
300,GETCB,GA,2015,315.0,Georgia,145.6756383,247,6155856
329,GETCB,HI,2015,2154.0,Hawaii,19.7810368,16,1033143
358,GETCB,IA,2015,1281.0,Iowa,77.41573961,198,5552396
387,GETCB,ID,2015,2207.0,Idaho,18.03591394,108,1895904
416,GETCB,IL,2015,2042.0,Illinois,219.157681,57,2533998
445,GETCB,IN,2015,4647.0,Indiana,187.2335142,68,2525723
474,GETCB,KS,2015,974.0,Kansas,64.51256023,120,2548830
503,GETCB,KY,2015,2712.0,Kentucky,131.3429697,129,315635700
532,GETCB,LA,2015,1842.0,Louisiana,185.5592561,61,2312261
561,GETCB,MA,2015,859.0,Massachusetts,66.74652168,34,4240538
590,GETCB,MD,2015,570.0,Maryland,62.28032684,100,1890491
619,GETCB,ME,2015,72.0,Maine,16.67908857,74,2818563
648,GETCB,MI,2015,5193.0,Michigan,164.4556231,76,3049845
677,GETCB,MN,2015,1075.0,Minnesota,89.33099915,119,3292766
706,GETCB,MO,2015,352.0,Missouri,124.7473311,619,7036095
735,GETCB,MS,2015,958.0,Mississippi,61.29692129,403,3710526
764,GETCB,MT,2015,337.0,Montana,32.53164542,94,896759
793,GETCB,NC,2015,967.0,North Carolina,124.7782841,232,202376181
822,GETCB,ND,2015,978.0,North Dakota,57.9230603,16,420940
851,GETCB,NE,2015,1212.0,Nebraska,50.71057586,247,3396859
880,GETCB,NH,2015,29.0,New Hampshire,15.27856723,46,1371086
909,GETCB,NJ,2015,466.0,New Jersey,103.6600002,47,1130951
938,GETCB,NM,2015,458.0,New Mexico,50.69183199,50,1126396
967,GETCB,NV,2015,30535.0,Nevada,38.5171354,16,790588
996,GETCB,NY,2015,1185.0,New York,174.3599244,104,5040800
1025,GETCB,OH,2015,3435.0,Ohio,211.1966253,175,2513363
1054,GETCB,OK,2015,24.0,Oklahoma,100.2883311,64,1677872
1083,GETCB,OR,2015,2898.0,Oregon,37.89416845,169,6478283
1112,GETCB,PA,2015,2162.0,Pennsylvania,232.9252268,102,4218295
1141,GETCB,RI,2015,57.0,Rhode Island,10.80452453,11,671306
1170,GETCB,SC,2015,648.0,South Carolina,73.39880613,60,3065630
