,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
11,HYTCB,AK,2015,14621.0,Alaska,35.0278036,16,3345612
40,HYTCB,AL,2015,91902.0,Alabama,119.2008893,164,1864412
69,HYTCB,AR,2015,33261.0,Arkansas,59.05336455,477,13453887
98,HYTCB,AZ,2015,60906.0,Arizona,94.97878443,65,1724853
127,HYTCB,CA,2015,128681.0,California,351.408516,1023,30077512
156,HYTCB,CO,2015,15098.0,Colorado,91.30387161,206,1658730
185,HYTCB,CT,2015,2819.0,Connecticut,36.32904924,33,1340702
272,HYTCB,FL,2015,2277.0,Florida,237.3833592,45,3527420
301,HYTCB,GA,2015,27804.0,Georgia,145.6756383,247,6155856
330,HYTCB,HI,2015,1129.0,Hawaii,19.7810368,16,1033143
359,HYTCB,IA,2015,8948.0,Iowa,77.41573961,198,5552396
388,HYTCB,ID,2015,81603.0,Idaho,18.03591394,108,1895904
417,HYTCB,IL,2015,1160.0,Illinois,219.157681,57,2533998
446,HYTCB,IN,2015,3553.0,Indiana,187.2335142,68,2525723
475,HYTCB,KS,2015,177.0,Kansas,64.51256023,120,2548830
504,HYTCB,KY,2015,31717.0,Kentucky,131.3429697,129,315635700
533,HYTCB,LA,2015,9310.0,Louisiana,185.5592561,61,2312261
562,HYTCB,MA,2015,7709.0,Massachusetts,66.74652168,34,4240538
591,HYTCB,MD,2015,15127.0,Maryland,62.28032684,100,1890491
620,HYTCB,ME,2015,31317.0,Maine,16.67908857,74,2818563
649,HYTCB,MI,2015,13971.0,Michigan,164.4556231,76,3049845
678,HYTCB,MN,2015,7912.0,Minnesota,89.33099915,119,3292766
707,HYTCB,MO,2015,14864.0,Missouri,124.7473311,619,7036095
765,HYTCB,MT,2015,92144.0,Montana,32.53164542,94,896759
794,HYTCB,NC,2015,44191.0,North Carolina,124.7782841,232,202376181
823,HYTCB,ND,2015,19516.0,North Dakota,57.9230603,16,420940
852,HYTCB,NE,2015,15702.0,Nebraska,50.71057586,247,3396859
881,HYTCB,NH,2015,11837.0,New Hampshire,15.27856723,46,1371086
910,HYTCB,NJ,2015,89.0,New Jersey,103.6600002,47,1130951
939,HYTCB,NM,2015,927.0,New Mexico,50.69183199,50,1126396
968,HYTCB,NV,2015,21099.0,Nevada,38.5171354,16,790588
997,HYTCB,NY,2015,242429.0,New York,174.3599244,104,5040800
1026,HYTCB,OH,2015,4256.0,Ohio,211.1966253,175,2513363
1055,HYTCB,OK,2015,24825.0,Oklahoma,100.2883311,64,1677872
1084,HYTCB,OR,2015,291255.0,Oregon,37.89416845,169,6478283
1113,HYTCB,PA,2015,24264.0,Pennsylvania,232.9252268,102,4218295
1142,HYTCB,RI,2015,29.0,Rhode Island,10.80452453,11,671306
1171,HYTCB,SC,2015,23897.0,South Carolina,73.39880613,60,3065630
1200,HYTCB,SD,2015,45202.0,South Dakota,14.13943764,63,3577721
1229,HYTCB,TN,2015,89288.0,Tennessee,98.70392565,104,3275928
1258,HYTCB,TX,2015,8913.0,Texas,655.1432269,110,2671308
1316,HYTCB,UT,2015,7164.0,Utah,63.61302159,80,1243588
1345,HYTCB,VA,2015,10795.0,Virginia,107.6199041,31,2446464
1374,HYTCB,VT,2015,10619.0,Vermont,6.126831312,33,47317173
1403,HYTCB,WA,2015,684060.0,Washington,75.13711456,109,1978193
1432,HYTCB,WI,2015,21813.0,Wisconsin,99.85701526,107,3755629
1461,HYTCB,WV,2015,12907.0,West Virginia,91.96307825,69,491426
1490,HYTCB,WY,2015,8091.0,Wyoming,64.09286316,18,249960
1530,HYTCB,AK,2016,15317.0,Alaska,33.40561066,14,2247734
1559,HYTCB,AL,2016,64484.0,Alabama,113.9837834,129,1206793
1588,HYTCB,AR,2016,32958.0,Arkansas,62.12624984,703,4637664
1617,HYTCB,AZ,2016,66173.0,Arizona,90.85562563,54,2053339
1646,HYTCB,CA,2016,267194.0,California,353.3561319,848,59755992
1675,HYTCB,CO,2016,17565.0,Colorado,88.42427593,258,1800615
1704,HYTCB,CT,2016,2069.0,Connecticut,34.09544003,28,962061
1791,HYTCB,FL,2016,1611.0,Florida,238.8326956,72,4068360
1820,HYTCB,GA,2016,31137.0,Georgia,144.537737,222,20155611
1849,HYTCB,HI,2016,839.0,Hawaii,19.81846857,18,429104
1878,HYTCB,IA,2016,8464.0,Iowa,73.98337008,149,4220545
1907,HYTCB,ID,2016,83395.0,Idaho,18.3418212,127,1317624
1936,HYTCB,IL,2016,1226.0,Illinois,207.4305588,36,1325335
1965,HYTCB,IN,2016,3935.0,Indiana,181.8275677,45,11391681
1994,HYTCB,KS,2016,282.0,Kansas,62.60936987,130,1440764
2023,HYTCB,KY,2016,32108.0,Kentucky,126.8081795,76,2257870
2052,HYTCB,LA,2016,10183.0,Louisiana,189.1398596,98,1499474
2081,HYTCB,MA,2016,6578.0,Massachusetts,64.08973529,35,841616
2110,HYTCB,MD,2016,12853.0,Maryland,60.46760995,65,1349074
2139,HYTCB,ME,2016,27693.0,Maine,16.15310799,41,795948
2168,HYTCB,MI,2016,14442.0,Michigan,154.5188531,61,1293489
2197,HYTCB,MN,2016,11157.0,Minnesota,91.10054342,92,16796366
2226,HYTCB,MO,2016,11711.0,Missouri,119.0157079,520,10631411
2284,HYTCB,MT,2016,93082.0,Montana,31.13795175,90,2257495
2313,HYTCB,NC,2016,40779.0,North Carolina,124.895788,156,190472938
