,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
15,NGMPP,AK,2015,343625.0,Alaska,35.0278036,16,3345612
44,NGMPP,AL,2015,168246.0,Alabama,119.2008893,164,1864412
73,NGMPP,AR,2015,1010382.0,Arkansas,59.05336455,477,13453887
102,NGMPP,AZ,2015,95.0,Arizona,94.97878443,65,1724853
131,NGMPP,CA,2015,236648.0,California,351.408516,1023,30077512
160,NGMPP,CO,2015,1688733.0,Colorado,91.30387161,206,1658730
276,NGMPP,FL,2015,764.0,Florida,237.3833592,45,3527420
392,NGMPP,ID,2015,1078.0,Idaho,18.03591394,108,1895904
421,NGMPP,IL,2015,2080.0,Illinois,219.157681,57,2533998
450,NGMPP,IN,2015,7250.0,Indiana,187.2335142,68,2525723
479,NGMPP,KS,2015,284184.0,Kansas,64.51256023,120,2548830
508,NGMPP,KY,2015,95907.0,Kentucky,131.3429697,129,315635700
537,NGMPP,LA,2015,1805197.0,Louisiana,185.5592561,61,2312261
595,NGMPP,MD,2015,38.0,Maryland,62.28032684,100,1890491
653,NGMPP,MI,2015,107664.0,Michigan,164.4556231,76,3049845
711,NGMPP,MO,2015,1.0,Missouri,124.7473311,619,7036095
740,NGMPP,MS,2015,58181.0,Mississippi,61.29692129,403,3710526
769,NGMPP,MT,2015,51356.0,Montana,32.53164542,94,896759
827,NGMPP,ND,2015,471360.0,North Dakota,57.9230603,16,420940
856,NGMPP,NE,2015,477.0,Nebraska,50.71057586,247,3396859
943,NGMPP,NM,2015,1245145.0,New Mexico,50.69183199,50,1126396
972,NGMPP,NV,2015,4.0,Nevada,38.5171354,16,790588
1001,NGMPP,NY,2015,17325.0,New York,174.3599244,104,5040800
1030,NGMPP,OH,2015,1007270.0,Ohio,211.1966253,175,2513363
1059,NGMPP,OK,2015,2499599.0,Oklahoma,100.2883311,64,1677872
1088,NGMPP,OR,2015,848.0,Oregon,37.89416845,169,6478283
1117,NGMPP,PA,2015,4812983.0,Pennsylvania,232.9252268,102,4218295
1204,NGMPP,SD,2015,552.0,South Dakota,14.13943764,63,3577721
1233,NGMPP,TN,2015,4276.0,Tennessee,98.70392565,104,3275928
1262,NGMPP,TX,2015,7890459.0,Texas,655.1432269,110,2671308
1320,NGMPP,UT,2015,417020.0,Utah,63.61302159,80,1243588
1349,NGMPP,VA,2015,127586.0,Virginia,107.6199041,31,2446464
1465,NGMPP,WV,2015,1315248.0,West Virginia,91.96307825,69,491426
1494,NGMPP,WY,2015,1808519.0,Wyoming,64.09286316,18,249960
1534,NGMPP,AK,2016,332749.0,Alaska,33.40561066,14,2247734
1563,NGMPP,AL,2016,164815.0,Alabama,113.9837834,129,1206793
1592,NGMPP,AR,2016,823196.0,Arkansas,62.12624984,703,4637664
1621,NGMPP,AZ,2016,47.0,Arizona,90.85562563,54,2053339
1650,NGMPP,CA,2016,205025.0,California,353.3561319,848,59755992
1679,NGMPP,CO,2016,1685756.0,Colorado,88.42427593,258,1800615
1795,NGMPP,FL,2016,716.0,Florida,238.8326956,72,4068360
1911,NGMPP,ID,2016,4637.0,Idaho,18.3418212,127,1317624
1940,NGMPP,IL,2016,2183.0,Illinois,207.4305588,36,1325335
1969,NGMPP,IN,2016,6205.0,Indiana,181.8275677,45,11391681
1998,NGMPP,KS,2016,244795.0,Kansas,62.60936987,130,1440764
2027,NGMPP,KY,2016,91640.0,Kentucky,126.8081795,76,2257870
2056,NGMPP,LA,2016,1784396.0,Louisiana,189.1398596,98,1499474
2114,NGMPP,MD,2016,34.0,Maryland,60.46760995,65,1349074
2172,NGMPP,MI,2016,102003.0,Michigan,154.5188531,61,1293489
2230,NGMPP,MO,2016,1.0,Missouri,119.0157079,520,10631411
2259,NGMPP,MS,2016,48504.0,Mississippi,62.31469737,608,96309030
2288,NGMPP,MT,2016,47921.0,Montana,31.13795175,90,2257495
2346,NGMPP,ND,2016,531997.0,North Dakota,54.93206111,24,502584
2375,NGMPP,NE,2016,526.0,Nebraska,48.35090988,199,4011050
2462,NGMPP,NM,2016,1229647.0,New Mexico,48.84541366,28,2015514
2491,NGMPP,NV,2016,3.0,Nevada,39.97099675,16,54082
2520,NGMPP,NY,2016,13523.0,New York,170.1509065,73,2403723
2549,NGMPP,OH,2016,1437285.0,Ohio,205.3227286,132,775584
2578,NGMPP,OK,2016,2468312.0,Oklahoma,96.1010241,58,1341097
2607,NGMPP,OR,2016,801.0,Oregon,37.66506368,162,104123811
2636,NGMPP,PA,2016,5210208.0,Pennsylvania,217.9773815,74,2394977
2723,NGMPP,SD,2016,455.0,South Dakota,14.80376576,32,76031784
2752,NGMPP,TN,2016,3603.0,Tennessee,101.3548028,60,1102457
2781,NGMPP,TX,2016,7225471.0,Texas,656.7493464,176,83607077
2839,NGMPP,UT,2016,365269.0,Utah,58.82516698,114,612804
2868,NGMPP,VA,2016,120288.0,Virginia,110.0640459,49,853133
2984,NGMPP,WV,2016,1384458.0,West Virginia,94.48890006,54,614068
3013,NGMPP,WY,2016,1662909.0,Wyoming,61.25999315,23,1359346
3053,NGMPP,AK,2017,344385.0,Alaska,33.72913017,18,13509662
