,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
45,NUETB,AL,2015,438728.0,Alabama,119.2008893,164,1864412
74,NUETB,AR,2015,144716.0,Arkansas,59.05336455,477,13453887
103,NUETB,AZ,2015,340153.0,Arizona,94.97878443,65,1724853
132,NUETB,CA,2015,193529.0,California,351.408516,1023,30077512
190,NUETB,CT,2015,182083.0,Connecticut,36.32904924,33,1340702
277,NUETB,FL,2015,294099.0,Florida,237.3833592,45,3527420
306,NUETB,GA,2015,353883.0,Georgia,145.6756383,247,6155856
364,NUETB,IA,2015,54836.0,Iowa,77.41573961,198,5552396
422,NUETB,IL,2015,1017377.0,Illinois,219.157681,57,2533998
480,NUETB,KS,2015,90254.0,Kansas,64.51256023,120,2548830
538,NUETB,LA,2015,160015.0,Louisiana,185.5592561,61,2312261
567,NUETB,MA,2015,52236.0,Massachusetts,66.74652168,34,4240538
596,NUETB,MD,2015,153140.0,Maryland,62.28032684,100,1890491
654,NUETB,MI,2015,306773.0,Michigan,164.4556231,76,3049845
683,NUETB,MN,2015,125900.0,Minnesota,89.33099915,119,3292766
712,NUETB,MO,2015,109182.0,Missouri,124.7473311,619,7036095
741,NUETB,MS,2015,122511.0,Mississippi,61.29692129,403,3710526
799,NUETB,NC,2015,440248.0,North Carolina,124.7782841,232,202376181
857,NUETB,NE,2015,107976.0,Nebraska,50.71057586,247,3396859
886,NUETB,NH,2015,99186.0,New Hampshire,15.27856723,46,1371086
915,NUETB,NJ,2015,347851.0,New Jersey,103.6600002,47,1130951
1002,NUETB,NY,2015,466457.0,New York,174.3599244,104,5040800
1031,NUETB,OH,2015,181726.0,Ohio,211.1966253,175,2513363
1118,NUETB,PA,2015,842044.0,Pennsylvania,232.9252268,102,4218295
1176,NUETB,SC,2015,555909.0,South Carolina,73.39880613,60,3065630
1234,NUETB,TN,2015,261037.0,Tennessee,98.70392565,104,3275928
1263,NUETB,TX,2015,411571.0,Texas,655.1432269,110,2671308
1350,NUETB,VA,2015,293455.0,Virginia,107.6199041,31,2446464
1408,NUETB,WA,2015,85347.0,Washington,75.13711456,109,1978193
1437,NUETB,WI,2015,104666.0,Wisconsin,99.85701526,107,3755629
1564,NUETB,AL,2016,417334.0,Alabama,113.9837834,129,1206793
1593,NUETB,AR,2016,140370.0,Arkansas,62.12624984,703,4637664
1622,NUETB,AZ,2016,338636.0,Arizona,90.85562563,54,2053339
1651,NUETB,CA,2016,197754.0,California,353.3561319,848,59755992
1709,NUETB,CT,2016,173363.0,Connecticut,34.09544003,28,962061
1796,NUETB,FL,2016,306658.0,Florida,238.8326956,72,4068360
1825,NUETB,GA,2016,360633.0,Georgia,144.537737,222,20155611
1883,NUETB,IA,2016,49185.0,Iowa,73.98337008,149,4220545
1941,NUETB,IL,2016,1031331.0,Illinois,207.4305588,36,1325335
1999,NUETB,KS,2016,86245.0,Kansas,62.60936987,130,1440764
2057,NUETB,LA,2016,179391.0,Louisiana,189.1398596,98,1499474
2086,NUETB,MA,2016,56628.0,Massachusetts,64.08973529,35,841616
2115,NUETB,MD,2016,154377.0,Maryland,60.46760995,65,1349074
2173,NUETB,MI,2016,329999.0,Michigan,154.5188531,61,1293489
2202,NUETB,MN,2016,144970.0,Minnesota,91.10054342,92,16796366
2231,NUETB,MO,2016,98630.0,Missouri,119.0157079,520,10631411
2260,NUETB,MS,2016,61680.0,Mississippi,62.31469737,608,96309030
2318,NUETB,NC,2016,447500.0,North Carolina,124.895788,156,190472938
2376,NUETB,NE,2016,97798.0,Nebraska,48.35090988,199,4011050
2405,NUETB,NH,2016,112551.0,New Hampshire,13.81151032,40,3111505
2434,NUETB,NJ,2016,312569.0,New Jersey,105.6200444,34,597439
2521,NUETB,NY,2016,434791.0,New York,170.1509065,73,2403723
2550,NUETB,OH,2016,175893.0,Ohio,205.3227286,132,775584
2637,NUETB,PA,2016,867302.0,Pennsylvania,217.9773815,74,2394977
2695,NUETB,SC,2016,583883.0,South Carolina,72.25720541,77,22430291
2753,NUETB,TN,2016,309357.0,Tennessee,101.3548028,60,1102457
2782,NUETB,TX,2016,440109.0,Texas,656.7493464,176,83607077
2869,NUETB,VA,2016,310966.0,Virginia,110.0640459,49,853133
2927,NUETB,WA,2016,100674.0,Washington,79.4036955,127,2515938
2956,NUETB,WI,2016,106173.0,Wisconsin,95.6153185,80,7777098
3083,NUETB,AL,2017,446097.0,Alabama,108.5943783,104,2414699
3112,NUETB,AR,2017,132736.0,Arkansas,64.17625679,469,2069460
3141,NUETB,AZ,2017,338246.0,Arizona,90.47614096,46,1714281
3170,NUETB,CA,2017,187227.0,California,356.5165476,786,30392556
3228,NUETB,CT,2017,172570.0,Connecticut,33.8574222,40,788599
3315,NUETB,FL,2017,304840.0,Florida,238.4284129,56,1239122
3344,NUETB,GA,2017,352560.0,Georgia,141.8352401,185,2884817
3402,NUETB,IA,2017,54528.0,Iowa,76.30357904,179,6233820
3460,NUETB,IL,2017,1016522.0,Illinois,205.9749865,32,1262924
3518,NUETB,KS,2017,111367.0,Kansas,59.03202784,110,1454281
3576,NUETB,LA,2017,161171.0,Louisiana,193.3738211,71,1216601
3605,NUETB,MA,2017,52788.0,Massachusetts,64.71316897,44,5852232
3634,NUETB,MD,2017,158004.0,Maryland,55.040273,48,6343700
3692,NUETB,MI,2017,338675.0,Michigan,155.6806782,37,1287282
3721,NUETB,MN,2017,145426.0,Minnesota,91.27720044,74,2726558
3750,NUETB,MO,2017,86853.0,Missouri,124.5052275,316,4957942
3779,NUETB,MS,2017,77027.0,Mississippi,60.46289527,379,2686540
3837,NUETB,NC,2017,443192.0,North Carolina,121.1493749,149,235434075
3895,NUETB,NE,2017,72300.0,Nebraska,47.87762064,263,3743400
3924,NUETB,NH,2017,104493.0,New Hampshire,13.51181074,39,1307930
3953,NUETB,NJ,2017,355948.0,New Jersey,99.35210038,48,881961
4040,NUETB,NY,2017,441029.0,New York,165.8301752,52,789556
4069,NUETB,OH,2017,184997.0,Ohio,205.0608887,118,10274821
4156,NUETB,PA,2017,870187.0,Pennsylvania,215.2868489,53,2661655
4214,NUETB,SC,2017,568390.0,South Carolina,69.96242998,84,68063288
4272,NUETB,TN,2017,332779.0,Tennessee,97.40767095,28,889496
4301,NUETB,TX,2017,403523.0,Texas,664.9673475,219,98254981
4388,NUETB,VA,2017,319562.0,Virginia,105.5838769,35,5764689
4446,NUETB,WA,2017,85013.0,Washington,79.11865344,104,6910234
4475,NUETB,WI,2017,100919.0,Wisconsin,98.64308793,95,2622475
4602,NUETB,AL,2018,412584.0,Alabama,112.3554714,75,1844186
4631,NUETB,AR,2018,132996.0,Arkansas,70.78614615,414,79970512
4660,NUETB,AZ,2018,325122.0,Arizona,94.09550866,48,539053
4689,NUETB,CA,2018,190422.0,California,358.5947178,749,28208367
4747,NUETB,CT,2018,176496.0,Connecticut,37.38424068,21,1486681
4834,NUETB,FL,2018,306461.0,Florida,242.0091133,62,49550089
4863,NUETB,GA,2018,359262.0,Georgia,141.9209237,192,7882488
4921,NUETB,IA,2018,51181.0,Iowa,82.42756253,239,8883799
4979,NUETB,IL,2018,1025651.0,Illinois,213.1001319,64,5112413
5037,NUETB,KS,2018,95854.0,Kansas,62.85277614,67,1041662
5095,NUETB,LA,2018,179330.0,Louisiana,194.74322,86,764829
5124,NUETB,MA,2018,46437.0,Massachusetts,64.10739497,46,3360964
5153,NUETB,MD,2018,156699.0,Maryland,61.68531518,61,2306029
5211,NUETB,MI,2018,318655.0,Michigan,163.7174435,56,936266
5240,NUETB,MN,2018,152657.0,Minnesota,94.75605009,154,55322766
5269,NUETB,MO,2018,111401.0,Missouri,124.7805316,185,3637928
