,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
18,PAPRP,AK,2015,176229.0,Alaska,35.0278036,16,3345612
47,PAPRP,AL,2015,9694.0,Alabama,119.2008893,164,1864412
76,PAPRP,AR,2015,6229.0,Arkansas,59.05336455,477,13453887
105,PAPRP,AZ,2015,37.0,Arizona,94.97878443,65,1724853
134,PAPRP,CA,2015,201284.0,California,351.408516,1023,30077512
163,PAPRP,CO,2015,122221.0,Colorado,91.30387161,206,1658730
279,PAPRP,FL,2015,2208.0,Florida,237.3833592,45,3527420
395,PAPRP,ID,2015,30.0,Idaho,18.03591394,108,1895904
424,PAPRP,IL,2015,9520.0,Illinois,219.157681,57,2533998
453,PAPRP,IN,2015,2219.0,Indiana,187.2335142,68,2525723
482,PAPRP,KS,2015,45481.0,Kansas,64.51256023,120,2548830
511,PAPRP,KY,2015,2862.0,Kentucky,131.3429697,129,315635700
540,PAPRP,LA,2015,63739.0,Louisiana,185.5592561,61,2312261
656,PAPRP,MI,2015,6560.0,Michigan,164.4556231,76,3049845
714,PAPRP,MO,2015,149.0,Missouri,124.7473311,619,7036095
743,PAPRP,MS,2015,24923.0,Mississippi,61.29692129,403,3710526
772,PAPRP,MT,2015,28555.0,Montana,32.53164542,94,896759
830,PAPRP,ND,2015,429631.0,North Dakota,57.9230603,16,420940
859,PAPRP,NE,2015,2697.0,Nebraska,50.71057586,247,3396859
946,PAPRP,NM,2015,148095.0,New Mexico,50.69183199,50,1126396
975,PAPRP,NV,2015,281.0,Nevada,38.5171354,16,790588
1004,PAPRP,NY,2015,286.0,New York,174.3599244,104,5040800
1033,PAPRP,OH,2015,26701.0,Ohio,211.1966253,175,2513363
1062,PAPRP,OK,2015,166069.0,Oklahoma,100.2883311,64,1677872
1120,PAPRP,PA,2015,7088.0,Pennsylvania,232.9252268,102,4218295
1207,PAPRP,SD,2015,1663.0,South Dakota,14.13943764,63,3577721
1236,PAPRP,TN,2015,296.0,Tennessee,98.70392565,104,3275928
1265,PAPRP,TX,2015,1261678.0,Texas,655.1432269,110,2671308
1323,PAPRP,UT,2015,37136.0,Utah,63.61302159,80,1243588
1352,PAPRP,VA,2015,11.0,Virginia,107.6199041,31,2446464
1468,PAPRP,WV,2015,11572.0,West Virginia,91.96307825,69,491426
1497,PAPRP,WY,2015,86471.0,Wyoming,64.09286316,18,249960
1537,PAPRP,AK,2016,179378.0,Alaska,33.40561066,14,2247734
1566,PAPRP,AL,2016,8112.0,Alabama,113.9837834,129,1206793
1595,PAPRP,AR,2016,5519.0,Arkansas,62.12624984,703,4637664
1624,PAPRP,AZ,2016,8.0,Arizona,90.85562563,54,2053339
1653,PAPRP,CA,2016,186079.0,California,353.3561319,848,59755992
1682,PAPRP,CO,2016,116038.0,Colorado,88.42427593,258,1800615
1798,PAPRP,FL,2016,1934.0,Florida,238.8326956,72,4068360
1914,PAPRP,ID,2016,215.0,Idaho,18.3418212,127,1317624
1943,PAPRP,IL,2016,8639.0,Illinois,207.4305588,36,1325335
1972,PAPRP,IN,2016,1817.0,Indiana,181.8275677,45,11391681
2001,PAPRP,KS,2016,37944.0,Kansas,62.60936987,130,1440764
2030,PAPRP,KY,2016,2595.0,Kentucky,126.8081795,76,2257870
2059,PAPRP,LA,2016,57435.0,Louisiana,189.1398596,98,1499474
2175,PAPRP,MI,2016,5639.0,Michigan,154.5188531,61,1293489
2233,PAPRP,MO,2016,123.0,Missouri,119.0157079,520,10631411
2262,PAPRP,MS,2016,20386.0,Mississippi,62.31469737,608,96309030
2291,PAPRP,MT,2016,23178.0,Montana,31.13795175,90,2257495
2349,PAPRP,ND,2016,377820.0,North Dakota,54.93206111,24,502584
2378,PAPRP,NE,2016,2195.0,Nebraska,48.35090988,199,4011050
2465,PAPRP,NM,2016,146634.0,New Mexico,48.84541366,28,2015514
2494,PAPRP,NV,2016,277.0,Nevada,39.97099675,16,54082
2523,PAPRP,NY,2016,225.0,New York,170.1509065,73,2403723
2552,PAPRP,OH,2016,21600.0,Ohio,205.3227286,132,775584
2581,PAPRP,OK,2016,154691.0,Oklahoma,96.1010241,58,1341097
2639,PAPRP,PA,2016,6272.0,Pennsylvania,217.9773815,74,2394977
2726,PAPRP,SD,2016,1406.0,South Dakota,14.80376576,32,76031784
2755,PAPRP,TN,2016,257.0,Tennessee,101.3548028,60,1102457
2784,PAPRP,TX,2016,1168080.0,Texas,656.7493464,176,83607077
2842,PAPRP,UT,2016,30528.0,Utah,58.82516698,114,612804
2871,PAPRP,VA,2016,7.0,Virginia,110.0640459,49,853133
2987,PAPRP,WV,2016,7636.0,West Virginia,94.48890006,54,614068
3016,PAPRP,WY,2016,72666.0,Wyoming,61.25999315,23,1359346
3056,PAPRP,AK,2017,180547.0,Alaska,33.72913017,18,13509662
3085,PAPRP,AL,2017,6832.0,Alabama,108.5943783,104,2414699
3114,PAPRP,AR,2017,5288.0,Arkansas,64.17625679,469,2069460
3143,PAPRP,AZ,2017,13.0,Arizona,90.47614096,46,1714281
3172,PAPRP,CA,2017,173403.0,California,356.5165476,786,30392556
3201,PAPRP,CO,2017,130138.0,Colorado,88.77624019,181,1385451
3317,PAPRP,FL,2017,1923.0,Florida,238.4284129,56,1239122
3433,PAPRP,ID,2017,91.0,Idaho,18.70279024,88,988061
3462,PAPRP,IL,2017,8314.0,Illinois,205.9749865,32,1262924
3491,PAPRP,IN,2017,1779.0,Indiana,175.8904931,46,4052088
3520,PAPRP,KS,2017,35825.0,Kansas,59.03202784,110,1454281
3549,PAPRP,KY,2017,2477.0,Kentucky,116.7819997,99,1948714
3578,PAPRP,LA,2017,51549.0,Louisiana,193.3738211,71,1216601
3694,PAPRP,MI,2017,5521.0,Michigan,155.6806782,37,1287282
3752,PAPRP,MO,2017,116.0,Missouri,124.5052275,316,4957942
3781,PAPRP,MS,2017,17783.0,Mississippi,60.46289527,379,2686540
3810,PAPRP,MT,2017,20721.0,Montana,31.25081171,93,1091494
3868,PAPRP,ND,2017,390609.0,North Dakota,56.92163503,19,477713
3897,PAPRP,NE,2017,2093.0,Nebraska,47.87762064,263,3743400
3984,PAPRP,NM,2017,172377.0,New Mexico,49.62030346,47,5893114
4013,PAPRP,NV,2017,286.0,Nevada,40.20696595,33,311016629
4042,PAPRP,NY,2017,193.0,New York,165.8301752,52,789556
4071,PAPRP,OH,2017,20010.0,Ohio,205.0608887,118,10274821
4100,PAPRP,OK,2017,165873.0,Oklahoma,93.44516627,41,2449186
4158,PAPRP,PA,2017,6562.0,Pennsylvania,215.2868489,53,2661655
4245,PAPRP,SD,2017,1304.0,South Dakota,14.65586638,18,3225820
4274,PAPRP,TN,2017,271.0,Tennessee,97.40767095,28,889496
4303,PAPRP,TX,2017,1275195.0,Texas,664.9673475,219,98254981
4361,PAPRP,UT,2017,34438.0,Utah,59.03113555,56,15437033
4390,PAPRP,VA,2017,7.0,Virginia,105.5838769,35,5764689
4506,PAPRP,WV,2017,8627.0,West Virginia,90.84162772,88,673413
4535,PAPRP,WY,2017,75774.0,Wyoming,62.79648656,47,413987
4575,PAPRP,AK,2018,174801.0,Alaska,34.51458857,44,18236626
4604,PAPRP,AL,2018,5887.0,Alabama,112.3554714,75,1844186
4633,PAPRP,AR,2018,5004.0,Arkansas,70.78614615,414,79970512
4662,PAPRP,AZ,2018,10.0,Arizona,94.09550866,48,539053
4691,PAPRP,CA,2018,160658.0,California,358.5947178,749,28208367
4720,PAPRP,CO,2018,169374.0,Colorado,90.06168948,142,29876375
4836,PAPRP,FL,2018,1839.0,Florida,242.0091133,62,49550089
4952,PAPRP,ID,2018,88.0,Idaho,19.04276093,89,1198524
4981,PAPRP,IL,2018,8420.0,Illinois,213.1001319,64,5112413
5010,PAPRP,IN,2018,1684.0,Indiana,189.2161684,59,5700232
5039,PAPRP,KS,2018,34715.0,Kansas,62.85277614,67,1041662
5068,PAPRP,KY,2018,2265.0,Kentucky,122.771335,77,2944583
5097,PAPRP,LA,2018,48092.0,Louisiana,194.74322,86,764829
5213,PAPRP,MI,2018,5443.0,Michigan,163.7174435,56,936266
5271,PAPRP,MO,2018,96.0,Missouri,124.7805316,185,3637928
5300,PAPRP,MS,2018,16953.0,Mississippi,63.23252555,469,3767073
5329,PAPRP,MT,2018,21561.0,Montana,31.25796736,114,2449554
5387,PAPRP,ND,2018,460440.0,North Dakota,59.282972,30,520857
5416,PAPRP,NE,2018,2056.0,Nebraska,52.35500953,271,4330170
5503,PAPRP,NM,2018,249143.0,New Mexico,45.85390881,22,755535
5532,PAPRP,NV,2018,255.0,Nevada,41.38306985,57,535889
5561,PAPRP,NY,2018,221.0,New York,175.0969653,60,13144827
5590,PAPRP,OH,2018,22775.0,Ohio,208.9666748,52,6168918
5619,PAPRP,OK,2018,199824.0,Oklahoma,98.01036447,23,1495639
