,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
20,SOTCB,AK,2015,3.0,Alaska,35.0278036,16,3345612
49,SOTCB,AL,2015,101.0,Alabama,119.2008893,164,1864412
78,SOTCB,AR,2015,124.0,Arkansas,59.05336455,477,13453887
107,SOTCB,AZ,2015,48229.0,Arizona,94.97878443,65,1724853
136,SOTCB,CA,2015,211839.0,California,351.408516,1023,30077512
165,SOTCB,CO,2015,6270.0,Colorado,91.30387161,206,1658730
194,SOTCB,CT,2015,2952.0,Connecticut,36.32904924,33,1340702
252,SOTCB,DE,2015,1230.0,Delaware,13.9053954,68,1452666
281,SOTCB,FL,2015,30133.0,Florida,237.3833592,45,3527420
310,SOTCB,GA,2015,2461.0,Georgia,145.6756383,247,6155856
339,SOTCB,HI,2015,8360.0,Hawaii,19.7810368,16,1033143
368,SOTCB,IA,2015,419.0,Iowa,77.41573961,198,5552396
397,SOTCB,ID,2015,81.0,Idaho,18.03591394,108,1895904
426,SOTCB,IL,2015,1938.0,Illinois,219.157681,57,2533998
455,SOTCB,IN,2015,1714.0,Indiana,187.2335142,68,2525723
484,SOTCB,KS,2015,87.0,Kansas,64.51256023,120,2548830
513,SOTCB,KY,2015,198.0,Kentucky,131.3429697,129,315635700
542,SOTCB,LA,2015,1521.0,Louisiana,185.5592561,61,2312261
571,SOTCB,MA,2015,12535.0,Massachusetts,66.74652168,34,4240538
600,SOTCB,MD,2015,4375.0,Maryland,62.28032684,100,1890491
629,SOTCB,ME,2015,323.0,Maine,16.67908857,74,2818563
658,SOTCB,MI,2015,853.0,Michigan,164.4556231,76,3049845
687,SOTCB,MN,2015,473.0,Minnesota,89.33099915,119,3292766
716,SOTCB,MO,2015,1542.0,Missouri,124.7473311,619,7036095
745,SOTCB,MS,2015,29.0,Mississippi,61.29692129,403,3710526
774,SOTCB,MT,2015,85.0,Montana,32.53164542,94,896759
803,SOTCB,NC,2015,13870.0,North Carolina,124.7782841,232,202376181
832,SOTCB,ND,2015,7.0,North Dakota,57.9230603,16,420940
861,SOTCB,NE,2015,41.0,Nebraska,50.71057586,247,3396859
890,SOTCB,NH,2015,292.0,New Hampshire,15.27856723,46,1371086
919,SOTCB,NJ,2015,20966.0,New Jersey,103.6600002,47,1130951
948,SOTCB,NM,2015,7257.0,New Mexico,50.69183199,50,1126396
977,SOTCB,NV,2015,18216.0,Nevada,38.5171354,16,790588
1006,SOTCB,NY,2015,7729.0,New York,174.3599244,104,5040800
1035,SOTCB,OH,2015,1678.0,Ohio,211.1966253,175,2513363
1064,SOTCB,OK,2015,71.0,Oklahoma,100.2883311,64,1677872
1093,SOTCB,OR,2015,2430.0,Oregon,37.89416845,169,6478283
1122,SOTCB,PA,2015,3758.0,Pennsylvania,232.9252268,102,4218295
1151,SOTCB,RI,2015,298.0,Rhode Island,10.80452453,11,671306
1180,SOTCB,SC,2015,140.0,South Carolina,73.39880613,60,3065630
1209,SOTCB,SD,2015,10.0,South Dakota,14.13943764,63,3577721
