,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
21,TEPRB,AK,2015,1429942.0,Alaska,35.0278036,16,3345612
50,TEPRB,AL,2015,1267004.0,Alabama,119.2008893,164,1864412
79,TEPRB,AR,2015,1331452.0,Arkansas,59.05336455,477,13453887
108,TEPRB,AZ,2015,615867.0,Arizona,94.97878443,65,1724853
137,TEPRB,CA,2015,2352883.0,California,351.408516,1023,30077512
166,TEPRB,CO,2015,3194117.0,Colorado,91.30387161,206,1658730
195,TEPRB,CT,2015,215318.0,Connecticut,36.32904924,33,1340702
253,TEPRB,DE,2015,3517.0,Delaware,13.9053954,68,1452666
282,TEPRB,FL,2015,531646.0,Florida,237.3833592,45,3527420
311,TEPRB,GA,2015,623396.0,Georgia,145.6756383,247,6155856
340,TEPRB,HI,2015,24957.0,Hawaii,19.7810368,16,1033143
369,TEPRB,IA,2015,821698.0,Iowa,77.41573961,198,5552396
398,TEPRB,ID,2015,154866.0,Idaho,18.03591394,108,1895904
427,TEPRB,IL,2015,2682250.0,Illinois,219.157681,57,2533998
456,TEPRB,IN,2015,1038766.0,Indiana,187.2335142,68,2525723
485,TEPRB,KS,2015,850580.0,Kansas,64.51256023,120,2548830
514,TEPRB,KY,2015,1685780.0,Kentucky,131.3429697,129,315635700
543,TEPRB,LA,2015,2619950.0,Louisiana,185.5592561,61,2312261
572,TEPRB,MA,2015,115022.0,Massachusetts,66.74652168,34,4240538
601,TEPRB,MD,2015,246381.0,Maryland,62.28032684,100,1890491
630,TEPRB,ME,2015,161418.0,Maine,16.67908857,74,2818563
659,TEPRB,MI,2015,681571.0,Michigan,164.4556231,76,3049845
688,TEPRB,MN,2015,471848.0,Minnesota,89.33099915,119,3292766
717,TEPRB,MO,2015,218848.0,Missouri,124.7473311,619,7036095
746,TEPRB,MS,2015,420420.0,Mississippi,61.29692129,403,3710526
775,TEPRB,MT,2015,1090432.0,Montana,32.53164542,94,896759
804,TEPRB,NC,2015,610256.0,North Carolina,124.7782841,232,202376181
833,TEPRB,ND,2015,3669109.0,North Dakota,57.9230603,16,420940
862,TEPRB,NE,2015,441057.0,Nebraska,50.71057586,247,3396859
891,TEPRB,NH,2015,160528.0,New Hampshire,15.27856723,46,1371086
920,TEPRB,NJ,2015,393056.0,New Jersey,103.6600002,47,1130951
949,TEPRB,NM,2015,2679324.0,New Mexico,50.69183199,50,1126396
978,TEPRB,NV,2015,76979.0,Nevada,38.5171354,16,790588
1007,TEPRB,NY,2015,895110.0,New York,174.3599244,104,5040800
1036,TEPRB,OH,2015,2088513.0,Ohio,211.1966253,175,2513363
1065,TEPRB,OK,2015,4034174.0,Oklahoma,100.2883311,64,1677872
1094,TEPRB,OR,2015,439830.0,Oregon,37.89416845,169,6478283
1123,TEPRB,PA,2015,7480950.0,Pennsylvania,232.9252268,102,4218295
1152,TEPRB,RI,2015,4886.0,Rhode Island,10.80452453,11,671306
1181,TEPRB,SC,2015,684526.0,South Carolina,73.39880613,60,3065630
1210,TEPRB,SD,2015,235620.0,South Dakota,14.13943764,63,3577721
1239,TEPRB,TN,2015,472899.0,Tennessee,98.70392565,104,3275928
1268,TEPRB,TX,2015,1.8071163E7,Texas,655.1432269,110,2671308
1326,TEPRB,UT,2015,1022734.0,Utah,63.61302159,80,1243588
1355,TEPRB,VA,2015,931160.0,Virginia,107.6199041,31,2446464
1384,TEPRB,VT,2015,38784.0,Vermont,6.126831312,33,47317173
1413,TEPRB,WA,2015,957675.0,Washington,75.13711456,109,1978193
1442,TEPRB,WI,2015,328547.0,Wisconsin,99.85701526,107,3755629
1471,TEPRB,WV,2015,4113828.0,West Virginia,91.96307825,69,491426
1500,TEPRB,WY,2015,9080777.0,Wyoming,64.09286316,18,249960
1540,TEPRB,AK,2016,1435363.0,Alaska,33.40561066,14,2247734
1569,TEPRB,AL,2016,1118407.0,Alabama,113.9837834,129,1206793
1598,TEPRB,AR,2016,1127828.0,Arkansas,62.12624984,703,4637664
1627,TEPRB,AZ,2016,593930.0,Arizona,90.85562563,54,2053339
1656,TEPRB,CA,2016,2426284.0,California,353.3561319,848,59755992
1685,TEPRB,CO,2016,3065494.0,Colorado,88.42427593,258,1800615
1714,TEPRB,CT,2016,207612.0,Connecticut,34.09544003,28,962061
1772,TEPRB,DE,2016,3105.0,Delaware,14.41948129,38,502817
1801,TEPRB,FL,2016,542192.0,Florida,238.8326956,72,4068360
1830,TEPRB,GA,2016,642967.0,Georgia,144.537737,222,20155611
1859,TEPRB,HI,2016,27593.0,Hawaii,19.81846857,18,429104
1888,TEPRB,IA,2016,851005.0,Iowa,73.98337008,149,4220545
1917,TEPRB,ID,2016,157946.0,Idaho,18.3418212,127,1317624
1946,TEPRB,IL,2016,2435349.0,Illinois,207.4305588,36,1325335
1975,TEPRB,IN,2016,928789.0,Indiana,181.8275677,45,11391681
2004,TEPRB,KS,2016,791424.0,Kansas,62.60936987,130,1440764
2033,TEPRB,KY,2016,1235531.0,Kentucky,126.8081795,76,2257870
2062,TEPRB,LA,2016,2595078.0,Louisiana,189.1398596,98,1499474
2091,TEPRB,MA,2016,122244.0,Massachusetts,64.08973529,35,841616
2120,TEPRB,MD,2016,240509.0,Maryland,60.46760995,65,1349074
2149,TEPRB,ME,2016,141943.0,Maine,16.15310799,41,795948
2178,TEPRB,MI,2016,687389.0,Michigan,154.5188531,61,1293489
2207,TEPRB,MN,2016,496273.0,Minnesota,91.10054342,92,16796366
2236,TEPRB,MO,2016,210336.0,Missouri,119.0157079,520,10631411
2265,TEPRB,MS,2016,339228.0,Mississippi,62.31469737,608,96309030
2294,TEPRB,MT,2016,885637.0,Montana,31.13795175,90,2257495
2323,TEPRB,NC,2016,647020.0,North Carolina,124.895788,156,190472938
2352,TEPRB,ND,2016,3491242.0,North Dakota,54.93206111,24,502584
2381,TEPRB,NE,2016,441834.0,Nebraska,48.35090988,199,4011050
2410,TEPRB,NH,2016,168841.0,New Hampshire,13.81151032,40,3111505
2439,TEPRB,NJ,2016,359115.0,New Jersey,105.6200444,34,597439
2468,TEPRB,NM,2016,2563009.0,New Mexico,48.84541366,28,2015514
2497,TEPRB,NV,2016,90175.0,Nevada,39.97099675,16,54082
2526,TEPRB,NY,2016,863014.0,New York,170.1509065,73,2403723
2555,TEPRB,OH,2016,2422499.0,Ohio,205.3227286,132,775584
2584,TEPRB,OK,2016,4007728.0,Oklahoma,96.1010241,58,1341097
2613,TEPRB,OR,2016,468959.0,Oregon,37.66506368,162,104123811
2642,TEPRB,PA,2016,7794315.0,Pennsylvania,217.9773815,74,2394977
2671,TEPRB,RI,2016,4700.0,Rhode Island,9.588941638,10,489512
2700,TEPRB,SC,2016,714927.0,South Carolina,72.25720541,77,22430291
2729,TEPRB,SD,2016,245846.0,South Dakota,14.80376576,32,76031784
2758,TEPRB,TN,2016,485787.0,Tennessee,101.3548028,60,1102457
2787,TEPRB,TX,2016,1.7008753E7,Texas,656.7493464,176,83607077
2845,TEPRB,UT,2016,923606.0,Utah,58.82516698,114,612804
2874,TEPRB,VA,2016,913066.0,Virginia,110.0640459,49,853133
2903,TEPRB,VT,2016,35637.0,Vermont,5.913477445,37,873689
2932,TEPRB,WA,2016,1031454.0,Washington,79.4036955,127,2515938
2961,TEPRB,WI,2016,330423.0,Wisconsin,95.6153185,80,7777098
2990,TEPRB,WV,2016,3791823.0,West Virginia,94.48890006,54,614068
3019,TEPRB,WY,2016,7518440.0,Wyoming,61.25999315,23,1359346
3059,TEPRB,AK,2017,1454196.0,Alaska,33.72913017,18,13509662
3088,TEPRB,AL,2017,1230179.0,Alabama,108.5943783,104,2414699
3117,TEPRB,AR,2017,989005.0,Arkansas,64.17625679,469,2069460
3146,TEPRB,AZ,2017,621896.0,Arizona,90.47614096,46,1714281
3175,TEPRB,CA,2017,2542051.0,California,356.5165476,786,30392556
3204,TEPRB,CO,2017,3246984.0,Colorado,88.77624019,181,1385451
3233,TEPRB,CT,2017,205458.0,Connecticut,33.8574222,40,788599
3291,TEPRB,DE,2017,3269.0,Delaware,13.76698515,65,1636426
3320,TEPRB,FL,2017,553568.0,Florida,238.4284129,56,1239122
3349,TEPRB,GA,2017,627576.0,Georgia,141.8352401,185,2884817
3378,TEPRB,HI,2017,26964.0,Hawaii,20.43258289,14,1467132
3407,TEPRB,IA,2017,891620.0,Iowa,76.30357904,179,6233820
3436,TEPRB,ID,2017,177723.0,Idaho,18.70279024,88,988061
3465,TEPRB,IL,2017,2524593.0,Illinois,205.9749865,32,1262924
3494,TEPRB,IN,2017,990185.0,Indiana,175.8904931,46,4052088
3523,TEPRB,KS,2017,822127.0,Kansas,59.03202784,110,1454281
3552,TEPRB,KY,2017,1220228.0,Kentucky,116.7819997,99,1948714
3581,TEPRB,LA,2017,2864519.0,Louisiana,193.3738211,71,1216601
3610,TEPRB,MA,2017,121256.0,Massachusetts,64.71316897,44,5852232
3639,TEPRB,MD,2017,256180.0,Maryland,55.040273,48,6343700
3668,TEPRB,ME,2017,148038.0,Maine,15.37643854,42,2223059
3697,TEPRB,MI,2017,698809.0,Michigan,155.6806782,37,1287282
3726,TEPRB,MN,2017,508930.0,Minnesota,91.27720044,74,2726558
3755,TEPRB,MO,2017,209676.0,Missouri,124.5052275,316,4957942
3784,TEPRB,MS,2017,321569.0,Mississippi,60.46289527,379,2686540
3813,TEPRB,MT,2017,930429.0,Montana,31.25081171,93,1091494
3842,TEPRB,NC,2017,658771.0,North Carolina,121.1493749,149,235434075
3871,TEPRB,ND,2017,3698893.0,North Dakota,56.92163503,19,477713
3900,TEPRB,NE,2017,440731.0,Nebraska,47.87762064,263,3743400
3929,TEPRB,NH,2017,164364.0,New Hampshire,13.51181074,39,1307930
3958,TEPRB,NJ,2017,401550.0,New Jersey,99.35210038,48,881961
3987,TEPRB,NM,2017,2818402.0,New Mexico,49.62030346,47,5893114
4016,TEPRB,NV,2017,99768.0,Nevada,40.20696595,33,311016629
