,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1803,WDEXB,FL,2016,9939.0,Florida,238.8326956,72,4068360
1832,WDEXB,GA,2016,15655.0,Georgia,144.537737,222,20155611
2064,WDEXB,LA,2016,6011.0,Louisiana,189.1398596,98,1499474
2267,WDEXB,MS,2016,9243.0,Mississippi,62.31469737,608,96309030
2325,WDEXB,NC,2016,17887.0,North Carolina,124.895788,156,190472938
2702,WDEXB,SC,2016,6011.0,South Carolina,72.25720541,77,22430291
2876,WDEXB,VA,2016,7829.0,Virginia,110.0640459,49,853133
3090,WDEXB,AL,2017,1137.0,Alabama,108.5943783,104,2414699
3119,WDEXB,AR,2017,5455.0,Arkansas,64.17625679,469,2069460
3322,WDEXB,FL,2017,9840.0,Florida,238.4284129,56,1239122
3351,WDEXB,GA,2017,17323.0,Georgia,141.8352401,185,2884817
3583,WDEXB,LA,2017,5951.0,Louisiana,193.3738211,71,1216601
3786,WDEXB,MS,2017,7511.0,Mississippi,60.46289527,379,2686540
3844,WDEXB,NC,2017,17708.0,North Carolina,121.1493749,149,235434075
4221,WDEXB,SC,2017,5951.0,South Carolina,69.96242998,84,68063288
4395,WDEXB,VA,2017,7750.0,Virginia,105.5838769,35,5764689
4609,WDEXB,AL,2018,4462.0,Alabama,112.3554714,75,1844186
4638,WDEXB,AR,2018,8489.0,Arkansas,70.78614615,414,79970512
4841,WDEXB,FL,2018,11096.0,Florida,242.0091133,62,49550089
4870,WDEXB,GA,2018,19163.0,Georgia,141.9209237,192,7882488
5102,WDEXB,LA,2018,6711.0,Louisiana,194.74322,86,764829
5305,WDEXB,MS,2018,8301.0,Mississippi,63.23252555,469,3767073
5363,WDEXB,NC,2018,19969.0,North Carolina,124.2127343,132,141776088
5740,WDEXB,SC,2018,6992.0,South Carolina,74.14674879,123,64580916
5798,WDEXB,TN,2018,134.0,Tennessee,93.83598219,31,4038180
5914,WDEXB,VA,2018,8740.0,Virginia,110.0554883,37,2735678
6128,WDEXB,AL,2019,5308.0,Alabama,106.2507516,54,840218
6157,WDEXB,AR,2019,8833.0,Arkansas,65.07220242,302,60034678
6360,WDEXB,FL,2019,11065.0,Florida,233.5527795,53,52936642
6389,WDEXB,GA,2019,19523.0,Georgia,136.4670209,191,2374660
6621,WDEXB,LA,2019,6692.0,Louisiana,194.892652,67,250695185
6824,WDEXB,MS,2019,8278.0,Mississippi,62.54458802,269,2609443
6882,WDEXB,NC,2019,19912.0,North Carolina,122.6043034,115,126884709
7259,WDEXB,SC,2019,8179.0,South Carolina,69.44598066,49,53928982
7317,WDEXB,TN,2019,1606.0,Tennessee,92.23669942,45,6964195
7346,WDEXB,TX,2019,5532.0,Texas,683.2325698,122,9605822
7433,WDEXB,VA,2019,8715.0,Virginia,106.76702,34,4195235
