,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
24,WDPRB,AK,2015,6865.0,Alaska,35.0278036,16,3345612
53,WDPRB,AL,2015,163313.0,Alabama,119.2008893,164,1864412
82,WDPRB,AR,2015,75417.0,Arkansas,59.05336455,477,13453887
111,WDPRB,AZ,2015,8001.0,Arizona,94.97878443,65,1724853
140,WDPRB,CA,2015,98852.0,California,351.408516,1023,30077512
169,WDPRB,CO,2015,13804.0,Colorado,91.30387161,206,1658730
198,WDPRB,CT,2015,15661.0,Connecticut,36.32904924,33,1340702
256,WDPRB,DE,2015,1044.0,Delaware,13.9053954,68,1452666
285,WDPRB,FL,2015,111608.0,Florida,237.3833592,45,3527420
314,WDPRB,GA,2015,195948.0,Georgia,145.6756383,247,6155856
343,WDPRB,HI,2015,38.0,Hawaii,19.7810368,16,1033143
372,WDPRB,IA,2015,6967.0,Iowa,77.41573961,198,5552396
401,WDPRB,ID,2015,32130.0,Idaho,18.03591394,108,1895904
430,WDPRB,IL,2015,8185.0,Illinois,219.157681,57,2533998
459,WDPRB,IN,2015,18061.0,Indiana,187.2335142,68,2525723
488,WDPRB,KS,2015,4487.0,Kansas,64.51256023,120,2548830
517,WDPRB,KY,2015,30971.0,Kentucky,131.3429697,129,315635700
546,WDPRB,LA,2015,106587.0,Louisiana,185.5592561,61,2312261
575,WDPRB,MA,2015,20876.0,Massachusetts,66.74652168,34,4240538
604,WDPRB,MD,2015,14425.0,Maryland,62.28032684,100,1890491
633,WDPRB,ME,2015,113815.0,Maine,16.67908857,74,2818563
662,WDPRB,MI,2015,98215.0,Michigan,164.4556231,76,3049845
691,WDPRB,MN,2015,65241.0,Minnesota,89.33099915,119,3292766
720,WDPRB,MO,2015,22108.0,Missouri,124.7473311,619,7036095
749,WDPRB,MS,2015,51479.0,Mississippi,61.29692129,403,3710526
778,WDPRB,MT,2015,13759.0,Montana,32.53164542,94,896759
807,WDPRB,NC,2015,101592.0,North Carolina,124.7782841,232,202376181
836,WDPRB,ND,2015,865.0,North Dakota,57.9230603,16,420940
865,WDPRB,NE,2015,2958.0,Nebraska,50.71057586,247,3396859
894,WDPRB,NH,2015,40598.0,New Hampshire,15.27856723,46,1371086
923,WDPRB,NJ,2015,6465.0,New Jersey,103.6600002,47,1130951
952,WDPRB,NM,2015,10131.0,New Mexico,50.69183199,50,1126396
981,WDPRB,NV,2015,2346.0,Nevada,38.5171354,16,790588
1010,WDPRB,NY,2015,67532.0,New York,174.3599244,104,5040800
1039,WDPRB,OH,2015,45462.0,Ohio,211.1966253,175,2513363
1068,WDPRB,OK,2015,22227.0,Oklahoma,100.2883311,64,1677872
1097,WDPRB,OR,2015,67931.0,Oregon,37.89416845,169,6478283
1126,WDPRB,PA,2015,81888.0,Pennsylvania,232.9252268,102,4218295
1155,WDPRB,RI,2015,2146.0,Rhode Island,10.80452453,11,671306
1184,WDPRB,SC,2015,98906.0,South Carolina,73.39880613,60,3065630
1213,WDPRB,SD,2015,2545.0,South Dakota,14.13943764,63,3577721
1242,WDPRB,TN,2015,61479.0,Tennessee,98.70392565,104,3275928
1271,WDPRB,TX,2015,54367.0,Texas,655.1432269,110,2671308
1329,WDPRB,UT,2015,3765.0,Utah,63.61302159,80,1243588
1358,WDPRB,VA,2015,97882.0,Virginia,107.6199041,31,2446464
1387,WDPRB,VT,2015,23753.0,Vermont,6.126831312,33,47317173
1416,WDPRB,WA,2015,104876.0,Washington,75.13711456,109,1978193
1445,WDPRB,WI,2015,97353.0,Wisconsin,99.85701526,107,3755629
