,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
25,WDTCB,AK,2015,6865.0,Alaska,35.0278036,16,3345612
54,WDTCB,AL,2015,163313.0,Alabama,119.2008893,164,1864412
83,WDTCB,AR,2015,75417.0,Arkansas,59.05336455,477,13453887
112,WDTCB,AZ,2015,8001.0,Arizona,94.97878443,65,1724853
141,WDTCB,CA,2015,98852.0,California,351.408516,1023,30077512
170,WDTCB,CO,2015,13804.0,Colorado,91.30387161,206,1658730
199,WDTCB,CT,2015,15661.0,Connecticut,36.32904924,33,1340702
257,WDTCB,DE,2015,1044.0,Delaware,13.9053954,68,1452666
286,WDTCB,FL,2015,111608.0,Florida,237.3833592,45,3527420
315,WDTCB,GA,2015,195948.0,Georgia,145.6756383,247,6155856
344,WDTCB,HI,2015,38.0,Hawaii,19.7810368,16,1033143
373,WDTCB,IA,2015,6967.0,Iowa,77.41573961,198,5552396
402,WDTCB,ID,2015,32130.0,Idaho,18.03591394,108,1895904
431,WDTCB,IL,2015,8185.0,Illinois,219.157681,57,2533998
460,WDTCB,IN,2015,18061.0,Indiana,187.2335142,68,2525723
489,WDTCB,KS,2015,4487.0,Kansas,64.51256023,120,2548830
518,WDTCB,KY,2015,30971.0,Kentucky,131.3429697,129,315635700
547,WDTCB,LA,2015,106587.0,Louisiana,185.5592561,61,2312261
576,WDTCB,MA,2015,20876.0,Massachusetts,66.74652168,34,4240538
605,WDTCB,MD,2015,14425.0,Maryland,62.28032684,100,1890491
634,WDTCB,ME,2015,113815.0,Maine,16.67908857,74,2818563
663,WDTCB,MI,2015,98215.0,Michigan,164.4556231,76,3049845
692,WDTCB,MN,2015,65241.0,Minnesota,89.33099915,119,3292766
721,WDTCB,MO,2015,22108.0,Missouri,124.7473311,619,7036095
750,WDTCB,MS,2015,51479.0,Mississippi,61.29692129,403,3710526
779,WDTCB,MT,2015,13759.0,Montana,32.53164542,94,896759
808,WDTCB,NC,2015,101592.0,North Carolina,124.7782841,232,202376181
837,WDTCB,ND,2015,865.0,North Dakota,57.9230603,16,420940
866,WDTCB,NE,2015,2958.0,Nebraska,50.71057586,247,3396859
895,WDTCB,NH,2015,40598.0,New Hampshire,15.27856723,46,1371086
924,WDTCB,NJ,2015,6465.0,New Jersey,103.6600002,47,1130951
953,WDTCB,NM,2015,10131.0,New Mexico,50.69183199,50,1126396
982,WDTCB,NV,2015,2346.0,Nevada,38.5171354,16,790588
1011,WDTCB,NY,2015,67532.0,New York,174.3599244,104,5040800
1040,WDTCB,OH,2015,45462.0,Ohio,211.1966253,175,2513363
1069,WDTCB,OK,2015,22227.0,Oklahoma,100.2883311,64,1677872
1098,WDTCB,OR,2015,67931.0,Oregon,37.89416845,169,6478283
1127,WDTCB,PA,2015,81888.0,Pennsylvania,232.9252268,102,4218295
1156,WDTCB,RI,2015,2146.0,Rhode Island,10.80452453,11,671306
1185,WDTCB,SC,2015,98906.0,South Carolina,73.39880613,60,3065630
1214,WDTCB,SD,2015,2545.0,South Dakota,14.13943764,63,3577721
1243,WDTCB,TN,2015,61479.0,Tennessee,98.70392565,104,3275928
1272,WDTCB,TX,2015,54367.0,Texas,655.1432269,110,2671308
1330,WDTCB,UT,2015,3765.0,Utah,63.61302159,80,1243588
1359,WDTCB,VA,2015,97882.0,Virginia,107.6199041,31,2446464
1388,WDTCB,VT,2015,23753.0,Vermont,6.126831312,33,47317173
1417,WDTCB,WA,2015,104876.0,Washington,75.13711456,109,1978193
1446,WDTCB,WI,2015,97353.0,Wisconsin,99.85701526,107,3755629
1475,WDTCB,WV,2015,11941.0,West Virginia,91.96307825,69,491426
1504,WDTCB,WY,2015,4904.0,Wyoming,64.09286316,18,249960
1544,WDTCB,AK,2016,7636.0,Alaska,33.40561066,14,2247734
1573,WDTCB,AL,2016,162166.0,Alabama,113.9837834,129,1206793
1602,WDTCB,AR,2016,70786.0,Arkansas,62.12624984,703,4637664
1631,WDTCB,AZ,2016,7481.0,Arizona,90.85562563,54,2053339
1660,WDTCB,CA,2016,89236.0,California,353.3561319,848,59755992
1689,WDTCB,CO,2016,14233.0,Colorado,88.42427593,258,1800615
1718,WDTCB,CT,2016,14933.0,Connecticut,34.09544003,28,962061
1776,WDTCB,DE,2016,825.0,Delaware,14.41948129,38,502817
1805,WDTCB,FL,2016,98926.0,Florida,238.8326956,72,4068360
1834,WDTCB,GA,2016,196951.0,Georgia,144.537737,222,20155611
1863,WDTCB,HI,2016,35.0,Hawaii,19.81846857,18,429104
1892,WDTCB,IA,2016,6107.0,Iowa,73.98337008,149,4220545
1921,WDTCB,ID,2016,31050.0,Idaho,18.3418212,127,1317624
1950,WDTCB,IL,2016,7597.0,Illinois,207.4305588,36,1325335
1979,WDTCB,IN,2016,17951.0,Indiana,181.8275677,45,11391681
2008,WDTCB,KS,2016,3973.0,Kansas,62.60936987,130,1440764
2037,WDTCB,KY,2016,30577.0,Kentucky,126.8081795,76,2257870
2066,WDTCB,LA,2016,122484.0,Louisiana,189.1398596,98,1499474
2095,WDTCB,MA,2016,18928.0,Massachusetts,64.08973529,35,841616
2124,WDTCB,MD,2016,14188.0,Maryland,60.46760995,65,1349074
2153,WDTCB,ME,2016,94739.0,Maine,16.15310799,41,795948
2182,WDTCB,MI,2016,90056.0,Michigan,154.5188531,61,1293489
2211,WDTCB,MN,2016,63244.0,Minnesota,91.10054342,92,16796366
2240,WDTCB,MO,2016,20211.0,Missouri,119.0157079,520,10631411
2269,WDTCB,MS,2016,51042.0,Mississippi,62.31469737,608,96309030
2298,WDTCB,MT,2016,14414.0,Montana,31.13795175,90,2257495
2327,WDTCB,NC,2016,96534.0,North Carolina,124.895788,156,190472938
2356,WDTCB,ND,2016,1021.0,North Dakota,54.93206111,24,502584
2385,WDTCB,NE,2016,2843.0,Nebraska,48.35090988,199,4011050
2414,WDTCB,NH,2016,36335.0,New Hampshire,13.81151032,40,3111505
2443,WDTCB,NJ,2016,5994.0,New Jersey,105.6200444,34,597439
2472,WDTCB,NM,2016,10673.0,New Mexico,48.84541366,28,2015514
2501,WDTCB,NV,2016,2291.0,Nevada,39.97099675,16,54082
2530,WDTCB,NY,2016,61123.0,New York,170.1509065,73,2403723
2559,WDTCB,OH,2016,41902.0,Ohio,205.3227286,132,775584
2588,WDTCB,OK,2016,22216.0,Oklahoma,96.1010241,58,1341097
2617,WDTCB,OR,2016,64827.0,Oregon,37.66506368,162,104123811
2646,WDTCB,PA,2016,76880.0,Pennsylvania,217.9773815,74,2394977
2675,WDTCB,RI,2016,1688.0,Rhode Island,9.588941638,10,489512
2704,WDTCB,SC,2016,98936.0,South Carolina,72.25720541,77,22430291
2733,WDTCB,SD,2016,2146.0,South Dakota,14.80376576,32,76031784
2762,WDTCB,TN,2016,58624.0,Tennessee,101.3548028,60,1102457
2791,WDTCB,TX,2016,53208.0,Texas,656.7493464,176,83607077
2849,WDTCB,UT,2016,3981.0,Utah,58.82516698,114,612804
2878,WDTCB,VA,2016,92635.0,Virginia,110.0640459,49,853133
2907,WDTCB,VT,2016,21418.0,Vermont,5.913477445,37,873689
