,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
0,BDFDB,AK,2015,21.0,Alaska,35.0278036,16,3345612
1,BDPRP,AK,2015,4.0,Alaska,35.0278036,16,3345612
2,BFFDB,AK,2015,21.0,Alaska,35.0278036,16,3345612
3,BFPRP,AK,2015,4.0,Alaska,35.0278036,16,3345612
4,CLPRB,AK,2015,17747.0,Alaska,35.0278036,16,3345612
5,CLPRK,AK,2015,15.073,Alaska,35.0278036,16,3345612
6,CLPRP,AK,2015,1177.0,Alaska,35.0278036,16,3345612
7,COPRK,AK,2015,5.717,Alaska,35.0278036,16,3345612
10,GETCB,AK,2015,186.0,Alaska,35.0278036,16,3345612
11,HYTCB,AK,2015,14621.0,Alaska,35.0278036,16,3345612
12,NCPRB,AK,2015,16298.0,Alaska,35.0278036,16,3345612
13,NGMPB,AK,2015,380887.0,Alaska,35.0278036,16,3345612
14,NGMPK,AK,2015,1.108,Alaska,35.0278036,16,3345612
15,NGMPP,AK,2015,343625.0,Alaska,35.0278036,16,3345612
17,PAPRB,AK,2015,1007501.0,Alaska,35.0278036,16,3345612
18,PAPRP,AK,2015,176229.0,Alaska,35.0278036,16,3345612
19,REPRB,AK,2015,23807.0,Alaska,35.0278036,16,3345612
20,SOTCB,AK,2015,3.0,Alaska,35.0278036,16,3345612
21,TEPRB,AK,2015,1429942.0,Alaska,35.0278036,16,3345612
22,TETCB,AK,2015,614242.0,Alaska,35.0278036,16,3345612
24,WDPRB,AK,2015,6865.0,Alaska,35.0278036,16,3345612
25,WDTCB,AK,2015,6865.0,Alaska,35.0278036,16,3345612
26,WSTCB,AK,2015,622.0,Alaska,35.0278036,16,3345612
27,WWPRB,AK,2015,7488.0,Alaska,35.0278036,16,3345612
28,WYTCB,AK,2015,1488.0,Alaska,35.0278036,16,3345612
29,BDFDB,AL,2015,1933.0,Alabama,119.2008893,164,1864412
30,BDPRP,AL,2015,356.0,Alabama,119.2008893,164,1864412
31,BFFDB,AL,2015,1933.0,Alabama,119.2008893,164,1864412
32,BFPRP,AL,2015,356.0,Alabama,119.2008893,164,1864412
33,CLPRB,AL,2015,331420.0,Alabama,119.2008893,164,1864412
34,CLPRK,AL,2015,25.122,Alabama,119.2008893,164,1864412
35,CLPRP,AL,2015,13193.0,Alabama,119.2008893,164,1864412
36,COPRK,AL,2015,5.717,Alabama,119.2008893,164,1864412
39,GETCB,AL,2015,141.0,Alabama,119.2008893,164,1864412
40,HYTCB,AL,2015,91902.0,Alabama,119.2008893,164,1864412
41,NCPRB,AL,2015,92144.0,Alabama,119.2008893,164,1864412
42,NGMPB,AL,2015,182481.0,Alabama,119.2008893,164,1864412
43,NGMPK,AL,2015,1.085,Alabama,119.2008893,164,1864412
44,NGMPP,AL,2015,168246.0,Alabama,119.2008893,164,1864412
45,NUETB,AL,2015,438728.0,Alabama,119.2008893,164,1864412
46,PAPRB,AL,2015,55421.0,Alabama,119.2008893,164,1864412
47,PAPRP,AL,2015,9694.0,Alabama,119.2008893,164,1864412
48,REPRB,AL,2015,258955.0,Alabama,119.2008893,164,1864412
49,SOTCB,AL,2015,101.0,Alabama,119.2008893,164,1864412
50,TEPRB,AL,2015,1267004.0,Alabama,119.2008893,164,1864412
51,TETCB,AL,2015,1917138.0,Alabama,119.2008893,164,1864412
53,WDPRB,AL,2015,163313.0,Alabama,119.2008893,164,1864412
54,WDTCB,AL,2015,163313.0,Alabama,119.2008893,164,1864412
55,WSTCB,AL,2015,1565.0,Alabama,119.2008893,164,1864412
56,WWPRB,AL,2015,164877.0,Alabama,119.2008893,164,1864412
58,BDFDB,AR,2015,4429.0,Arkansas,59.05336455,477,13453887
59,BDPRP,AR,2015,815.0,Arkansas,59.05336455,477,13453887
60,BFFDB,AR,2015,4429.0,Arkansas,59.05336455,477,13453887
61,BFPRP,AR,2015,815.0,Arkansas,59.05336455,477,13453887
62,CLPRB,AR,2015,1819.0,Arkansas,59.05336455,477,13453887
63,CLPRK,AR,2015,19.893,Arkansas,59.05336455,477,13453887
64,CLPRP,AR,2015,91.0,Arkansas,59.05336455,477,13453887
65,COPRK,AR,2015,5.717,Arkansas,59.05336455,477,13453887
68,GETCB,AR,2015,808.0,Arkansas,59.05336455,477,13453887
69,HYTCB,AR,2015,33261.0,Arkansas,59.05336455,477,13453887
70,NCPRB,AR,2015,34194.0,Arkansas,59.05336455,477,13453887
71,NGMPB,AR,2015,1031466.0,Arkansas,59.05336455,477,13453887
72,NGMPK,AR,2015,1.021,Arkansas,59.05336455,477,13453887
73,NGMPP,AR,2015,1010382.0,Arkansas,59.05336455,477,13453887
74,NUETB,AR,2015,144716.0,Arkansas,59.05336455,477,13453887
75,PAPRB,AR,2015,35611.0,Arkansas,59.05336455,477,13453887
76,PAPRP,AR,2015,6229.0,Arkansas,59.05336455,477,13453887
77,REPRB,AR,2015,117840.0,Arkansas,59.05336455,477,13453887
78,SOTCB,AR,2015,124.0,Arkansas,59.05336455,477,13453887
79,TEPRB,AR,2015,1331452.0,Arkansas,59.05336455,477,13453887
80,TETCB,AR,2015,1062359.0,Arkansas,59.05336455,477,13453887
82,WDPRB,AR,2015,75417.0,Arkansas,59.05336455,477,13453887
83,WDTCB,AR,2015,75417.0,Arkansas,59.05336455,477,13453887
84,WSTCB,AR,2015,3799.0,Arkansas,59.05336455,477,13453887
85,WWPRB,AR,2015,79217.0,Arkansas,59.05336455,477,13453887
87,BDFDB,AZ,2015,12.0,Arizona,94.97878443,65,1724853
88,BDPRP,AZ,2015,2.0,Arizona,94.97878443,65,1724853
89,BFFDB,AZ,2015,6602.0,Arizona,94.97878443,65,1724853
90,BFPRP,AZ,2015,1157.0,Arizona,94.97878443,65,1724853
91,CLPRB,AZ,2015,146450.0,Arizona,94.97878443,65,1724853
92,CLPRK,AZ,2015,21.522,Arizona,94.97878443,65,1724853
93,CLPRP,AZ,2015,6805.0,Arizona,94.97878443,65,1724853
94,COPRK,AZ,2015,5.717,Arizona,94.97878443,65,1724853
95,EMFDB,AZ,2015,6590.0,Arizona,94.97878443,65,1724853
96,ENPRP,AZ,2015,1154.0,Arizona,94.97878443,65,1724853
97,GETCB,AZ,2015,345.0,Arizona,94.97878443,65,1724853
98,HYTCB,AZ,2015,60906.0,Arizona,94.97878443,65,1724853
99,NCPRB,AZ,2015,113693.0,Arizona,94.97878443,65,1724853
