,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
117,BDPRP,CA,2015,747.0,California,351.408516,1023,30077512
120,CLPRB,CA,2015,0.0,California,351.408516,1023,30077512
125,ENPRP,CA,2015,4650.0,California,351.408516,1023,30077512
126,GETCB,CA,2015,112878.0,California,351.408516,1023,30077512
127,HYTCB,CA,2015,128681.0,California,351.408516,1023,30077512
128,NCPRB,CA,2015,567365.0,California,351.408516,1023,30077512
129,NGMPB,CA,2015,271086.0,California,351.408516,1023,30077512
132,NUETB,CA,2015,193529.0,California,351.408516,1023,30077512
133,PAPRB,CA,2015,1150741.0,California,351.408516,1023,30077512
135,REPRB,CA,2015,737527.0,California,351.408516,1023,30077512
136,SOTCB,CA,2015,211839.0,California,351.408516,1023,30077512
137,TEPRB,CA,2015,2352883.0,California,351.408516,1023,30077512
138,TETCB,CA,2015,7525491.0,California,351.408516,1023,30077512
139,WDEXB,CA,2015,0.0,California,351.408516,1023,30077512
140,WDPRB,CA,2015,98852.0,California,351.408516,1023,30077512
141,WDTCB,CA,2015,98852.0,California,351.408516,1023,30077512
142,WSTCB,CA,2015,40708.0,California,351.408516,1023,30077512
143,WWPRB,CA,2015,139561.0,California,351.408516,1023,30077512
144,WYTCB,CA,2015,113967.0,California,351.408516,1023,30077512
1636,BDPRP,CA,2016,1081.0,California,353.3561319,848,59755992
1639,CLPRB,CA,2016,0.0,California,353.3561319,848,59755992
1644,ENPRP,CA,2016,4717.0,California,353.3561319,848,59755992
1645,GETCB,CA,2016,107912.0,California,353.3561319,848,59755992
1646,HYTCB,CA,2016,267194.0,California,353.3561319,848,59755992
1647,NCPRB,CA,2016,767360.0,California,353.3561319,848,59755992
1648,NGMPB,CA,2016,234094.0,California,353.3561319,848,59755992
1651,NUETB,CA,2016,197754.0,California,353.3561319,848,59755992
1652,PAPRB,CA,2016,1064744.0,California,353.3561319,848,59755992
1654,REPRB,CA,2016,929692.0,California,353.3561319,848,59755992
1655,SOTCB,CA,2016,267538.0,California,353.3561319,848,59755992
1656,TEPRB,CA,2016,2426284.0,California,353.3561319,848,59755992
1657,TETCB,CA,2016,7647955.0,California,353.3561319,848,59755992
1658,WDEXB,CA,2016,0.0,California,353.3561319,848,59755992
1659,WDPRB,CA,2016,89236.0,California,353.3561319,848,59755992
1660,WDTCB,CA,2016,89236.0,California,353.3561319,848,59755992
1661,WSTCB,CA,2016,40332.0,California,353.3561319,848,59755992
1662,WWPRB,CA,2016,129568.0,California,353.3561319,848,59755992
1663,WYTCB,CA,2016,124715.0,California,353.3561319,848,59755992
3155,BDPRP,CA,2017,1001.0,California,356.5165476,786,30392556
3158,CLPRB,CA,2017,0.0,California,356.5165476,786,30392556
3163,ENPRP,CA,2017,5051.0,California,356.5165476,786,30392556
3164,GETCB,CA,2017,108637.0,California,356.5165476,786,30392556
3165,HYTCB,CA,2017,390292.0,California,356.5165476,786,30392556
3166,NCPRB,CA,2017,957430.0,California,356.5165476,786,30392556
3167,NGMPB,CA,2017,240221.0,California,356.5165476,786,30392556
3170,NUETB,CA,2017,187227.0,California,356.5165476,786,30392556
3171,PAPRB,CA,2017,992385.0,California,356.5165476,786,30392556
3173,REPRB,CA,2017,1122218.0,California,356.5165476,786,30392556
3174,SOTCB,CA,2017,340363.0,California,356.5165476,786,30392556
3175,TEPRB,CA,2017,2542051.0,California,356.5165476,786,30392556
3176,TETCB,CA,2017,7766193.0,California,356.5165476,786,30392556
3177,WDEXB,CA,2017,0.0,California,356.5165476,786,30392556
3178,WDPRB,CA,2017,87833.0,California,356.5165476,786,30392556
