,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
175,BDPRP,CT,2015,132.0,Connecticut,36.32904924,33,1340702
178,CLPRB,CT,2015,0.0,Connecticut,36.32904924,33,1340702
183,ENPRP,CT,2015,0.0,Connecticut,36.32904924,33,1340702
184,GETCB,CT,2015,21.0,Connecticut,36.32904924,33,1340702
185,HYTCB,CT,2015,2819.0,Connecticut,36.32904924,33,1340702
186,NCPRB,CT,2015,5792.0,Connecticut,36.32904924,33,1340702
187,NGMPB,CT,2015,0.0,Connecticut,36.32904924,33,1340702
190,NUETB,CT,2015,182083.0,Connecticut,36.32904924,33,1340702
191,PAPRB,CT,2015,0.0,Connecticut,36.32904924,33,1340702
193,REPRB,CT,2015,33234.0,Connecticut,36.32904924,33,1340702
194,SOTCB,CT,2015,2952.0,Connecticut,36.32904924,33,1340702
195,TEPRB,CT,2015,215318.0,Connecticut,36.32904924,33,1340702
196,TETCB,CT,2015,756746.0,Connecticut,36.32904924,33,1340702
197,WDEXB,CT,2015,0.0,Connecticut,36.32904924,33,1340702
198,WDPRB,CT,2015,15661.0,Connecticut,36.32904924,33,1340702
199,WDTCB,CT,2015,15661.0,Connecticut,36.32904924,33,1340702
200,WSTCB,CT,2015,11067.0,Connecticut,36.32904924,33,1340702
201,WWPRB,CT,2015,26728.0,Connecticut,36.32904924,33,1340702
202,WYTCB,CT,2015,0.0,Connecticut,36.32904924,33,1340702
1694,BDPRP,CT,2016,275.0,Connecticut,34.09544003,28,962061
1697,CLPRB,CT,2016,0.0,Connecticut,34.09544003,28,962061
1702,ENPRP,CT,2016,0.0,Connecticut,34.09544003,28,962061
1703,GETCB,CT,2016,21.0,Connecticut,34.09544003,28,962061
1704,HYTCB,CT,2016,2069.0,Connecticut,34.09544003,28,962061
1705,NCPRB,CT,2016,6336.0,Connecticut,34.09544003,28,962061
1706,NGMPB,CT,2016,0.0,Connecticut,34.09544003,28,962061
1709,NUETB,CT,2016,173363.0,Connecticut,34.09544003,28,962061
1710,PAPRB,CT,2016,0.0,Connecticut,34.09544003,28,962061
1712,REPRB,CT,2016,34249.0,Connecticut,34.09544003,28,962061
1713,SOTCB,CT,2016,4128.0,Connecticut,34.09544003,28,962061
1714,TEPRB,CT,2016,207612.0,Connecticut,34.09544003,28,962061
1715,TETCB,CT,2016,724686.0,Connecticut,34.09544003,28,962061
1716,WDEXB,CT,2016,0.0,Connecticut,34.09544003,28,962061
1717,WDPRB,CT,2016,14933.0,Connecticut,34.09544003,28,962061
1718,WDTCB,CT,2016,14933.0,Connecticut,34.09544003,28,962061
1719,WSTCB,CT,2016,11485.0,Connecticut,34.09544003,28,962061
1720,WWPRB,CT,2016,26418.0,Connecticut,34.09544003,28,962061
1721,WYTCB,CT,2016,118.0,Connecticut,34.09544003,28,962061
3213,BDPRP,CT,2017,254.0,Connecticut,33.8574222,40,788599
3216,CLPRB,CT,2017,0.0,Connecticut,33.8574222,40,788599
