,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
262,BDPRP,FL,2015,119.0,Florida,237.3833592,45,3527420
265,CLPRB,FL,2015,0.0,Florida,237.3833592,45,3527420
270,ENPRP,FL,2015,0.0,Florida,237.3833592,45,3527420
271,GETCB,FL,2015,10056.0,Florida,237.3833592,45,3527420
272,HYTCB,FL,2015,2277.0,Florida,237.3833592,45,3527420
273,NCPRB,FL,2015,42466.0,Florida,237.3833592,45,3527420
274,NGMPB,FL,2015,1162.0,Florida,237.3833592,45,3527420
277,NUETB,FL,2015,294099.0,Florida,237.3833592,45,3527420
278,PAPRB,FL,2015,12623.0,Florida,237.3833592,45,3527420
280,REPRB,FL,2015,223761.0,Florida,237.3833592,45,3527420
281,SOTCB,FL,2015,30133.0,Florida,237.3833592,45,3527420
282,TEPRB,FL,2015,531646.0,Florida,237.3833592,45,3527420
283,TETCB,FL,2015,4324701.0,Florida,237.3833592,45,3527420
284,WDEXB,FL,2015,0.0,Florida,237.3833592,45,3527420
285,WDPRB,FL,2015,111608.0,Florida,237.3833592,45,3527420
286,WDTCB,FL,2015,111608.0,Florida,237.3833592,45,3527420
287,WSTCB,FL,2015,69043.0,Florida,237.3833592,45,3527420
288,WWPRB,FL,2015,180650.0,Florida,237.3833592,45,3527420
289,WYTCB,FL,2015,0.0,Florida,237.3833592,45,3527420
1781,BDPRP,FL,2016,103.0,Florida,238.8326956,72,4068360
1784,CLPRB,FL,2016,0.0,Florida,238.8326956,72,4068360
1789,ENPRP,FL,2016,0.0,Florida,238.8326956,72,4068360
1790,GETCB,FL,2016,10056.0,Florida,238.8326956,72,4068360
1791,HYTCB,FL,2016,1611.0,Florida,238.8326956,72,4068360
1792,NCPRB,FL,2016,42513.0,Florida,238.8326956,72,4068360
1793,NGMPB,FL,2016,1062.0,Florida,238.8326956,72,4068360
1796,NUETB,FL,2016,306658.0,Florida,238.8326956,72,4068360
1797,PAPRB,FL,2016,11066.0,Florida,238.8326956,72,4068360
1799,REPRB,FL,2016,223405.0,Florida,238.8326956,72,4068360
1800,SOTCB,FL,2016,30846.0,Florida,238.8326956,72,4068360
1801,TEPRB,FL,2016,542192.0,Florida,238.8326956,72,4068360
1802,TETCB,FL,2016,4362567.0,Florida,238.8326956,72,4068360
1803,WDEXB,FL,2016,9939.0,Florida,238.8326956,72,4068360
1804,WDPRB,FL,2016,108866.0,Florida,238.8326956,72,4068360
1805,WDTCB,FL,2016,98926.0,Florida,238.8326956,72,4068360
1806,WSTCB,FL,2016,71468.0,Florida,238.8326956,72,4068360
1807,WWPRB,FL,2016,180333.0,Florida,238.8326956,72,4068360
1808,WYTCB,FL,2016,0.0,Florida,238.8326956,72,4068360
3300,BDPRP,FL,2017,157.0,Florida,238.4284129,56,1239122
3303,CLPRB,FL,2017,0.0,Florida,238.4284129,56,1239122
3308,ENPRP,FL,2017,0.0,Florida,238.4284129,56,1239122
3309,GETCB,FL,2017,10056.0,Florida,238.4284129,56,1239122
3310,HYTCB,FL,2017,2011.0,Florida,238.4284129,56,1239122
3311,NCPRB,FL,2017,50264.0,Florida,238.4284129,56,1239122
3312,NGMPB,FL,2017,1048.0,Florida,238.4284129,56,1239122
3315,NUETB,FL,2017,304840.0,Florida,238.4284129,56,1239122
3316,PAPRB,FL,2017,11005.0,Florida,238.4284129,56,1239122
3318,REPRB,FL,2017,236674.0,Florida,238.4284129,56,1239122
3319,SOTCB,FL,2017,38197.0,Florida,238.4284129,56,1239122
3320,TEPRB,FL,2017,553568.0,Florida,238.4284129,56,1239122
3321,TETCB,FL,2017,4345055.0,Florida,238.4284129,56,1239122
3322,WDEXB,FL,2017,9840.0,Florida,238.4284129,56,1239122
3323,WDPRB,FL,2017,109274.0,Florida,238.4284129,56,1239122
3324,WDTCB,FL,2017,99435.0,Florida,238.4284129,56,1239122
3325,WSTCB,FL,2017,76280.0,Florida,238.4284129,56,1239122
3326,WWPRB,FL,2017,185555.0,Florida,238.4284129,56,1239122
3327,WYTCB,FL,2017,0.0,Florida,238.4284129,56,1239122
4819,BDPRP,FL,2018,335.0,Florida,242.0091133,62,49550089
4822,CLPRB,FL,2018,0.0,Florida,242.0091133,62,49550089
4827,ENPRP,FL,2018,0.0,Florida,242.0091133,62,49550089
4828,GETCB,FL,2018,10056.0,Florida,242.0091133,62,49550089
4829,HYTCB,FL,2018,2117.0,Florida,242.0091133,62,49550089
4830,NCPRB,FL,2018,65529.0,Florida,242.0091133,62,49550089
4831,NGMPB,FL,2018,1123.0,Florida,242.0091133,62,49550089
4834,NUETB,FL,2018,306461.0,Florida,242.0091133,62,49550089
4835,PAPRB,FL,2018,10493.0,Florida,242.0091133,62,49550089
4837,REPRB,FL,2018,247001.0,Florida,242.0091133,62,49550089
4838,SOTCB,FL,2018,53356.0,Florida,242.0091133,62,49550089
4839,TEPRB,FL,2018,565077.0,Florida,242.0091133,62,49550089
4840,TETCB,FL,2018,4441047.0,Florida,242.0091133,62,49550089
4841,WDEXB,FL,2018,11096.0,Florida,242.0091133,62,49550089
4842,WDPRB,FL,2018,110027.0,Florida,242.0091133,62,49550089
4843,WDTCB,FL,2018,98931.0,Florida,242.0091133,62,49550089
4844,WSTCB,FL,2018,69626.0,Florida,242.0091133,62,49550089
4845,WWPRB,FL,2018,179653.0,Florida,242.0091133,62,49550089
4846,WYTCB,FL,2018,0.0,Florida,242.0091133,62,49550089
6338,BDPRP,FL,2019,169.0,Florida,233.5527795,53,52936642
6341,CLPRB,FL,2019,0.0,Florida,233.5527795,53,52936642
6346,ENPRP,FL,2019,0.0,Florida,233.5527795,53,52936642
6347,GETCB,FL,2019,10056.0,Florida,233.5527795,53,52936642
6348,HYTCB,FL,2019,1869.0,Florida,233.5527795,53,52936642
6349,NCPRB,FL,2019,80308.0,Florida,233.5527795,53,52936642
6350,NGMPB,FL,2019,1295.0,Florida,233.5527795,53,52936642
6353,NUETB,FL,2019,303946.0,Florida,233.5527795,53,52936642
6354,PAPRB,FL,2019,11037.0,Florida,233.5527795,53,52936642
6356,REPRB,FL,2019,248107.0,Florida,233.5527795,53,52936642
6357,SOTCB,FL,2019,68383.0,Florida,233.5527795,53,52936642
6358,TEPRB,FL,2019,564385.0,Florida,233.5527795,53,52936642
6359,TETCB,FL,2019,4371666.0,Florida,233.5527795,53,52936642
6360,WDEXB,FL,2019,11065.0,Florida,233.5527795,53,52936642
6361,WDPRB,FL,2019,108140.0,Florida,233.5527795,53,52936642
6362,WDTCB,FL,2019,97075.0,Florida,233.5527795,53,52936642
6363,WSTCB,FL,2019,58739.0,Florida,233.5527795,53,52936642
6364,WWPRB,FL,2019,166879.0,Florida,233.5527795,53,52936642
6365,WYTCB,FL,2019,0.0,Florida,233.5527795,53,52936642
