,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
291,BDPRP,GA,2015,229.0,Georgia,145.6756383,247,6155856
294,CLPRB,GA,2015,0.0,Georgia,145.6756383,247,6155856
299,ENPRP,GA,2015,2334.0,Georgia,145.6756383,247,6155856
300,GETCB,GA,2015,315.0,Georgia,145.6756383,247,6155856
301,HYTCB,GA,2015,27804.0,Georgia,145.6756383,247,6155856
302,NCPRB,GA,2015,30579.0,Georgia,145.6756383,247,6155856
303,NGMPB,GA,2015,0.0,Georgia,145.6756383,247,6155856
306,NUETB,GA,2015,353883.0,Georgia,145.6756383,247,6155856
307,PAPRB,GA,2015,0.0,Georgia,145.6756383,247,6155856
309,REPRB,GA,2015,269514.0,Georgia,145.6756383,247,6155856
310,SOTCB,GA,2015,2461.0,Georgia,145.6756383,247,6155856
311,TEPRB,GA,2015,623396.0,Georgia,145.6756383,247,6155856
312,TETCB,GA,2015,2978591.0,Georgia,145.6756383,247,6155856
313,WDEXB,GA,2015,0.0,Georgia,145.6756383,247,6155856
314,WDPRB,GA,2015,195948.0,Georgia,145.6756383,247,6155856
315,WDTCB,GA,2015,195948.0,Georgia,145.6756383,247,6155856
316,WSTCB,GA,2015,28423.0,Georgia,145.6756383,247,6155856
317,WWPRB,GA,2015,224371.0,Georgia,145.6756383,247,6155856
318,WYTCB,GA,2015,0.0,Georgia,145.6756383,247,6155856
1810,BDPRP,GA,2016,326.0,Georgia,144.537737,222,20155611
1813,CLPRB,GA,2016,0.0,Georgia,144.537737,222,20155611
1818,ENPRP,GA,2016,2700.0,Georgia,144.537737,222,20155611
1819,GETCB,GA,2016,315.0,Georgia,144.537737,222,20155611
1820,HYTCB,GA,2016,31137.0,Georgia,144.537737,222,20155611
1821,NCPRB,GA,2016,41707.0,Georgia,144.537737,222,20155611
1822,NGMPB,GA,2016,0.0,Georgia,144.537737,222,20155611
1825,NUETB,GA,2016,360633.0,Georgia,144.537737,222,20155611
1826,PAPRB,GA,2016,0.0,Georgia,144.537737,222,20155611
1828,REPRB,GA,2016,282334.0,Georgia,144.537737,222,20155611
1829,SOTCB,GA,2016,10256.0,Georgia,144.537737,222,20155611
1830,TEPRB,GA,2016,642967.0,Georgia,144.537737,222,20155611
1831,TETCB,GA,2016,2951822.0,Georgia,144.537737,222,20155611
1832,WDEXB,GA,2016,15655.0,Georgia,144.537737,222,20155611
1833,WDPRB,GA,2016,212606.0,Georgia,144.537737,222,20155611
1834,WDTCB,GA,2016,196951.0,Georgia,144.537737,222,20155611
1835,WSTCB,GA,2016,10855.0,Georgia,144.537737,222,20155611
1836,WWPRB,GA,2016,223461.0,Georgia,144.537737,222,20155611
1837,WYTCB,GA,2016,0.0,Georgia,144.537737,222,20155611
3329,BDPRP,GA,2017,320.0,Georgia,141.8352401,185,2884817
3332,CLPRB,GA,2017,0.0,Georgia,141.8352401,185,2884817
3337,ENPRP,GA,2017,2530.0,Georgia,141.8352401,185,2884817
3338,GETCB,GA,2017,315.0,Georgia,141.8352401,185,2884817
3339,HYTCB,GA,2017,22201.0,Georgia,141.8352401,185,2884817
3340,NCPRB,GA,2017,43232.0,Georgia,141.8352401,185,2884817
3341,NGMPB,GA,2017,0.0,Georgia,141.8352401,185,2884817
3344,NUETB,GA,2017,352560.0,Georgia,141.8352401,185,2884817
