,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
320,BDPRP,HI,2015,70.0,Hawaii,19.7810368,16,1033143
323,CLPRB,HI,2015,0.0,Hawaii,19.7810368,16,1033143
328,ENPRP,HI,2015,0.0,Hawaii,19.7810368,16,1033143
329,GETCB,HI,2015,2154.0,Hawaii,19.7810368,16,1033143
330,HYTCB,HI,2015,1129.0,Hawaii,19.7810368,16,1033143
331,NCPRB,HI,2015,17353.0,Hawaii,19.7810368,16,1033143
332,NGMPB,HI,2015,0.0,Hawaii,19.7810368,16,1033143
335,NUETB,HI,2015,0.0,Hawaii,19.7810368,16,1033143
336,PAPRB,HI,2015,0.0,Hawaii,19.7810368,16,1033143
338,REPRB,HI,2015,24957.0,Hawaii,19.7810368,16,1033143
339,SOTCB,HI,2015,8360.0,Hawaii,19.7810368,16,1033143
340,TEPRB,HI,2015,24957.0,Hawaii,19.7810368,16,1033143
341,TETCB,HI,2015,298992.0,Hawaii,19.7810368,16,1033143
342,WDEXB,HI,2015,0.0,Hawaii,19.7810368,16,1033143
343,WDPRB,HI,2015,38.0,Hawaii,19.7810368,16,1033143
344,WDTCB,HI,2015,38.0,Hawaii,19.7810368,16,1033143
345,WSTCB,HI,2015,7182.0,Hawaii,19.7810368,16,1033143
346,WWPRB,HI,2015,7220.0,Hawaii,19.7810368,16,1033143
347,WYTCB,HI,2015,5710.0,Hawaii,19.7810368,16,1033143
1839,BDPRP,HI,2016,83.0,Hawaii,19.81846857,18,429104
1842,CLPRB,HI,2016,0.0,Hawaii,19.81846857,18,429104
1847,ENPRP,HI,2016,0.0,Hawaii,19.81846857,18,429104
1848,GETCB,HI,2016,2409.0,Hawaii,19.81846857,18,429104
1849,HYTCB,HI,2016,839.0,Hawaii,19.81846857,18,429104
1850,NCPRB,HI,2016,18961.0,Hawaii,19.81846857,18,429104
1851,NGMPB,HI,2016,0.0,Hawaii,19.81846857,18,429104
1854,NUETB,HI,2016,0.0,Hawaii,19.81846857,18,429104
1855,PAPRB,HI,2016,0.0,Hawaii,19.81846857,18,429104
1857,REPRB,HI,2016,27593.0,Hawaii,19.81846857,18,429104
1858,SOTCB,HI,2016,9813.0,Hawaii,19.81846857,18,429104
1859,TEPRB,HI,2016,27593.0,Hawaii,19.81846857,18,429104
1860,TETCB,HI,2016,300390.0,Hawaii,19.81846857,18,429104
1861,WDEXB,HI,2016,0.0,Hawaii,19.81846857,18,429104
1862,WDPRB,HI,2016,35.0,Hawaii,19.81846857,18,429104
1863,WDTCB,HI,2016,35.0,Hawaii,19.81846857,18,429104
