,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
349,BDPRP,IA,2015,5762.0,Iowa,77.41573961,198,5552396
352,CLPRB,IA,2015,0.0,Iowa,77.41573961,198,5552396
357,ENPRP,IA,2015,94058.0,Iowa,77.41573961,198,5552396
358,GETCB,IA,2015,1281.0,Iowa,77.41573961,198,5552396
359,HYTCB,IA,2015,8948.0,Iowa,77.41573961,198,5552396
360,NCPRB,IA,2015,177203.0,Iowa,77.41573961,198,5552396
361,NGMPB,IA,2015,0.0,Iowa,77.41573961,198,5552396
364,NUETB,IA,2015,54836.0,Iowa,77.41573961,198,5552396
365,PAPRB,IA,2015,0.0,Iowa,77.41573961,198,5552396
367,REPRB,IA,2015,766862.0,Iowa,77.41573961,198,5552396
368,SOTCB,IA,2015,419.0,Iowa,77.41573961,198,5552396
369,TEPRB,IA,2015,821698.0,Iowa,77.41573961,198,5552396
370,TETCB,IA,2015,1507520.0,Iowa,77.41573961,198,5552396
371,WDEXB,IA,2015,0.0,Iowa,77.41573961,198,5552396
372,WDPRB,IA,2015,6967.0,Iowa,77.41573961,198,5552396
373,WDTCB,IA,2015,6967.0,Iowa,77.41573961,198,5552396
374,WSTCB,IA,2015,14458.0,Iowa,77.41573961,198,5552396
375,WWPRB,IA,2015,21425.0,Iowa,77.41573961,198,5552396
376,WYTCB,IA,2015,166555.0,Iowa,77.41573961,198,5552396
1868,BDPRP,IA,2016,7071.0,Iowa,73.98337008,149,4220545
1871,CLPRB,IA,2016,0.0,Iowa,73.98337008,149,4220545
1876,ENPRP,IA,2016,95983.0,Iowa,73.98337008,149,4220545
1877,GETCB,IA,2016,1281.0,Iowa,73.98337008,149,4220545
1878,HYTCB,IA,2016,8464.0,Iowa,73.98337008,149,4220545
1879,NCPRB,IA,2016,195637.0,Iowa,73.98337008,149,4220545
1880,NGMPB,IA,2016,0.0,Iowa,73.98337008,149,4220545
1883,NUETB,IA,2016,49185.0,Iowa,73.98337008,149,4220545
1884,PAPRB,IA,2016,0.0,Iowa,73.98337008,149,4220545
1886,REPRB,IA,2016,801820.0,Iowa,73.98337008,149,4220545
1887,SOTCB,IA,2016,587.0,Iowa,73.98337008,149,4220545
1888,TEPRB,IA,2016,851005.0,Iowa,73.98337008,149,4220545
1889,TETCB,IA,2016,1534622.0,Iowa,73.98337008,149,4220545
1890,WDEXB,IA,2016,0.0,Iowa,73.98337008,149,4220545
1891,WDPRB,IA,2016,6107.0,Iowa,73.98337008,149,4220545
1892,WDTCB,IA,2016,6107.0,Iowa,73.98337008,149,4220545
1893,WSTCB,IA,2016,14417.0,Iowa,73.98337008,149,4220545
1894,WWPRB,IA,2016,20524.0,Iowa,73.98337008,149,4220545
1895,WYTCB,IA,2016,185305.0,Iowa,73.98337008,149,4220545
3387,BDPRP,IA,2017,6810.0,Iowa,76.30357904,179,6233820
3390,CLPRB,IA,2017,0.0,Iowa,76.30357904,179,6233820
3395,ENPRP,IA,2017,100558.0,Iowa,76.30357904,179,6233820
3396,GETCB,IA,2017,1281.0,Iowa,76.30357904,179,6233820
3397,HYTCB,IA,2017,9526.0,Iowa,76.30357904,179,6233820
3398,NCPRB,IA,2017,208620.0,Iowa,76.30357904,179,6233820
3399,NGMPB,IA,2017,0.0,Iowa,76.30357904,179,6233820
3402,NUETB,IA,2017,54528.0,Iowa,76.30357904,179,6233820
3403,PAPRB,IA,2017,0.0,Iowa,76.30357904,179,6233820
3405,REPRB,IA,2017,837092.0,Iowa,76.30357904,179,6233820
3406,SOTCB,IA,2017,905.0,Iowa,76.30357904,179,6233820
3407,TEPRB,IA,2017,891620.0,Iowa,76.30357904,179,6233820
3408,TETCB,IA,2017,1572298.0,Iowa,76.30357904,179,6233820
3409,WDEXB,IA,2017,0.0,Iowa,76.30357904,179,6233820
3410,WDPRB,IA,2017,5936.0,Iowa,76.30357904,179,6233820
3411,WDTCB,IA,2017,5936.0,Iowa,76.30357904,179,6233820
3412,WSTCB,IA,2017,12140.0,Iowa,76.30357904,179,6233820
3413,WWPRB,IA,2017,18077.0,Iowa,76.30357904,179,6233820
3414,WYTCB,IA,2017,196907.0,Iowa,76.30357904,179,6233820
4906,BDPRP,IA,2018,8690.0,Iowa,82.42756253,239,8883799
4909,CLPRB,IA,2018,0.0,Iowa,82.42756253,239,8883799
4914,ENPRP,IA,2018,104035.0,Iowa,82.42756253,239,8883799
4915,GETCB,IA,2018,1281.0,Iowa,82.42756253,239,8883799
4916,HYTCB,IA,2018,8420.0,Iowa,82.42756253,239,8883799
4917,NCPRB,IA,2018,205217.0,Iowa,82.42756253,239,8883799
4918,NGMPB,IA,2018,0.0,Iowa,82.42756253,239,8883799
4921,NUETB,IA,2018,51181.0,Iowa,82.42756253,239,8883799
4922,PAPRB,IA,2018,0.0,Iowa,82.42756253,239,8883799
4924,REPRB,IA,2018,865784.0,Iowa,82.42756253,239,8883799
4925,SOTCB,IA,2018,1291.0,Iowa,82.42756253,239,8883799
4926,TEPRB,IA,2018,916965.0,Iowa,82.42756253,239,8883799
4927,TETCB,IA,2018,1633531.0,Iowa,82.42756253,239,8883799
4928,WDEXB,IA,2018,0.0,Iowa,82.42756253,239,8883799
4929,WDPRB,IA,2018,7254.0,Iowa,82.42756253,239,8883799
4930,WDTCB,IA,2018,7254.0,Iowa,82.42756253,239,8883799
4931,WSTCB,IA,2018,12166.0,Iowa,82.42756253,239,8883799
4932,WWPRB,IA,2018,19420.0,Iowa,82.42756253,239,8883799
4933,WYTCB,IA,2018,194225.0,Iowa,82.42756253,239,8883799
6425,BDPRP,IA,2019,8143.0,Iowa,77.29621466,120,3041432
6428,CLPRB,IA,2019,0.0,Iowa,77.29621466,120,3041432
6433,ENPRP,IA,2019,104135.0,Iowa,77.29621466,120,3041432
6434,GETCB,IA,2019,1281.0,Iowa,77.29621466,120,3041432
6435,HYTCB,IA,2019,7091.0,Iowa,77.29621466,120,3041432
6436,NCPRB,IA,2019,244222.0,Iowa,77.29621466,120,3041432
6437,NGMPB,IA,2019,0.0,Iowa,77.29621466,120,3041432
6440,NUETB,IA,2019,54671.0,Iowa,77.29621466,120,3041432
6441,PAPRB,IA,2019,0.0,Iowa,77.29621466,120,3041432
6443,REPRB,IA,2019,901961.0,Iowa,77.29621466,120,3041432
6444,SOTCB,IA,2019,1604.0,Iowa,77.29621466,120,3041432
6445,TEPRB,IA,2019,956633.0,Iowa,77.29621466,120,3041432
6446,TETCB,IA,2019,1645247.0,Iowa,77.29621466,120,3041432
6447,WDEXB,IA,2019,0.0,Iowa,77.29621466,120,3041432
6448,WDPRB,IA,2019,8298.0,Iowa,77.29621466,120,3041432
6449,WDTCB,IA,2019,8298.0,Iowa,77.29621466,120,3041432
6450,WSTCB,IA,2019,12031.0,Iowa,77.29621466,120,3041432
6451,WWPRB,IA,2019,20330.0,Iowa,77.29621466,120,3041432
6452,WYTCB,IA,2019,234246.0,Iowa,77.29621466,120,3041432
