,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
378,BDPRP,ID,2015,0.0,Idaho,18.03591394,108,1895904
381,CLPRB,ID,2015,0.0,Idaho,18.03591394,108,1895904
386,ENPRP,ID,2015,1554.0,Idaho,18.03591394,108,1895904
387,GETCB,ID,2015,2207.0,Idaho,18.03591394,108,1895904
388,HYTCB,ID,2015,81603.0,Idaho,18.03591394,108,1895904
389,NCPRB,ID,2015,105046.0,Idaho,18.03591394,108,1895904
390,NGMPB,ID,2015,1192.0,Idaho,18.03591394,108,1895904
393,NUETB,ID,2015,0.0,Idaho,18.03591394,108,1895904
394,PAPRB,ID,2015,172.0,Idaho,18.03591394,108,1895904
396,REPRB,ID,2015,153503.0,Idaho,18.03591394,108,1895904
397,SOTCB,ID,2015,81.0,Idaho,18.03591394,108,1895904
398,TEPRB,ID,2015,154866.0,Idaho,18.03591394,108,1895904
399,TETCB,ID,2015,540252.0,Idaho,18.03591394,108,1895904
400,WDEXB,ID,2015,0.0,Idaho,18.03591394,108,1895904
401,WDPRB,ID,2015,32130.0,Idaho,18.03591394,108,1895904
402,WDTCB,ID,2015,32130.0,Idaho,18.03591394,108,1895904
403,WSTCB,ID,2015,7455.0,Idaho,18.03591394,108,1895904
404,WWPRB,ID,2015,39585.0,Idaho,18.03591394,108,1895904
405,WYTCB,ID,2015,21156.0,Idaho,18.03591394,108,1895904
1897,BDPRP,ID,2016,0.0,Idaho,18.3418212,127,1317624
1900,CLPRB,ID,2016,0.0,Idaho,18.3418212,127,1317624
1905,ENPRP,ID,2016,1615.0,Idaho,18.3418212,127,1317624
1906,GETCB,ID,2016,2167.0,Idaho,18.3418212,127,1317624
1907,HYTCB,ID,2016,83395.0,Idaho,18.3418212,127,1317624
1908,NCPRB,ID,2016,109756.0,Idaho,18.3418212,127,1317624
1909,NGMPB,ID,2016,5208.0,Idaho,18.3418212,127,1317624
1912,NUETB,ID,2016,0.0,Idaho,18.3418212,127,1317624
1913,PAPRB,ID,2016,1230.0,Idaho,18.3418212,127,1317624
1915,REPRB,ID,2016,151509.0,Idaho,18.3418212,127,1317624
1916,SOTCB,ID,2016,390.0,Idaho,18.3418212,127,1317624
