,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
465,BDPRP,KS,2015,53.0,Kansas,64.51256023,120,2548830
468,CLPRB,KS,2015,4387.0,Kansas,64.51256023,120,2548830
473,ENPRP,KS,2015,11596.0,Kansas,64.51256023,120,2548830
474,GETCB,KS,2015,974.0,Kansas,64.51256023,120,2548830
475,HYTCB,KS,2015,177.0,Kansas,64.51256023,120,2548830
476,NCPRB,KS,2015,103733.0,Kansas,64.51256023,120,2548830
477,NGMPB,KS,2015,318548.0,Kansas,64.51256023,120,2548830
480,NUETB,KS,2015,90254.0,Kansas,64.51256023,120,2548830
481,PAPRB,KS,2015,260015.0,Kansas,64.51256023,120,2548830
483,REPRB,KS,2015,177374.0,Kansas,64.51256023,120,2548830
484,SOTCB,KS,2015,87.0,Kansas,64.51256023,120,2548830
485,TEPRB,KS,2015,850580.0,Kansas,64.51256023,120,2548830
486,TETCB,KS,2015,1101677.0,Kansas,64.51256023,120,2548830
487,WDEXB,KS,2015,0.0,Kansas,64.51256023,120,2548830
488,WDPRB,KS,2015,4487.0,Kansas,64.51256023,120,2548830
489,WDTCB,KS,2015,4487.0,Kansas,64.51256023,120,2548830
490,WSTCB,KS,2015,2671.0,Kansas,64.51256023,120,2548830
491,WWPRB,KS,2015,7158.0,Kansas,64.51256023,120,2548830
492,WYTCB,KS,2015,102495.0,Kansas,64.51256023,120,2548830
1984,BDPRP,KS,2016,31.0,Kansas,62.60936987,130,1440764
1987,CLPRB,KS,2016,617.0,Kansas,62.60936987,130,1440764
1992,ENPRP,KS,2016,11854.0,Kansas,62.60936987,130,1440764
1993,GETCB,KS,2016,974.0,Kansas,62.60936987,130,1440764
1994,HYTCB,KS,2016,282.0,Kansas,62.60936987,130,1440764
1995,NCPRB,KS,2016,131653.0,Kansas,62.60936987,130,1440764
1996,NGMPB,KS,2016,281646.0,Kansas,62.60936987,130,1440764
1999,NUETB,KS,2016,86245.0,Kansas,62.60936987,130,1440764
2000,PAPRB,KS,2016,217116.0,Kansas,62.60936987,130,1440764
