,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
523,BDPRP,LA,2015,0.0,Louisiana,185.5592561,61,2312261
526,CLPRB,LA,2015,46879.0,Louisiana,185.5592561,61,2312261
531,ENPRP,LA,2015,0.0,Louisiana,185.5592561,61,2312261
532,GETCB,LA,2015,1842.0,Louisiana,185.5592561,61,2312261
533,HYTCB,LA,2015,9310.0,Louisiana,185.5592561,61,2312261
534,NCPRB,LA,2015,12672.0,Louisiana,185.5592561,61,2312261
535,NGMPB,LA,2015,1916410.0,Louisiana,185.5592561,61,2312261
538,NUETB,LA,2015,160015.0,Louisiana,185.5592561,61,2312261
539,PAPRB,LA,2015,364396.0,Louisiana,185.5592561,61,2312261
541,REPRB,LA,2015,132249.0,Louisiana,185.5592561,61,2312261
542,SOTCB,LA,2015,1521.0,Louisiana,185.5592561,61,2312261
543,TEPRB,LA,2015,2619950.0,Louisiana,185.5592561,61,2312261
544,TETCB,LA,2015,3911919.0,Louisiana,185.5592561,61,2312261
545,WDEXB,LA,2015,0.0,Louisiana,185.5592561,61,2312261
546,WDPRB,LA,2015,106587.0,Louisiana,185.5592561,61,2312261
547,WDTCB,LA,2015,106587.0,Louisiana,185.5592561,61,2312261
548,WSTCB,LA,2015,12990.0,Louisiana,185.5592561,61,2312261
549,WWPRB,LA,2015,119577.0,Louisiana,185.5592561,61,2312261
550,WYTCB,LA,2015,0.0,Louisiana,185.5592561,61,2312261
2042,BDPRP,LA,2016,0.0,Louisiana,189.1398596,98,1499474
2045,CLPRB,LA,2016,38499.0,Louisiana,189.1398596,98,1499474
2050,ENPRP,LA,2016,0.0,Louisiana,189.1398596,98,1499474
2051,GETCB,LA,2016,1842.0,Louisiana,189.1398596,98,1499474
2052,HYTCB,LA,2016,10183.0,Louisiana,189.1398596,98,1499474
2053,NCPRB,LA,2016,13876.0,Louisiana,189.1398596,98,1499474
2054,NGMPB,LA,2016,1893803.0,Louisiana,189.1398596,98,1499474
2057,NUETB,LA,2016,179391.0,Louisiana,189.1398596,98,1499474
2058,PAPRB,LA,2016,328643.0,Louisiana,189.1398596,98,1499474
2060,REPRB,LA,2016,154742.0,Louisiana,189.1398596,98,1499474
2061,SOTCB,LA,2016,1851.0,Louisiana,189.1398596,98,1499474
2062,TEPRB,LA,2016,2595078.0,Louisiana,189.1398596,98,1499474
2063,TETCB,LA,2016,4030644.0,Louisiana,189.1398596,98,1499474
2064,WDEXB,LA,2016,6011.0,Louisiana,189.1398596,98,1499474
2065,WDPRB,LA,2016,128495.0,Louisiana,189.1398596,98,1499474
2066,WDTCB,LA,2016,122484.0,Louisiana,189.1398596,98,1499474
2067,WSTCB,LA,2016,12371.0,Louisiana,189.1398596,98,1499474
2068,WWPRB,LA,2016,140865.0,Louisiana,189.1398596,98,1499474
2069,WYTCB,LA,2016,0.0,Louisiana,189.1398596,98,1499474
3561,BDPRP,LA,2017,0.0,Louisiana,193.3738211,71,1216601
3564,CLPRB,LA,2017,27892.0,Louisiana,193.3738211,71,1216601
3569,ENPRP,LA,2017,0.0,Louisiana,193.3738211,71,1216601
3570,GETCB,LA,2017,1842.0,Louisiana,193.3738211,71,1216601
3571,HYTCB,LA,2017,8349.0,Louisiana,193.3738211,71,1216601
3572,NCPRB,LA,2017,12149.0,Louisiana,193.3738211,71,1216601
3573,NGMPB,LA,2017,2238355.0,Louisiana,193.3738211,71,1216601
3576,NUETB,LA,2017,161171.0,Louisiana,193.3738211,71,1216601
3577,PAPRB,LA,2017,295015.0,Louisiana,193.3738211,71,1216601
3579,REPRB,LA,2017,142086.0,Louisiana,193.3738211,71,1216601
3580,SOTCB,LA,2017,1958.0,Louisiana,193.3738211,71,1216601
3581,TEPRB,LA,2017,2864519.0,Louisiana,193.3738211,71,1216601
3582,TETCB,LA,2017,4208312.0,Louisiana,193.3738211,71,1216601
