,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
552,BDPRP,MA,2015,7.0,Massachusetts,66.74652168,34,4240538
555,CLPRB,MA,2015,0.0,Massachusetts,66.74652168,34,4240538
560,ENPRP,MA,2015,0.0,Massachusetts,66.74652168,34,4240538
561,GETCB,MA,2015,859.0,Massachusetts,66.74652168,34,4240538
562,HYTCB,MA,2015,7709.0,Massachusetts,66.74652168,34,4240538
563,NCPRB,MA,2015,23103.0,Massachusetts,66.74652168,34,4240538
564,NGMPB,MA,2015,0.0,Massachusetts,66.74652168,34,4240538
567,NUETB,MA,2015,52236.0,Massachusetts,66.74652168,34,4240538
568,PAPRB,MA,2015,0.0,Massachusetts,66.74652168,34,4240538
570,REPRB,MA,2015,62787.0,Massachusetts,66.74652168,34,4240538
571,SOTCB,MA,2015,12535.0,Massachusetts,66.74652168,34,4240538
572,TEPRB,MA,2015,115022.0,Massachusetts,66.74652168,34,4240538
573,TETCB,MA,2015,1468270.0,Massachusetts,66.74652168,34,4240538
574,WDEXB,MA,2015,0.0,Massachusetts,66.74652168,34,4240538
575,WDPRB,MA,2015,20876.0,Massachusetts,66.74652168,34,4240538
576,WDTCB,MA,2015,20876.0,Massachusetts,66.74652168,34,4240538
577,WSTCB,MA,2015,18772.0,Massachusetts,66.74652168,34,4240538
578,WWPRB,MA,2015,39648.0,Massachusetts,66.74652168,34,4240538
579,WYTCB,MA,2015,2000.0,Massachusetts,66.74652168,34,4240538
2071,BDPRP,MA,2016,10.0,Massachusetts,64.08973529,35,841616
2074,CLPRB,MA,2016,0.0,Massachusetts,64.08973529,35,841616
2079,ENPRP,MA,2016,0.0,Massachusetts,64.08973529,35,841616
2080,GETCB,MA,2016,859.0,Massachusetts,64.08973529,35,841616
2081,HYTCB,MA,2016,6578.0,Massachusetts,64.08973529,35,841616
2082,NCPRB,MA,2016,26927.0,Massachusetts,64.08973529,35,841616
2083,NGMPB,MA,2016,0.0,Massachusetts,64.08973529,35,841616
2086,NUETB,MA,2016,56628.0,Massachusetts,64.08973529,35,841616
2087,PAPRB,MA,2016,0.0,Massachusetts,64.08973529,35,841616
2089,REPRB,MA,2016,65616.0,Massachusetts,64.08973529,35,841616
2090,SOTCB,MA,2016,17495.0,Massachusetts,64.08973529,35,841616
2091,TEPRB,MA,2016,122244.0,Massachusetts,64.08973529,35,841616
2092,TETCB,MA,2016,1426034.0,Massachusetts,64.08973529,35,841616
2093,WDEXB,MA,2016,0.0,Massachusetts,64.08973529,35,841616
2094,WDPRB,MA,2016,18928.0,Massachusetts,64.08973529,35,841616
2095,WDTCB,MA,2016,18928.0,Massachusetts,64.08973529,35,841616
2096,WSTCB,MA,2016,19705.0,Massachusetts,64.08973529,35,841616
2097,WWPRB,MA,2016,38633.0,Massachusetts,64.08973529,35,841616
2098,WYTCB,MA,2016,1995.0,Massachusetts,64.08973529,35,841616
3590,BDPRP,MA,2017,20.0,Massachusetts,64.71316897,44,5852232
3593,CLPRB,MA,2017,0.0,Massachusetts,64.71316897,44,5852232
3598,ENPRP,MA,2017,0.0,Massachusetts,64.71316897,44,5852232
3599,GETCB,MA,2017,859.0,Massachusetts,64.71316897,44,5852232
3600,HYTCB,MA,2017,9558.0,Massachusetts,64.71316897,44,5852232
3601,NCPRB,MA,2017,34093.0,Massachusetts,64.71316897,44,5852232
3602,NGMPB,MA,2017,0.0,Massachusetts,64.71316897,44,5852232
3605,NUETB,MA,2017,52788.0,Massachusetts,64.71316897,44,5852232
3606,PAPRB,MA,2017,0.0,Massachusetts,64.71316897,44,5852232
3608,REPRB,MA,2017,68467.0,Massachusetts,64.71316897,44,5852232
