,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
610,BDPRP,ME,2015,8.0,Maine,16.67908857,74,2818563
613,CLPRB,ME,2015,0.0,Maine,16.67908857,74,2818563
618,ENPRP,ME,2015,0.0,Maine,16.67908857,74,2818563
619,GETCB,ME,2015,72.0,Maine,16.67908857,74,2818563
620,HYTCB,ME,2015,31317.0,Maine,16.67908857,74,2818563
621,NCPRB,ME,2015,43787.0,Maine,16.67908857,74,2818563
622,NGMPB,ME,2015,0.0,Maine,16.67908857,74,2818563
625,NUETB,ME,2015,0.0,Maine,16.67908857,74,2818563
626,PAPRB,ME,2015,0.0,Maine,16.67908857,74,2818563
628,REPRB,ME,2015,161418.0,Maine,16.67908857,74,2818563
629,SOTCB,ME,2015,323.0,Maine,16.67908857,74,2818563
630,TEPRB,ME,2015,161418.0,Maine,16.67908857,74,2818563
631,TETCB,ME,2015,424754.0,Maine,16.67908857,74,2818563
632,WDEXB,ME,2015,0.0,Maine,16.67908857,74,2818563
633,WDPRB,ME,2015,113815.0,Maine,16.67908857,74,2818563
634,WDTCB,ME,2015,113815.0,Maine,16.67908857,74,2818563
635,WSTCB,ME,2015,3773.0,Maine,16.67908857,74,2818563
636,WWPRB,ME,2015,117588.0,Maine,16.67908857,74,2818563
637,WYTCB,ME,2015,12075.0,Maine,16.67908857,74,2818563
2129,BDPRP,ME,2016,11.0,Maine,16.15310799,41,795948
2132,CLPRB,ME,2016,0.0,Maine,16.15310799,41,795948
2137,ENPRP,ME,2016,0.0,Maine,16.15310799,41,795948
2138,GETCB,ME,2016,72.0,Maine,16.15310799,41,795948
2139,HYTCB,ME,2016,27693.0,Maine,16.15310799,41,795948
2140,NCPRB,ME,2016,43575.0,Maine,16.15310799,41,795948
2141,NGMPB,ME,2016,0.0,Maine,16.15310799,41,795948
2144,NUETB,ME,2016,0.0,Maine,16.15310799,41,795948
2145,PAPRB,ME,2016,0.0,Maine,16.15310799,41,795948
2147,REPRB,ME,2016,141943.0,Maine,16.15310799,41,795948
2148,SOTCB,ME,2016,418.0,Maine,16.15310799,41,795948
2149,TEPRB,ME,2016,141943.0,Maine,16.15310799,41,795948
2150,TETCB,ME,2016,392025.0,Maine,16.15310799,41,795948
2151,WDEXB,ME,2016,0.0,Maine,16.15310799,41,795948
2152,WDPRB,ME,2016,94739.0,Maine,16.15310799,41,795948
2153,WDTCB,ME,2016,94739.0,Maine,16.15310799,41,795948
2154,WSTCB,ME,2016,3570.0,Maine,16.15310799,41,795948
2155,WWPRB,ME,2016,98309.0,Maine,16.15310799,41,795948
2156,WYTCB,ME,2016,15391.0,Maine,16.15310799,41,795948
3648,BDPRP,ME,2017,10.0,Maine,15.37643854,42,2223059
3651,CLPRB,ME,2017,0.0,Maine,15.37643854,42,2223059
3656,ENPRP,ME,2017,0.0,Maine,15.37643854,42,2223059
3657,GETCB,ME,2017,72.0,Maine,15.37643854,42,2223059
3658,HYTCB,ME,2017,31221.0,Maine,15.37643854,42,2223059
3659,NCPRB,ME,2017,53363.0,Maine,15.37643854,42,2223059
3660,NGMPB,ME,2017,0.0,Maine,15.37643854,42,2223059
3663,NUETB,ME,2017,0.0,Maine,15.37643854,42,2223059
3664,PAPRB,ME,2017,0.0,Maine,15.37643854,42,2223059
3666,REPRB,ME,2017,148038.0,Maine,15.37643854,42,2223059
3667,SOTCB,ME,2017,577.0,Maine,15.37643854,42,2223059
3668,TEPRB,ME,2017,148038.0,Maine,15.37643854,42,2223059
3669,TETCB,ME,2017,384730.0,Maine,15.37643854,42,2223059
3670,WDEXB,ME,2017,0.0,Maine,15.37643854,42,2223059
