,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
639,BDPRP,MI,2015,131.0,Michigan,164.4556231,76,3049845
642,CLPRB,MI,2015,0.0,Michigan,164.4556231,76,3049845
647,ENPRP,MI,2015,6713.0,Michigan,164.4556231,76,3049845
648,GETCB,MI,2015,5193.0,Michigan,164.4556231,76,3049845
649,HYTCB,MI,2015,13971.0,Michigan,164.4556231,76,3049845
650,NCPRB,MI,2015,64720.0,Michigan,164.4556231,76,3049845
651,NGMPB,MI,2015,114061.0,Michigan,164.4556231,76,3049845
654,NUETB,MI,2015,306773.0,Michigan,164.4556231,76,3049845
655,PAPRB,MI,2015,37504.0,Michigan,164.4556231,76,3049845
657,REPRB,MI,2015,223234.0,Michigan,164.4556231,76,3049845
658,SOTCB,MI,2015,853.0,Michigan,164.4556231,76,3049845
659,TEPRB,MI,2015,681571.0,Michigan,164.4556231,76,3049845
660,TETCB,MI,2015,2826679.0,Michigan,164.4556231,76,3049845
661,WDEXB,MI,2015,0.0,Michigan,164.4556231,76,3049845
662,WDPRB,MI,2015,98215.0,Michigan,164.4556231,76,3049845
663,WDTCB,MI,2015,98215.0,Michigan,164.4556231,76,3049845
664,WSTCB,MI,2015,21266.0,Michigan,164.4556231,76,3049845
665,WWPRB,MI,2015,119481.0,Michigan,164.4556231,76,3049845
666,WYTCB,MI,2015,44702.0,Michigan,164.4556231,76,3049845
2158,BDPRP,MI,2016,239.0,Michigan,154.5188531,61,1293489
2161,CLPRB,MI,2016,0.0,Michigan,154.5188531,61,1293489
2166,ENPRP,MI,2016,6824.0,Michigan,154.5188531,61,1293489
2167,GETCB,MI,2016,5193.0,Michigan,154.5188531,61,1293489
2168,HYTCB,MI,2016,14442.0,Michigan,154.5188531,61,1293489
2169,NCPRB,MI,2016,64076.0,Michigan,154.5188531,61,1293489
2170,NGMPB,MI,2016,108450.0,Michigan,154.5188531,61,1293489
2173,NUETB,MI,2016,329999.0,Michigan,154.5188531,61,1293489
2174,PAPRB,MI,2016,32266.0,Michigan,154.5188531,61,1293489
2176,REPRB,MI,2016,216674.0,Michigan,154.5188531,61,1293489
2177,SOTCB,MI,2016,1089.0,Michigan,154.5188531,61,1293489
2178,TEPRB,MI,2016,687389.0,Michigan,154.5188531,61,1293489
2179,TETCB,MI,2016,2806190.0,Michigan,154.5188531,61,1293489
2180,WDEXB,MI,2016,0.0,Michigan,154.5188531,61,1293489
2181,WDPRB,MI,2016,90056.0,Michigan,154.5188531,61,1293489
2182,WDTCB,MI,2016,90056.0,Michigan,154.5188531,61,1293489
2183,WSTCB,MI,2016,22336.0,Michigan,154.5188531,61,1293489
2184,WWPRB,MI,2016,112392.0,Michigan,154.5188531,61,1293489
2185,WYTCB,MI,2016,43351.0,Michigan,154.5188531,61,1293489
3677,BDPRP,MI,2017,234.0,Michigan,155.6806782,37,1287282
3680,CLPRB,MI,2017,0.0,Michigan,155.6806782,37,1287282
3685,ENPRP,MI,2017,8158.0,Michigan,155.6806782,37,1287282
3686,GETCB,MI,2017,5193.0,Michigan,155.6806782,37,1287282
3687,HYTCB,MI,2017,15468.0,Michigan,155.6806782,37,1287282
3688,NCPRB,MI,2017,70181.0,Michigan,155.6806782,37,1287282
3689,NGMPB,MI,2017,102619.0,Michigan,155.6806782,37,1287282
3692,NUETB,MI,2017,338675.0,Michigan,155.6806782,37,1287282
3693,PAPRB,MI,2017,31597.0,Michigan,155.6806782,37,1287282
3695,REPRB,MI,2017,225919.0,Michigan,155.6806782,37,1287282
3696,SOTCB,MI,2017,1692.0,Michigan,155.6806782,37,1287282
3697,TEPRB,MI,2017,698809.0,Michigan,155.6806782,37,1287282
3698,TETCB,MI,2017,2798055.0,Michigan,155.6806782,37,1287282
3699,WDEXB,MI,2017,0.0,Michigan,155.6806782,37,1287282
3700,WDPRB,MI,2017,85599.0,Michigan,155.6806782,37,1287282
3701,WDTCB,MI,2017,85599.0,Michigan,155.6806782,37,1287282
3702,WSTCB,MI,2017,22352.0,Michigan,155.6806782,37,1287282
3703,WWPRB,MI,2017,107951.0,Michigan,155.6806782,37,1287282
3704,WYTCB,MI,2017,47827.0,Michigan,155.6806782,37,1287282
5196,BDPRP,MI,2018,310.0,Michigan,163.7174435,56,936266
5199,CLPRB,MI,2018,0.0,Michigan,163.7174435,56,936266
5204,ENPRP,MI,2018,8595.0,Michigan,163.7174435,56,936266
5205,GETCB,MI,2018,5193.0,Michigan,163.7174435,56,936266
5206,HYTCB,MI,2018,14286.0,Michigan,163.7174435,56,936266
5207,NCPRB,MI,2018,71467.0,Michigan,163.7174435,56,936266
