,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
668,BDPRP,MN,2015,1429.0,Minnesota,89.33099915,119,3292766
671,CLPRB,MN,2015,0.0,Minnesota,89.33099915,119,3292766
676,ENPRP,MN,2015,27718.0,Minnesota,89.33099915,119,3292766
677,GETCB,MN,2015,1075.0,Minnesota,89.33099915,119,3292766
678,HYTCB,MN,2015,7912.0,Minnesota,89.33099915,119,3292766
679,NCPRB,MN,2015,100589.0,Minnesota,89.33099915,119,3292766
680,NGMPB,MN,2015,0.0,Minnesota,89.33099915,119,3292766
683,NUETB,MN,2015,125900.0,Minnesota,89.33099915,119,3292766
684,PAPRB,MN,2015,0.0,Minnesota,89.33099915,119,3292766
686,REPRB,MN,2015,345949.0,Minnesota,89.33099915,119,3292766
687,SOTCB,MN,2015,473.0,Minnesota,89.33099915,119,3292766
688,TEPRB,MN,2015,471848.0,Minnesota,89.33099915,119,3292766
689,TETCB,MN,2015,1813635.0,Minnesota,89.33099915,119,3292766
690,WDEXB,MN,2015,0.0,Minnesota,89.33099915,119,3292766
691,WDPRB,MN,2015,65241.0,Minnesota,89.33099915,119,3292766
692,WDTCB,MN,2015,65241.0,Minnesota,89.33099915,119,3292766
693,WSTCB,MN,2015,14129.0,Minnesota,89.33099915,119,3292766
694,WWPRB,MN,2015,79370.0,Minnesota,89.33099915,119,3292766
695,WYTCB,MN,2015,91129.0,Minnesota,89.33099915,119,3292766
2187,BDPRP,MN,2016,1762.0,Minnesota,91.10054342,92,16796366
2190,CLPRB,MN,2016,0.0,Minnesota,91.10054342,92,16796366
2195,ENPRP,MN,2016,27920.0,Minnesota,91.10054342,92,16796366
2196,GETCB,MN,2016,1075.0,Minnesota,91.10054342,92,16796366
2197,HYTCB,MN,2016,11157.0,Minnesota,91.10054342,92,16796366
2198,NCPRB,MN,2016,104583.0,Minnesota,91.10054342,92,16796366
2199,NGMPB,MN,2016,0.0,Minnesota,91.10054342,92,16796366
2202,NUETB,MN,2016,144970.0,Minnesota,91.10054342,92,16796366
2203,PAPRB,MN,2016,0.0,Minnesota,91.10054342,92,16796366
2205,REPRB,MN,2016,351303.0,Minnesota,91.10054342,92,16796366
2206,SOTCB,MN,2016,645.0,Minnesota,91.10054342,92,16796366
2207,TEPRB,MN,2016,496273.0,Minnesota,91.10054342,92,16796366
2208,TETCB,MN,2016,1838918.0,Minnesota,91.10054342,92,16796366
2209,WDEXB,MN,2016,0.0,Minnesota,91.10054342,92,16796366
2210,WDPRB,MN,2016,63244.0,Minnesota,91.10054342,92,16796366
2211,WDTCB,MN,2016,63244.0,Minnesota,91.10054342,92,16796366
2212,WSTCB,MN,2016,14720.0,Minnesota,91.10054342,92,16796366
2213,WWPRB,MN,2016,77964.0,Minnesota,91.10054342,92,16796366
2214,WYTCB,MN,2016,91706.0,Minnesota,91.10054342,92,16796366
3706,BDPRP,MN,2017,1654.0,Minnesota,91.27720044,74,2726558
3709,CLPRB,MN,2017,0.0,Minnesota,91.27720044,74,2726558
3714,ENPRP,MN,2017,28509.0,Minnesota,91.27720044,74,2726558
3715,GETCB,MN,2017,1075.0,Minnesota,91.27720044,74,2726558
