,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
726,BDPRP,MS,2015,349.0,Mississippi,61.29692129,403,3710526
729,CLPRB,MS,2015,34528.0,Mississippi,61.29692129,403,3710526
734,ENPRP,MS,2015,703.0,Mississippi,61.29692129,403,3710526
735,GETCB,MS,2015,958.0,Mississippi,61.29692129,403,3710526
736,HYTCB,MS,2015,0.0,Mississippi,61.29692129,403,3710526
737,NCPRB,MS,2015,988.0,Mississippi,61.29692129,403,3710526
738,NGMPB,MS,2015,60476.0,Mississippi,61.29692129,403,3710526
741,NUETB,MS,2015,122511.0,Mississippi,61.29692129,403,3710526
742,PAPRB,MS,2015,142485.0,Mississippi,61.29692129,403,3710526
744,REPRB,MS,2015,60419.0,Mississippi,61.29692129,403,3710526
745,SOTCB,MS,2015,29.0,Mississippi,61.29692129,403,3710526
746,TEPRB,MS,2015,420420.0,Mississippi,61.29692129,403,3710526
747,TETCB,MS,2015,1085042.0,Mississippi,61.29692129,403,3710526
748,WDEXB,MS,2015,0.0,Mississippi,61.29692129,403,3710526
749,WDPRB,MS,2015,51479.0,Mississippi,61.29692129,403,3710526
750,WDTCB,MS,2015,51479.0,Mississippi,61.29692129,403,3710526
751,WSTCB,MS,2015,2042.0,Mississippi,61.29692129,403,3710526
752,WWPRB,MS,2015,53521.0,Mississippi,61.29692129,403,3710526
753,WYTCB,MS,2015,0.0,Mississippi,61.29692129,403,3710526
2245,BDPRP,MS,2016,1474.0,Mississippi,62.31469737,608,96309030
2248,CLPRB,MS,2016,32349.0,Mississippi,62.31469737,608,96309030
2253,ENPRP,MS,2016,1181.0,Mississippi,62.31469737,608,96309030
2254,GETCB,MS,2016,958.0,Mississippi,62.31469737,608,96309030
2255,HYTCB,MS,2016,0.0,Mississippi,62.31469737,608,96309030
2256,NCPRB,MS,2016,1031.0,Mississippi,62.31469737,608,96309030
2257,NGMPB,MS,2016,50418.0,Mississippi,62.31469737,608,96309030
2260,NUETB,MS,2016,61680.0,Mississippi,62.31469737,608,96309030
2261,PAPRB,MS,2016,116649.0,Mississippi,62.31469737,608,96309030
2263,REPRB,MS,2016,78133.0,Mississippi,62.31469737,608,96309030
2264,SOTCB,MS,2016,73.0,Mississippi,62.31469737,608,96309030
2265,TEPRB,MS,2016,339228.0,Mississippi,62.31469737,608,96309030
2266,TETCB,MS,2016,1071689.0,Mississippi,62.31469737,608,96309030
2267,WDEXB,MS,2016,9243.0,Mississippi,62.31469737,608,96309030
2268,WDPRB,MS,2016,60285.0,Mississippi,62.31469737,608,96309030
2269,WDTCB,MS,2016,51042.0,Mississippi,62.31469737,608,96309030
2270,WSTCB,MS,2016,2081.0,Mississippi,62.31469737,608,96309030
2271,WWPRB,MS,2016,62366.0,Mississippi,62.31469737,608,96309030
2272,WYTCB,MS,2016,0.0,Mississippi,62.31469737,608,96309030
3764,BDPRP,MS,2017,1239.0,Mississippi,60.46289527,379,2686540
3767,CLPRB,MS,2017,32019.0,Mississippi,60.46289527,379,2686540
3772,ENPRP,MS,2017,1199.0,Mississippi,60.46289527,379,2686540
3773,GETCB,MS,2017,958.0,Mississippi,60.46289527,379,2686540
3774,HYTCB,MS,2017,0.0,Mississippi,60.46289527,379,2686540
3775,NCPRB,MS,2017,1861.0,Mississippi,60.46289527,379,2686540
3776,NGMPB,MS,2017,39719.0,Mississippi,60.46289527,379,2686540
3779,NUETB,MS,2017,77027.0,Mississippi,60.46289527,379,2686540
3780,PAPRB,MS,2017,101772.0,Mississippi,60.46289527,379,2686540
3782,REPRB,MS,2017,71032.0,Mississippi,60.46289527,379,2686540
3783,SOTCB,MS,2017,903.0,Mississippi,60.46289527,379,2686540
3784,TEPRB,MS,2017,321569.0,Mississippi,60.46289527,379,2686540
3785,TETCB,MS,2017,1068298.0,Mississippi,60.46289527,379,2686540
3786,WDEXB,MS,2017,7511.0,Mississippi,60.46289527,379,2686540
3787,WDPRB,MS,2017,53355.0,Mississippi,60.46289527,379,2686540
3788,WDTCB,MS,2017,45845.0,Mississippi,60.46289527,379,2686540
3789,WSTCB,MS,2017,2243.0,Mississippi,60.46289527,379,2686540
3790,WWPRB,MS,2017,55599.0,Mississippi,60.46289527,379,2686540
3791,WYTCB,MS,2017,0.0,Mississippi,60.46289527,379,2686540
5283,BDPRP,MS,2018,1548.0,Mississippi,63.23252555,469,3767073
5286,CLPRB,MS,2018,31979.0,Mississippi,63.23252555,469,3767073
5291,ENPRP,MS,2018,1191.0,Mississippi,63.23252555,469,3767073
5292,GETCB,MS,2018,958.0,Mississippi,63.23252555,469,3767073
5293,HYTCB,MS,2018,0.0,Mississippi,63.23252555,469,3767073
5294,NCPRB,MS,2018,4039.0,Mississippi,63.23252555,469,3767073
5295,NGMPB,MS,2018,36499.0,Mississippi,63.23252555,469,3767073
5298,NUETB,MS,2018,72343.0,Mississippi,63.23252555,469,3767073
5299,PAPRB,MS,2018,96734.0,Mississippi,63.23252555,469,3767073
5301,REPRB,MS,2018,76639.0,Mississippi,63.23252555,469,3767073
5302,SOTCB,MS,2018,3080.0,Mississippi,63.23252555,469,3767073
5303,TEPRB,MS,2018,314194.0,Mississippi,63.23252555,469,3767073
5304,TETCB,MS,2018,1105822.0,Mississippi,63.23252555,469,3767073
5305,WDEXB,MS,2018,8301.0,Mississippi,63.23252555,469,3767073
5306,WDPRB,MS,2018,55962.0,Mississippi,63.23252555,469,3767073
5307,WDTCB,MS,2018,47660.0,Mississippi,63.23252555,469,3767073
5308,WSTCB,MS,2018,1432.0,Mississippi,63.23252555,469,3767073
5309,WWPRB,MS,2018,57394.0,Mississippi,63.23252555,469,3767073
5310,WYTCB,MS,2018,0.0,Mississippi,63.23252555,469,3767073
6802,BDPRP,MS,2019,1070.0,Mississippi,62.54458802,269,2609443
6805,CLPRB,MS,2019,28423.0,Mississippi,62.54458802,269,2609443
6810,ENPRP,MS,2019,0.0,Mississippi,62.54458802,269,2609443
6811,GETCB,MS,2019,958.0,Mississippi,62.54458802,269,2609443
6812,HYTCB,MS,2019,0.0,Mississippi,62.54458802,269,2609443
6813,NCPRB,MS,2019,3966.0,Mississippi,62.54458802,269,2609443
6814,NGMPB,MS,2019,34280.0,Mississippi,62.54458802,269,2609443
6817,NUETB,MS,2019,115202.0,Mississippi,62.54458802,269,2609443
6818,PAPRB,MS,2019,96171.0,Mississippi,62.54458802,269,2609443
6820,REPRB,MS,2019,66401.0,Mississippi,62.54458802,269,2609443
6821,SOTCB,MS,2019,3007.0,Mississippi,62.54458802,269,2609443
6822,TEPRB,MS,2019,340476.0,Mississippi,62.54458802,269,2609443
6823,TETCB,MS,2019,1093230.0,Mississippi,62.54458802,269,2609443
6824,WDEXB,MS,2019,8278.0,Mississippi,62.54458802,269,2609443
6825,WDPRB,MS,2019,55062.0,Mississippi,62.54458802,269,2609443
6826,WDTCB,MS,2019,46784.0,Mississippi,62.54458802,269,2609443
6827,WSTCB,MS,2019,1563.0,Mississippi,62.54458802,269,2609443
6828,WWPRB,MS,2019,56625.0,Mississippi,62.54458802,269,2609443
