,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
842,BDPRP,NE,2015,23.0,Nebraska,50.71057586,247,3396859
845,CLPRB,NE,2015,0.0,Nebraska,50.71057586,247,3396859
850,ENPRP,NE,2015,46646.0,Nebraska,50.71057586,247,3396859
851,GETCB,NE,2015,1212.0,Nebraska,50.71057586,247,3396859
852,HYTCB,NE,2015,15702.0,Nebraska,50.71057586,247,3396859
853,NCPRB,NE,2015,46594.0,Nebraska,50.71057586,247,3396859
854,NGMPB,NE,2015,504.0,Nebraska,50.71057586,247,3396859
857,NUETB,NE,2015,107976.0,Nebraska,50.71057586,247,3396859
858,PAPRB,NE,2015,15419.0,Nebraska,50.71057586,247,3396859
860,REPRB,NE,2015,317158.0,Nebraska,50.71057586,247,3396859
861,SOTCB,NE,2015,41.0,Nebraska,50.71057586,247,3396859
862,TEPRB,NE,2015,441057.0,Nebraska,50.71057586,247,3396859
863,TETCB,NE,2015,857967.0,Nebraska,50.71057586,247,3396859
864,WDEXB,NE,2015,0.0,Nebraska,50.71057586,247,3396859
865,WDPRB,NE,2015,2958.0,Nebraska,50.71057586,247,3396859
866,WDTCB,NE,2015,2958.0,Nebraska,50.71057586,247,3396859
867,WSTCB,NE,2015,1203.0,Nebraska,50.71057586,247,3396859
868,WWPRB,NE,2015,4161.0,Nebraska,50.71057586,247,3396859
869,WYTCB,NE,2015,29639.0,Nebraska,50.71057586,247,3396859
2361,BDPRP,NE,2016,638.0,Nebraska,48.35090988,199,4011050
2364,CLPRB,NE,2016,0.0,Nebraska,48.35090988,199,4011050
2369,ENPRP,NE,2016,48878.0,Nebraska,48.35090988,199,4011050
2370,GETCB,NE,2016,1212.0,Nebraska,48.35090988,199,4011050
2371,HYTCB,NE,2016,7906.0,Nebraska,48.35090988,199,4011050
2372,NCPRB,NE,2016,44275.0,Nebraska,48.35090988,199,4011050
2373,NGMPB,NE,2016,557.0,Nebraska,48.35090988,199,4011050
2376,NUETB,NE,2016,97798.0,Nebraska,48.35090988,199,4011050
2377,PAPRB,NE,2016,12560.0,Nebraska,48.35090988,199,4011050
2379,REPRB,NE,2016,330919.0,Nebraska,48.35090988,199,4011050
2380,SOTCB,NE,2016,90.0,Nebraska,48.35090988,199,4011050
2381,TEPRB,NE,2016,441834.0,Nebraska,48.35090988,199,4011050
2382,TETCB,NE,2016,870370.0,Nebraska,48.35090988,199,4011050
2383,WDEXB,NE,2016,0.0,Nebraska,48.35090988,199,4011050
2384,WDPRB,NE,2016,2843.0,Nebraska,48.35090988,199,4011050
2385,WDTCB,NE,2016,2843.0,Nebraska,48.35090988,199,4011050
2386,WSTCB,NE,2016,1663.0,Nebraska,48.35090988,199,4011050
2387,WWPRB,NE,2016,4506.0,Nebraska,48.35090988,199,4011050
2388,WYTCB,NE,2016,35067.0,Nebraska,48.35090988,199,4011050
3880,BDPRP,NE,2017,1159.0,Nebraska,47.87762064,263,3743400
3883,CLPRB,NE,2017,0.0,Nebraska,47.87762064,263,3743400
3888,ENPRP,NE,2017,49765.0,Nebraska,47.87762064,263,3743400
3889,GETCB,NE,2017,1212.0,Nebraska,47.87762064,263,3743400
3890,HYTCB,NE,2017,13719.0,Nebraska,47.87762064,263,3743400
3891,NCPRB,NE,2017,61990.0,Nebraska,47.87762064,263,3743400
3892,NGMPB,NE,2017,483.0,Nebraska,47.87762064,263,3743400
3895,NUETB,NE,2017,72300.0,Nebraska,47.87762064,263,3743400
3896,PAPRB,NE,2017,11978.0,Nebraska,47.87762064,263,3743400
3898,REPRB,NE,2017,355970.0,Nebraska,47.87762064,263,3743400
3899,SOTCB,NE,2017,220.0,Nebraska,47.87762064,263,3743400
3900,TEPRB,NE,2017,440731.0,Nebraska,47.87762064,263,3743400
3901,TETCB,NE,2017,873303.0,Nebraska,47.87762064,263,3743400
3902,WDEXB,NE,2017,0.0,Nebraska,47.87762064,263,3743400
3903,WDPRB,NE,2017,2330.0,Nebraska,47.87762064,263,3743400
3904,WDTCB,NE,2017,2330.0,Nebraska,47.87762064,263,3743400
3905,WSTCB,NE,2017,1587.0,Nebraska,47.87762064,263,3743400
3906,WWPRB,NE,2017,3917.0,Nebraska,47.87762064,263,3743400
3907,WYTCB,NE,2017,46840.0,Nebraska,47.87762064,263,3743400
5399,BDPRP,NE,2018,1089.0,Nebraska,52.35500953,271,4330170
5402,CLPRB,NE,2018,0.0,Nebraska,52.35500953,271,4330170
5407,ENPRP,NE,2018,49723.0,Nebraska,52.35500953,271,4330170
5408,GETCB,NE,2018,1212.0,Nebraska,52.35500953,271,4330170
5409,HYTCB,NE,2018,12582.0,Nebraska,52.35500953,271,4330170
5410,NCPRB,NE,2018,64686.0,Nebraska,52.35500953,271,4330170
5411,NGMPB,NE,2018,459.0,Nebraska,52.35500953,271,4330170
5414,NUETB,NE,2018,58884.0,Nebraska,52.35500953,271,4330170
5415,PAPRB,NE,2018,11732.0,Nebraska,52.35500953,271,4330170
5417,REPRB,NE,2018,359674.0,Nebraska,52.35500953,271,4330170
5418,SOTCB,NE,2018,373.0,Nebraska,52.35500953,271,4330170
5419,TEPRB,NE,2018,430748.0,Nebraska,52.35500953,271,4330170
5420,TETCB,NE,2018,909065.0,Nebraska,52.35500953,271,4330170
5421,WDEXB,NE,2018,0.0,Nebraska,52.35500953,271,4330170
5422,WDPRB,NE,2018,3394.0,Nebraska,52.35500953,271,4330170
5423,WDTCB,NE,2018,3394.0,Nebraska,52.35500953,271,4330170
5424,WSTCB,NE,2018,1811.0,Nebraska,52.35500953,271,4330170
5425,WWPRB,NE,2018,5205.0,Nebraska,52.35500953,271,4330170
5426,WYTCB,NE,2018,50519.0,Nebraska,52.35500953,271,4330170
6918,BDPRP,NE,2019,581.0,Nebraska,50.47008377,206,2293019
6921,CLPRB,NE,2019,0.0,Nebraska,50.47008377,206,2293019
6926,ENPRP,NE,2019,50117.0,Nebraska,50.47008377,206,2293019
6927,GETCB,NE,2019,1212.0,Nebraska,50.47008377,206,2293019
6928,HYTCB,NE,2019,11935.0,Nebraska,50.47008377,206,2293019
6929,NCPRB,NE,2019,77807.0,Nebraska,50.47008377,206,2293019
6930,NGMPB,NE,2019,411.0,Nebraska,50.47008377,206,2293019
6933,NUETB,NE,2019,72589.0,Nebraska,50.47008377,206,2293019
6934,PAPRB,NE,2019,10883.0,Nebraska,50.47008377,206,2293019
6936,REPRB,NE,2019,371935.0,Nebraska,50.47008377,206,2293019
6937,SOTCB,NE,2019,446.0,Nebraska,50.47008377,206,2293019
6938,TEPRB,NE,2019,455818.0,Nebraska,50.47008377,206,2293019
6939,TETCB,NE,2019,907219.0,Nebraska,50.47008377,206,2293019
6940,WDEXB,NE,2019,0.0,Nebraska,50.47008377,206,2293019
6941,WDPRB,NE,2019,3699.0,Nebraska,50.47008377,206,2293019
6942,WDTCB,NE,2019,3699.0,Nebraska,50.47008377,206,2293019
6943,WSTCB,NE,2019,1796.0,Nebraska,50.47008377,206,2293019
6944,WWPRB,NE,2019,5495.0,Nebraska,50.47008377,206,2293019
6945,WYTCB,NE,2019,64215.0,Nebraska,50.47008377,206,2293019
