,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
871,BDPRP,NH,2015,48.0,New Hampshire,15.27856723,46,1371086
874,CLPRB,NH,2015,0.0,New Hampshire,15.27856723,46,1371086
879,ENPRP,NH,2015,0.0,New Hampshire,15.27856723,46,1371086
880,GETCB,NH,2015,29.0,New Hampshire,15.27856723,46,1371086
881,HYTCB,NH,2015,11837.0,New Hampshire,15.27856723,46,1371086
882,NCPRB,NH,2015,16105.0,New Hampshire,15.27856723,46,1371086
883,NGMPB,NH,2015,0.0,New Hampshire,15.27856723,46,1371086
886,NUETB,NH,2015,99186.0,New Hampshire,15.27856723,46,1371086
887,PAPRB,NH,2015,0.0,New Hampshire,15.27856723,46,1371086
889,REPRB,NH,2015,61342.0,New Hampshire,15.27856723,46,1371086
890,SOTCB,NH,2015,292.0,New Hampshire,15.27856723,46,1371086
891,TEPRB,NH,2015,160528.0,New Hampshire,15.27856723,46,1371086
892,TETCB,NH,2015,316649.0,New Hampshire,15.27856723,46,1371086
893,WDEXB,NH,2015,0.0,New Hampshire,15.27856723,46,1371086
894,WDPRB,NH,2015,40598.0,New Hampshire,15.27856723,46,1371086
895,WDTCB,NH,2015,40598.0,New Hampshire,15.27856723,46,1371086
896,WSTCB,NH,2015,4377.0,New Hampshire,15.27856723,46,1371086
897,WWPRB,NH,2015,44976.0,New Hampshire,15.27856723,46,1371086
898,WYTCB,NH,2015,3947.0,New Hampshire,15.27856723,46,1371086
2390,BDPRP,NH,2016,73.0,New Hampshire,13.81151032,40,3111505
2393,CLPRB,NH,2016,0.0,New Hampshire,13.81151032,40,3111505
2398,ENPRP,NH,2016,0.0,New Hampshire,13.81151032,40,3111505
2399,GETCB,NH,2016,29.0,New Hampshire,13.81151032,40,3111505
2400,HYTCB,NH,2016,10574.0,New Hampshire,13.81151032,40,3111505
2401,NCPRB,NH,2016,15141.0,New Hampshire,13.81151032,40,3111505
2402,NGMPB,NH,2016,0.0,New Hampshire,13.81151032,40,3111505
2405,NUETB,NH,2016,112551.0,New Hampshire,13.81151032,40,3111505
2406,PAPRB,NH,2016,0.0,New Hampshire,13.81151032,40,3111505
2408,REPRB,NH,2016,56290.0,New Hampshire,13.81151032,40,3111505
2409,SOTCB,NH,2016,547.0,New Hampshire,13.81151032,40,3111505
2410,TEPRB,NH,2016,168841.0,New Hampshire,13.81151032,40,3111505
2411,TETCB,NH,2016,307290.0,New Hampshire,13.81151032,40,3111505
2412,WDEXB,NH,2016,0.0,New Hampshire,13.81151032,40,3111505
2413,WDPRB,NH,2016,36335.0,New Hampshire,13.81151032,40,3111505
