,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
900,BDPRP,NJ,2015,219.0,New Jersey,103.6600002,47,1130951
903,CLPRB,NJ,2015,0.0,New Jersey,103.6600002,47,1130951
908,ENPRP,NJ,2015,0.0,New Jersey,103.6600002,47,1130951
909,GETCB,NJ,2015,466.0,New Jersey,103.6600002,47,1130951
910,HYTCB,NJ,2015,89.0,New Jersey,103.6600002,47,1130951
911,NCPRB,NJ,2015,21721.0,New Jersey,103.6600002,47,1130951
912,NGMPB,NJ,2015,0.0,New Jersey,103.6600002,47,1130951
915,NUETB,NJ,2015,347851.0,New Jersey,103.6600002,47,1130951
916,PAPRB,NJ,2015,0.0,New Jersey,103.6600002,47,1130951
918,REPRB,NJ,2015,45205.0,New Jersey,103.6600002,47,1130951
919,SOTCB,NJ,2015,20966.0,New Jersey,103.6600002,47,1130951
920,TEPRB,NJ,2015,393056.0,New Jersey,103.6600002,47,1130951
921,TETCB,NJ,2015,2183497.0,New Jersey,103.6600002,47,1130951
922,WDEXB,NJ,2015,0.0,New Jersey,103.6600002,47,1130951
923,WDPRB,NJ,2015,6465.0,New Jersey,103.6600002,47,1130951
924,WDTCB,NJ,2015,6465.0,New Jersey,103.6600002,47,1130951
925,WSTCB,NJ,2015,15827.0,New Jersey,103.6600002,47,1130951
926,WWPRB,NJ,2015,22292.0,New Jersey,103.6600002,47,1130951
927,WYTCB,NJ,2015,201.0,New Jersey,103.6600002,47,1130951
2419,BDPRP,NJ,2016,229.0,New Jersey,105.6200444,34,597439
2422,CLPRB,NJ,2016,0.0,New Jersey,105.6200444,34,597439
2427,ENPRP,NJ,2016,0.0,New Jersey,105.6200444,34,597439
2428,GETCB,NJ,2016,466.0,New Jersey,105.6200444,34,597439
2429,HYTCB,NJ,2016,88.0,New Jersey,105.6200444,34,597439
2430,NCPRB,NJ,2016,23007.0,New Jersey,105.6200444,34,597439
2431,NGMPB,NJ,2016,0.0,New Jersey,105.6200444,34,597439
2434,NUETB,NJ,2016,312569.0,New Jersey,105.6200444,34,597439
2435,PAPRB,NJ,2016,0.0,New Jersey,105.6200444,34,597439
2437,REPRB,NJ,2016,46546.0,New Jersey,105.6200444,34,597439
2438,SOTCB,NJ,2016,22261.0,New Jersey,105.6200444,34,597439
2439,TEPRB,NJ,2016,359115.0,New Jersey,105.6200444,34,597439
2440,TETCB,NJ,2016,2140838.0,New Jersey,105.6200444,34,597439
2441,WDEXB,NJ,2016,0.0,New Jersey,105.6200444,34,597439
2442,WDPRB,NJ,2016,5994.0,New Jersey,105.6200444,34,597439
2443,WDTCB,NJ,2016,5994.0,New Jersey,105.6200444,34,597439
2444,WSTCB,NJ,2016,16299.0,New Jersey,105.6200444,34,597439
2445,WWPRB,NJ,2016,22293.0,New Jersey,105.6200444,34,597439
2446,WYTCB,NJ,2016,192.0,New Jersey,105.6200444,34,597439
3938,BDPRP,NJ,2017,35.0,New Jersey,99.35210038,48,881961
3941,CLPRB,NJ,2017,0.0,New Jersey,99.35210038,48,881961
3946,ENPRP,NJ,2017,0.0,New Jersey,99.35210038,48,881961
3947,GETCB,NJ,2017,466.0,New Jersey,99.35210038,48,881961
3948,HYTCB,NJ,2017,126.0,New Jersey,99.35210038,48,881961
3949,NCPRB,NJ,2017,26428.0,New Jersey,99.35210038,48,881961
3950,NGMPB,NJ,2017,0.0,New Jersey,99.35210038,48,881961
3953,NUETB,NJ,2017,355948.0,New Jersey,99.35210038,48,881961
3954,PAPRB,NJ,2017,0.0,New Jersey,99.35210038,48,881961
3956,REPRB,NJ,2017,45602.0,New Jersey,99.35210038,48,881961
3957,SOTCB,NJ,2017,25630.0,New Jersey,99.35210038,48,881961
3958,TEPRB,NJ,2017,401550.0,New Jersey,99.35210038,48,881961
3959,TETCB,NJ,2017,2089145.0,New Jersey,99.35210038,48,881961
3960,WDEXB,NJ,2017,0.0,New Jersey,99.35210038,48,881961
3961,WDPRB,NJ,2017,3044.0,New Jersey,99.35210038,48,881961
3962,WDTCB,NJ,2017,3044.0,New Jersey,99.35210038,48,881961
3963,WSTCB,NJ,2017,15938.0,New Jersey,99.35210038,48,881961
3964,WWPRB,NJ,2017,18982.0,New Jersey,99.35210038,48,881961
