,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
987,BDPRP,NY,2015,2.0,New York,174.3599244,104,5040800
990,CLPRB,NY,2015,0.0,New York,174.3599244,104,5040800
995,ENPRP,NY,2015,3465.0,New York,174.3599244,104,5040800
996,GETCB,NY,2015,1185.0,New York,174.3599244,104,5040800
997,HYTCB,NY,2015,242429.0,New York,174.3599244,104,5040800
998,NCPRB,NY,2015,288404.0,New York,174.3599244,104,5040800
999,NGMPB,NY,2015,17879.0,New York,174.3599244,104,5040800
1002,NUETB,NY,2015,466457.0,New York,174.3599244,104,5040800
1003,PAPRB,NY,2015,1635.0,New York,174.3599244,104,5040800
1005,REPRB,NY,2015,409139.0,New York,174.3599244,104,5040800
1006,SOTCB,NY,2015,7729.0,New York,174.3599244,104,5040800
1007,TEPRB,NY,2015,895110.0,New York,174.3599244,104,5040800
1008,TETCB,NY,2015,3838544.0,New York,174.3599244,104,5040800
1009,WDEXB,NY,2015,0.0,New York,174.3599244,104,5040800
1010,WDPRB,NY,2015,67532.0,New York,174.3599244,104,5040800
1011,WDTCB,NY,2015,67532.0,New York,174.3599244,104,5040800
1012,WSTCB,NY,2015,33410.0,New York,174.3599244,104,5040800
1013,WWPRB,NY,2015,100942.0,New York,174.3599244,104,5040800
1014,WYTCB,NY,2015,37061.0,New York,174.3599244,104,5040800
2506,BDPRP,NY,2016,0.0,New York,170.1509065,73,2403723
2509,CLPRB,NY,2016,0.0,New York,170.1509065,73,2403723
2514,ENPRP,NY,2016,3801.0,New York,170.1509065,73,2403723
2515,GETCB,NY,2016,1185.0,New York,170.1509065,73,2403723
2516,HYTCB,NY,2016,248232.0,New York,170.1509065,73,2403723
2517,NCPRB,NY,2016,296467.0,New York,170.1509065,73,2403723
2518,NGMPB,NY,2016,13942.0,New York,170.1509065,73,2403723
2521,NUETB,NY,2016,434791.0,New York,170.1509065,73,2403723
2522,PAPRB,NY,2016,1287.0,New York,170.1509065,73,2403723
2524,REPRB,NY,2016,412994.0,New York,170.1509065,73,2403723
2525,SOTCB,NY,2016,10674.0,New York,170.1509065,73,2403723
2526,TEPRB,NY,2016,863014.0,New York,170.1509065,73,2403723
2527,TETCB,NY,2016,3768794.0,New York,170.1509065,73,2403723
2528,WDEXB,NY,2016,0.0,New York,170.1509065,73,2403723
2529,WDPRB,NY,2016,61123.0,New York,170.1509065,73,2403723
2530,WDTCB,NY,2016,61123.0,New York,170.1509065,73,2403723
2531,WSTCB,NY,2016,33736.0,New York,170.1509065,73,2403723
2532,WWPRB,NY,2016,94858.0,New York,170.1509065,73,2403723
2533,WYTCB,NY,2016,36376.0,New York,170.1509065,73,2403723
4025,BDPRP,NY,2017,0.0,New York,165.8301752,52,789556
4028,CLPRB,NY,2017,0.0,New York,165.8301752,52,789556
4033,ENPRP,NY,2017,3687.0,New York,165.8301752,52,789556
4034,GETCB,NY,2017,1185.0,New York,165.8301752,52,789556
4035,HYTCB,NY,2017,277725.0,New York,165.8301752,52,789556
4036,NCPRB,NY,2017,330933.0,New York,165.8301752,52,789556
4037,NGMPB,NY,2017,11760.0,New York,165.8301752,52,789556
4040,NUETB,NY,2017,441029.0,New York,165.8301752,52,789556
4041,PAPRB,NY,2017,1105.0,New York,165.8301752,52,789556
4043,REPRB,NY,2017,447680.0,New York,165.8301752,52,789556
4044,SOTCB,NY,2017,13919.0,New York,165.8301752,52,789556
4045,TEPRB,NY,2017,901574.0,New York,165.8301752,52,789556
4046,TETCB,NY,2017,3776092.0,New York,165.8301752,52,789556
4047,WDEXB,NY,2017,0.0,New York,165.8301752,52,789556
4048,WDPRB,NY,2017,60164.0,New York,165.8301752,52,789556
4049,WDTCB,NY,2017,60164.0,New York,165.8301752,52,789556
