,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1161,BDPRP,SC,2015,60.0,South Carolina,73.39880613,60,3065630
1164,CLPRB,SC,2015,0.0,South Carolina,73.39880613,60,3065630
1169,ENPRP,SC,2015,0.0,South Carolina,73.39880613,60,3065630
1170,GETCB,SC,2015,648.0,South Carolina,73.39880613,60,3065630
1171,HYTCB,SC,2015,23897.0,South Carolina,73.39880613,60,3065630
1172,NCPRB,SC,2015,24686.0,South Carolina,73.39880613,60,3065630
1173,NGMPB,SC,2015,0.0,South Carolina,73.39880613,60,3065630
1176,NUETB,SC,2015,555909.0,South Carolina,73.39880613,60,3065630
1177,PAPRB,SC,2015,0.0,South Carolina,73.39880613,60,3065630
1179,REPRB,SC,2015,128618.0,South Carolina,73.39880613,60,3065630
1180,SOTCB,SC,2015,140.0,South Carolina,73.39880613,60,3065630
1181,TEPRB,SC,2015,684526.0,South Carolina,73.39880613,60,3065630
1182,TETCB,SC,2015,1663373.0,South Carolina,73.39880613,60,3065630
1183,WDEXB,SC,2015,0.0,South Carolina,73.39880613,60,3065630
1184,WDPRB,SC,2015,98906.0,South Carolina,73.39880613,60,3065630
1185,WDTCB,SC,2015,98906.0,South Carolina,73.39880613,60,3065630
1186,WSTCB,SC,2015,4698.0,South Carolina,73.39880613,60,3065630
1187,WWPRB,SC,2015,103604.0,South Carolina,73.39880613,60,3065630
1188,WYTCB,SC,2015,0.0,South Carolina,73.39880613,60,3065630
2680,BDPRP,SC,2016,0.0,South Carolina,72.25720541,77,22430291
2683,CLPRB,SC,2016,0.0,South Carolina,72.25720541,77,22430291
2688,ENPRP,SC,2016,0.0,South Carolina,72.25720541,77,22430291
2689,GETCB,SC,2016,648.0,South Carolina,72.25720541,77,22430291
2690,HYTCB,SC,2016,20551.0,South Carolina,72.25720541,77,22430291
2691,NCPRB,SC,2016,21612.0,South Carolina,72.25720541,77,22430291
2692,NGMPB,SC,2016,0.0,South Carolina,72.25720541,77,22430291
2695,NUETB,SC,2016,583883.0,South Carolina,72.25720541,77,22430291
2696,PAPRB,SC,2016,0.0,South Carolina,72.25720541,77,22430291
2698,REPRB,SC,2016,131043.0,South Carolina,72.25720541,77,22430291
2699,SOTCB,SC,2016,412.0,South Carolina,72.25720541,77,22430291
2700,TEPRB,SC,2016,714927.0,South Carolina,72.25720541,77,22430291
2701,TETCB,SC,2016,1658202.0,South Carolina,72.25720541,77,22430291
2702,WDEXB,SC,2016,6011.0,South Carolina,72.25720541,77,22430291
2703,WDPRB,SC,2016,104947.0,South Carolina,72.25720541,77,22430291
2704,WDTCB,SC,2016,98936.0,South Carolina,72.25720541,77,22430291
2705,WSTCB,SC,2016,4484.0,South Carolina,72.25720541,77,22430291
2706,WWPRB,SC,2016,109432.0,South Carolina,72.25720541,77,22430291
2707,WYTCB,SC,2016,0.0,South Carolina,72.25720541,77,22430291
4199,BDPRP,SC,2017,0.0,South Carolina,69.96242998,84,68063288
4202,CLPRB,SC,2017,0.0,South Carolina,69.96242998,84,68063288
4207,ENPRP,SC,2017,0.0,South Carolina,69.96242998,84,68063288
4208,GETCB,SC,2017,648.0,South Carolina,69.96242998,84,68063288
4209,HYTCB,SC,2017,16906.0,South Carolina,69.96242998,84,68063288
