,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1248,BDPRP,TX,2015,3493.0,Texas,655.1432269,110,2671308
1251,CLPRB,TX,2015,471257.0,Texas,655.1432269,110,2671308
1256,ENPRP,TX,2015,8241.0,Texas,655.1432269,110,2671308
1257,GETCB,TX,2015,2478.0,Texas,655.1432269,110,2671308
1258,HYTCB,TX,2015,8913.0,Texas,655.1432269,110,2671308
1259,NCPRB,TX,2015,435590.0,Texas,655.1432269,110,2671308
1260,NGMPB,TX,2015,9392314.0,Texas,655.1432269,110,2671308
1263,NUETB,TX,2015,411571.0,Texas,655.1432269,110,2671308
1264,PAPRB,TX,2015,7213013.0,Texas,655.1432269,110,2671308
1266,REPRB,TX,2015,583008.0,Texas,655.1432269,110,2671308
1267,SOTCB,TX,2015,6397.0,Texas,655.1432269,110,2671308
1268,TEPRB,TX,2015,1.8071163E7,Texas,655.1432269,110,2671308
1269,TETCB,TX,2015,1.2757827E7,Texas,655.1432269,110,2671308
1270,WDEXB,TX,2015,0.0,Texas,655.1432269,110,2671308
1271,WDPRB,TX,2015,54367.0,Texas,655.1432269,110,2671308
1272,WDTCB,TX,2015,54367.0,Texas,655.1432269,110,2671308
1273,WSTCB,TX,2015,27029.0,Texas,655.1432269,110,2671308
1274,WWPRB,TX,2015,81397.0,Texas,655.1432269,110,2671308
1275,WYTCB,TX,2015,417802.0,Texas,655.1432269,110,2671308
2767,BDPRP,TX,2016,4218.0,Texas,656.7493464,176,83607077
2770,CLPRB,TX,2016,515707.0,Texas,656.7493464,176,83607077
2775,ENPRP,TX,2016,8500.0,Texas,656.7493464,176,83607077
2776,GETCB,TX,2016,2478.0,Texas,656.7493464,176,83607077
2777,HYTCB,TX,2016,12389.0,Texas,656.7493464,176,83607077
2778,NCPRB,TX,2016,556938.0,Texas,656.7493464,176,83607077
2779,NGMPB,TX,2016,8659990.0,Texas,656.7493464,176,83607077
2782,NUETB,TX,2016,440109.0,Texas,656.7493464,176,83607077
2783,PAPRB,TX,2016,6683754.0,Texas,656.7493464,176,83607077
2785,REPRB,TX,2016,709194.0,Texas,656.7493464,176,83607077
2786,SOTCB,TX,2016,10946.0,Texas,656.7493464,176,83607077
2787,TEPRB,TX,2016,1.7008753E7,Texas,656.7493464,176,83607077
2788,TETCB,TX,2016,1.2986076E7,Texas,656.7493464,176,83607077
