,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1364,BDPRP,VT,2015,0.0,Vermont,6.126831312,33,47317173
1367,CLPRB,VT,2015,0.0,Vermont,6.126831312,33,47317173
1372,ENPRP,VT,2015,0.0,Vermont,6.126831312,33,47317173
1373,GETCB,VT,2015,29.0,Vermont,6.126831312,33,47317173
1374,HYTCB,VT,2015,10619.0,Vermont,6.126831312,33,47317173
1375,NCPRB,VT,2015,14724.0,Vermont,6.126831312,33,47317173
1376,NGMPB,VT,2015,0.0,Vermont,6.126831312,33,47317173
1379,NUETB,VT,2015,0.0,Vermont,6.126831312,33,47317173
1380,PAPRB,VT,2015,0.0,Vermont,6.126831312,33,47317173
1382,REPRB,VT,2015,38784.0,Vermont,6.126831312,33,47317173
1383,SOTCB,VT,2015,1044.0,Vermont,6.126831312,33,47317173
1384,TEPRB,VT,2015,38784.0,Vermont,6.126831312,33,47317173
1385,TETCB,VT,2015,140546.0,Vermont,6.126831312,33,47317173
1386,WDEXB,VT,2015,0.0,Vermont,6.126831312,33,47317173
1387,WDPRB,VT,2015,23753.0,Vermont,6.126831312,33,47317173
1388,WDTCB,VT,2015,23753.0,Vermont,6.126831312,33,47317173
1389,WSTCB,VT,2015,307.0,Vermont,6.126831312,33,47317173
1390,WWPRB,VT,2015,24060.0,Vermont,6.126831312,33,47317173
1391,WYTCB,VT,2015,3032.0,Vermont,6.126831312,33,47317173
2883,BDPRP,VT,2016,0.0,Vermont,5.913477445,37,873689
2886,CLPRB,VT,2016,0.0,Vermont,5.913477445,37,873689
2891,ENPRP,VT,2016,0.0,Vermont,5.913477445,37,873689
2892,GETCB,VT,2016,29.0,Vermont,5.913477445,37,873689
2893,HYTCB,VT,2016,9948.0,Vermont,5.913477445,37,873689
2894,NCPRB,VT,2016,14000.0,Vermont,5.913477445,37,873689
2895,NGMPB,VT,2016,0.0,Vermont,5.913477445,37,873689
2898,NUETB,VT,2016,0.0,Vermont,5.913477445,37,873689
2899,PAPRB,VT,2016,0.0,Vermont,5.913477445,37,873689
2901,REPRB,VT,2016,35637.0,Vermont,5.913477445,37,873689
2902,SOTCB,VT,2016,1335.0,Vermont,5.913477445,37,873689
2903,TEPRB,VT,2016,35637.0,Vermont,5.913477445,37,873689
2904,TETCB,VT,2016,135276.0,Vermont,5.913477445,37,873689
2905,WDEXB,VT,2016,0.0,Vermont,5.913477445,37,873689
2906,WDPRB,VT,2016,21418.0,Vermont,5.913477445,37,873689
2907,WDTCB,VT,2016,21418.0,Vermont,5.913477445,37,873689
2908,WSTCB,VT,2016,220.0,Vermont,5.913477445,37,873689
2909,WWPRB,VT,2016,21638.0,Vermont,5.913477445,37,873689
2910,WYTCB,VT,2016,2688.0,Vermont,5.913477445,37,873689
4402,BDPRP,VT,2017,0.0,Vermont,5.831030624,23,4591717
4405,CLPRB,VT,2017,0.0,Vermont,5.831030624,23,4591717
4410,ENPRP,VT,2017,0.0,Vermont,5.831030624,23,4591717
4411,GETCB,VT,2017,29.0,Vermont,5.831030624,23,4591717
4412,HYTCB,VT,2017,11796.0,Vermont,5.831030624,23,4591717
4413,NCPRB,VT,2017,16668.0,Vermont,5.831030624,23,4591717
4414,NGMPB,VT,2017,0.0,Vermont,5.831030624,23,4591717
