,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1393,BDPRP,WA,2015,1335.0,Washington,75.13711456,109,1978193
1396,CLPRB,WA,2015,0.0,Washington,75.13711456,109,1978193
1401,ENPRP,WA,2015,0.0,Washington,75.13711456,109,1978193
1402,GETCB,WA,2015,1136.0,Washington,75.13711456,109,1978193
1403,HYTCB,WA,2015,684060.0,Washington,75.13711456,109,1978193
1404,NCPRB,WA,2015,751781.0,Washington,75.13711456,109,1978193
1405,NGMPB,WA,2015,0.0,Washington,75.13711456,109,1978193
1408,NUETB,WA,2015,85347.0,Washington,75.13711456,109,1978193
1409,PAPRB,WA,2015,0.0,Washington,75.13711456,109,1978193
1411,REPRB,WA,2015,872328.0,Washington,75.13711456,109,1978193
1412,SOTCB,WA,2015,649.0,Washington,75.13711456,109,1978193
1413,TEPRB,WA,2015,957675.0,Washington,75.13711456,109,1978193
1414,TETCB,WA,2015,1995985.0,Washington,75.13711456,109,1978193
1415,WDEXB,WA,2015,0.0,Washington,75.13711456,109,1978193
1416,WDPRB,WA,2015,104876.0,Washington,75.13711456,109,1978193
1417,WDTCB,WA,2015,104876.0,Washington,75.13711456,109,1978193
1418,WSTCB,WA,2015,8421.0,Washington,75.13711456,109,1978193
1419,WWPRB,WA,2015,113296.0,Washington,75.13711456,109,1978193
1420,WYTCB,WA,2015,65936.0,Washington,75.13711456,109,1978193
2912,BDPRP,WA,2016,1541.0,Washington,79.4036955,127,2515938
2915,CLPRB,WA,2016,0.0,Washington,79.4036955,127,2515938
2920,ENPRP,WA,2016,0.0,Washington,79.4036955,127,2515938
2921,GETCB,WA,2016,1136.0,Washington,79.4036955,127,2515938
2922,HYTCB,WA,2016,723289.0,Washington,79.4036955,127,2515938
2923,NCPRB,WA,2016,799624.0,Washington,79.4036955,127,2515938
2924,NGMPB,WA,2016,0.0,Washington,79.4036955,127,2515938
2927,NUETB,WA,2016,100674.0,Washington,79.4036955,127,2515938
2928,PAPRB,WA,2016,0.0,Washington,79.4036955,127,2515938
2930,REPRB,WA,2016,930780.0,Washington,79.4036955,127,2515938
2931,SOTCB,WA,2016,957.0,Washington,79.4036955,127,2515938
2932,TEPRB,WA,2016,1031454.0,Washington,79.4036955,127,2515938
2933,TETCB,WA,2016,2056396.0,Washington,79.4036955,127,2515938
2934,WDEXB,WA,2016,0.0,Washington,79.4036955,127,2515938
2935,WDPRB,WA,2016,114342.0,Washington,79.4036955,127,2515938
2936,WDTCB,WA,2016,114342.0,Washington,79.4036955,127,2515938
2937,WSTCB,WA,2016,8441.0,Washington,79.4036955,127,2515938
2938,WWPRB,WA,2016,122783.0,Washington,79.4036955,127,2515938
2939,WYTCB,WA,2016,74242.0,Washington,79.4036955,127,2515938
4431,BDPRP,WA,2017,1694.0,Washington,79.11865344,104,6910234
4434,CLPRB,WA,2017,0.0,Washington,79.11865344,104,6910234
4439,ENPRP,WA,2017,0.0,Washington,79.11865344,104,6910234
4440,GETCB,WA,2017,1136.0,Washington,79.11865344,104,6910234
4441,HYTCB,WA,2017,757151.0,Washington,79.11865344,104,6910234
4442,NCPRB,WA,2017,823289.0,Washington,79.11865344,104,6910234
4443,NGMPB,WA,2017,0.0,Washington,79.11865344,104,6910234
4446,NUETB,WA,2017,85013.0,Washington,79.11865344,104,6910234
4447,PAPRB,WA,2017,0.0,Washington,79.11865344,104,6910234
4449,REPRB,WA,2017,950220.0,Washington,79.11865344,104,6910234
4450,SOTCB,WA,2017,1201.0,Washington,79.11865344,104,6910234
4451,TEPRB,WA,2017,1035233.0,Washington,79.11865344,104,6910234
4452,TETCB,WA,2017,2075340.0,Washington,79.11865344,104,6910234
4453,WDEXB,WA,2017,0.0,Washington,79.11865344,104,6910234
4454,WDPRB,WA,2017,109704.0,Washington,79.11865344,104,6910234
4455,WDTCB,WA,2017,109704.0,Washington,79.11865344,104,6910234
4456,WSTCB,WA,2017,8023.0,Washington,79.11865344,104,6910234
4457,WWPRB,WA,2017,117726.0,Washington,79.11865344,104,6910234
4458,WYTCB,WA,2017,63801.0,Washington,79.11865344,104,6910234
5950,BDPRP,WA,2018,1850.0,Washington,78.65855426,104,3061489
5953,CLPRB,WA,2018,0.0,Washington,78.65855426,104,3061489
5958,ENPRP,WA,2018,0.0,Washington,78.65855426,104,3061489
5959,GETCB,WA,2018,1136.0,Washington,78.65855426,104,3061489
5960,HYTCB,WA,2018,736362.0,Washington,78.65855426,104,3061489
5961,NCPRB,WA,2018,810926.0,Washington,78.65855426,104,3061489
5962,NGMPB,WA,2018,0.0,Washington,78.65855426,104,3061489
5965,NUETB,WA,2018,101502.0,Washington,78.65855426,104,3061489
5966,PAPRB,WA,2018,0.0,Washington,78.65855426,104,3061489
5968,REPRB,WA,2018,937724.0,Washington,78.65855426,104,3061489
5969,SOTCB,WA,2018,1506.0,Washington,78.65855426,104,3061489
5970,TEPRB,WA,2018,1039226.0,Washington,78.65855426,104,3061489
5971,TETCB,WA,2018,2054390.0,Washington,78.65855426,104,3061489
5972,WDEXB,WA,2018,0.0,Washington,78.65855426,104,3061489
5973,WDPRB,WA,2018,109222.0,Washington,78.65855426,104,3061489
5974,WDTCB,WA,2018,109222.0,Washington,78.65855426,104,3061489
5975,WSTCB,WA,2018,7526.0,Washington,78.65855426,104,3061489
5976,WWPRB,WA,2018,116749.0,Washington,78.65855426,104,3061489
5977,WYTCB,WA,2018,71922.0,Washington,78.65855426,104,3061489
7469,BDPRP,WA,2019,1808.0,Washington,84.16948233,88,18389113
7472,CLPRB,WA,2019,0.0,Washington,84.16948233,88,18389113
7477,ENPRP,WA,2019,0.0,Washington,84.16948233,88,18389113
7478,GETCB,WA,2019,1136.0,Washington,84.16948233,88,18389113
7479,HYTCB,WA,2019,587893.0,Washington,84.16948233,88,18389113
7480,NCPRB,WA,2019,650831.0,Washington,84.16948233,88,18389113
7481,NGMPB,WA,2019,0.0,Washington,84.16948233,88,18389113
7484,NUETB,WA,2019,92584.0,Washington,84.16948233,88,18389113
7485,PAPRB,WA,2019,0.0,Washington,84.16948233,88,18389113
7487,REPRB,WA,2019,779076.0,Washington,84.16948233,88,18389113
7488,SOTCB,WA,2019,2341.0,Washington,84.16948233,88,18389113
7489,TEPRB,WA,2019,871660.0,Washington,84.16948233,88,18389113
7490,TETCB,WA,2019,2078663.0,Washington,84.16948233,88,18389113
7491,WDEXB,WA,2019,0.0,Washington,84.16948233,88,18389113
7492,WDPRB,WA,2019,110500.0,Washington,84.16948233,88,18389113
7493,WDTCB,WA,2019,110500.0,Washington,84.16948233,88,18389113
7494,WSTCB,WA,2019,7919.0,Washington,84.16948233,88,18389113
7495,WWPRB,WA,2019,118419.0,Washington,84.16948233,88,18389113
7496,WYTCB,WA,2019,59461.0,Washington,84.16948233,88,18389113
