,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1422,BDPRP,WI,2015,481.0,Wisconsin,99.85701526,107,3755629
1425,CLPRB,WI,2015,0.0,Wisconsin,99.85701526,107,3755629
1430,ENPRP,WI,2015,13460.0,Wisconsin,99.85701526,107,3755629
1431,GETCB,WI,2015,615.0,Wisconsin,99.85701526,107,3755629
1432,HYTCB,WI,2015,21813.0,Wisconsin,99.85701526,107,3755629
1433,NCPRB,WI,2015,37744.0,Wisconsin,99.85701526,107,3755629
1434,NGMPB,WI,2015,0.0,Wisconsin,99.85701526,107,3755629
1437,NUETB,WI,2015,104666.0,Wisconsin,99.85701526,107,3755629
1438,PAPRB,WI,2015,0.0,Wisconsin,99.85701526,107,3755629
1440,REPRB,WI,2015,223881.0,Wisconsin,99.85701526,107,3755629
1441,SOTCB,WI,2015,505.0,Wisconsin,99.85701526,107,3755629
1442,TEPRB,WI,2015,328547.0,Wisconsin,99.85701526,107,3755629
1443,TETCB,WI,2015,1814408.0,Wisconsin,99.85701526,107,3755629
1444,WDEXB,WI,2015,0.0,Wisconsin,99.85701526,107,3755629
1445,WDPRB,WI,2015,97353.0,Wisconsin,99.85701526,107,3755629
1446,WDTCB,WI,2015,97353.0,Wisconsin,99.85701526,107,3755629
1447,WSTCB,WI,2015,9334.0,Wisconsin,99.85701526,107,3755629
1448,WWPRB,WI,2015,106687.0,Wisconsin,99.85701526,107,3755629
1449,WYTCB,WI,2015,14811.0,Wisconsin,99.85701526,107,3755629
2941,BDPRP,WI,2016,597.0,Wisconsin,95.6153185,80,7777098
2944,CLPRB,WI,2016,0.0,Wisconsin,95.6153185,80,7777098
2949,ENPRP,WI,2016,13827.0,Wisconsin,95.6153185,80,7777098
2950,GETCB,WI,2016,615.0,Wisconsin,95.6153185,80,7777098
2951,HYTCB,WI,2016,25806.0,Wisconsin,95.6153185,80,7777098
2952,NCPRB,WI,2016,40993.0,Wisconsin,95.6153185,80,7777098
2953,NGMPB,WI,2016,0.0,Wisconsin,95.6153185,80,7777098
2956,NUETB,WI,2016,106173.0,Wisconsin,95.6153185,80,7777098
2957,PAPRB,WI,2016,0.0,Wisconsin,95.6153185,80,7777098
2959,REPRB,WI,2016,224249.0,Wisconsin,95.6153185,80,7777098
2960,SOTCB,WI,2016,583.0,Wisconsin,95.6153185,80,7777098
2961,TEPRB,WI,2016,330423.0,Wisconsin,95.6153185,80,7777098
2962,TETCB,WI,2016,1801012.0,Wisconsin,95.6153185,80,7777098
2963,WDEXB,WI,2016,0.0,Wisconsin,95.6153185,80,7777098
2964,WDPRB,WI,2016,91748.0,Wisconsin,95.6153185,80,7777098
2965,WDTCB,WI,2016,91748.0,Wisconsin,95.6153185,80,7777098
