,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1480,BDPRP,WY,2015,0.0,Wyoming,64.09286316,18,249960
1483,CLPRB,WY,2015,6538240.0,Wyoming,64.09286316,18,249960
1488,ENPRP,WY,2015,209.0,Wyoming,64.09286316,18,249960
1489,GETCB,WY,2015,663.0,Wyoming,64.09286316,18,249960
1490,HYTCB,WY,2015,8091.0,Wyoming,64.09286316,18,249960
1491,NCPRB,WY,2015,43791.0,Wyoming,64.09286316,18,249960
1492,NGMPB,WY,2015,1998295.0,Wyoming,64.09286316,18,249960
1495,NUETB,WY,2015,0.0,Wyoming,64.09286316,18,249960
1496,PAPRB,WY,2015,494355.0,Wyoming,64.09286316,18,249960
1498,REPRB,WY,2015,49887.0,Wyoming,64.09286316,18,249960
1499,SOTCB,WY,2015,27.0,Wyoming,64.09286316,18,249960
1500,TEPRB,WY,2015,9080777.0,Wyoming,64.09286316,18,249960
1501,TETCB,WY,2015,507121.0,Wyoming,64.09286316,18,249960
1502,WDEXB,WY,2015,0.0,Wyoming,64.09286316,18,249960
1503,WDPRB,WY,2015,4904.0,Wyoming,64.09286316,18,249960
1504,WDTCB,WY,2015,4904.0,Wyoming,64.09286316,18,249960
1505,WSTCB,WY,2015,2.0,Wyoming,64.09286316,18,249960
1506,WWPRB,WY,2015,4905.0,Wyoming,64.09286316,18,249960
1507,WYTCB,WY,2015,35009.0,Wyoming,64.09286316,18,249960
2999,BDPRP,WY,2016,0.0,Wyoming,61.25999315,23,1359346
3002,CLPRB,WY,2016,5169939.0,Wyoming,61.25999315,23,1359346
3007,ENPRP,WY,2016,0.0,Wyoming,61.25999315,23,1359346
3008,GETCB,WY,2016,663.0,Wyoming,61.25999315,23,1359346
3009,HYTCB,WY,2016,8987.0,Wyoming,61.25999315,23,1359346
3010,NCPRB,WY,2016,50206.0,Wyoming,61.25999315,23,1359346
3011,NGMPB,WY,2016,1878141.0,Wyoming,61.25999315,23,1359346
3014,NUETB,WY,2016,0.0,Wyoming,61.25999315,23,1359346
3015,PAPRB,WY,2016,415795.0,Wyoming,61.25999315,23,1359346
3017,REPRB,WY,2016,54565.0,Wyoming,61.25999315,23,1359346
3018,SOTCB,WY,2016,33.0,Wyoming,61.25999315,23,1359346
3019,TEPRB,WY,2016,7518440.0,Wyoming,61.25999315,23,1359346
3020,TETCB,WY,2016,504984.0,Wyoming,61.25999315,23,1359346
3021,WDEXB,WY,2016,0.0,Wyoming,61.25999315,23,1359346
3022,WDPRB,WY,2016,4357.0,Wyoming,61.25999315,23,1359346
3023,WDTCB,WY,2016,4357.0,Wyoming,61.25999315,23,1359346
3024,WSTCB,WY,2016,2.0,Wyoming,61.25999315,23,1359346
3025,WWPRB,WY,2016,4358.0,Wyoming,61.25999315,23,1359346
3026,WYTCB,WY,2016,40522.0,Wyoming,61.25999315,23,1359346
4518,BDPRP,WY,2017,0.0,Wyoming,62.79648656,47,413987
4521,CLPRB,WY,2017,5516757.0,Wyoming,62.79648656,47,413987
4526,ENPRP,WY,2017,0.0,Wyoming,62.79648656,47,413987
4527,GETCB,WY,2017,663.0,Wyoming,62.79648656,47,413987
4528,HYTCB,WY,2017,10352.0,Wyoming,62.79648656,47,413987
4529,NCPRB,WY,2017,50867.0,Wyoming,62.79648656,47,413987
4530,NGMPB,WY,2017,1788258.0,Wyoming,62.79648656,47,413987
4533,NUETB,WY,2017,0.0,Wyoming,62.79648656,47,413987
4534,PAPRB,WY,2017,433655.0,Wyoming,62.79648656,47,413987
4536,REPRB,WY,2017,55916.0,Wyoming,62.79648656,47,413987
4537,SOTCB,WY,2017,45.0,Wyoming,62.79648656,47,413987
4538,TEPRB,WY,2017,7794586.0,Wyoming,62.79648656,47,413987
4539,TETCB,WY,2017,534840.0,Wyoming,62.79648656,47,413987
4540,WDEXB,WY,2017,0.0,Wyoming,62.79648656,47,413987
4541,WDPRB,WY,2017,5049.0,Wyoming,62.79648656,47,413987
4542,WDTCB,WY,2017,5049.0,Wyoming,62.79648656,47,413987
4543,WSTCB,WY,2017,0.0,Wyoming,62.79648656,47,413987
4544,WWPRB,WY,2017,5049.0,Wyoming,62.79648656,47,413987
4545,WYTCB,WY,2017,39806.0,Wyoming,62.79648656,47,413987
6037,BDPRP,WY,2018,0.0,Wyoming,63.84608066,53,573639
6040,CLPRB,WY,2018,5315953.0,Wyoming,63.84608066,53,573639
6045,ENPRP,WY,2018,0.0,Wyoming,63.84608066,53,573639
6046,GETCB,WY,2018,663.0,Wyoming,63.84608066,53,573639
6047,HYTCB,WY,2018,8883.0,Wyoming,63.84608066,53,573639
6048,NCPRB,WY,2018,46550.0,Wyoming,63.84608066,53,573639
6049,NGMPB,WY,2018,1842525.0,Wyoming,63.84608066,53,573639
6052,NUETB,WY,2018,0.0,Wyoming,63.84608066,53,573639
6053,PAPRB,WY,2018,502031.0,Wyoming,63.84608066,53,573639
6055,REPRB,WY,2018,51483.0,Wyoming,63.84608066,53,573639
6056,SOTCB,WY,2018,67.0,Wyoming,63.84608066,53,573639
6057,TEPRB,WY,2018,7711992.0,Wyoming,63.84608066,53,573639
6058,TETCB,WY,2018,557604.0,Wyoming,63.84608066,53,573639
6059,WDEXB,WY,2018,0.0,Wyoming,63.84608066,53,573639
6060,WDPRB,WY,2018,4934.0,Wyoming,63.84608066,53,573639
6061,WDTCB,WY,2018,4934.0,Wyoming,63.84608066,53,573639
6062,WSTCB,WY,2018,0.0,Wyoming,63.84608066,53,573639
6063,WWPRB,WY,2018,4934.0,Wyoming,63.84608066,53,573639
6064,WYTCB,WY,2018,36936.0,Wyoming,63.84608066,53,573639
7556,BDPRP,WY,2019,0.0,Wyoming,59.09664881,32,570570
7559,CLPRB,WY,2019,4828513.0,Wyoming,59.09664881,32,570570
7564,ENPRP,WY,2019,0.0,Wyoming,59.09664881,32,570570
7565,GETCB,WY,2019,663.0,Wyoming,59.09664881,32,570570
7566,HYTCB,WY,2019,8838.0,Wyoming,59.09664881,32,570570
7567,NCPRB,WY,2019,48259.0,Wyoming,59.09664881,32,570570
7568,NGMPB,WY,2019,1684374.0,Wyoming,59.09664881,32,570570
7571,NUETB,WY,2019,0.0,Wyoming,59.09664881,32,570570
7572,PAPRB,WY,2019,582170.0,Wyoming,59.09664881,32,570570
