,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
2,BFFDB,AK,2015,21.0,Alaska,35.0278036,16,3345612
31,BFFDB,AL,2015,1933.0,Alabama,119.2008893,164,1864412
60,BFFDB,AR,2015,4429.0,Arkansas,59.05336455,477,13453887
89,BFFDB,AZ,2015,6602.0,Arizona,94.97878443,65,1724853
118,BFFDB,CA,2015,30601.0,California,351.408516,1023,30077512
147,BFFDB,CO,2015,19861.0,Colorado,91.30387161,206,1658730
176,BFFDB,CT,2015,715.0,Connecticut,36.32904924,33,1340702
263,BFFDB,FL,2015,645.0,Florida,237.3833592,45,3527420
292,BFFDB,GA,2015,14563.0,Georgia,145.6756383,247,6155856
321,BFFDB,HI,2015,383.0,Hawaii,19.7810368,16,1033143
350,BFFDB,IA,2015,568234.0,Iowa,77.41573961,198,5552396
379,BFFDB,ID,2015,8871.0,Idaho,18.03591394,108,1895904
408,BFFDB,IL,2015,230655.0,Illinois,219.157681,57,2533998
437,BFFDB,IN,2015,155552.0,Indiana,187.2335142,68,2525723
466,BFFDB,KS,2015,66484.0,Kansas,64.51256023,120,2548830
495,BFFDB,KY,2015,8246.0,Kentucky,131.3429697,129,315635700
553,BFFDB,MA,2015,36.0,Massachusetts,66.74652168,34,4240538
611,BFFDB,ME,2015,43.0,Maine,16.67908857,74,2818563
640,BFFDB,MI,2015,39033.0,Michigan,164.4556231,76,3049845
669,BFFDB,MN,2015,165989.0,Minnesota,89.33099915,119,3292766
698,BFFDB,MO,2015,54724.0,Missouri,124.7473311,619,7036095
727,BFFDB,MS,2015,5911.0,Mississippi,61.29692129,403,3710526
785,BFFDB,NC,2015,256.0,North Carolina,124.7782841,232,202376181
814,BFFDB,ND,2015,57786.0,North Dakota,57.9230603,16,420940
843,BFFDB,NE,2015,266404.0,Nebraska,50.71057586,247,3396859
872,BFFDB,NH,2015,262.0,New Hampshire,15.27856723,46,1371086
901,BFFDB,NJ,2015,1191.0,New Jersey,103.6600002,47,1130951
988,BFFDB,NY,2015,19793.0,New York,174.3599244,104,5040800
1017,BFFDB,OH,2015,84018.0,Ohio,211.1966253,175,2513363
1046,BFFDB,OK,2015,3486.0,Oklahoma,100.2883311,64,1677872
1075,BFFDB,OR,2015,6587.0,Oregon,37.89416845,169,6478283
1104,BFFDB,PA,2015,16251.0,Pennsylvania,232.9252268,102,4218295
1133,BFFDB,RI,2015,94.0,Rhode Island,10.80452453,11,671306
1162,BFFDB,SC,2015,328.0,South Carolina,73.39880613,60,3065630
1191,BFFDB,SD,2015,152177.0,South Dakota,14.13943764,63,3577721
1220,BFFDB,TN,2015,23845.0,Tennessee,98.70392565,104,3275928
1249,BFFDB,TX,2015,66021.0,Texas,655.1432269,110,2671308
1307,BFFDB,UT,2015,9.0,Utah,63.61302159,80,1243588
1336,BFFDB,VA,2015,6036.0,Virginia,107.6199041,31,2446464
1394,BFFDB,WA,2015,7251.0,Washington,75.13711456,109,1978193
1423,BFFDB,WI,2015,79450.0,Wisconsin,99.85701526,107,3755629
1481,BFFDB,WY,2015,1192.0,Wyoming,64.09286316,18,249960
1521,BFFDB,AK,2016,27.0,Alaska,33.40561066,14,2247734
1550,BFFDB,AL,2016,1906.0,Alabama,113.9837834,129,1206793
1579,BFFDB,AR,2016,5377.0,Arkansas,62.12624984,703,4637664
1608,BFFDB,AZ,2016,6204.0,Arizona,90.85562563,54,2053339
1637,BFFDB,CA,2016,32765.0,California,353.3561319,848,59755992
1666,BFFDB,CO,2016,19461.0,Colorado,88.42427593,258,1800615
1695,BFFDB,CT,2016,1496.0,Connecticut,34.09544003,28,962061
1782,BFFDB,FL,2016,558.0,Florida,238.8326956,72,4068360
1811,BFFDB,GA,2016,17166.0,Georgia,144.537737,222,20155611
1840,BFFDB,HI,2016,451.0,Hawaii,19.81846857,18,429104
1869,BFFDB,IA,2016,585659.0,Iowa,73.98337008,149,4220545
1898,BFFDB,ID,2016,9206.0,Idaho,18.3418212,127,1317624
1927,BFFDB,IL,2016,252801.0,Illinois,207.4305588,36,1325335
1956,BFFDB,IN,2016,166925.0,Indiana,181.8275677,45,11391681
1985,BFFDB,KS,2016,67755.0,Kansas,62.60936987,130,1440764
2014,BFFDB,KY,2016,9693.0,Kentucky,126.8081795,76,2257870
2072,BFFDB,MA,2016,56.0,Massachusetts,64.08973529,35,841616
2130,BFFDB,ME,2016,60.0,Maine,16.15310799,41,795948
2159,BFFDB,MI,2016,40207.0,Michigan,154.5188531,61,1293489
2188,BFFDB,MN,2016,168756.0,Minnesota,91.10054342,92,16796366
2217,BFFDB,MO,2016,58928.0,Missouri,119.0157079,520,10631411
2246,BFFDB,MS,2016,14736.0,Mississippi,62.31469737,608,96309030
2275,BFFDB,MT,2016,3.0,Montana,31.13795175,90,2257495
2304,BFFDB,NC,2016,425.0,North Carolina,124.895788,156,190472938
2333,BFFDB,ND,2016,65607.0,North Dakota,54.93206111,24,502584
2362,BFFDB,NE,2016,282138.0,Nebraska,48.35090988,199,4011050
2391,BFFDB,NH,2016,399.0,New Hampshire,13.81151032,40,3111505
2420,BFFDB,NJ,2016,1246.0,New Jersey,105.6200444,34,597439
2507,BFFDB,NY,2016,21669.0,New York,170.1509065,73,2403723
2536,BFFDB,OH,2016,88369.0,Ohio,205.3227286,132,775584
2565,BFFDB,OK,2016,4466.0,Oklahoma,96.1010241,58,1341097
2594,BFFDB,OR,2016,6548.0,Oregon,37.66506368,162,104123811
2623,BFFDB,PA,2016,18865.0,Pennsylvania,217.9773815,74,2394977
2652,BFFDB,RI,2016,130.0,Rhode Island,9.588941638,10,489512
2710,BFFDB,SD,2016,154087.0,South Dakota,14.80376576,32,76031784
2739,BFFDB,TN,2016,25503.0,Tennessee,101.3548028,60,1102457
2768,BFFDB,TX,2016,71381.0,Texas,656.7493464,176,83607077
2855,BFFDB,VA,2016,3632.0,Virginia,110.0640459,49,853133
2913,BFFDB,WA,2016,8373.0,Washington,79.4036955,127,2515938
2942,BFFDB,WI,2016,82079.0,Wisconsin,95.6153185,80,7777098
3040,BFFDB,AK,2017,29.0,Alaska,33.72913017,18,13509662
3069,BFFDB,AL,2017,1585.0,Alabama,108.5943783,104,2414699
3098,BFFDB,AR,2017,6760.0,Arkansas,64.17625679,469,2069460
3127,BFFDB,AZ,2017,6584.0,Arizona,90.47614096,46,1714281
3156,BFFDB,CA,2017,34240.0,California,356.5165476,786,30392556
3185,BFFDB,CO,2017,19828.0,Colorado,88.77624019,181,1385451
3214,BFFDB,CT,2017,1379.0,Connecticut,33.8574222,40,788599
3301,BFFDB,FL,2017,855.0,Florida,238.4284129,56,1239122
3330,BFFDB,GA,2017,16168.0,Georgia,141.8352401,185,2884817
3359,BFFDB,HI,2017,479.0,Hawaii,20.43258289,14,1467132
3388,BFFDB,IA,2017,610395.0,Iowa,76.30357904,179,6233820
3417,BFFDB,ID,2017,9367.0,Idaho,18.70279024,88,988061
3446,BFFDB,IL,2017,243223.0,Illinois,205.9749865,32,1262924
3475,BFFDB,IN,2017,169356.0,Indiana,175.8904931,46,4052088
3504,BFFDB,KS,2017,69485.0,Kansas,59.03202784,110,1454281
3533,BFFDB,KY,2017,10054.0,Kentucky,116.7819997,99,1948714
3591,BFFDB,MA,2017,110.0,Massachusetts,64.71316897,44,5852232
3649,BFFDB,ME,2017,55.0,Maine,15.37643854,42,2223059
3678,BFFDB,MI,2017,47787.0,Michigan,155.6806782,37,1287282
3707,BFFDB,MN,2017,171550.0,Minnesota,91.27720044,74,2726558
3736,BFFDB,MO,2017,61025.0,Missouri,124.5052275,316,4957942
3765,BFFDB,MS,2017,13572.0,Mississippi,60.46289527,379,2686540
3794,BFFDB,MT,2017,2.0,Montana,31.25081171,93,1091494
3823,BFFDB,NC,2017,222.0,North Carolina,121.1493749,149,235434075
3852,BFFDB,ND,2017,79984.0,North Dakota,56.92163503,19,477713
3881,BFFDB,NE,2017,290063.0,Nebraska,47.87762064,263,3743400
3910,BFFDB,NH,2017,245.0,New Hampshire,13.51181074,39,1307930
3939,BFFDB,NJ,2017,191.0,New Jersey,99.35210038,48,881961
4026,BFFDB,NY,2017,21022.0,New York,165.8301752,52,789556
4055,BFFDB,OH,2017,92214.0,Ohio,205.0608887,118,10274821
4084,BFFDB,OK,2017,4644.0,Oklahoma,93.44516627,41,2449186
4113,BFFDB,OR,2017,7011.0,Oregon,38.79038331,129,137275588
4142,BFFDB,PA,2017,18741.0,Pennsylvania,215.2868489,53,2661655
4171,BFFDB,RI,2017,156.0,Rhode Island,9.965275351,12,547069
4229,BFFDB,SD,2017,160796.0,South Dakota,14.65586638,18,3225820
4258,BFFDB,TN,2017,25649.0,Tennessee,97.40767095,28,889496
4287,BFFDB,TX,2017,74708.0,Texas,664.9673475,219,98254981
4374,BFFDB,VA,2017,7654.0,Virginia,105.5838769,35,5764689
4432,BFFDB,WA,2017,9204.0,Washington,79.11865344,104,6910234
4461,BFFDB,WI,2017,83624.0,Wisconsin,98.64308793,95,2622475
4559,BFFDB,AK,2018,15.0,Alaska,34.51458857,44,18236626
4588,BFFDB,AL,2018,1652.0,Alabama,112.3554714,75,1844186
4617,BFFDB,AR,2018,9499.0,Arkansas,70.78614615,414,79970512
4646,BFFDB,AZ,2018,6758.0,Arizona,94.09550866,48,539053
4675,BFFDB,CA,2018,35465.0,California,358.5947178,749,28208367
4704,BFFDB,CO,2018,19735.0,Colorado,90.06168948,142,29876375
4733,BFFDB,CT,2018,2296.0,Connecticut,37.38424068,21,1486681
4820,BFFDB,FL,2018,1818.0,Florida,242.0091133,62,49550089
4849,BFFDB,GA,2018,15154.0,Georgia,141.9209237,192,7882488
4878,BFFDB,HI,2018,509.0,Hawaii,20.30121291,22,5818783
4907,BFFDB,IA,2018,641146.0,Iowa,82.42756253,239,8883799
4936,BFFDB,ID,2018,9324.0,Idaho,19.04276093,89,1198524
4965,BFFDB,IL,2018,226419.0,Illinois,213.1001319,64,5112413
4994,BFFDB,IN,2018,174262.0,Indiana,189.2161684,59,5700232
5023,BFFDB,KS,2018,71581.0,Kansas,62.85277614,67,1041662
5052,BFFDB,KY,2018,9844.0,Kentucky,122.771335,77,2944583
5110,BFFDB,MA,2018,110.0,Massachusetts,64.10739497,46,3360964
5168,BFFDB,ME,2018,55.0,Maine,14.76307256,41,2491389
5197,BFFDB,MI,2018,50752.0,Michigan,163.7174435,56,936266
5226,BFFDB,MN,2018,176402.0,Minnesota,94.75605009,154,55322766
5255,BFFDB,MO,2018,66502.0,Missouri,124.7805316,185,3637928
5284,BFFDB,MS,2018,15206.0,Mississippi,63.23252555,469,3767073
5313,BFFDB,MT,2018,1.0,Montana,31.25796736,114,2449554
5342,BFFDB,NC,2018,199.0,North Carolina,124.2127343,132,141776088
5371,BFFDB,ND,2018,79645.0,North Dakota,59.282972,30,520857
5400,BFFDB,NE,2018,289782.0,Nebraska,52.35500953,271,4330170
5429,BFFDB,NH,2018,276.0,New Hampshire,14.23973227,37,636384
5545,BFFDB,NY,2018,18885.0,New York,175.0969653,60,13144827
5574,BFFDB,OH,2018,95328.0,Ohio,208.9666748,52,6168918
5603,BFFDB,OK,2018,4496.0,Oklahoma,98.01036447,23,1495639
5632,BFFDB,OR,2018,7251.0,Oregon,39.58013113,96,3286698
5661,BFFDB,PA,2018,20894.0,Pennsylvania,220.1938915,57,10494432
5690,BFFDB,RI,2018,305.0,Rhode Island,11.05692381,15,661136
5748,BFFDB,SD,2018,165485.0,South Dakota,15.52399536,38,3826069
5777,BFFDB,TN,2018,27703.0,Tennessee,93.83598219,31,4038180
5806,BFFDB,TX,2018,76580.0,Texas,684.6895943,261,46570295
5893,BFFDB,VA,2018,6898.0,Virginia,110.0554883,37,2735678
5951,BFFDB,WA,2018,10049.0,Washington,78.65855426,104,3061489
5980,BFFDB,WI,2018,89233.0,Wisconsin,101.1727696,75,2067441
6107,BFFDB,AL,2019,1494.0,Alabama,106.2507516,54,840218
6136,BFFDB,AR,2019,8589.0,Arkansas,65.07220242,302,60034678
6165,BFFDB,AZ,2019,3026.0,Arizona,92.53702529,29,95135122
6194,BFFDB,CA,2019,31877.0,California,358.1643733,609,158244985
6223,BFFDB,CO,2019,18725.0,Colorado,91.72734664,96,10796826
6252,BFFDB,CT,2019,2359.0,Connecticut,36.63166173,19,1306178
6339,BFFDB,FL,2019,920.0,Florida,233.5527795,53,52936642
6368,BFFDB,GA,2019,16987.0,Georgia,136.4670209,191,2374660
6397,BFFDB,HI,2019,484.0,Hawaii,20.51554679,14,329849
6426,BFFDB,IA,2019,637409.0,Iowa,77.29621466,120,3041432
6455,BFFDB,ID,2019,8946.0,Idaho,20.08591692,60,910270
