,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
3,BFPRP,AK,2015,4.0,Alaska,35.0278036,16,3345612
32,BFPRP,AL,2015,356.0,Alabama,119.2008893,164,1864412
61,BFPRP,AR,2015,815.0,Arkansas,59.05336455,477,13453887
90,BFPRP,AZ,2015,1157.0,Arizona,94.97878443,65,1724853
119,BFPRP,CA,2015,5397.0,California,351.408516,1023,30077512
148,BFPRP,CO,2015,3479.0,Colorado,91.30387161,206,1658730
177,BFPRP,CT,2015,132.0,Connecticut,36.32904924,33,1340702
264,BFPRP,FL,2015,119.0,Florida,237.3833592,45,3527420
293,BFPRP,GA,2015,2562.0,Georgia,145.6756383,247,6155856
322,BFPRP,HI,2015,70.0,Hawaii,19.7810368,16,1033143
351,BFPRP,IA,2015,99820.0,Iowa,77.41573961,198,5552396
380,BFPRP,ID,2015,1554.0,Idaho,18.03591394,108,1895904
409,BFPRP,IL,2015,40575.0,Illinois,219.157681,57,2533998
438,BFPRP,IN,2015,27354.0,Indiana,187.2335142,68,2525723
467,BFPRP,KS,2015,11649.0,Kansas,64.51256023,120,2548830
496,BFPRP,KY,2015,1485.0,Kentucky,131.3429697,129,315635700
554,BFPRP,MA,2015,7.0,Massachusetts,66.74652168,34,4240538
612,BFPRP,ME,2015,8.0,Maine,16.67908857,74,2818563
641,BFPRP,MI,2015,6844.0,Michigan,164.4556231,76,3049845
670,BFPRP,MN,2015,29147.0,Minnesota,89.33099915,119,3292766
699,BFPRP,MO,2015,9743.0,Missouri,124.7473311,619,7036095
728,BFPRP,MS,2015,1052.0,Mississippi,61.29692129,403,3710526
786,BFPRP,NC,2015,47.0,North Carolina,124.7782841,232,202376181
815,BFPRP,ND,2015,10199.0,North Dakota,57.9230603,16,420940
844,BFPRP,NE,2015,46669.0,Nebraska,50.71057586,247,3396859
873,BFPRP,NH,2015,48.0,New Hampshire,15.27856723,46,1371086
902,BFPRP,NJ,2015,219.0,New Jersey,103.6600002,47,1130951
989,BFPRP,NY,2015,3467.0,New York,174.3599244,104,5040800
1018,BFPRP,OH,2015,14780.0,Ohio,211.1966253,175,2513363
1047,BFPRP,OK,2015,642.0,Oklahoma,100.2883311,64,1677872
1076,BFPRP,OR,2015,1164.0,Oregon,37.89416845,169,6478283
1105,BFPRP,PA,2015,2875.0,Pennsylvania,232.9252268,102,4218295
1134,BFPRP,RI,2015,17.0,Rhode Island,10.80452453,11,671306
1163,BFPRP,SC,2015,60.0,South Carolina,73.39880613,60,3065630
1192,BFPRP,SD,2015,26658.0,South Dakota,14.13943764,63,3577721
1221,BFPRP,TN,2015,4179.0,Tennessee,98.70392565,104,3275928
1250,BFPRP,TX,2015,11734.0,Texas,655.1432269,110,2671308
1308,BFPRP,UT,2015,2.0,Utah,63.61302159,80,1243588
1337,BFPRP,VA,2015,1060.0,Virginia,107.6199041,31,2446464
1395,BFPRP,WA,2015,1335.0,Washington,75.13711456,109,1978193
1424,BFPRP,WI,2015,13941.0,Wisconsin,99.85701526,107,3755629
1482,BFPRP,WY,2015,209.0,Wyoming,64.09286316,18,249960
1522,BFPRP,AK,2016,5.0,Alaska,33.40561066,14,2247734
1551,BFPRP,AL,2016,351.0,Alabama,113.9837834,129,1206793
1580,BFPRP,AR,2016,990.0,Arkansas,62.12624984,703,4637664
1609,BFPRP,AZ,2016,1089.0,Arizona,90.85562563,54,2053339
1638,BFPRP,CA,2016,5798.0,California,353.3561319,848,59755992
1667,BFPRP,CO,2016,3413.0,Colorado,88.42427593,258,1800615
1696,BFPRP,CT,2016,275.0,Connecticut,34.09544003,28,962061
1783,BFPRP,FL,2016,103.0,Florida,238.8326956,72,4068360
1812,BFPRP,GA,2016,3026.0,Georgia,144.537737,222,20155611
1841,BFPRP,HI,2016,83.0,Hawaii,19.81846857,18,429104
1870,BFPRP,IA,2016,103054.0,Iowa,73.98337008,149,4220545
1899,BFPRP,ID,2016,1615.0,Idaho,18.3418212,127,1317624
1928,BFPRP,IL,2016,44501.0,Illinois,207.4305588,36,1325335
1957,BFPRP,IN,2016,29390.0,Indiana,181.8275677,45,11391681
1986,BFPRP,KS,2016,11885.0,Kansas,62.60936987,130,1440764
2015,BFPRP,KY,2016,1749.0,Kentucky,126.8081795,76,2257870
2073,BFPRP,MA,2016,10.0,Massachusetts,64.08973529,35,841616
2131,BFPRP,ME,2016,11.0,Maine,16.15310799,41,795948
2160,BFPRP,MI,2016,7063.0,Michigan,154.5188531,61,1293489
2189,BFPRP,MN,2016,29682.0,Minnesota,91.10054342,92,16796366
2218,BFPRP,MO,2016,10518.0,Missouri,119.0157079,520,10631411
2247,BFPRP,MS,2016,2654.0,Mississippi,62.31469737,608,96309030
2276,BFPRP,MT,2016,1.0,Montana,31.13795175,90,2257495
2305,BFPRP,NC,2016,78.0,North Carolina,124.895788,156,190472938
2334,BFPRP,ND,2016,11587.0,North Dakota,54.93206111,24,502584
2363,BFPRP,NE,2016,49516.0,Nebraska,48.35090988,199,4011050
2392,BFPRP,NH,2016,73.0,New Hampshire,13.81151032,40,3111505
2421,BFPRP,NJ,2016,229.0,New Jersey,105.6200444,34,597439
2508,BFPRP,NY,2016,3801.0,New York,170.1509065,73,2403723
2537,BFPRP,OH,2016,15575.0,Ohio,205.3227286,132,775584
2566,BFPRP,OK,2016,822.0,Oklahoma,96.1010241,58,1341097
2595,BFPRP,OR,2016,1161.0,Oregon,37.66506368,162,104123811
2624,BFPRP,PA,2016,3350.0,Pennsylvania,217.9773815,74,2394977
2653,BFPRP,RI,2016,24.0,Rhode Island,9.588941638,10,489512
2711,BFPRP,SD,2016,27026.0,South Dakota,14.80376576,32,76031784
2740,BFPRP,TN,2016,4475.0,Tennessee,101.3548028,60,1102457
2769,BFPRP,TX,2016,12718.0,Texas,656.7493464,176,83607077
2856,BFPRP,VA,2016,641.0,Virginia,110.0640459,49,853133
2914,BFPRP,WA,2016,1541.0,Washington,79.4036955,127,2515938
2943,BFPRP,WI,2016,14424.0,Wisconsin,95.6153185,80,7777098
