,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
4,CLPRB,AK,2015,17747.0,Alaska,35.0278036,16,3345612
33,CLPRB,AL,2015,331420.0,Alabama,119.2008893,164,1864412
62,CLPRB,AR,2015,1819.0,Arkansas,59.05336455,477,13453887
91,CLPRB,AZ,2015,146450.0,Arizona,94.97878443,65,1724853
149,CLPRB,CO,2015,403605.0,Colorado,91.30387161,206,1658730
410,CLPRB,IL,2015,1252879.0,Illinois,219.157681,57,2533998
439,CLPRB,IN,2015,776493.0,Indiana,187.2335142,68,2525723
468,CLPRB,KS,2015,4387.0,Kansas,64.51256023,120,2548830
497,CLPRB,KY,2015,1486019.0,Kentucky,131.3429697,129,315635700
526,CLPRB,LA,2015,46879.0,Louisiana,185.5592561,61,2312261
584,CLPRB,MD,2015,45587.0,Maryland,62.28032684,100,1890491
700,CLPRB,MO,2015,3178.0,Missouri,124.7473311,619,7036095
729,CLPRB,MS,2015,34528.0,Mississippi,61.29692129,403,3710526
758,CLPRB,MT,2015,746222.0,Montana,32.53164542,94,896759
816,CLPRB,ND,2015,392183.0,North Dakota,57.9230603,16,420940
932,CLPRB,NM,2015,357525.0,New Mexico,50.69183199,50,1126396
1019,CLPRB,OH,2015,417682.0,Ohio,211.1966253,175,2513363
1048,CLPRB,OK,2015,17422.0,Oklahoma,100.2883311,64,1677872
1106,CLPRB,PA,2015,1278078.0,Pennsylvania,232.9252268,102,4218295
1222,CLPRB,TN,2015,23192.0,Tennessee,98.70392565,104,3275928
1251,CLPRB,TX,2015,471257.0,Texas,655.1432269,110,2671308
1309,CLPRB,UT,2015,325216.0,Utah,63.61302159,80,1243588
1338,CLPRB,VA,2015,365832.0,Virginia,107.6199041,31,2446464
1454,CLPRB,WV,2015,2447181.0,West Virginia,91.96307825,69,491426
1483,CLPRB,WY,2015,6538240.0,Wyoming,64.09286316,18,249960
1523,CLPRB,AK,2016,13942.0,Alaska,33.40561066,14,2247734
1552,CLPRB,AL,2016,247632.0,Alabama,113.9837834,129,1206793
1581,CLPRB,AR,2016,974.0,Arkansas,62.12624984,703,4637664
1610,CLPRB,AZ,2016,116678.0,Arizona,90.85562563,54,2053339
1668,CLPRB,CO,2016,270920.0,Colorado,88.42427593,258,1800615
1929,CLPRB,IL,2016,977131.0,Illinois,207.4305588,36,1325335
1958,CLPRB,IN,2016,654493.0,Indiana,181.8275677,45,11391681
1987,CLPRB,KS,2016,617.0,Kansas,62.60936987,130,1440764
2016,CLPRB,KY,2016,1041121.0,Kentucky,126.8081795,76,2257870
2045,CLPRB,LA,2016,38499.0,Louisiana,189.1398596,98,1499474
2103,CLPRB,MD,2016,37859.0,Maryland,60.46760995,65,1349074
2219,CLPRB,MO,2016,5125.0,Missouri,119.0157079,520,10631411
2248,CLPRB,MS,2016,32349.0,Mississippi,62.31469737,608,96309030
2277,CLPRB,MT,2016,572787.0,Montana,31.13795175,90,2257495
2335,CLPRB,ND,2016,399856.0,North Dakota,54.93206111,24,502584
2451,CLPRB,NM,2016,246549.0,New Mexico,48.84541366,28,2015514
2538,CLPRB,OH,2016,309088.0,Ohio,205.3227286,132,775584
2567,CLPRB,OK,2016,14440.0,Oklahoma,96.1010241,58,1341097
2625,CLPRB,PA,2016,1168609.0,Pennsylvania,217.9773815,74,2394977
2741,CLPRB,TN,2016,16596.0,Tennessee,101.3548028,60,1102457
2770,CLPRB,TX,2016,515707.0,Texas,656.7493464,176,83607077
2828,CLPRB,UT,2016,310453.0,Utah,58.82516698,114,612804
2857,CLPRB,VA,2016,335590.0,Virginia,110.0640459,49,853133
2973,CLPRB,WV,2016,2041073.0,West Virginia,94.48890006,54,614068
3002,CLPRB,WY,2016,5169939.0,Wyoming,61.25999315,23,1359346
3042,CLPRB,AK,2017,14365.0,Alaska,33.72913017,18,13509662
3071,CLPRB,AL,2017,326748.0,Alabama,108.5943783,104,2414699
3100,CLPRB,AR,2017,832.0,Arkansas,64.17625679,469,2069460
3129,CLPRB,AZ,2017,134024.0,Arizona,90.47614096,46,1714281
3187,CLPRB,CO,2017,320001.0,Colorado,88.77624019,181,1385451
3448,CLPRB,IL,2017,1079624.0,Illinois,205.9749865,32,1262924
3477,CLPRB,IN,2017,713397.0,Indiana,175.8904931,46,4052088
3535,CLPRB,KY,2017,1015108.0,Kentucky,116.7819997,99,1948714
3564,CLPRB,LA,2017,27892.0,Louisiana,193.3738211,71,1216601
3622,CLPRB,MD,2017,42804.0,Maryland,55.040273,48,6343700
3738,CLPRB,MO,2017,5321.0,Missouri,124.5052275,316,4957942
3767,CLPRB,MS,2017,32019.0,Mississippi,60.46289527,379,2686540
3796,CLPRB,MT,2017,624772.0,Montana,31.25081171,93,1091494
3854,CLPRB,ND,2017,394022.0,North Dakota,56.92163503,19,477713
3970,CLPRB,NM,2017,257710.0,New Mexico,49.62030346,47,5893114
4057,CLPRB,OH,2017,233560.0,Ohio,205.0608887,118,10274821
4086,CLPRB,OK,2017,12590.0,Oklahoma,93.44516627,41,2449186
4144,CLPRB,PA,2017,1260516.0,Pennsylvania,215.2868489,53,2661655
4260,CLPRB,TN,2017,11168.0,Tennessee,97.40767095,28,889496
4289,CLPRB,TX,2017,474274.0,Texas,664.9673475,219,98254981
4347,CLPRB,UT,2017,317768.0,Utah,59.03113555,56,15437033
4376,CLPRB,VA,2017,343642.0,Virginia,105.5838769,35,5764689
4492,CLPRB,WV,2017,2390309.0,West Virginia,90.84162772,88,673413
4521,CLPRB,WY,2017,5516757.0,Wyoming,62.79648656,47,413987
4561,CLPRB,AK,2018,13752.0,Alaska,34.51458857,44,18236626
4590,CLPRB,AL,2018,370533.0,Alabama,112.3554714,75,1844186
4648,CLPRB,AZ,2018,140759.0,Arizona,94.09550866,48,539053
4706,CLPRB,CO,2018,293149.0,Colorado,90.06168948,142,29876375
4967,CLPRB,IL,2018,1095887.0,Illinois,213.1001319,64,5112413
