,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
7,COPRK,AK,2015,5.717,Alaska,35.0278036,16,3345612
36,COPRK,AL,2015,5.717,Alabama,119.2008893,164,1864412
65,COPRK,AR,2015,5.717,Arkansas,59.05336455,477,13453887
94,COPRK,AZ,2015,5.717,Arizona,94.97878443,65,1724853
123,COPRK,CA,2015,5.717,California,351.408516,1023,30077512
152,COPRK,CO,2015,5.717,Colorado,91.30387161,206,1658730
268,COPRK,FL,2015,5.717,Florida,237.3833592,45,3527420
384,COPRK,ID,2015,5.717,Idaho,18.03591394,108,1895904
413,COPRK,IL,2015,5.717,Illinois,219.157681,57,2533998
442,COPRK,IN,2015,5.717,Indiana,187.2335142,68,2525723
471,COPRK,KS,2015,5.717,Kansas,64.51256023,120,2548830
500,COPRK,KY,2015,5.717,Kentucky,131.3429697,129,315635700
529,COPRK,LA,2015,5.717,Louisiana,185.5592561,61,2312261
645,COPRK,MI,2015,5.717,Michigan,164.4556231,76,3049845
703,COPRK,MO,2015,5.717,Missouri,124.7473311,619,7036095
732,COPRK,MS,2015,5.717,Mississippi,61.29692129,403,3710526
761,COPRK,MT,2015,5.717,Montana,32.53164542,94,896759
819,COPRK,ND,2015,5.717,North Dakota,57.9230603,16,420940
848,COPRK,NE,2015,5.717,Nebraska,50.71057586,247,3396859
935,COPRK,NM,2015,5.717,New Mexico,50.69183199,50,1126396
964,COPRK,NV,2015,5.717,Nevada,38.5171354,16,790588
993,COPRK,NY,2015,5.717,New York,174.3599244,104,5040800
1022,COPRK,OH,2015,5.717,Ohio,211.1966253,175,2513363
1051,COPRK,OK,2015,5.717,Oklahoma,100.2883311,64,1677872
1109,COPRK,PA,2015,5.717,Pennsylvania,232.9252268,102,4218295
1196,COPRK,SD,2015,5.717,South Dakota,14.13943764,63,3577721
1225,COPRK,TN,2015,5.717,Tennessee,98.70392565,104,3275928
1254,COPRK,TX,2015,5.717,Texas,655.1432269,110,2671308
1312,COPRK,UT,2015,5.717,Utah,63.61302159,80,1243588
1341,COPRK,VA,2015,5.717,Virginia,107.6199041,31,2446464
1457,COPRK,WV,2015,5.717,West Virginia,91.96307825,69,491426
1486,COPRK,WY,2015,5.717,Wyoming,64.09286316,18,249960
1526,COPRK,AK,2016,5.722,Alaska,33.40561066,14,2247734
1555,COPRK,AL,2016,5.722,Alabama,113.9837834,129,1206793
1584,COPRK,AR,2016,5.722,Arkansas,62.12624984,703,4637664
1613,COPRK,AZ,2016,5.722,Arizona,90.85562563,54,2053339
1642,COPRK,CA,2016,5.722,California,353.3561319,848,59755992
1671,COPRK,CO,2016,5.722,Colorado,88.42427593,258,1800615
1787,COPRK,FL,2016,5.722,Florida,238.8326956,72,4068360
1903,COPRK,ID,2016,5.722,Idaho,18.3418212,127,1317624
1932,COPRK,IL,2016,5.722,Illinois,207.4305588,36,1325335
1961,COPRK,IN,2016,5.722,Indiana,181.8275677,45,11391681
1990,COPRK,KS,2016,5.722,Kansas,62.60936987,130,1440764
2019,COPRK,KY,2016,5.722,Kentucky,126.8081795,76,2257870
2048,COPRK,LA,2016,5.722,Louisiana,189.1398596,98,1499474
2164,COPRK,MI,2016,5.722,Michigan,154.5188531,61,1293489
2222,COPRK,MO,2016,5.722,Missouri,119.0157079,520,10631411
2251,COPRK,MS,2016,5.722,Mississippi,62.31469737,608,96309030
2280,COPRK,MT,2016,5.722,Montana,31.13795175,90,2257495
2338,COPRK,ND,2016,5.722,North Dakota,54.93206111,24,502584
2367,COPRK,NE,2016,5.722,Nebraska,48.35090988,199,4011050
2454,COPRK,NM,2016,5.722,New Mexico,48.84541366,28,2015514
2483,COPRK,NV,2016,5.722,Nevada,39.97099675,16,54082
2512,COPRK,NY,2016,5.722,New York,170.1509065,73,2403723
2541,COPRK,OH,2016,5.722,Ohio,205.3227286,132,775584
2570,COPRK,OK,2016,5.722,Oklahoma,96.1010241,58,1341097
2628,COPRK,PA,2016,5.722,Pennsylvania,217.9773815,74,2394977
2715,COPRK,SD,2016,5.722,South Dakota,14.80376576,32,76031784
2744,COPRK,TN,2016,5.722,Tennessee,101.3548028,60,1102457
2773,COPRK,TX,2016,5.722,Texas,656.7493464,176,83607077
2831,COPRK,UT,2016,5.722,Utah,58.82516698,114,612804
2860,COPRK,VA,2016,5.722,Virginia,110.0640459,49,853133
2976,COPRK,WV,2016,5.722,West Virginia,94.48890006,54,614068
3005,COPRK,WY,2016,5.722,Wyoming,61.25999315,23,1359346
3045,COPRK,AK,2017,5.723,Alaska,33.72913017,18,13509662
3074,COPRK,AL,2017,5.723,Alabama,108.5943783,104,2414699
3103,COPRK,AR,2017,5.723,Arkansas,64.17625679,469,2069460
3132,COPRK,AZ,2017,5.723,Arizona,90.47614096,46,1714281
3161,COPRK,CA,2017,5.723,California,356.5165476,786,30392556
3190,COPRK,CO,2017,5.723,Colorado,88.77624019,181,1385451
3306,COPRK,FL,2017,5.723,Florida,238.4284129,56,1239122
3422,COPRK,ID,2017,5.723,Idaho,18.70279024,88,988061
3451,COPRK,IL,2017,5.723,Illinois,205.9749865,32,1262924
3480,COPRK,IN,2017,5.723,Indiana,175.8904931,46,4052088
3509,COPRK,KS,2017,5.723,Kansas,59.03202784,110,1454281
