,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
96,ENPRP,AZ,2015,1154.0,Arizona,94.97878443,65,1724853
125,ENPRP,CA,2015,4650.0,California,351.408516,1023,30077512
154,ENPRP,CO,2015,3479.0,Colorado,91.30387161,206,1658730
299,ENPRP,GA,2015,2334.0,Georgia,145.6756383,247,6155856
357,ENPRP,IA,2015,94058.0,Iowa,77.41573961,198,5552396
386,ENPRP,ID,2015,1554.0,Idaho,18.03591394,108,1895904
415,ENPRP,IL,2015,37062.0,Illinois,219.157681,57,2533998
444,ENPRP,IN,2015,25175.0,Indiana,187.2335142,68,2525723
473,ENPRP,KS,2015,11596.0,Kansas,64.51256023,120,2548830
502,ENPRP,KY,2015,652.0,Kentucky,131.3429697,129,315635700
647,ENPRP,MI,2015,6713.0,Michigan,164.4556231,76,3049845
676,ENPRP,MN,2015,27718.0,Minnesota,89.33099915,119,3292766
705,ENPRP,MO,2015,6506.0,Missouri,124.7473311,619,7036095
734,ENPRP,MS,2015,703.0,Mississippi,61.29692129,403,3710526
821,ENPRP,ND,2015,8626.0,North Dakota,57.9230603,16,420940
850,ENPRP,NE,2015,46646.0,Nebraska,50.71057586,247,3396859
995,ENPRP,NY,2015,3465.0,New York,174.3599244,104,5040800
1024,ENPRP,OH,2015,13507.0,Ohio,211.1966253,175,2513363
1082,ENPRP,OR,2015,947.0,Oregon,37.89416845,169,6478283
1111,ENPRP,PA,2015,2283.0,Pennsylvania,232.9252268,102,4218295
1198,ENPRP,SD,2015,26658.0,South Dakota,14.13943764,63,3577721
1227,ENPRP,TN,2015,4145.0,Tennessee,98.70392565,104,3275928
1256,ENPRP,TX,2015,8241.0,Texas,655.1432269,110,2671308
1343,ENPRP,VA,2015,1012.0,Virginia,107.6199041,31,2446464
1430,ENPRP,WI,2015,13460.0,Wisconsin,99.85701526,107,3755629
1488,ENPRP,WY,2015,209.0,Wyoming,64.09286316,18,249960
1615,ENPRP,AZ,2016,1078.0,Arizona,90.85562563,54,2053339
1644,ENPRP,CA,2016,4717.0,California,353.3561319,848,59755992
1673,ENPRP,CO,2016,3413.0,Colorado,88.42427593,258,1800615
1818,ENPRP,GA,2016,2700.0,Georgia,144.537737,222,20155611
1876,ENPRP,IA,2016,95983.0,Iowa,73.98337008,149,4220545
1905,ENPRP,ID,2016,1615.0,Idaho,18.3418212,127,1317624
1934,ENPRP,IL,2016,41078.0,Illinois,207.4305588,36,1325335
1963,ENPRP,IN,2016,27001.0,Indiana,181.8275677,45,11391681
1992,ENPRP,KS,2016,11854.0,Kansas,62.60936987,130,1440764
2021,ENPRP,KY,2016,708.0,Kentucky,126.8081795,76,2257870
2166,ENPRP,MI,2016,6824.0,Michigan,154.5188531,61,1293489
2195,ENPRP,MN,2016,27920.0,Minnesota,91.10054342,92,16796366
2224,ENPRP,MO,2016,6646.0,Missouri,119.0157079,520,10631411
2253,ENPRP,MS,2016,1181.0,Mississippi,62.31469737,608,96309030
2340,ENPRP,ND,2016,9884.0,North Dakota,54.93206111,24,502584
2369,ENPRP,NE,2016,48878.0,Nebraska,48.35090988,199,4011050
2514,ENPRP,NY,2016,3801.0,New York,170.1509065,73,2403723
2543,ENPRP,OH,2016,13978.0,Ohio,205.3227286,132,775584
2601,ENPRP,OR,2016,904.0,Oregon,37.66506368,162,104123811
2630,ENPRP,PA,2016,2474.0,Pennsylvania,217.9773815,74,2394977
2717,ENPRP,SD,2016,27026.0,South Dakota,14.80376576,32,76031784
2746,ENPRP,TN,2016,4429.0,Tennessee,101.3548028,60,1102457
2775,ENPRP,TX,2016,8500.0,Texas,656.7493464,176,83607077
2862,ENPRP,VA,2016,562.0,Virginia,110.0640459,49,853133
2949,ENPRP,WI,2016,13827.0,Wisconsin,95.6153185,80,7777098
3134,ENPRP,AZ,2017,1155.0,Arizona,90.47614096,46,1714281
3163,ENPRP,CA,2017,5051.0,California,356.5165476,786,30392556
3192,ENPRP,CO,2017,3477.0,Colorado,88.77624019,181,1385451
3337,ENPRP,GA,2017,2530.0,Georgia,141.8352401,185,2884817
3395,ENPRP,IA,2017,100558.0,Iowa,76.30357904,179,6233820
3424,ENPRP,ID,2017,1643.0,Idaho,18.70279024,88,988061
3453,ENPRP,IL,2017,39548.0,Illinois,205.9749865,32,1262924
3482,ENPRP,IN,2017,27471.0,Indiana,175.8904931,46,4052088
3511,ENPRP,KS,2017,12160.0,Kansas,59.03202784,110,1454281
3540,ENPRP,KY,2017,713.0,Kentucky,116.7819997,99,1948714
3685,ENPRP,MI,2017,8158.0,Michigan,155.6806782,37,1287282
3714,ENPRP,MN,2017,28509.0,Minnesota,91.27720044,74,2726558
3743,ENPRP,MO,2017,6828.0,Missouri,124.5052275,316,4957942
3772,ENPRP,MS,2017,1199.0,Mississippi,60.46289527,379,2686540
3859,ENPRP,ND,2017,12205.0,North Dakota,56.92163503,19,477713
3888,ENPRP,NE,2017,49765.0,Nebraska,47.87762064,263,3743400
4033,ENPRP,NY,2017,3687.0,New York,165.8301752,52,789556
4062,ENPRP,OH,2017,14573.0,Ohio,205.0608887,118,10274821
4120,ENPRP,OR,2017,970.0,Oregon,38.79038331,129,137275588
4149,ENPRP,PA,2017,2320.0,Pennsylvania,215.2868489,53,2661655
4236,ENPRP,SD,2017,28199.0,South Dakota,14.65586638,18,3225820
4265,ENPRP,TN,2017,4455.0,Tennessee,97.40767095,28,889496
4294,ENPRP,TX,2017,8663.0,Texas,664.9673475,219,98254981
4381,ENPRP,VA,2017,1265.0,Virginia,105.5838769,35,5764689
4468,ENPRP,WI,2017,14333.0,Wisconsin,98.64308793,95,2622475
4653,ENPRP,AZ,2018,1184.0,Arizona,94.09550866,48,539053
4682,ENPRP,CA,2018,5170.0,California,358.5947178,749,28208367
4711,ENPRP,CO,2018,3457.0,Colorado,90.06168948,142,29876375
4856,ENPRP,GA,2018,2413.0,Georgia,141.9209237,192,7882488
4914,ENPRP,IA,2018,104035.0,Iowa,82.42756253,239,8883799
4943,ENPRP,ID,2018,1633.0,Idaho,19.04276093,89,1198524
4972,ENPRP,IL,2018,36449.0,Illinois,213.1001319,64,5112413
5001,ENPRP,IN,2018,28312.0,Indiana,189.2161684,59,5700232
5030,ENPRP,KS,2018,12526.0,Kansas,62.85277614,67,1041662
5059,ENPRP,KY,2018,700.0,Kentucky,122.771335,77,2944583
5204,ENPRP,MI,2018,8595.0,Michigan,163.7174435,56,936266
5233,ENPRP,MN,2018,29187.0,Minnesota,94.75605009,154,55322766
5262,ENPRP,MO,2018,6837.0,Missouri,124.7805316,185,3637928
5291,ENPRP,MS,2018,1191.0,Mississippi,63.23252555,469,3767073
5378,ENPRP,ND,2018,12242.0,North Dakota,59.282972,30,520857
5407,ENPRP,NE,2018,49723.0,Nebraska,52.35500953,271,4330170
5552,ENPRP,NY,2018,3308.0,New York,175.0969653,60,13144827
5581,ENPRP,OH,2018,15131.0,Ohio,208.9666748,52,6168918
5639,ENPRP,OR,2018,994.0,Oregon,39.58013113,96,3286698
5668,ENPRP,PA,2018,2212.0,Pennsylvania,220.1938915,57,10494432
5755,ENPRP,SD,2018,28987.0,South Dakota,15.52399536,38,3826069
5784,ENPRP,TN,2018,4376.0,Tennessee,93.83598219,31,4038180
5813,ENPRP,TX,2018,8266.0,Texas,684.6895943,261,46570295
5900,ENPRP,VA,2018,1086.0,Virginia,110.0554883,37,2735678
5987,ENPRP,WI,2018,15113.0,Wisconsin,101.1727696,75,2067441
6172,ENPRP,AZ,2019,531.0,Arizona,92.53702529,29,95135122
6201,ENPRP,CA,2019,4632.0,California,358.1643733,609,158244985
6230,ENPRP,CO,2019,3287.0,Colorado,91.72734664,96,10796826
6375,ENPRP,GA,2019,2792.0,Georgia,136.4670209,191,2374660
6433,ENPRP,IA,2019,104135.0,Iowa,77.29621466,120,3041432
6462,ENPRP,ID,2019,1571.0,Idaho,20.08591692,60,910270
6491,ENPRP,IL,2019,35260.0,Illinois,203.43232,84,11321378
