,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
12,NCPRB,AK,2015,16298.0,Alaska,35.0278036,16,3345612
41,NCPRB,AL,2015,92144.0,Alabama,119.2008893,164,1864412
70,NCPRB,AR,2015,34194.0,Arkansas,59.05336455,477,13453887
99,NCPRB,AZ,2015,113693.0,Arizona,94.97878443,65,1724853
128,NCPRB,CA,2015,567365.0,California,351.408516,1023,30077512
157,NCPRB,CO,2015,91789.0,Colorado,91.30387161,206,1658730
186,NCPRB,CT,2015,5792.0,Connecticut,36.32904924,33,1340702
244,NCPRB,DE,2015,1708.0,Delaware,13.9053954,68,1452666
273,NCPRB,FL,2015,42466.0,Florida,237.3833592,45,3527420
302,NCPRB,GA,2015,30579.0,Georgia,145.6756383,247,6155856
331,NCPRB,HI,2015,17353.0,Hawaii,19.7810368,16,1033143
360,NCPRB,IA,2015,177203.0,Iowa,77.41573961,198,5552396
389,NCPRB,ID,2015,105046.0,Idaho,18.03591394,108,1895904
418,NCPRB,IL,2015,105293.0,Illinois,219.157681,57,2533998
447,NCPRB,IN,2015,51990.0,Indiana,187.2335142,68,2525723
476,NCPRB,KS,2015,103733.0,Kansas,64.51256023,120,2548830
505,NCPRB,KY,2015,34627.0,Kentucky,131.3429697,129,315635700
534,NCPRB,LA,2015,12672.0,Louisiana,185.5592561,61,2312261
563,NCPRB,MA,2015,23103.0,Massachusetts,66.74652168,34,4240538
592,NCPRB,MD,2015,24122.0,Maryland,62.28032684,100,1890491
621,NCPRB,ME,2015,43787.0,Maine,16.67908857,74,2818563
650,NCPRB,MI,2015,64720.0,Michigan,164.4556231,76,3049845
679,NCPRB,MN,2015,100589.0,Minnesota,89.33099915,119,3292766
708,NCPRB,MO,2015,26386.0,Missouri,124.7473311,619,7036095
737,NCPRB,MS,2015,988.0,Mississippi,61.29692129,403,3710526
766,NCPRB,MT,2015,110876.0,Montana,32.53164542,94,896759
795,NCPRB,NC,2015,59028.0,North Carolina,124.7782841,232,202376181
824,NCPRB,ND,2015,81127.0,North Dakota,57.9230603,16,420940
853,NCPRB,NE,2015,46594.0,Nebraska,50.71057586,247,3396859
882,NCPRB,NH,2015,16105.0,New Hampshire,15.27856723,46,1371086
911,NCPRB,NJ,2015,21721.0,New Jersey,103.6600002,47,1130951
940,NCPRB,NM,2015,28119.0,New Mexico,50.69183199,50,1126396
969,NCPRB,NV,2015,72737.0,Nevada,38.5171354,16,790588
998,NCPRB,NY,2015,288404.0,New York,174.3599244,104,5040800
1027,NCPRB,OH,2015,20579.0,Ohio,211.1966253,175,2513363
1056,NCPRB,OK,2015,155674.0,Oklahoma,100.2883311,64,1677872
1085,NCPRB,OR,2015,358382.0,Oregon,37.89416845,169,6478283
1114,NCPRB,PA,2015,61427.0,Pennsylvania,232.9252268,102,4218295
1143,NCPRB,RI,2015,477.0,Rhode Island,10.80452453,11,671306
1172,NCPRB,SC,2015,24686.0,South Carolina,73.39880613,60,3065630
1201,NCPRB,SD,2015,70354.0,South Dakota,14.13943764,63,3577721
1230,NCPRB,TN,2015,91221.0,Tennessee,98.70392565,104,3275928
1259,NCPRB,TX,2015,435590.0,Texas,655.1432269,110,2671308
1317,NCPRB,UT,2015,18788.0,Utah,63.61302159,80,1243588
1346,NCPRB,VA,2015,13300.0,Virginia,107.6199041,31,2446464
1375,NCPRB,VT,2015,14724.0,Vermont,6.126831312,33,47317173
1404,NCPRB,WA,2015,751781.0,Washington,75.13711456,109,1978193
1433,NCPRB,WI,2015,37744.0,Wisconsin,99.85701526,107,3755629
1462,NCPRB,WV,2015,25858.0,West Virginia,91.96307825,69,491426
1491,NCPRB,WY,2015,43791.0,Wyoming,64.09286316,18,249960
1531,NCPRB,AK,2016,17081.0,Alaska,33.40561066,14,2247734
1560,NCPRB,AL,2016,65056.0,Alabama,113.9837834,129,1206793
1589,NCPRB,AR,2016,34139.0,Arkansas,62.12624984,703,4637664
1618,NCPRB,AZ,2016,124372.0,Arizona,90.85562563,54,2053339
