,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
13,NGMPB,AK,2015,380887.0,Alaska,35.0278036,16,3345612
42,NGMPB,AL,2015,182481.0,Alabama,119.2008893,164,1864412
71,NGMPB,AR,2015,1031466.0,Arkansas,59.05336455,477,13453887
100,NGMPB,AZ,2015,99.0,Arizona,94.97878443,65,1724853
129,NGMPB,CA,2015,271086.0,California,351.408516,1023,30077512
158,NGMPB,CO,2015,1965188.0,Colorado,91.30387161,206,1658730
274,NGMPB,FL,2015,1162.0,Florida,237.3833592,45,3527420
390,NGMPB,ID,2015,1192.0,Idaho,18.03591394,108,1895904
419,NGMPB,IL,2015,2210.0,Illinois,219.157681,57,2533998
448,NGMPB,IN,2015,7446.0,Indiana,187.2335142,68,2525723
477,NGMPB,KS,2015,318548.0,Kansas,64.51256023,120,2548830
506,NGMPB,KY,2015,108080.0,Kentucky,131.3429697,129,315635700
535,NGMPB,LA,2015,1916410.0,Louisiana,185.5592561,61,2312261
593,NGMPB,MD,2015,40.0,Maryland,62.28032684,100,1890491
651,NGMPB,MI,2015,114061.0,Michigan,164.4556231,76,3049845
709,NGMPB,MO,2015,1.0,Missouri,124.7473311,619,7036095
738,NGMPB,MS,2015,60476.0,Mississippi,61.29692129,403,3710526
767,NGMPB,MT,2015,55943.0,Montana,32.53164542,94,896759
825,NGMPB,ND,2015,678977.0,North Dakota,57.9230603,16,420940
854,NGMPB,NE,2015,504.0,Nebraska,50.71057586,247,3396859
941,NGMPB,NM,2015,1436329.0,New Mexico,50.69183199,50,1126396
970,NGMPB,NV,2015,4.0,Nevada,38.5171354,16,790588
999,NGMPB,NY,2015,17879.0,New York,174.3599244,104,5040800
1028,NGMPB,OH,2015,1171552.0,Ohio,211.1966253,175,2513363
1057,NGMPB,OK,2015,2880137.0,Oklahoma,100.2883311,64,1677872
1086,NGMPB,OR,2015,889.0,Oregon,37.89416845,169,6478283
1115,NGMPB,PA,2015,5119772.0,Pennsylvania,232.9252268,102,4218295
1202,NGMPB,SD,2015,614.0,South Dakota,14.13943764,63,3577721
1231,NGMPB,TN,2015,4959.0,Tennessee,98.70392565,104,3275928
1260,NGMPB,TX,2015,9392314.0,Texas,655.1432269,110,2671308
1318,NGMPB,UT,2015,461219.0,Utah,63.61302159,80,1243588
1347,NGMPB,VA,2015,134220.0,Virginia,107.6199041,31,2446464
1463,NGMPB,WV,2015,1562536.0,West Virginia,91.96307825,69,491426
1492,NGMPB,WY,2015,1998295.0,Wyoming,64.09286316,18,249960
1532,NGMPB,AK,2016,369865.0,Alaska,33.40561066,14,2247734
1561,NGMPB,AL,2016,176290.0,Alabama,113.9837834,129,1206793
1590,NGMPB,AR,2016,839485.0,Arkansas,62.12624984,703,4637664
1619,NGMPB,AZ,2016,49.0,Arizona,90.85562563,54,2053339
1648,NGMPB,CA,2016,234094.0,California,353.3561319,848,59755992
1677,NGMPB,CO,2016,1981005.0,Colorado,88.42427593,258,1800615
1793,NGMPB,FL,2016,1062.0,Florida,238.8326956,72,4068360
1909,NGMPB,ID,2016,5208.0,Idaho,18.3418212,127,1317624
1938,NGMPB,IL,2016,2317.0,Illinois,207.4305588,36,1325335
1967,NGMPB,IN,2016,6441.0,Indiana,181.8275677,45,11391681
1996,NGMPB,KS,2016,281646.0,Kansas,62.60936987,130,1440764
2025,NGMPB,KY,2016,102591.0,Kentucky,126.8081795,76,2257870
2054,NGMPB,LA,2016,1893803.0,Louisiana,189.1398596,98,1499474
2112,NGMPB,MD,2016,36.0,Maryland,60.46760995,65,1349074
2170,NGMPB,MI,2016,108450.0,Michigan,154.5188531,61,1293489
2228,NGMPB,MO,2016,1.0,Missouri,119.0157079,520,10631411
2257,NGMPB,MS,2016,50418.0,Mississippi,62.31469737,608,96309030
2286,NGMPB,MT,2016,52130.0,Montana,31.13795175,90,2257495
2344,NGMPB,ND,2016,766865.0,North Dakota,54.93206111,24,502584
2373,NGMPB,NE,2016,557.0,Nebraska,48.35090988,199,4011050
2460,NGMPB,NM,2016,1422598.0,New Mexico,48.84541366,28,2015514
2489,NGMPB,NV,2016,3.0,Nevada,39.97099675,16,54082
2518,NGMPB,NY,2016,13942.0,New York,170.1509065,73,2403723
2547,NGMPB,OH,2016,1647241.0,Ohio,205.3227286,132,775584
2576,NGMPB,OK,2016,2864577.0,Oklahoma,96.1010241,58,1341097
2605,NGMPB,OR,2016,848.0,Oregon,37.66506368,162,104123811
2634,NGMPB,PA,2016,5525743.0,Pennsylvania,217.9773815,74,2394977
2721,NGMPB,SD,2016,511.0,South Dakota,14.80376576,32,76031784
2750,NGMPB,TN,2016,4180.0,Tennessee,101.3548028,60,1102457
2779,NGMPB,TX,2016,8659990.0,Texas,656.7493464,176,83607077
2837,NGMPB,UT,2016,401909.0,Utah,58.82516698,114,612804
2866,NGMPB,VA,2016,126663.0,Virginia,110.0640459,49,853133
2982,NGMPB,WV,2016,1667404.0,West Virginia,94.48890006,54,614068
3011,NGMPB,WY,2016,1878141.0,Wyoming,61.25999315,23,1359346
3051,NGMPB,AK,2017,382940.0,Alaska,33.72913017,18,13509662
3080,NGMPB,AL,2017,159686.0,Alabama,108.5943783,104,2414699
3109,NGMPB,AR,2017,708482.0,Arkansas,64.17625679,469,2069460
3138,NGMPB,AZ,2017,58.0,Arizona,90.47614096,46,1714281
3167,NGMPB,CA,2017,240221.0,California,356.5165476,786,30392556
3196,NGMPB,CO,2017,2028824.0,Colorado,88.77624019,181,1385451
3312,NGMPB,FL,2017,1048.0,Florida,238.4284129,56,1239122
