,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
14,NGMPK,AK,2015,1.108,Alaska,35.0278036,16,3345612
43,NGMPK,AL,2015,1.085,Alabama,119.2008893,164,1864412
72,NGMPK,AR,2015,1.021,Arkansas,59.05336455,477,13453887
101,NGMPK,AZ,2015,1.04,Arizona,94.97878443,65,1724853
130,NGMPK,CA,2015,1.146,California,351.408516,1023,30077512
159,NGMPK,CO,2015,1.164,Colorado,91.30387161,206,1658730
275,NGMPK,FL,2015,1.521,Florida,237.3833592,45,3527420
391,NGMPK,ID,2015,1.106,Idaho,18.03591394,108,1895904
420,NGMPK,IL,2015,1.062,Illinois,219.157681,57,2533998
449,NGMPK,IN,2015,1.027,Indiana,187.2335142,68,2525723
478,NGMPK,KS,2015,1.121,Kansas,64.51256023,120,2548830
507,NGMPK,KY,2015,1.127,Kentucky,131.3429697,129,315635700
536,NGMPK,LA,2015,1.062,Louisiana,185.5592561,61,2312261
594,NGMPK,MD,2015,1.055,Maryland,62.28032684,100,1890491
652,NGMPK,MI,2015,1.059,Michigan,164.4556231,76,3049845
710,NGMPK,MO,2015,1.012,Missouri,124.7473311,619,7036095
739,NGMPK,MS,2015,1.039,Mississippi,61.29692129,403,3710526
768,NGMPK,MT,2015,1.089,Montana,32.53164542,94,896759
826,NGMPK,ND,2015,1.44,North Dakota,57.9230603,16,420940
855,NGMPK,NE,2015,1.057,Nebraska,50.71057586,247,3396859
942,NGMPK,NM,2015,1.154,New Mexico,50.69183199,50,1126396
971,NGMPK,NV,2015,1.042,Nevada,38.5171354,16,790588
1000,NGMPK,NY,2015,1.032,New York,174.3599244,104,5040800
1029,NGMPK,OH,2015,1.163,Ohio,211.1966253,175,2513363
1058,NGMPK,OK,2015,1.152,Oklahoma,100.2883311,64,1677872
1087,NGMPK,OR,2015,1.048,Oregon,37.89416845,169,6478283
1116,NGMPK,PA,2015,1.064,Pennsylvania,232.9252268,102,4218295
1203,NGMPK,SD,2015,1.111,South Dakota,14.13943764,63,3577721
1232,NGMPK,TN,2015,1.16,Tennessee,98.70392565,104,3275928
1261,NGMPK,TX,2015,1.19,Texas,655.1432269,110,2671308
1319,NGMPK,UT,2015,1.106,Utah,63.61302159,80,1243588
1348,NGMPK,VA,2015,1.052,Virginia,107.6199041,31,2446464
1464,NGMPK,WV,2015,1.188,West Virginia,91.96307825,69,491426
1493,NGMPK,WY,2015,1.105,Wyoming,64.09286316,18,249960
1533,NGMPK,AK,2016,1.112,Alaska,33.40561066,14,2247734
1562,NGMPK,AL,2016,1.07,Alabama,113.9837834,129,1206793
1591,NGMPK,AR,2016,1.02,Arkansas,62.12624984,703,4637664
1620,NGMPK,AZ,2016,1.037,Arizona,90.85562563,54,2053339
1649,NGMPK,CA,2016,1.142,California,353.3561319,848,59755992
1678,NGMPK,CO,2016,1.175,Colorado,88.42427593,258,1800615
1794,NGMPK,FL,2016,1.484,Florida,238.8326956,72,4068360
1910,NGMPK,ID,2016,1.123,Idaho,18.3418212,127,1317624
1939,NGMPK,IL,2016,1.061,Illinois,207.4305588,36,1325335
1968,NGMPK,IN,2016,1.038,Indiana,181.8275677,45,11391681
1997,NGMPK,KS,2016,1.151,Kansas,62.60936987,130,1440764
2026,NGMPK,KY,2016,1.119,Kentucky,126.8081795,76,2257870
2055,NGMPK,LA,2016,1.061,Louisiana,189.1398596,98,1499474
2113,NGMPK,MD,2016,1.051,Maryland,60.46760995,65,1349074
2171,NGMPK,MI,2016,1.063,Michigan,154.5188531,61,1293489
2229,NGMPK,MO,2016,1.024,Missouri,119.0157079,520,10631411
2258,NGMPK,MS,2016,1.039,Mississippi,62.31469737,608,96309030
2287,NGMPK,MT,2016,1.088,Montana,31.13795175,90,2257495
2345,NGMPK,ND,2016,1.441,North Dakota,54.93206111,24,502584
2374,NGMPK,NE,2016,1.059,Nebraska,48.35090988,199,4011050
2461,NGMPK,NM,2016,1.157,New Mexico,48.84541366,28,2015514
2490,NGMPK,NV,2016,1.041,Nevada,39.97099675,16,54082
2519,NGMPK,NY,2016,1.031,New York,170.1509065,73,2403723
2548,NGMPK,OH,2016,1.146,Ohio,205.3227286,132,775584
2577,NGMPK,OK,2016,1.161,Oklahoma,96.1010241,58,1341097
2606,NGMPK,OR,2016,1.059,Oregon,37.66506368,162,104123811
2635,NGMPK,PA,2016,1.061,Pennsylvania,217.9773815,74,2394977
2722,NGMPK,SD,2016,1.124,South Dakota,14.80376576,32,76031784
2751,NGMPK,TN,2016,1.16,Tennessee,101.3548028,60,1102457
2780,NGMPK,TX,2016,1.199,Texas,656.7493464,176,83607077
2838,NGMPK,UT,2016,1.1,Utah,58.82516698,114,612804
2867,NGMPK,VA,2016,1.053,Virginia,110.0640459,49,853133
2983,NGMPK,WV,2016,1.204,West Virginia,94.48890006,54,614068
3012,NGMPK,WY,2016,1.129,Wyoming,61.25999315,23,1359346
3052,NGMPK,AK,2017,1.112,Alaska,33.72913017,18,13509662
3081,NGMPK,AL,2017,1.064,Alabama,108.5943783,104,2414699
3110,NGMPK,AR,2017,1.02,Arkansas,64.17625679,469,2069460
3139,NGMPK,AZ,2017,1.041,Arizona,90.47614096,46,1714281
3168,NGMPK,CA,2017,1.131,California,356.5165476,786,30392556
3197,NGMPK,CO,2017,1.189,Colorado,88.77624019,181,1385451
3313,NGMPK,FL,2017,1.48,Florida,238.4284129,56,1239122
3429,NGMPK,ID,2017,1.106,Idaho,18.70279024,88,988061
3458,NGMPK,IL,2017,1.06,Illinois,205.9749865,32,1262924
3487,NGMPK,IN,2017,1.043,Indiana,175.8904931,46,4052088
3516,NGMPK,KS,2017,1.171,Kansas,59.03202784,110,1454281
3545,NGMPK,KY,2017,1.142,Kentucky,116.7819997,99,1948714
3574,NGMPK,LA,2017,1.046,Louisiana,193.3738211,71,1216601
3632,NGMPK,MD,2017,1.047,Maryland,55.040273,48,6343700
3690,NGMPK,MI,2017,1.064,Michigan,155.6806782,37,1287282
3748,NGMPK,MO,2017,1.01,Missouri,124.5052275,316,4957942
3777,NGMPK,MS,2017,1.033,Mississippi,60.46289527,379,2686540
3806,NGMPK,MT,2017,1.097,Montana,31.25081171,93,1091494
3864,NGMPK,ND,2017,1.443,North Dakota,56.92163503,19,477713
3893,NGMPK,NE,2017,1.061,Nebraska,47.87762064,263,3743400
3980,NGMPK,NM,2017,1.159,New Mexico,49.62030346,47,5893114
4009,NGMPK,NV,2017,1.039,Nevada,40.20696595,33,311016629
4038,NGMPK,NY,2017,1.032,New York,165.8301752,52,789556
4067,NGMPK,OH,2017,1.122,Ohio,205.0608887,118,10274821
4096,NGMPK,OK,2017,1.168,Oklahoma,93.44516627,41,2449186
4125,NGMPK,OR,2017,1.062,Oregon,38.79038331,129,137275588
4154,NGMPK,PA,2017,1.058,Pennsylvania,215.2868489,53,2661655
4241,NGMPK,SD,2017,1.115,South Dakota,14.65586638,18,3225820
4270,NGMPK,TN,2017,1.179,Tennessee,97.40767095,28,889496
4299,NGMPK,TX,2017,1.209,Texas,664.9673475,219,98254981
4357,NGMPK,UT,2017,1.1,Utah,59.03113555,56,15437033
4386,NGMPK,VA,2017,1.053,Virginia,105.5838769,35,5764689
4502,NGMPK,WV,2017,1.213,West Virginia,90.84162772,88,673413
4531,NGMPK,WY,2017,1.125,Wyoming,62.79648656,47,413987
4571,NGMPK,AK,2018,1.1,Alaska,34.51458857,44,18236626
4600,NGMPK,AL,2018,1.073,Alabama,112.3554714,75,1844186
4629,NGMPK,AR,2018,1.018,Arkansas,70.78614615,414,79970512
4658,NGMPK,AZ,2018,1.041,Arizona,94.09550866,48,539053
4687,NGMPK,CA,2018,1.13,California,358.5947178,749,28208367
4716,NGMPK,CO,2018,1.2,Colorado,90.06168948,142,29876375
4832,NGMPK,FL,2018,1.425,Florida,242.0091133,62,49550089
4948,NGMPK,ID,2018,1.136,Idaho,19.04276093,89,1198524
4977,NGMPK,IL,2018,1.054,Illinois,213.1001319,64,5112413
5006,NGMPK,IN,2018,1.047,Indiana,189.2161684,59,5700232
5035,NGMPK,KS,2018,1.179,Kansas,62.85277614,67,1041662
5064,NGMPK,KY,2018,1.143,Kentucky,122.771335,77,2944583
5093,NGMPK,LA,2018,1.039,Louisiana,194.74322,86,764829
5151,NGMPK,MD,2018,1.042,Maryland,61.68531518,61,2306029
5209,NGMPK,MI,2018,1.07,Michigan,163.7174435,56,936266
5267,NGMPK,MO,2018,1.024,Missouri,124.7805316,185,3637928
5296,NGMPK,MS,2018,1.026,Mississippi,63.23252555,469,3767073
5325,NGMPK,MT,2018,1.096,Montana,31.25796736,114,2449554
5383,NGMPK,ND,2018,1.405,North Dakota,59.282972,30,520857
5412,NGMPK,NE,2018,1.06,Nebraska,52.35500953,271,4330170
5499,NGMPK,NM,2018,1.162,New Mexico,45.85390881,22,755535
5528,NGMPK,NV,2018,1.037,Nevada,41.38306985,57,535889
5557,NGMPK,NY,2018,1.032,New York,175.0969653,60,13144827
5586,NGMPK,OH,2018,1.104,Ohio,208.9666748,52,6168918
5615,NGMPK,OK,2018,1.164,Oklahoma,98.01036447,23,1495639
5644,NGMPK,OR,2018,1.061,Oregon,39.58013113,96,3286698
5673,NGMPK,PA,2018,1.059,Pennsylvania,220.1938915,57,10494432
5760,NGMPK,SD,2018,1.105,South Dakota,15.52399536,38,3826069
5789,NGMPK,TN,2018,1.138,Tennessee,93.83598219,31,4038180
5818,NGMPK,TX,2018,1.216,Texas,684.6895943,261,46570295
5876,NGMPK,UT,2018,1.103,Utah,61.24871623,41,668749
5905,NGMPK,VA,2018,1.052,Virginia,110.0554883,37,2735678
6021,NGMPK,WV,2018,1.219,West Virginia,89.14479553,48,946699
6050,NGMPK,WY,2018,1.125,Wyoming,63.84608066,53,573639
6090,NGMPK,AK,2019,1.106,Alaska,34.25944031,32,13734021
6119,NGMPK,AL,2019,1.064,Alabama,106.2507516,54,840218
6148,NGMPK,AR,2019,1.019,Arkansas,65.07220242,302,60034678
6177,NGMPK,AZ,2019,1.032,Arizona,92.53702529,29,95135122
6206,NGMPK,CA,2019,1.122,California,358.1643733,609,158244985
6235,NGMPK,CO,2019,1.205,Colorado,91.72734664,96,10796826
6351,NGMPK,FL,2019,1.516,Florida,233.5527795,53,52936642
6467,NGMPK,ID,2019,1.103,Idaho,20.08591692,60,910270
6496,NGMPK,IL,2019,1.06,Illinois,203.43232,84,11321378
6525,NGMPK,IN,2019,1.052,Indiana,176.1079655,52,1593785
6554,NGMPK,KS,2019,1.162,Kansas,60.4526702,43,992149
6583,NGMPK,KY,2019,1.147,Kentucky,115.3817286,63,1092217
6612,NGMPK,LA,2019,1.037,Louisiana,194.892652,67,250695185
6670,NGMPK,MD,2019,1.044,Maryland,56.87149823,73,1428319
6728,NGMPK,MI,2019,1.077,Michigan,159.2399805,65,2360732
6786,NGMPK,MO,2019,1.024,Missouri,116.985714,177,3478408
6815,NGMPK,MS,2019,1.029,Mississippi,62.54458802,269,2609443
6844,NGMPK,MT,2019,1.102,Montana,32.28539515,61,618074
