,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
17,PAPRB,AK,2015,1007501.0,Alaska,35.0278036,16,3345612
46,PAPRB,AL,2015,55421.0,Alabama,119.2008893,164,1864412
75,PAPRB,AR,2015,35611.0,Arkansas,59.05336455,477,13453887
104,PAPRB,AZ,2015,212.0,Arizona,94.97878443,65,1724853
133,PAPRB,CA,2015,1150741.0,California,351.408516,1023,30077512
162,PAPRB,CO,2015,698737.0,Colorado,91.30387161,206,1658730
278,PAPRB,FL,2015,12623.0,Florida,237.3833592,45,3527420
394,PAPRB,ID,2015,172.0,Idaho,18.03591394,108,1895904
423,PAPRB,IL,2015,54426.0,Illinois,219.157681,57,2533998
452,PAPRB,IN,2015,12686.0,Indiana,187.2335142,68,2525723
481,PAPRB,KS,2015,260015.0,Kansas,64.51256023,120,2548830
510,PAPRB,KY,2015,16362.0,Kentucky,131.3429697,129,315635700
539,PAPRB,LA,2015,364396.0,Louisiana,185.5592561,61,2312261
655,PAPRB,MI,2015,37504.0,Michigan,164.4556231,76,3049845
713,PAPRB,MO,2015,852.0,Missouri,124.7473311,619,7036095
742,PAPRB,MS,2015,142485.0,Mississippi,61.29692129,403,3710526
771,PAPRB,MT,2015,163249.0,Montana,32.53164542,94,896759
829,PAPRB,ND,2015,2456200.0,North Dakota,57.9230603,16,420940
858,PAPRB,NE,2015,15419.0,Nebraska,50.71057586,247,3396859
945,PAPRB,NM,2015,846659.0,New Mexico,50.69183199,50,1126396
974,PAPRB,NV,2015,1606.0,Nevada,38.5171354,16,790588
1003,PAPRB,NY,2015,1635.0,New York,174.3599244,104,5040800
1032,PAPRB,OH,2015,152650.0,Ohio,211.1966253,175,2513363
1061,PAPRB,OK,2015,949416.0,Oklahoma,100.2883311,64,1677872
1119,PAPRB,PA,2015,40522.0,Pennsylvania,232.9252268,102,4218295
1206,PAPRB,SD,2015,9507.0,South Dakota,14.13943764,63,3577721
1235,PAPRB,TN,2015,1692.0,Tennessee,98.70392565,104,3275928
1264,PAPRB,TX,2015,7213013.0,Texas,655.1432269,110,2671308
1322,PAPRB,UT,2015,212307.0,Utah,63.61302159,80,1243588
1351,PAPRB,VA,2015,63.0,Virginia,107.6199041,31,2446464
1467,PAPRB,WV,2015,66157.0,West Virginia,91.96307825,69,491426
1496,PAPRB,WY,2015,494355.0,Wyoming,64.09286316,18,249960
1536,PAPRB,AK,2016,1026401.0,Alaska,33.40561066,14,2247734
1565,PAPRB,AL,2016,46417.0,Alabama,113.9837834,129,1206793
1594,PAPRB,AR,2016,31580.0,Arkansas,62.12624984,703,4637664
1623,PAPRB,AZ,2016,46.0,Arizona,90.85562563,54,2053339
1652,PAPRB,CA,2016,1064744.0,California,353.3561319,848,59755992
1681,PAPRB,CO,2016,663969.0,Colorado,88.42427593,258,1800615
1797,PAPRB,FL,2016,11066.0,Florida,238.8326956,72,4068360
1913,PAPRB,ID,2016,1230.0,Idaho,18.3418212,127,1317624
1942,PAPRB,IL,2016,49432.0,Illinois,207.4305588,36,1325335
1971,PAPRB,IN,2016,10397.0,Indiana,181.8275677,45,11391681
2000,PAPRB,KS,2016,217116.0,Kansas,62.60936987,130,1440764
2029,PAPRB,KY,2016,14849.0,Kentucky,126.8081795,76,2257870
2058,PAPRB,LA,2016,328643.0,Louisiana,189.1398596,98,1499474
2174,PAPRB,MI,2016,32266.0,Michigan,154.5188531,61,1293489
2232,PAPRB,MO,2016,704.0,Missouri,119.0157079,520,10631411
2261,PAPRB,MS,2016,116649.0,Mississippi,62.31469737,608,96309030
2290,PAPRB,MT,2016,132625.0,Montana,31.13795175,90,2257495
2348,PAPRB,ND,2016,2161886.0,North Dakota,54.93206111,24,502584
2377,PAPRB,NE,2016,12560.0,Nebraska,48.35090988,199,4011050
2464,PAPRB,NM,2016,839040.0,New Mexico,48.84541366,28,2015514
2493,PAPRB,NV,2016,1585.0,Nevada,39.97099675,16,54082
2522,PAPRB,NY,2016,1287.0,New York,170.1509065,73,2403723
2551,PAPRB,OH,2016,123595.0,Ohio,205.3227286,132,775584
2580,PAPRB,OK,2016,885142.0,Oklahoma,96.1010241,58,1341097
2638,PAPRB,PA,2016,35888.0,Pennsylvania,217.9773815,74,2394977
2725,PAPRB,SD,2016,8045.0,South Dakota,14.80376576,32,76031784
2754,PAPRB,TN,2016,1471.0,Tennessee,101.3548028,60,1102457
2783,PAPRB,TX,2016,6683754.0,Texas,656.7493464,176,83607077
2841,PAPRB,UT,2016,174681.0,Utah,58.82516698,114,612804
2870,PAPRB,VA,2016,40.0,Virginia,110.0640459,49,853133
2986,PAPRB,WV,2016,43693.0,West Virginia,94.48890006,54,614068
3015,PAPRB,WY,2016,415795.0,Wyoming,61.25999315,23,1359346
3055,PAPRB,AK,2017,1033270.0,Alaska,33.72913017,18,13509662
3084,PAPRB,AL,2017,39100.0,Alabama,108.5943783,104,2414699
3113,PAPRB,AR,2017,30263.0,Arkansas,64.17625679,469,2069460
3142,PAPRB,AZ,2017,74.0,Arizona,90.47614096,46,1714281
3171,PAPRB,CA,2017,992385.0,California,356.5165476,786,30392556
3200,PAPRB,CO,2017,744780.0,Colorado,88.77624019,181,1385451
3316,PAPRB,FL,2017,11005.0,Florida,238.4284129,56,1239122
3432,PAPRB,ID,2017,521.0,Idaho,18.70279024,88,988061
3461,PAPRB,IL,2017,47581.0,Illinois,205.9749865,32,1262924
3490,PAPRB,IN,2017,10181.0,Indiana,175.8904931,46,4052088
3519,PAPRB,KS,2017,205026.0,Kansas,59.03202784,110,1454281
3548,PAPRB,KY,2017,14176.0,Kentucky,116.7819997,99,1948714
3577,PAPRB,LA,2017,295015.0,Louisiana,193.3738211,71,1216601
3693,PAPRB,MI,2017,31597.0,Michigan,155.6806782,37,1287282
3751,PAPRB,MO,2017,664.0,Missouri,124.5052275,316,4957942
3780,PAPRB,MS,2017,101772.0,Mississippi,60.46289527,379,2686540
3809,PAPRB,MT,2017,118586.0,Montana,31.25081171,93,1091494
3867,PAPRB,ND,2017,2235455.0,North Dakota,56.92163503,19,477713
3896,PAPRB,NE,2017,11978.0,Nebraska,47.87762064,263,3743400
3983,PAPRB,NM,2017,986514.0,New Mexico,49.62030346,47,5893114
4012,PAPRB,NV,2017,1637.0,Nevada,40.20696595,33,311016629
4041,PAPRB,NY,2017,1105.0,New York,165.8301752,52,789556
4070,PAPRB,OH,2017,114517.0,Ohio,205.0608887,118,10274821
4099,PAPRB,OK,2017,949291.0,Oklahoma,93.44516627,41,2449186
4157,PAPRB,PA,2017,37554.0,Pennsylvania,215.2868489,53,2661655
4244,PAPRB,SD,2017,7463.0,South Dakota,14.65586638,18,3225820
4273,PAPRB,TN,2017,1551.0,Tennessee,97.40767095,28,889496
4302,PAPRB,TX,2017,7297941.0,Texas,664.9673475,219,98254981
4360,PAPRB,UT,2017,197089.0,Utah,59.03113555,56,15437033
4389,PAPRB,VA,2017,40.0,Virginia,105.5838769,35,5764689
4505,PAPRB,WV,2017,49372.0,West Virginia,90.84162772,88,673413
4534,PAPRB,WY,2017,433655.0,Wyoming,62.79648656,47,413987
4574,PAPRB,AK,2018,997415.0,Alaska,34.51458857,44,18236626
4603,PAPRB,AL,2018,33591.0,Alabama,112.3554714,75,1844186
4632,PAPRB,AR,2018,28553.0,Arkansas,70.78614615,414,79970512
4661,PAPRB,AZ,2018,57.0,Arizona,94.09550866,48,539053
4690,PAPRB,CA,2018,916715.0,California,358.5947178,749,28208367
4719,PAPRB,CO,2018,966448.0,Colorado,90.06168948,142,29876375
4835,PAPRB,FL,2018,10493.0,Florida,242.0091133,62,49550089
4951,PAPRB,ID,2018,502.0,Idaho,19.04276093,89,1198524
4980,PAPRB,IL,2018,48045.0,Illinois,213.1001319,64,5112413
5009,PAPRB,IN,2018,9609.0,Indiana,189.2161684,59,5700232
5038,PAPRB,KS,2018,198084.0,Kansas,62.85277614,67,1041662
5067,PAPRB,KY,2018,12924.0,Kentucky,122.771335,77,2944583
5096,PAPRB,LA,2018,274413.0,Louisiana,194.74322,86,764829
5212,PAPRB,MI,2018,31058.0,Michigan,163.7174435,56,936266
5270,PAPRB,MO,2018,548.0,Missouri,124.7805316,185,3637928
5299,PAPRB,MS,2018,96734.0,Mississippi,63.23252555,469,3767073
5328,PAPRB,MT,2018,123027.0,Montana,31.25796736,114,2449554
5386,PAPRB,ND,2018,2627271.0,North Dakota,59.282972,30,520857
5415,PAPRB,NE,2018,11732.0,Nebraska,52.35500953,271,4330170
5502,PAPRB,NM,2018,1421610.0,New Mexico,45.85390881,22,755535
5531,PAPRB,NV,2018,1455.0,Nevada,41.38306985,57,535889
5560,PAPRB,NY,2018,1261.0,New York,175.0969653,60,13144827
5589,PAPRB,OH,2018,129954.0,Ohio,208.9666748,52,6168918
5618,PAPRB,OK,2018,1140196.0,Oklahoma,98.01036447,23,1495639
5676,PAPRB,PA,2018,36963.0,Pennsylvania,220.1938915,57,10494432
5763,PAPRB,SD,2018,7264.0,South Dakota,15.52399536,38,3826069
5792,PAPRB,TN,2018,1198.0,Tennessee,93.83598219,31,4038180
5821,PAPRB,TX,2018,9181148.0,Texas,684.6895943,261,46570295
5879,PAPRB,UT,2018,211790.0,Utah,61.24871623,41,668749
5908,PAPRB,VA,2018,29.0,Virginia,110.0554883,37,2735678
6024,PAPRB,WV,2018,72689.0,West Virginia,89.14479553,48,946699
6053,PAPRB,WY,2018,502031.0,Wyoming,63.84608066,53,573639
6093,PAPRB,AK,2019,968358.0,Alaska,34.25944031,32,13734021
6122,PAPRB,AL,2019,27687.0,Alabama,106.2507516,54,840218
6151,PAPRB,AR,2019,27538.0,Arkansas,65.07220242,302,60034678
6180,PAPRB,AZ,2019,40.0,Arizona,92.53702529,29,95135122
6209,PAPRB,CA,2019,890882.0,California,358.1643733,609,158244985
6238,PAPRB,CO,2019,1096198.0,Colorado,91.72734664,96,10796826
6354,PAPRB,FL,2019,11037.0,Florida,233.5527795,53,52936642
6470,PAPRB,ID,2019,125.0,Idaho,20.08591692,60,910270
6499,PAPRB,IL,2019,46969.0,Illinois,203.43232,84,11321378
6528,PAPRB,IN,2019,8997.0,Indiana,176.1079655,52,1593785
6557,PAPRB,KS,2019,189202.0,Kansas,60.4526702,43,992149
6586,PAPRB,KY,2019,14273.0,Kentucky,115.3817286,63,1092217
6615,PAPRB,LA,2019,261527.0,Louisiana,194.892652,67,250695185
