,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
19,REPRB,AK,2015,23807.0,Alaska,35.0278036,16,3345612
48,REPRB,AL,2015,258955.0,Alabama,119.2008893,164,1864412
77,REPRB,AR,2015,117840.0,Arkansas,59.05336455,477,13453887
106,REPRB,AZ,2015,128954.0,Arizona,94.97878443,65,1724853
135,REPRB,CA,2015,737527.0,California,351.408516,1023,30077512
164,REPRB,CO,2015,126586.0,Colorado,91.30387161,206,1658730
193,REPRB,CT,2015,33234.0,Connecticut,36.32904924,33,1340702
251,REPRB,DE,2015,3517.0,Delaware,13.9053954,68,1452666
280,REPRB,FL,2015,223761.0,Florida,237.3833592,45,3527420
309,REPRB,GA,2015,269514.0,Georgia,145.6756383,247,6155856
338,REPRB,HI,2015,24957.0,Hawaii,19.7810368,16,1033143
367,REPRB,IA,2015,766862.0,Iowa,77.41573961,198,5552396
396,REPRB,ID,2015,153503.0,Idaho,18.03591394,108,1895904
425,REPRB,IL,2015,355359.0,Illinois,219.157681,57,2533998
454,REPRB,IN,2015,242141.0,Indiana,187.2335142,68,2525723
483,REPRB,KS,2015,177374.0,Kansas,64.51256023,120,2548830
512,REPRB,KY,2015,75319.0,Kentucky,131.3429697,129,315635700
541,REPRB,LA,2015,132249.0,Louisiana,185.5592561,61,2312261
570,REPRB,MA,2015,62787.0,Massachusetts,66.74652168,34,4240538
599,REPRB,MD,2015,47614.0,Maryland,62.28032684,100,1890491
628,REPRB,ME,2015,161418.0,Maine,16.67908857,74,2818563
657,REPRB,MI,2015,223234.0,Michigan,164.4556231,76,3049845
686,REPRB,MN,2015,345949.0,Minnesota,89.33099915,119,3292766
715,REPRB,MO,2015,105635.0,Missouri,124.7473311,619,7036095
744,REPRB,MS,2015,60419.0,Mississippi,61.29692129,403,3710526
773,REPRB,MT,2015,125018.0,Montana,32.53164542,94,896759
802,REPRB,NC,2015,170008.0,North Carolina,124.7782841,232,202376181
831,REPRB,ND,2015,141748.0,North Dakota,57.9230603,16,420940
860,REPRB,NE,2015,317158.0,Nebraska,50.71057586,247,3396859
889,REPRB,NH,2015,61342.0,New Hampshire,15.27856723,46,1371086
918,REPRB,NJ,2015,45205.0,New Jersey,103.6600002,47,1130951
947,REPRB,NM,2015,38811.0,New Mexico,50.69183199,50,1126396
976,REPRB,NV,2015,75369.0,Nevada,38.5171354,16,790588
1005,REPRB,NY,2015,409139.0,New York,174.3599244,104,5040800
1034,REPRB,OH,2015,164904.0,Ohio,211.1966253,175,2513363
1063,REPRB,OK,2015,187199.0,Oklahoma,100.2883311,64,1677872
1092,REPRB,OR,2015,438941.0,Oregon,37.89416845,169,6478283
1121,REPRB,PA,2015,200534.0,Pennsylvania,232.9252268,102,4218295
1150,REPRB,RI,2015,4886.0,Rhode Island,10.80452453,11,671306
1179,REPRB,SC,2015,128618.0,South Carolina,73.39880613,60,3065630
1208,REPRB,SD,2015,225499.0,South Dakota,14.13943764,63,3577721
1237,REPRB,TN,2015,182019.0,Tennessee,98.70392565,104,3275928
1266,REPRB,TX,2015,583008.0,Texas,655.1432269,110,2671308
1324,REPRB,UT,2015,23993.0,Utah,63.61302159,80,1243588
1353,REPRB,VA,2015,137589.0,Virginia,107.6199041,31,2446464
1382,REPRB,VT,2015,38784.0,Vermont,6.126831312,33,47317173
1411,REPRB,WA,2015,872328.0,Washington,75.13711456,109,1978193
1440,REPRB,WI,2015,223881.0,Wisconsin,99.85701526,107,3755629
1469,REPRB,WV,2015,37954.0,West Virginia,91.96307825,69,491426
1498,REPRB,WY,2015,49887.0,Wyoming,64.09286316,18,249960
1538,REPRB,AK,2016,25155.0,Alaska,33.40561066,14,2247734
1567,REPRB,AL,2016,230734.0,Alabama,113.9837834,129,1206793
1596,REPRB,AR,2016,115419.0,Arkansas,62.12624984,703,4637664
1625,REPRB,AZ,2016,138522.0,Arizona,90.85562563,54,2053339
1654,REPRB,CA,2016,929692.0,California,353.3561319,848,59755992
1683,REPRB,CO,2016,149600.0,Colorado,88.42427593,258,1800615
1712,REPRB,CT,2016,34249.0,Connecticut,34.09544003,28,962061
1770,REPRB,DE,2016,3105.0,Delaware,14.41948129,38,502817
1799,REPRB,FL,2016,223405.0,Florida,238.8326956,72,4068360
1828,REPRB,GA,2016,282334.0,Georgia,144.537737,222,20155611
1857,REPRB,HI,2016,27593.0,Hawaii,19.81846857,18,429104
1886,REPRB,IA,2016,801820.0,Iowa,73.98337008,149,4220545
1915,REPRB,ID,2016,151509.0,Idaho,18.3418212,127,1317624
1944,REPRB,IL,2016,375139.0,Illinois,207.4305588,36,1325335
1973,REPRB,IN,2016,257458.0,Indiana,181.8275677,45,11391681
2002,REPRB,KS,2016,205800.0,Kansas,62.60936987,130,1440764
2031,REPRB,KY,2016,76971.0,Kentucky,126.8081795,76,2257870
2060,REPRB,LA,2016,154742.0,Louisiana,189.1398596,98,1499474
2089,REPRB,MA,2016,65616.0,Massachusetts,64.08973529,35,841616
2118,REPRB,MD,2016,48237.0,Maryland,60.46760995,65,1349074
2147,REPRB,ME,2016,141943.0,Maine,16.15310799,41,795948
2176,REPRB,MI,2016,216674.0,Michigan,154.5188531,61,1293489
2205,REPRB,MN,2016,351303.0,Minnesota,91.10054342,92,16796366
2234,REPRB,MO,2016,105876.0,Missouri,119.0157079,520,10631411
2263,REPRB,MS,2016,78133.0,Mississippi,62.31469737,608,96309030
2292,REPRB,MT,2016,128095.0,Montana,31.13795175,90,2257495
2321,REPRB,NC,2016,199520.0,North Carolina,124.895788,156,190472938
2350,REPRB,ND,2016,162635.0,North Dakota,54.93206111,24,502584
2379,REPRB,NE,2016,330919.0,Nebraska,48.35090988,199,4011050
2408,REPRB,NH,2016,56290.0,New Hampshire,13.81151032,40,3111505
2437,REPRB,NJ,2016,46546.0,New Jersey,105.6200444,34,597439
2466,REPRB,NM,2016,54822.0,New Mexico,48.84541366,28,2015514
2495,REPRB,NV,2016,88587.0,Nevada,39.97099675,16,54082
2524,REPRB,NY,2016,412994.0,New York,170.1509065,73,2403723
2553,REPRB,OH,2016,166682.0,Ohio,205.3227286,132,775584
2582,REPRB,OK,2016,243569.0,Oklahoma,96.1010241,58,1341097
2611,REPRB,OR,2016,468111.0,Oregon,37.66506368,162,104123811
2640,REPRB,PA,2016,196773.0,Pennsylvania,217.9773815,74,2394977
2669,REPRB,RI,2016,4700.0,Rhode Island,9.588941638,10,489512
2698,REPRB,SC,2016,131043.0,South Carolina,72.25720541,77,22430291
2727,REPRB,SD,2016,237289.0,South Dakota,14.80376576,32,76031784
2756,REPRB,TN,2016,154183.0,Tennessee,101.3548028,60,1102457
2785,REPRB,TX,2016,709194.0,Texas,656.7493464,176,83607077
2843,REPRB,UT,2016,36562.0,Utah,58.82516698,114,612804
2872,REPRB,VA,2016,139807.0,Virginia,110.0640459,49,853133
2901,REPRB,VT,2016,35637.0,Vermont,5.913477445,37,873689
2930,REPRB,WA,2016,930780.0,Washington,79.4036955,127,2515938
2959,REPRB,WI,2016,224249.0,Wisconsin,95.6153185,80,7777098
2988,REPRB,WV,2016,39653.0,West Virginia,94.48890006,54,614068
3017,REPRB,WY,2016,54565.0,Wyoming,61.25999315,23,1359346
3057,REPRB,AK,2017,23620.0,Alaska,33.72913017,18,13509662
3086,REPRB,AL,2017,258549.0,Alabama,108.5943783,104,2414699
3115,REPRB,AR,2017,116692.0,Arkansas,64.17625679,469,2069460
3144,REPRB,AZ,2017,149493.0,Arizona,90.47614096,46,1714281
3173,REPRB,CA,2017,1122218.0,California,356.5165476,786,30392556
3202,REPRB,CO,2017,153379.0,Colorado,88.77624019,181,1385451
3231,REPRB,CT,2017,32888.0,Connecticut,33.8574222,40,788599
3289,REPRB,DE,2017,3269.0,Delaware,13.76698515,65,1636426
3318,REPRB,FL,2017,236674.0,Florida,238.4284129,56,1239122
3347,REPRB,GA,2017,275016.0,Georgia,141.8352401,185,2884817
3376,REPRB,HI,2017,26964.0,Hawaii,20.43258289,14,1467132
3405,REPRB,IA,2017,837092.0,Iowa,76.30357904,179,6233820
3434,REPRB,ID,2017,173010.0,Idaho,18.70279024,88,988061
3463,REPRB,IL,2017,378606.0,Illinois,205.9749865,32,1262924
3492,REPRB,IN,2017,260439.0,Indiana,175.8904931,46,4052088
3521,REPRB,KS,2017,248533.0,Kansas,59.03202784,110,1454281
3550,REPRB,KY,2017,89649.0,Kentucky,116.7819997,99,1948714
3579,REPRB,LA,2017,142086.0,Louisiana,193.3738211,71,1216601
3608,REPRB,MA,2017,68467.0,Massachusetts,64.71316897,44,5852232
3637,REPRB,MD,2017,55339.0,Maryland,55.040273,48,6343700
3666,REPRB,ME,2017,148038.0,Maine,15.37643854,42,2223059
3695,REPRB,MI,2017,225919.0,Michigan,155.6806782,37,1287282
3724,REPRB,MN,2017,363504.0,Minnesota,91.27720044,74,2726558
3753,REPRB,MO,2017,116838.0,Missouri,124.5052275,316,4957942
3782,REPRB,MS,2017,71032.0,Mississippi,60.46289527,379,2686540
3811,REPRB,MT,2017,136249.0,Montana,31.25081171,93,1091494
