,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
22,TETCB,AK,2015,614242.0,Alaska,35.0278036,16,3345612
51,TETCB,AL,2015,1917138.0,Alabama,119.2008893,164,1864412
80,TETCB,AR,2015,1062359.0,Arkansas,59.05336455,477,13453887
109,TETCB,AZ,2015,1495858.0,Arizona,94.97878443,65,1724853
138,TETCB,CA,2015,7525491.0,California,351.408516,1023,30077512
167,TETCB,CO,2015,1501006.0,Colorado,91.30387161,206,1658730
196,TETCB,CT,2015,756746.0,Connecticut,36.32904924,33,1340702
254,TETCB,DE,2015,284672.0,Delaware,13.9053954,68,1452666
283,TETCB,FL,2015,4324701.0,Florida,237.3833592,45,3527420
312,TETCB,GA,2015,2978591.0,Georgia,145.6756383,247,6155856
341,TETCB,HI,2015,298992.0,Hawaii,19.7810368,16,1033143
370,TETCB,IA,2015,1507520.0,Iowa,77.41573961,198,5552396
399,TETCB,ID,2015,540252.0,Idaho,18.03591394,108,1895904
428,TETCB,IL,2015,3920125.0,Illinois,219.157681,57,2533998
457,TETCB,IN,2015,2826490.0,Indiana,187.2335142,68,2525723
486,TETCB,KS,2015,1101677.0,Kansas,64.51256023,120,2548830
515,TETCB,KY,2015,1730308.0,Kentucky,131.3429697,129,315635700
544,TETCB,LA,2015,3911919.0,Louisiana,185.5592561,61,2312261
573,TETCB,MA,2015,1468270.0,Massachusetts,66.74652168,34,4240538
602,TETCB,MD,2015,1424201.0,Maryland,62.28032684,100,1890491
631,TETCB,ME,2015,424754.0,Maine,16.67908857,74,2818563
660,TETCB,MI,2015,2826679.0,Michigan,164.4556231,76,3049845
689,TETCB,MN,2015,1813635.0,Minnesota,89.33099915,119,3292766
718,TETCB,MO,2015,1831407.0,Missouri,124.7473311,619,7036095
747,TETCB,MS,2015,1085042.0,Mississippi,61.29692129,403,3710526
776,TETCB,MT,2015,403641.0,Montana,32.53164542,94,896759
805,TETCB,NC,2015,2595919.0,North Carolina,124.7782841,232,202376181
834,TETCB,ND,2015,608353.0,North Dakota,57.9230603,16,420940
863,TETCB,NE,2015,857967.0,Nebraska,50.71057586,247,3396859
892,TETCB,NH,2015,316649.0,New Hampshire,15.27856723,46,1371086
921,TETCB,NJ,2015,2183497.0,New Jersey,103.6600002,47,1130951
950,TETCB,NM,2015,681082.0,New Mexico,50.69183199,50,1126396
979,TETCB,NV,2015,697627.0,Nevada,38.5171354,16,790588
1008,TETCB,NY,2015,3838544.0,New York,174.3599244,104,5040800
1037,TETCB,OH,2015,3708157.0,Ohio,211.1966253,175,2513363
1066,TETCB,OK,2015,1625556.0,Oklahoma,100.2883311,64,1677872
1095,TETCB,OR,2015,971766.0,Oregon,37.89416845,169,6478283
1124,TETCB,PA,2015,3897610.0,Pennsylvania,232.9252268,102,4218295
1153,TETCB,RI,2015,202693.0,Rhode Island,10.80452453,11,671306
1182,TETCB,SC,2015,1663373.0,South Carolina,73.39880613,60,3065630
1211,TETCB,SD,2015,389999.0,South Dakota,14.13943764,63,3577721
1240,TETCB,TN,2015,2179722.0,Tennessee,98.70392565,104,3275928
1269,TETCB,TX,2015,1.2757827E7,Texas,655.1432269,110,2671308
1327,TETCB,UT,2015,798313.0,Utah,63.61302159,80,1243588
1356,TETCB,VA,2015,2440821.0,Virginia,107.6199041,31,2446464
1385,TETCB,VT,2015,140546.0,Vermont,6.126831312,33,47317173
1414,TETCB,WA,2015,1995985.0,Washington,75.13711456,109,1978193
1443,TETCB,WI,2015,1814408.0,Wisconsin,99.85701526,107,3755629
1472,TETCB,WV,2015,768657.0,West Virginia,91.96307825,69,491426
1501,TETCB,WY,2015,507121.0,Wyoming,64.09286316,18,249960
1541,TETCB,AK,2016,593662.0,Alaska,33.40561066,14,2247734
1570,TETCB,AL,2016,1922727.0,Alabama,113.9837834,129,1206793
1599,TETCB,AR,2016,1053706.0,Arkansas,62.12624984,703,4637664
1628,TETCB,AZ,2016,1524720.0,Arizona,90.85562563,54,2053339
1657,TETCB,CA,2016,7647955.0,California,353.3561319,848,59755992
1686,TETCB,CO,2016,1470307.0,Colorado,88.42427593,258,1800615
1715,TETCB,CT,2016,724686.0,Connecticut,34.09544003,28,962061
1773,TETCB,DE,2016,280937.0,Delaware,14.41948129,38,502817
1802,TETCB,FL,2016,4362567.0,Florida,238.8326956,72,4068360
1831,TETCB,GA,2016,2951822.0,Georgia,144.537737,222,20155611
1860,TETCB,HI,2016,300390.0,Hawaii,19.81846857,18,429104
1889,TETCB,IA,2016,1534622.0,Iowa,73.98337008,149,4220545
1918,TETCB,ID,2016,540164.0,Idaho,18.3418212,127,1317624
1947,TETCB,IL,2016,3925630.0,Illinois,207.4305588,36,1325335
1976,TETCB,IN,2016,2777075.0,Indiana,181.8275677,45,11391681
2005,TETCB,KS,2016,1092806.0,Kansas,62.60936987,130,1440764
2034,TETCB,KY,2016,1704124.0,Kentucky,126.8081795,76,2257870
2063,TETCB,LA,2016,4030644.0,Louisiana,189.1398596,98,1499474
2092,TETCB,MA,2016,1426034.0,Massachusetts,64.08973529,35,841616
2121,TETCB,MD,2016,1386648.0,Maryland,60.46760995,65,1349074
2150,TETCB,ME,2016,392025.0,Maine,16.15310799,41,795948
2179,TETCB,MI,2016,2806190.0,Michigan,154.5188531,61,1293489
2208,TETCB,MN,2016,1838918.0,Minnesota,91.10054342,92,16796366
2237,TETCB,MO,2016,1781656.0,Missouri,119.0157079,520,10631411
2266,TETCB,MS,2016,1071689.0,Mississippi,62.31469737,608,96309030
2295,TETCB,MT,2016,406422.0,Montana,31.13795175,90,2257495
2324,TETCB,NC,2016,2619589.0,North Carolina,124.895788,156,190472938
2353,TETCB,ND,2016,583657.0,North Dakota,54.93206111,24,502584
2382,TETCB,NE,2016,870370.0,Nebraska,48.35090988,199,4011050
2411,TETCB,NH,2016,307290.0,New Hampshire,13.81151032,40,3111505
2440,TETCB,NJ,2016,2140838.0,New Jersey,105.6200444,34,597439
2469,TETCB,NM,2016,673638.0,New Mexico,48.84541366,28,2015514
2498,TETCB,NV,2016,727193.0,Nevada,39.97099675,16,54082
2527,TETCB,NY,2016,3768794.0,New York,170.1509065,73,2403723
2556,TETCB,OH,2016,3667777.0,Ohio,205.3227286,132,775584
2585,TETCB,OK,2016,1624919.0,Oklahoma,96.1010241,58,1341097
2614,TETCB,OR,2016,988158.0,Oregon,37.66506368,162,104123811
2643,TETCB,PA,2016,3762485.0,Pennsylvania,217.9773815,74,2394977
2672,TETCB,RI,2016,185173.0,Rhode Island,9.588941638,10,489512
2701,TETCB,SC,2016,1658202.0,South Carolina,72.25720541,77,22430291
2730,TETCB,SD,2016,388097.0,South Dakota,14.80376576,32,76031784
2759,TETCB,TN,2016,2207227.0,Tennessee,101.3548028,60,1102457
2788,TETCB,TX,2016,1.2986076E7,Texas,656.7493464,176,83607077
2846,TETCB,UT,2016,807711.0,Utah,58.82516698,114,612804
2875,TETCB,VA,2016,2420341.0,Virginia,110.0640459,49,853133
2904,TETCB,VT,2016,135276.0,Vermont,5.913477445,37,873689
2933,TETCB,WA,2016,2056396.0,Washington,79.4036955,127,2515938
2962,TETCB,WI,2016,1801012.0,Wisconsin,95.6153185,80,7777098
2991,TETCB,WV,2016,762366.0,West Virginia,94.48890006,54,614068
3020,TETCB,WY,2016,504984.0,Wyoming,61.25999315,23,1359346
3060,TETCB,AK,2017,601492.0,Alaska,33.72913017,18,13509662
3089,TETCB,AL,2017,1904206.0,Alabama,108.5943783,104,2414699
3118,TETCB,AR,2017,1057701.0,Arkansas,64.17625679,469,2069460
3147,TETCB,AZ,2017,1531479.0,Arizona,90.47614096,46,1714281
3176,TETCB,CA,2017,7766193.0,California,356.5165476,786,30392556
3205,TETCB,CO,2017,1477307.0,Colorado,88.77624019,181,1385451
3234,TETCB,CT,2017,728349.0,Connecticut,33.8574222,40,788599
