,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
26,WSTCB,AK,2015,622.0,Alaska,35.0278036,16,3345612
55,WSTCB,AL,2015,1565.0,Alabama,119.2008893,164,1864412
84,WSTCB,AR,2015,3799.0,Arkansas,59.05336455,477,13453887
113,WSTCB,AZ,2015,658.0,Arizona,94.97878443,65,1724853
142,WSTCB,CA,2015,40708.0,California,351.408516,1023,30077512
171,WSTCB,CO,2015,1133.0,Colorado,91.30387161,206,1658730
200,WSTCB,CT,2015,11067.0,Connecticut,36.32904924,33,1340702
258,WSTCB,DE,2015,765.0,Delaware,13.9053954,68,1452666
287,WSTCB,FL,2015,69043.0,Florida,237.3833592,45,3527420
316,WSTCB,GA,2015,28423.0,Georgia,145.6756383,247,6155856
345,WSTCB,HI,2015,7182.0,Hawaii,19.7810368,16,1033143
374,WSTCB,IA,2015,14458.0,Iowa,77.41573961,198,5552396
403,WSTCB,ID,2015,7455.0,Idaho,18.03591394,108,1895904
432,WSTCB,IL,2015,11225.0,Illinois,219.157681,57,2533998
461,WSTCB,IN,2015,16538.0,Indiana,187.2335142,68,2525723
490,WSTCB,KS,2015,2671.0,Kansas,64.51256023,120,2548830
519,WSTCB,KY,2015,1475.0,Kentucky,131.3429697,129,315635700
548,WSTCB,LA,2015,12990.0,Louisiana,185.5592561,61,2312261
577,WSTCB,MA,2015,18772.0,Massachusetts,66.74652168,34,4240538
606,WSTCB,MD,2015,9067.0,Maryland,62.28032684,100,1890491
635,WSTCB,ME,2015,3773.0,Maine,16.67908857,74,2818563
664,WSTCB,MI,2015,21266.0,Michigan,164.4556231,76,3049845
693,WSTCB,MN,2015,14129.0,Minnesota,89.33099915,119,3292766
722,WSTCB,MO,2015,2417.0,Missouri,124.7473311,619,7036095
751,WSTCB,MS,2015,2042.0,Mississippi,61.29692129,403,3710526
780,WSTCB,MT,2015,383.0,Montana,32.53164542,94,896759
809,WSTCB,NC,2015,9132.0,North Carolina,124.7782841,232,202376181
838,WSTCB,ND,2015,1971.0,North Dakota,57.9230603,16,420940
867,WSTCB,NE,2015,1203.0,Nebraska,50.71057586,247,3396859
896,WSTCB,NH,2015,4377.0,New Hampshire,15.27856723,46,1371086
925,WSTCB,NJ,2015,15827.0,New Jersey,103.6600002,47,1130951
954,WSTCB,NM,2015,561.0,New Mexico,50.69183199,50,1126396
983,WSTCB,NV,2015,286.0,Nevada,38.5171354,16,790588
1012,WSTCB,NY,2015,33410.0,New York,174.3599244,104,5040800
1041,WSTCB,OH,2015,14845.0,Ohio,211.1966253,175,2513363
1070,WSTCB,OK,2015,5812.0,Oklahoma,100.2883311,64,1677872
1099,WSTCB,OR,2015,6041.0,Oregon,37.89416845,169,6478283
1128,WSTCB,PA,2015,40968.0,Pennsylvania,232.9252268,102,4218295
1157,WSTCB,RI,2015,2170.0,Rhode Island,10.80452453,11,671306
1186,WSTCB,SC,2015,4698.0,South Carolina,73.39880613,60,3065630
1215,WSTCB,SD,2015,424.0,South Dakota,14.13943764,63,3577721
1244,WSTCB,TN,2015,5474.0,Tennessee,98.70392565,104,3275928
1273,WSTCB,TX,2015,27029.0,Texas,655.1432269,110,2671308
1331,WSTCB,UT,2015,1430.0,Utah,63.61302159,80,1243588
1360,WSTCB,VA,2015,20371.0,Virginia,107.6199041,31,2446464
1389,WSTCB,VT,2015,307.0,Vermont,6.126831312,33,47317173
1418,WSTCB,WA,2015,8421.0,Washington,75.13711456,109,1978193
1447,WSTCB,WI,2015,9334.0,Wisconsin,99.85701526,107,3755629
1476,WSTCB,WV,2015,155.0,West Virginia,91.96307825,69,491426
1505,WSTCB,WY,2015,2.0,Wyoming,64.09286316,18,249960
1545,WSTCB,AK,2016,412.0,Alaska,33.40561066,14,2247734
1574,WSTCB,AL,2016,1606.0,Alabama,113.9837834,129,1206793
1603,WSTCB,AR,2016,5118.0,Arkansas,62.12624984,703,4637664
1632,WSTCB,AZ,2016,465.0,Arizona,90.85562563,54,2053339
1661,WSTCB,CA,2016,40332.0,California,353.3561319,848,59755992
1690,WSTCB,CO,2016,1098.0,Colorado,88.42427593,258,1800615
1719,WSTCB,CT,2016,11485.0,Connecticut,34.09544003,28,962061
1777,WSTCB,DE,2016,667.0,Delaware,14.41948129,38,502817
1806,WSTCB,FL,2016,71468.0,Florida,238.8326956,72,4068360
1835,WSTCB,GA,2016,10855.0,Georgia,144.537737,222,20155611
1864,WSTCB,HI,2016,8146.0,Hawaii,19.81846857,18,429104
1893,WSTCB,IA,2016,14417.0,Iowa,73.98337008,149,4220545
1922,WSTCB,ID,2016,1497.0,Idaho,18.3418212,127,1317624
1951,WSTCB,IL,2016,10995.0,Illinois,207.4305588,36,1325335
1980,WSTCB,IN,2016,16378.0,Indiana,181.8275677,45,11391681
2009,WSTCB,KS,2016,2418.0,Kansas,62.60936987,130,1440764
2038,WSTCB,KY,2016,1514.0,Kentucky,126.8081795,76,2257870
2067,WSTCB,LA,2016,12371.0,Louisiana,189.1398596,98,1499474
2096,WSTCB,MA,2016,19705.0,Massachusetts,64.08973529,35,841616
2125,WSTCB,MD,2016,8927.0,Maryland,60.46760995,65,1349074
2154,WSTCB,ME,2016,3570.0,Maine,16.15310799,41,795948
2183,WSTCB,MI,2016,22336.0,Michigan,154.5188531,61,1293489
2212,WSTCB,MN,2016,14720.0,Minnesota,91.10054342,92,16796366
2241,WSTCB,MO,2016,2441.0,Missouri,119.0157079,520,10631411
2270,WSTCB,MS,2016,2081.0,Mississippi,62.31469737,608,96309030
2299,WSTCB,MT,2016,392.0,Montana,31.13795175,90,2257495
2328,WSTCB,NC,2016,9472.0,North Carolina,124.895788,156,190472938
2357,WSTCB,ND,2016,1928.0,North Dakota,54.93206111,24,502584
2386,WSTCB,NE,2016,1663.0,Nebraska,48.35090988,199,4011050
2415,WSTCB,NH,2016,4415.0,New Hampshire,13.81151032,40,3111505
2444,WSTCB,NJ,2016,16299.0,New Jersey,105.6200444,34,597439
2473,WSTCB,NM,2016,407.0,New Mexico,48.84541366,28,2015514
2502,WSTCB,NV,2016,773.0,Nevada,39.97099675,16,54082
2531,WSTCB,NY,2016,33736.0,New York,170.1509065,73,2403723
2560,WSTCB,OH,2016,14986.0,Ohio,205.3227286,132,775584
2589,WSTCB,OK,2016,7712.0,Oklahoma,96.1010241,58,1341097
2618,WSTCB,OR,2016,5634.0,Oregon,37.66506368,162,104123811
2647,WSTCB,PA,2016,40781.0,Pennsylvania,217.9773815,74,2394977
2676,WSTCB,RI,2016,2110.0,Rhode Island,9.588941638,10,489512
2705,WSTCB,SC,2016,4484.0,South Carolina,72.25720541,77,22430291
2734,WSTCB,SD,2016,519.0,South Dakota,14.80376576,32,76031784
2763,WSTCB,TN,2016,5411.0,Tennessee,101.3548028,60,1102457
2792,WSTCB,TX,2016,27667.0,Texas,656.7493464,176,83607077
2850,WSTCB,UT,2016,1523.0,Utah,58.82516698,114,612804
2879,WSTCB,VA,2016,19320.0,Virginia,110.0640459,49,853133
2908,WSTCB,VT,2016,220.0,Vermont,5.913477445,37,873689
2937,WSTCB,WA,2016,8441.0,Washington,79.4036955,127,2515938
2966,WSTCB,WI,2016,9430.0,Wisconsin,95.6153185,80,7777098
2995,WSTCB,WV,2016,90.0,West Virginia,94.48890006,54,614068
3024,WSTCB,WY,2016,2.0,Wyoming,61.25999315,23,1359346
3064,WSTCB,AK,2017,436.0,Alaska,33.72913017,18,13509662
3093,WSTCB,AL,2017,1712.0,Alabama,108.5943783,104,2414699
3122,WSTCB,AR,2017,4359.0,Arkansas,64.17625679,469,2069460
3151,WSTCB,AZ,2017,512.0,Arizona,90.47614096,46,1714281
3180,WSTCB,CA,2017,42714.0,California,356.5165476,786,30392556
3209,WSTCB,CO,2017,1090.0,Colorado,88.77624019,181,1385451
3238,WSTCB,CT,2017,10543.0,Connecticut,33.8574222,40,788599
3296,WSTCB,DE,2017,692.0,Delaware,13.76698515,65,1636426
3325,WSTCB,FL,2017,76280.0,Florida,238.4284129,56,1239122
3354,WSTCB,GA,2017,8082.0,Georgia,141.8352401,185,2884817
3383,WSTCB,HI,2017,5310.0,Hawaii,20.43258289,14,1467132
3412,WSTCB,IA,2017,12140.0,Iowa,76.30357904,179,6233820
3441,WSTCB,ID,2017,1941.0,Idaho,18.70279024,88,988061
3470,WSTCB,IL,2017,9450.0,Illinois,205.9749865,32,1262924
3499,WSTCB,IN,2017,16148.0,Indiana,175.8904931,46,4052088
3528,WSTCB,KS,2017,2664.0,Kansas,59.03202784,110,1454281
3557,WSTCB,KY,2017,1600.0,Kentucky,116.7819997,99,1948714
3586,WSTCB,LA,2017,13013.0,Louisiana,193.3738211,71,1216601
3615,WSTCB,MA,2017,19345.0,Massachusetts,64.71316897,44,5852232
3644,WSTCB,MD,2017,9188.0,Maryland,55.040273,48,6343700
3673,WSTCB,ME,2017,3515.0,Maine,15.37643854,42,2223059
3702,WSTCB,MI,2017,22352.0,Michigan,155.6806782,37,1287282
3731,WSTCB,MN,2017,14153.0,Minnesota,91.27720044,74,2726558
3760,WSTCB,MO,2017,4235.0,Missouri,124.5052275,316,4957942
3789,WSTCB,MS,2017,2243.0,Mississippi,60.46289527,379,2686540
3818,WSTCB,MT,2017,389.0,Montana,31.25081171,93,1091494
3847,WSTCB,NC,2017,10048.0,North Carolina,121.1493749,149,235434075
3876,WSTCB,ND,2017,1837.0,North Dakota,56.92163503,19,477713
3905,WSTCB,NE,2017,1587.0,Nebraska,47.87762064,263,3743400
3934,WSTCB,NH,2017,4640.0,New Hampshire,13.51181074,39,1307930
3963,WSTCB,NJ,2017,15938.0,New Jersey,99.35210038,48,881961
3992,WSTCB,NM,2017,423.0,New Mexico,49.62030346,47,5893114
4021,WSTCB,NV,2017,843.0,Nevada,40.20696595,33,311016629
4050,WSTCB,NY,2017,35562.0,New York,165.8301752,52,789556
4079,WSTCB,OH,2017,14829.0,Ohio,205.0608887,118,10274821
4108,WSTCB,OK,2017,5606.0,Oklahoma,93.44516627,41,2449186
4137,WSTCB,OR,2017,5813.0,Oregon,38.79038331,129,137275588
4166,WSTCB,PA,2017,41107.0,Pennsylvania,215.2868489,53,2661655
4195,WSTCB,RI,2017,2037.0,Rhode Island,9.965275351,12,547069
4224,WSTCB,SC,2017,4340.0,South Carolina,69.96242998,84,68063288
4253,WSTCB,SD,2017,544.0,South Dakota,14.65586638,18,3225820
4282,WSTCB,TN,2017,5589.0,Tennessee,97.40767095,28,889496
4311,WSTCB,TX,2017,25328.0,Texas,664.9673475,219,98254981
4369,WSTCB,UT,2017,1211.0,Utah,59.03113555,56,15437033
4398,WSTCB,VA,2017,15470.0,Virginia,105.5838769,35,5764689
4427,WSTCB,VT,2017,167.0,Vermont,5.831030624,23,4591717
4456,WSTCB,WA,2017,8023.0,Washington,79.11865344,104,6910234
4485,WSTCB,WI,2017,9333.0,Wisconsin,98.64308793,95,2622475
4514,WSTCB,WV,2017,75.0,West Virginia,90.84162772,88,673413
4583,WSTCB,AK,2018,456.0,Alaska,34.51458857,44,18236626
4612,WSTCB,AL,2018,1680.0,Alabama,112.3554714,75,1844186
4641,WSTCB,AR,2018,4228.0,Arkansas,70.78614615,414,79970512
4670,WSTCB,AZ,2018,489.0,Arizona,94.09550866,48,539053
4699,WSTCB,CA,2018,42714.0,California,358.5947178,749,28208367
4728,WSTCB,CO,2018,1102.0,Colorado,90.06168948,142,29876375
4757,WSTCB,CT,2018,9715.0,Connecticut,37.38424068,21,1486681
4815,WSTCB,DE,2018,680.0,Delaware,13.98931001,32,824222
4844,WSTCB,FL,2018,69626.0,Florida,242.0091133,62,49550089
4873,WSTCB,GA,2018,7007.0,Georgia,141.9209237,192,7882488
4902,WSTCB,HI,2018,5257.0,Hawaii,20.30121291,22,5818783
4931,WSTCB,IA,2018,12166.0,Iowa,82.42756253,239,8883799
4960,WSTCB,ID,2018,1391.0,Idaho,19.04276093,89,1198524
4989,WSTCB,IL,2018,10065.0,Illinois,213.1001319,64,5112413
5018,WSTCB,IN,2018,16323.0,Indiana,189.2161684,59,5700232
5047,WSTCB,KS,2018,3171.0,Kansas,62.85277614,67,1041662
5076,WSTCB,KY,2018,2435.0,Kentucky,122.771335,77,2944583
5105,WSTCB,LA,2018,14615.0,Louisiana,194.74322,86,764829
5134,WSTCB,MA,2018,19505.0,Massachusetts,64.10739497,46,3360964
5163,WSTCB,MD,2018,8772.0,Maryland,61.68531518,61,2306029
5192,WSTCB,ME,2018,3295.0,Maine,14.76307256,41,2491389
5221,WSTCB,MI,2018,22748.0,Michigan,163.7174435,56,936266
5250,WSTCB,MN,2018,12585.0,Minnesota,94.75605009,154,55322766
5279,WSTCB,MO,2018,3355.0,Missouri,124.7805316,185,3637928
5308,WSTCB,MS,2018,1432.0,Mississippi,63.23252555,469,3767073
5337,WSTCB,MT,2018,417.0,Montana,31.25796736,114,2449554
5366,WSTCB,NC,2018,9439.0,North Carolina,124.2127343,132,141776088
5395,WSTCB,ND,2018,1057.0,North Dakota,59.282972,30,520857
5424,WSTCB,NE,2018,1811.0,Nebraska,52.35500953,271,4330170
5453,WSTCB,NH,2018,3758.0,New Hampshire,14.23973227,37,636384
5482,WSTCB,NJ,2018,15601.0,New Jersey,105.0688845,20,852979
5511,WSTCB,NM,2018,468.0,New Mexico,45.85390881,22,755535
5540,WSTCB,NV,2018,799.0,Nevada,41.38306985,57,535889
5569,WSTCB,NY,2018,34356.0,New York,175.0969653,60,13144827
5598,WSTCB,OH,2018,14287.0,Ohio,208.9666748,52,6168918
5627,WSTCB,OK,2018,5939.0,Oklahoma,98.01036447,23,1495639
5656,WSTCB,OR,2018,5854.0,Oregon,39.58013113,96,3286698
5685,WSTCB,PA,2018,39520.0,Pennsylvania,220.1938915,57,10494432
5714,WSTCB,RI,2018,2136.0,Rhode Island,11.05692381,15,661136
5743,WSTCB,SC,2018,4537.0,South Carolina,74.14674879,123,64580916
5772,WSTCB,SD,2018,575.0,South Dakota,15.52399536,38,3826069
5801,WSTCB,TN,2018,5446.0,Tennessee,93.83598219,31,4038180
5830,WSTCB,TX,2018,27387.0,Texas,684.6895943,261,46570295
5888,WSTCB,UT,2018,959.0,Utah,61.24871623,41,668749
5917,WSTCB,VA,2018,20327.0,Virginia,110.0554883,37,2735678
5946,WSTCB,VT,2018,137.0,Vermont,5.854279866,23,493740
