,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
27,WWPRB,AK,2015,7488.0,Alaska,35.0278036,16,3345612
56,WWPRB,AL,2015,164877.0,Alabama,119.2008893,164,1864412
85,WWPRB,AR,2015,79217.0,Arkansas,59.05336455,477,13453887
114,WWPRB,AZ,2015,8659.0,Arizona,94.97878443,65,1724853
143,WWPRB,CA,2015,139561.0,California,351.408516,1023,30077512
172,WWPRB,CO,2015,14936.0,Colorado,91.30387161,206,1658730
201,WWPRB,CT,2015,26728.0,Connecticut,36.32904924,33,1340702
259,WWPRB,DE,2015,1809.0,Delaware,13.9053954,68,1452666
288,WWPRB,FL,2015,180650.0,Florida,237.3833592,45,3527420
317,WWPRB,GA,2015,224371.0,Georgia,145.6756383,247,6155856
346,WWPRB,HI,2015,7220.0,Hawaii,19.7810368,16,1033143
375,WWPRB,IA,2015,21425.0,Iowa,77.41573961,198,5552396
404,WWPRB,ID,2015,39585.0,Idaho,18.03591394,108,1895904
433,WWPRB,IL,2015,19411.0,Illinois,219.157681,57,2533998
462,WWPRB,IN,2015,34599.0,Indiana,187.2335142,68,2525723
491,WWPRB,KS,2015,7158.0,Kansas,64.51256023,120,2548830
520,WWPRB,KY,2015,32445.0,Kentucky,131.3429697,129,315635700
549,WWPRB,LA,2015,119577.0,Louisiana,185.5592561,61,2312261
578,WWPRB,MA,2015,39648.0,Massachusetts,66.74652168,34,4240538
607,WWPRB,MD,2015,23492.0,Maryland,62.28032684,100,1890491
636,WWPRB,ME,2015,117588.0,Maine,16.67908857,74,2818563
665,WWPRB,MI,2015,119481.0,Michigan,164.4556231,76,3049845
694,WWPRB,MN,2015,79370.0,Minnesota,89.33099915,119,3292766
723,WWPRB,MO,2015,24526.0,Missouri,124.7473311,619,7036095
752,WWPRB,MS,2015,53521.0,Mississippi,61.29692129,403,3710526
781,WWPRB,MT,2015,14143.0,Montana,32.53164542,94,896759
810,WWPRB,NC,2015,110724.0,North Carolina,124.7782841,232,202376181
839,WWPRB,ND,2015,2835.0,North Dakota,57.9230603,16,420940
868,WWPRB,NE,2015,4161.0,Nebraska,50.71057586,247,3396859
897,WWPRB,NH,2015,44976.0,New Hampshire,15.27856723,46,1371086
926,WWPRB,NJ,2015,22292.0,New Jersey,103.6600002,47,1130951
955,WWPRB,NM,2015,10692.0,New Mexico,50.69183199,50,1126396
984,WWPRB,NV,2015,2632.0,Nevada,38.5171354,16,790588
1013,WWPRB,NY,2015,100942.0,New York,174.3599244,104,5040800
1042,WWPRB,OH,2015,60307.0,Ohio,211.1966253,175,2513363
1071,WWPRB,OK,2015,28038.0,Oklahoma,100.2883311,64,1677872
1100,WWPRB,OR,2015,73972.0,Oregon,37.89416845,169,6478283
1129,WWPRB,PA,2015,122856.0,Pennsylvania,232.9252268,102,4218295
1158,WWPRB,RI,2015,4315.0,Rhode Island,10.80452453,11,671306
1187,WWPRB,SC,2015,103604.0,South Carolina,73.39880613,60,3065630
1216,WWPRB,SD,2015,2968.0,South Dakota,14.13943764,63,3577721
1245,WWPRB,TN,2015,66953.0,Tennessee,98.70392565,104,3275928
1274,WWPRB,TX,2015,81397.0,Texas,655.1432269,110,2671308
1332,WWPRB,UT,2015,5195.0,Utah,63.61302159,80,1243588
1361,WWPRB,VA,2015,118254.0,Virginia,107.6199041,31,2446464
1390,WWPRB,VT,2015,24060.0,Vermont,6.126831312,33,47317173
1419,WWPRB,WA,2015,113296.0,Washington,75.13711456,109,1978193
