,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
28,WYTCB,AK,2015,1488.0,Alaska,35.0278036,16,3345612
115,WYTCB,AZ,2015,4213.0,Arizona,94.97878443,65,1724853
144,WYTCB,CA,2015,113967.0,California,351.408516,1023,30077512
173,WYTCB,CO,2015,69662.0,Colorado,91.30387161,206,1658730
260,WYTCB,DE,2015,48.0,Delaware,13.9053954,68,1452666
347,WYTCB,HI,2015,5710.0,Hawaii,19.7810368,16,1033143
376,WYTCB,IA,2015,166555.0,Iowa,77.41573961,198,5552396
405,WYTCB,ID,2015,21156.0,Idaho,18.03591394,108,1895904
434,WYTCB,IL,2015,100154.0,Illinois,219.157681,57,2533998
463,WYTCB,IN,2015,42077.0,Indiana,187.2335142,68,2525723
492,WYTCB,KS,2015,102495.0,Kansas,64.51256023,120,2548830
579,WYTCB,MA,2015,2000.0,Massachusetts,66.74652168,34,4240538
608,WYTCB,MD,2015,4050.0,Maryland,62.28032684,100,1890491
637,WYTCB,ME,2015,12075.0,Maine,16.67908857,74,2818563
666,WYTCB,MI,2015,44702.0,Michigan,164.4556231,76,3049845
695,WYTCB,MN,2015,91129.0,Minnesota,89.33099915,119,3292766
724,WYTCB,MO,2015,9627.0,Missouri,124.7473311,619,7036095
782,WYTCB,MT,2015,18309.0,Montana,32.53164542,94,896759
840,WYTCB,ND,2015,60627.0,North Dakota,57.9230603,16,420940
869,WYTCB,NE,2015,29639.0,Nebraska,50.71057586,247,3396859
898,WYTCB,NH,2015,3947.0,New Hampshire,15.27856723,46,1371086
927,WYTCB,NJ,2015,201.0,New Jersey,103.6600002,47,1130951
956,WYTCB,NM,2015,19477.0,New Mexico,50.69183199,50,1126396
985,WYTCB,NV,2015,2886.0,Nevada,38.5171354,16,790588
1014,WYTCB,NY,2015,37061.0,New York,174.3599244,104,5040800
1043,WYTCB,OH,2015,11211.0,Ohio,211.1966253,175,2513363
1072,WYTCB,OK,2015,130754.0,Oklahoma,100.2883311,64,1677872
1101,WYTCB,OR,2015,61799.0,Oregon,37.89416845,169,6478283
1130,WYTCB,PA,2015,31244.0,Pennsylvania,232.9252268,102,4218295
1159,WYTCB,RI,2015,94.0,Rhode Island,10.80452453,11,671306
1217,WYTCB,SD,2015,23274.0,South Dakota,14.13943764,63,3577721
1246,WYTCB,TN,2015,427.0,Tennessee,98.70392565,104,3275928
1275,WYTCB,TX,2015,417802.0,Texas,655.1432269,110,2671308
1333,WYTCB,UT,2015,5833.0,Utah,63.61302159,80,1243588
1391,WYTCB,VT,2015,3032.0,Vermont,6.126831312,33,47317173
1420,WYTCB,WA,2015,65936.0,Washington,75.13711456,109,1978193
1449,WYTCB,WI,2015,14811.0,Wisconsin,99.85701526,107,3755629
1478,WYTCB,WV,2015,12825.0,West Virginia,91.96307825,69,491426
1507,WYTCB,WY,2015,35009.0,Wyoming,64.09286316,18,249960
1547,WYTCB,AK,2016,1563.0,Alaska,33.40561066,14,2247734
1634,WYTCB,AZ,2016,5000.0,Arizona,90.85562563,54,2053339
1663,WYTCB,CA,2016,124715.0,California,353.3561319,848,59755992
1692,WYTCB,CO,2016,86977.0,Colorado,88.42427593,258,1800615
1721,WYTCB,CT,2016,118.0,Connecticut,34.09544003,28,962061
1779,WYTCB,DE,2016,49.0,Delaware,14.41948129,38,502817
1866,WYTCB,HI,2016,5900.0,Hawaii,19.81846857,18,429104
1895,WYTCB,IA,2016,185305.0,Iowa,73.98337008,149,4220545
1924,WYTCB,ID,2016,23804.0,Idaho,18.3418212,127,1317624
1953,WYTCB,IL,2016,98445.0,Illinois,207.4305588,36,1325335
1982,WYTCB,IN,2016,45232.0,Indiana,181.8275677,45,11391681
2011,WYTCB,KS,2016,130272.0,Kansas,62.60936987,130,1440764
2098,WYTCB,MA,2016,1995.0,Massachusetts,64.08973529,35,841616
2127,WYTCB,MD,2016,4866.0,Maryland,60.46760995,65,1349074
2156,WYTCB,ME,2016,15391.0,Maine,16.15310799,41,795948
2185,WYTCB,MI,2016,43351.0,Michigan,154.5188531,61,1293489
2214,WYTCB,MN,2016,91706.0,Minnesota,91.10054342,92,16796366
2243,WYTCB,MO,2016,10357.0,Missouri,119.0157079,520,10631411
2301,WYTCB,MT,2016,19758.0,Montana,31.13795175,90,2257495
2330,WYTCB,NC,2016,58.0,North Carolina,124.895788,156,190472938
2359,WYTCB,ND,2016,75443.0,North Dakota,54.93206111,24,502584
2388,WYTCB,NE,2016,35067.0,Nebraska,48.35090988,199,4011050
2417,WYTCB,NH,2016,3991.0,New Hampshire,13.81151032,40,3111505
2446,WYTCB,NJ,2016,192.0,New Jersey,105.6200444,34,597439
2475,WYTCB,NM,2016,33285.0,New Mexico,48.84541366,28,2015514
2504,WYTCB,NV,2016,3175.0,Nevada,39.97099675,16,54082
2533,WYTCB,NY,2016,36376.0,New York,170.1509065,73,2403723
2562,WYTCB,OH,2016,11497.0,Ohio,205.3227286,132,775584
2591,WYTCB,OK,2016,185278.0,Oklahoma,96.1010241,58,1341097
2620,WYTCB,OR,2016,66075.0,Oregon,37.66506368,162,104123811
2649,WYTCB,PA,2016,32093.0,Pennsylvania,217.9773815,74,2394977
2678,WYTCB,RI,2016,245.0,Rhode Island,9.588941638,10,489512
2736,WYTCB,SD,2016,34290.0,South Dakota,14.80376576,32,76031784
2765,WYTCB,TN,2016,348.0,Tennessee,101.3548028,60,1102457
2794,WYTCB,TX,2016,531124.0,Texas,656.7493464,176,83607077
2852,WYTCB,UT,2016,7591.0,Utah,58.82516698,114,612804
2910,WYTCB,VT,2016,2688.0,Vermont,5.913477445,37,873689
2939,WYTCB,WA,2016,74242.0,Washington,79.4036955,127,2515938
2968,WYTCB,WI,2016,13989.0,Wisconsin,95.6153185,80,7777098
2997,WYTCB,WV,2016,13222.0,West Virginia,94.48890006,54,614068
3026,WYTCB,WY,2016,40522.0,Wyoming,61.25999315,23,1359346
3066,WYTCB,AK,2017,1305.0,Alaska,33.72913017,18,13509662
3153,WYTCB,AZ,2017,5251.0,Arizona,90.47614096,46,1714281
3182,WYTCB,CA,2017,118138.0,California,356.5165476,786,30392556
3211,WYTCB,CO,2017,85816.0,Colorado,88.77624019,181,1385451
3240,WYTCB,CT,2017,117.0,Connecticut,33.8574222,40,788599
3298,WYTCB,DE,2017,46.0,Delaware,13.76698515,65,1636426
3385,WYTCB,HI,2017,4902.0,Hawaii,20.43258289,14,1467132
3414,WYTCB,IA,2017,196907.0,Iowa,76.30357904,179,6233820
3443,WYTCB,ID,2017,23444.0,Idaho,18.70279024,88,988061
3472,WYTCB,IL,2017,113023.0,Illinois,205.9749865,32,1262924
3501,WYTCB,IN,2017,46889.0,Indiana,175.8904931,46,4052088
