,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1,BDPRP,AK,2015,4.0,Alaska,35.0278036,16,3345612
4,CLPRB,AK,2015,17747.0,Alaska,35.0278036,16,3345612
9,ENPRP,AK,2015,0.0,Alaska,35.0278036,16,3345612
10,GETCB,AK,2015,186.0,Alaska,35.0278036,16,3345612
11,HYTCB,AK,2015,14621.0,Alaska,35.0278036,16,3345612
12,NCPRB,AK,2015,16298.0,Alaska,35.0278036,16,3345612
13,NGMPB,AK,2015,380887.0,Alaska,35.0278036,16,3345612
16,NUETB,AK,2015,0.0,Alaska,35.0278036,16,3345612
17,PAPRB,AK,2015,1007501.0,Alaska,35.0278036,16,3345612
19,REPRB,AK,2015,23807.0,Alaska,35.0278036,16,3345612
20,SOTCB,AK,2015,3.0,Alaska,35.0278036,16,3345612
21,TEPRB,AK,2015,1429942.0,Alaska,35.0278036,16,3345612
22,TETCB,AK,2015,614242.0,Alaska,35.0278036,16,3345612
23,WDEXB,AK,2015,0.0,Alaska,35.0278036,16,3345612
24,WDPRB,AK,2015,6865.0,Alaska,35.0278036,16,3345612
25,WDTCB,AK,2015,6865.0,Alaska,35.0278036,16,3345612
26,WSTCB,AK,2015,622.0,Alaska,35.0278036,16,3345612
27,WWPRB,AK,2015,7488.0,Alaska,35.0278036,16,3345612
28,WYTCB,AK,2015,1488.0,Alaska,35.0278036,16,3345612
1520,BDPRP,AK,2016,5.0,Alaska,33.40561066,14,2247734
1523,CLPRB,AK,2016,13942.0,Alaska,33.40561066,14,2247734
1528,ENPRP,AK,2016,0.0,Alaska,33.40561066,14,2247734
1529,GETCB,AK,2016,186.0,Alaska,33.40561066,14,2247734
1530,HYTCB,AK,2016,15317.0,Alaska,33.40561066,14,2247734
1531,NCPRB,AK,2016,17081.0,Alaska,33.40561066,14,2247734
1532,NGMPB,AK,2016,369865.0,Alaska,33.40561066,14,2247734
1535,NUETB,AK,2016,0.0,Alaska,33.40561066,14,2247734
1536,PAPRB,AK,2016,1026401.0,Alaska,33.40561066,14,2247734
1538,REPRB,AK,2016,25155.0,Alaska,33.40561066,14,2247734
1539,SOTCB,AK,2016,14.0,Alaska,33.40561066,14,2247734
1540,TEPRB,AK,2016,1435363.0,Alaska,33.40561066,14,2247734
1541,TETCB,AK,2016,593662.0,Alaska,33.40561066,14,2247734
1542,WDEXB,AK,2016,0.0,Alaska,33.40561066,14,2247734
1543,WDPRB,AK,2016,7636.0,Alaska,33.40561066,14,2247734
1544,WDTCB,AK,2016,7636.0,Alaska,33.40561066,14,2247734
1545,WSTCB,AK,2016,412.0,Alaska,33.40561066,14,2247734
1546,WWPRB,AK,2016,8048.0,Alaska,33.40561066,14,2247734
1547,WYTCB,AK,2016,1563.0,Alaska,33.40561066,14,2247734
3039,BDPRP,AK,2017,5.0,Alaska,33.72913017,18,13509662
3042,CLPRB,AK,2017,14365.0,Alaska,33.72913017,18,13509662
3047,ENPRP,AK,2017,0.0,Alaska,33.72913017,18,13509662
3048,GETCB,AK,2017,186.0,Alaska,33.72913017,18,13509662
3049,HYTCB,AK,2017,15143.0,Alaska,33.72913017,18,13509662
3050,NCPRB,AK,2017,16655.0,Alaska,33.72913017,18,13509662
3051,NGMPB,AK,2017,382940.0,Alaska,33.72913017,18,13509662
3054,NUETB,AK,2017,0.0,Alaska,33.72913017,18,13509662
3055,PAPRB,AK,2017,1033270.0,Alaska,33.72913017,18,13509662
3057,REPRB,AK,2017,23620.0,Alaska,33.72913017,18,13509662
3058,SOTCB,AK,2017,20.0,Alaska,33.72913017,18,13509662
3059,TEPRB,AK,2017,1454196.0,Alaska,33.72913017,18,13509662
3060,TETCB,AK,2017,601492.0,Alaska,33.72913017,18,13509662
3061,WDEXB,AK,2017,0.0,Alaska,33.72913017,18,13509662
