,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
30,BDPRP,AL,2015,356.0,Alabama,119.2008893,164,1864412
33,CLPRB,AL,2015,331420.0,Alabama,119.2008893,164,1864412
38,ENPRP,AL,2015,0.0,Alabama,119.2008893,164,1864412
39,GETCB,AL,2015,141.0,Alabama,119.2008893,164,1864412
40,HYTCB,AL,2015,91902.0,Alabama,119.2008893,164,1864412
41,NCPRB,AL,2015,92144.0,Alabama,119.2008893,164,1864412
42,NGMPB,AL,2015,182481.0,Alabama,119.2008893,164,1864412
45,NUETB,AL,2015,438728.0,Alabama,119.2008893,164,1864412
46,PAPRB,AL,2015,55421.0,Alabama,119.2008893,164,1864412
48,REPRB,AL,2015,258955.0,Alabama,119.2008893,164,1864412
49,SOTCB,AL,2015,101.0,Alabama,119.2008893,164,1864412
50,TEPRB,AL,2015,1267004.0,Alabama,119.2008893,164,1864412
51,TETCB,AL,2015,1917138.0,Alabama,119.2008893,164,1864412
52,WDEXB,AL,2015,0.0,Alabama,119.2008893,164,1864412
53,WDPRB,AL,2015,163313.0,Alabama,119.2008893,164,1864412
54,WDTCB,AL,2015,163313.0,Alabama,119.2008893,164,1864412
55,WSTCB,AL,2015,1565.0,Alabama,119.2008893,164,1864412
56,WWPRB,AL,2015,164877.0,Alabama,119.2008893,164,1864412
57,WYTCB,AL,2015,0.0,Alabama,119.2008893,164,1864412
1549,BDPRP,AL,2016,351.0,Alabama,113.9837834,129,1206793
1552,CLPRB,AL,2016,247632.0,Alabama,113.9837834,129,1206793
1557,ENPRP,AL,2016,0.0,Alabama,113.9837834,129,1206793
1558,GETCB,AL,2016,141.0,Alabama,113.9837834,129,1206793
1559,HYTCB,AL,2016,64484.0,Alabama,113.9837834,129,1206793
1560,NCPRB,AL,2016,65056.0,Alabama,113.9837834,129,1206793
1561,NGMPB,AL,2016,176290.0,Alabama,113.9837834,129,1206793
1564,NUETB,AL,2016,417334.0,Alabama,113.9837834,129,1206793
