,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
59,BDPRP,AR,2015,815.0,Arkansas,59.05336455,477,13453887
62,CLPRB,AR,2015,1819.0,Arkansas,59.05336455,477,13453887
67,ENPRP,AR,2015,0.0,Arkansas,59.05336455,477,13453887
68,GETCB,AR,2015,808.0,Arkansas,59.05336455,477,13453887
69,HYTCB,AR,2015,33261.0,Arkansas,59.05336455,477,13453887
70,NCPRB,AR,2015,34194.0,Arkansas,59.05336455,477,13453887
71,NGMPB,AR,2015,1031466.0,Arkansas,59.05336455,477,13453887
74,NUETB,AR,2015,144716.0,Arkansas,59.05336455,477,13453887
75,PAPRB,AR,2015,35611.0,Arkansas,59.05336455,477,13453887
77,REPRB,AR,2015,117840.0,Arkansas,59.05336455,477,13453887
78,SOTCB,AR,2015,124.0,Arkansas,59.05336455,477,13453887
79,TEPRB,AR,2015,1331452.0,Arkansas,59.05336455,477,13453887
80,TETCB,AR,2015,1062359.0,Arkansas,59.05336455,477,13453887
81,WDEXB,AR,2015,0.0,Arkansas,59.05336455,477,13453887
82,WDPRB,AR,2015,75417.0,Arkansas,59.05336455,477,13453887
83,WDTCB,AR,2015,75417.0,Arkansas,59.05336455,477,13453887
84,WSTCB,AR,2015,3799.0,Arkansas,59.05336455,477,13453887
85,WWPRB,AR,2015,79217.0,Arkansas,59.05336455,477,13453887
86,WYTCB,AR,2015,0.0,Arkansas,59.05336455,477,13453887
1578,BDPRP,AR,2016,990.0,Arkansas,62.12624984,703,4637664
1581,CLPRB,AR,2016,974.0,Arkansas,62.12624984,703,4637664
1586,ENPRP,AR,2016,0.0,Arkansas,62.12624984,703,4637664
1587,GETCB,AR,2016,808.0,Arkansas,62.12624984,703,4637664
1588,HYTCB,AR,2016,32958.0,Arkansas,62.12624984,703,4637664
1589,NCPRB,AR,2016,34139.0,Arkansas,62.12624984,703,4637664
1590,NGMPB,AR,2016,839485.0,Arkansas,62.12624984,703,4637664
1593,NUETB,AR,2016,140370.0,Arkansas,62.12624984,703,4637664
1594,PAPRB,AR,2016,31580.0,Arkansas,62.12624984,703,4637664
1596,REPRB,AR,2016,115419.0,Arkansas,62.12624984,703,4637664
1597,SOTCB,AR,2016,372.0,Arkansas,62.12624984,703,4637664
1598,TEPRB,AR,2016,1127828.0,Arkansas,62.12624984,703,4637664
1599,TETCB,AR,2016,1053706.0,Arkansas,62.12624984,703,4637664
1600,WDEXB,AR,2016,0.0,Arkansas,62.12624984,703,4637664
1601,WDPRB,AR,2016,70786.0,Arkansas,62.12624984,703,4637664
1602,WDTCB,AR,2016,70786.0,Arkansas,62.12624984,703,4637664
1603,WSTCB,AR,2016,5118.0,Arkansas,62.12624984,703,4637664
1604,WWPRB,AR,2016,75904.0,Arkansas,62.12624984,703,4637664
1605,WYTCB,AR,2016,0.0,Arkansas,62.12624984,703,4637664
3097,BDPRP,AR,2017,1244.0,Arkansas,64.17625679,469,2069460
3100,CLPRB,AR,2017,832.0,Arkansas,64.17625679,469,2069460
3105,ENPRP,AR,2017,0.0,Arkansas,64.17625679,469,2069460
3106,GETCB,AR,2017,808.0,Arkansas,64.17625679,469,2069460
3107,HYTCB,AR,2017,27117.0,Arkansas,64.17625679,469,2069460
3108,NCPRB,AR,2017,28367.0,Arkansas,64.17625679,469,2069460
3109,NGMPB,AR,2017,708482.0,Arkansas,64.17625679,469,2069460
3112,NUETB,AR,2017,132736.0,Arkansas,64.17625679,469,2069460
3113,PAPRB,AR,2017,30263.0,Arkansas,64.17625679,469,2069460
3115,REPRB,AR,2017,116692.0,Arkansas,64.17625679,469,2069460
3116,SOTCB,AR,2017,442.0,Arkansas,64.17625679,469,2069460
3117,TEPRB,AR,2017,989005.0,Arkansas,64.17625679,469,2069460
3118,TETCB,AR,2017,1057701.0,Arkansas,64.17625679,469,2069460
3119,WDEXB,AR,2017,5455.0,Arkansas,64.17625679,469,2069460
3120,WDPRB,AR,2017,77206.0,Arkansas,64.17625679,469,2069460
3121,WDTCB,AR,2017,71751.0,Arkansas,64.17625679,469,2069460
3122,WSTCB,AR,2017,4359.0,Arkansas,64.17625679,469,2069460
3123,WWPRB,AR,2017,81565.0,Arkansas,64.17625679,469,2069460
3124,WYTCB,AR,2017,0.0,Arkansas,64.17625679,469,2069460
4616,BDPRP,AR,2018,1748.0,Arkansas,70.78614615,414,79970512
4619,CLPRB,AR,2018,0.0,Arkansas,70.78614615,414,79970512
4624,ENPRP,AR,2018,0.0,Arkansas,70.78614615,414,79970512
4625,GETCB,AR,2018,808.0,Arkansas,70.78614615,414,79970512
4626,HYTCB,AR,2018,27392.0,Arkansas,70.78614615,414,79970512
4627,NCPRB,AR,2018,30317.0,Arkansas,70.78614615,414,79970512
4628,NGMPB,AR,2018,600455.0,Arkansas,70.78614615,414,79970512
4631,NUETB,AR,2018,132996.0,Arkansas,70.78614615,414,79970512
4632,PAPRB,AR,2018,28553.0,Arkansas,70.78614615,414,79970512
4634,REPRB,AR,2018,126121.0,Arkansas,70.78614615,414,79970512
4635,SOTCB,AR,2018,2117.0,Arkansas,70.78614615,414,79970512
4636,TEPRB,AR,2018,888125.0,Arkansas,70.78614615,414,79970512
4637,TETCB,AR,2018,1116757.0,Arkansas,70.78614615,414,79970512
