,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
88,BDPRP,AZ,2015,2.0,Arizona,94.97878443,65,1724853
91,CLPRB,AZ,2015,146450.0,Arizona,94.97878443,65,1724853
96,ENPRP,AZ,2015,1154.0,Arizona,94.97878443,65,1724853
97,GETCB,AZ,2015,345.0,Arizona,94.97878443,65,1724853
98,HYTCB,AZ,2015,60906.0,Arizona,94.97878443,65,1724853
99,NCPRB,AZ,2015,113693.0,Arizona,94.97878443,65,1724853
100,NGMPB,AZ,2015,99.0,Arizona,94.97878443,65,1724853
103,NUETB,AZ,2015,340153.0,Arizona,94.97878443,65,1724853
104,PAPRB,AZ,2015,212.0,Arizona,94.97878443,65,1724853
106,REPRB,AZ,2015,128954.0,Arizona,94.97878443,65,1724853
107,SOTCB,AZ,2015,48229.0,Arizona,94.97878443,65,1724853
108,TEPRB,AZ,2015,615867.0,Arizona,94.97878443,65,1724853
109,TETCB,AZ,2015,1495858.0,Arizona,94.97878443,65,1724853
110,WDEXB,AZ,2015,0.0,Arizona,94.97878443,65,1724853
111,WDPRB,AZ,2015,8001.0,Arizona,94.97878443,65,1724853
112,WDTCB,AZ,2015,8001.0,Arizona,94.97878443,65,1724853
113,WSTCB,AZ,2015,658.0,Arizona,94.97878443,65,1724853
114,WWPRB,AZ,2015,8659.0,Arizona,94.97878443,65,1724853
115,WYTCB,AZ,2015,4213.0,Arizona,94.97878443,65,1724853
1607,BDPRP,AZ,2016,10.0,Arizona,90.85562563,54,2053339
1610,CLPRB,AZ,2016,116678.0,Arizona,90.85562563,54,2053339
1615,ENPRP,AZ,2016,1078.0,Arizona,90.85562563,54,2053339
1616,GETCB,AZ,2016,345.0,Arizona,90.85562563,54,2053339
1617,HYTCB,AZ,2016,66173.0,Arizona,90.85562563,54,2053339
1618,NCPRB,AZ,2016,124372.0,Arizona,90.85562563,54,2053339
1619,NGMPB,AZ,2016,49.0,Arizona,90.85562563,54,2053339
1622,NUETB,AZ,2016,338636.0,Arizona,90.85562563,54,2053339
1623,PAPRB,AZ,2016,46.0,Arizona,90.85562563,54,2053339
1625,REPRB,AZ,2016,138522.0,Arizona,90.85562563,54,2053339
1626,SOTCB,AZ,2016,52854.0,Arizona,90.85562563,54,2053339
1627,TEPRB,AZ,2016,593930.0,Arizona,90.85562563,54,2053339
1628,TETCB,AZ,2016,1524720.0,Arizona,90.85562563,54,2053339
1629,WDEXB,AZ,2016,0.0,Arizona,90.85562563,54,2053339
1630,WDPRB,AZ,2016,7481.0,Arizona,90.85562563,54,2053339
1631,WDTCB,AZ,2016,7481.0,Arizona,90.85562563,54,2053339
1632,WSTCB,AZ,2016,465.0,Arizona,90.85562563,54,2053339
1633,WWPRB,AZ,2016,7946.0,Arizona,90.85562563,54,2053339
1634,WYTCB,AZ,2016,5000.0,Arizona,90.85562563,54,2053339
3126,BDPRP,AZ,2017,0.0,Arizona,90.47614096,46,1714281
3129,CLPRB,AZ,2017,134024.0,Arizona,90.47614096,46,1714281
3134,ENPRP,AZ,2017,1155.0,Arizona,90.47614096,46,1714281
3135,GETCB,AZ,2017,345.0,Arizona,90.47614096,46,1714281
3136,HYTCB,AZ,2017,62942.0,Arizona,90.47614096,46,1714281
3137,NCPRB,AZ,2017,134856.0,Arizona,90.47614096,46,1714281
3138,NGMPB,AZ,2017,58.0,Arizona,90.47614096,46,1714281
3141,NUETB,AZ,2017,338246.0,Arizona,90.47614096,46,1714281
3142,PAPRB,AZ,2017,74.0,Arizona,90.47614096,46,1714281
3144,REPRB,AZ,2017,149493.0,Arizona,90.47614096,46,1714281
3145,SOTCB,AZ,2017,66318.0,Arizona,90.47614096,46,1714281
3146,TEPRB,AZ,2017,621896.0,Arizona,90.47614096,46,1714281
3147,TETCB,AZ,2017,1531479.0,Arizona,90.47614096,46,1714281
3148,WDEXB,AZ,2017,0.0,Arizona,90.47614096,46,1714281
3149,WDPRB,AZ,2017,7541.0,Arizona,90.47614096,46,1714281
3150,WDTCB,AZ,2017,7541.0,Arizona,90.47614096,46,1714281
3151,WSTCB,AZ,2017,512.0,Arizona,90.47614096,46,1714281
3152,WWPRB,AZ,2017,8053.0,Arizona,90.47614096,46,1714281
3153,WYTCB,AZ,2017,5251.0,Arizona,90.47614096,46,1714281
4645,BDPRP,AZ,2018,0.0,Arizona,94.09550866,48,539053
4648,CLPRB,AZ,2018,140759.0,Arizona,94.09550866,48,539053
4653,ENPRP,AZ,2018,1184.0,Arizona,94.09550866,48,539053
4654,GETCB,AZ,2018,345.0,Arizona,94.09550866,48,539053
4655,HYTCB,AZ,2018,63566.0,Arizona,94.09550866,48,539053
4656,NCPRB,AZ,2018,139517.0,Arizona,94.09550866,48,539053
4657,NGMPB,AZ,2018,44.0,Arizona,94.09550866,48,539053
4660,NUETB,AZ,2018,325122.0,Arizona,94.09550866,48,539053
4661,PAPRB,AZ,2018,57.0,Arizona,94.09550866,48,539053
4663,REPRB,AZ,2018,156071.0,Arizona,94.09550866,48,539053
4664,SOTCB,AZ,2018,70779.0,Arizona,94.09550866,48,539053
4665,TEPRB,AZ,2018,622052.0,Arizona,94.09550866,48,539053
4666,TETCB,AZ,2018,1542208.0,Arizona,94.09550866,48,539053
4667,WDEXB,AZ,2018,0.0,Arizona,94.09550866,48,539053
4668,WDPRB,AZ,2018,9307.0,Arizona,94.09550866,48,539053
4669,WDTCB,AZ,2018,9307.0,Arizona,94.09550866,48,539053
4670,WSTCB,AZ,2018,489.0,Arizona,94.09550866,48,539053
4671,WWPRB,AZ,2018,9796.0,Arizona,94.09550866,48,539053
4672,WYTCB,AZ,2018,4827.0,Arizona,94.09550866,48,539053
6164,BDPRP,AZ,2019,0.0,Arizona,92.53702529,29,95135122
6167,CLPRB,AZ,2019,82222.0,Arizona,92.53702529,29,95135122
6172,ENPRP,AZ,2019,531.0,Arizona,92.53702529,29,95135122
6173,GETCB,AZ,2019,345.0,Arizona,92.53702529,29,95135122
6174,HYTCB,AZ,2019,55251.0,Arizona,92.53702529,29,95135122
6175,NCPRB,AZ,2019,133794.0,Arizona,92.53702529,29,95135122
6176,NGMPB,AZ,2019,68.0,Arizona,92.53702529,29,95135122
6179,NUETB,AZ,2019,333312.0,Arizona,92.53702529,29,95135122
6180,PAPRB,AZ,2019,40.0,Arizona,92.53702529,29,95135122
6182,REPRB,AZ,2019,148194.0,Arizona,92.53702529,29,95135122
6183,SOTCB,AZ,2019,73262.0,Arizona,92.53702529,29,95135122
6184,TEPRB,AZ,2019,563836.0,Arizona,92.53702529,29,95135122
6185,TETCB,AZ,2019,1556416.0,Arizona,92.53702529,29,95135122
6186,WDEXB,AZ,2019,0.0,Arizona,92.53702529,29,95135122
6187,WDPRB,AZ,2019,10949.0,Arizona,92.53702529,29,95135122
6188,WDTCB,AZ,2019,10949.0,Arizona,92.53702529,29,95135122
6189,WSTCB,AZ,2019,425.0,Arizona,92.53702529,29,95135122
6190,WWPRB,AZ,2019,11374.0,Arizona,92.53702529,29,95135122
6191,WYTCB,AZ,2019,4937.0,Arizona,92.53702529,29,95135122
