,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
146,BDPRP,CO,2015,0.0,Colorado,91.30387161,206,1658730
149,CLPRB,CO,2015,403605.0,Colorado,91.30387161,206,1658730
154,ENPRP,CO,2015,3479.0,Colorado,91.30387161,206,1658730
155,GETCB,CO,2015,759.0,Colorado,91.30387161,206,1658730
156,HYTCB,CO,2015,15098.0,Colorado,91.30387161,206,1658730
157,NCPRB,CO,2015,91789.0,Colorado,91.30387161,206,1658730
158,NGMPB,CO,2015,1965188.0,Colorado,91.30387161,206,1658730
161,NUETB,CO,2015,0.0,Colorado,91.30387161,206,1658730
162,PAPRB,CO,2015,698737.0,Colorado,91.30387161,206,1658730
164,REPRB,CO,2015,126586.0,Colorado,91.30387161,206,1658730
165,SOTCB,CO,2015,6270.0,Colorado,91.30387161,206,1658730
166,TEPRB,CO,2015,3194117.0,Colorado,91.30387161,206,1658730
167,TETCB,CO,2015,1501006.0,Colorado,91.30387161,206,1658730
168,WDEXB,CO,2015,0.0,Colorado,91.30387161,206,1658730
169,WDPRB,CO,2015,13804.0,Colorado,91.30387161,206,1658730
170,WDTCB,CO,2015,13804.0,Colorado,91.30387161,206,1658730
171,WSTCB,CO,2015,1133.0,Colorado,91.30387161,206,1658730
172,WWPRB,CO,2015,14936.0,Colorado,91.30387161,206,1658730
173,WYTCB,CO,2015,69662.0,Colorado,91.30387161,206,1658730
1665,BDPRP,CO,2016,0.0,Colorado,88.42427593,258,1800615
1668,CLPRB,CO,2016,270920.0,Colorado,88.42427593,258,1800615
1673,ENPRP,CO,2016,3413.0,Colorado,88.42427593,258,1800615
1674,GETCB,CO,2016,759.0,Colorado,88.42427593,258,1800615
1675,HYTCB,CO,2016,17565.0,Colorado,88.42427593,258,1800615
1676,NCPRB,CO,2016,114808.0,Colorado,88.42427593,258,1800615
1677,NGMPB,CO,2016,1981005.0,Colorado,88.42427593,258,1800615
1680,NUETB,CO,2016,0.0,Colorado,88.42427593,258,1800615
1681,PAPRB,CO,2016,663969.0,Colorado,88.42427593,258,1800615
1683,REPRB,CO,2016,149600.0,Colorado,88.42427593,258,1800615
1684,SOTCB,CO,2016,9509.0,Colorado,88.42427593,258,1800615
1685,TEPRB,CO,2016,3065494.0,Colorado,88.42427593,258,1800615
1686,TETCB,CO,2016,1470307.0,Colorado,88.42427593,258,1800615
1687,WDEXB,CO,2016,0.0,Colorado,88.42427593,258,1800615
1688,WDPRB,CO,2016,14233.0,Colorado,88.42427593,258,1800615
1689,WDTCB,CO,2016,14233.0,Colorado,88.42427593,258,1800615
1690,WSTCB,CO,2016,1098.0,Colorado,88.42427593,258,1800615
1691,WWPRB,CO,2016,15331.0,Colorado,88.42427593,258,1800615
1692,WYTCB,CO,2016,86977.0,Colorado,88.42427593,258,1800615
3184,BDPRP,CO,2017,0.0,Colorado,88.77624019,181,1385451
3187,CLPRB,CO,2017,320001.0,Colorado,88.77624019,181,1385451
3192,ENPRP,CO,2017,3477.0,Colorado,88.77624019,181,1385451
3193,GETCB,CO,2017,759.0,Colorado,88.77624019,181,1385451
3194,HYTCB,CO,2017,17479.0,Colorado,88.77624019,181,1385451
3195,NCPRB,CO,2017,118027.0,Colorado,88.77624019,181,1385451
3196,NGMPB,CO,2017,2028824.0,Colorado,88.77624019,181,1385451
3199,NUETB,CO,2017,0.0,Colorado,88.77624019,181,1385451
3200,PAPRB,CO,2017,744780.0,Colorado,88.77624019,181,1385451
3202,REPRB,CO,2017,153379.0,Colorado,88.77624019,181,1385451
3203,SOTCB,CO,2017,13973.0,Colorado,88.77624019,181,1385451
3204,TEPRB,CO,2017,3246984.0,Colorado,88.77624019,181,1385451
3205,TETCB,CO,2017,1477307.0,Colorado,88.77624019,181,1385451
3206,WDEXB,CO,2017,0.0,Colorado,88.77624019,181,1385451
3207,WDPRB,CO,2017,14434.0,Colorado,88.77624019,181,1385451
3208,WDTCB,CO,2017,14434.0,Colorado,88.77624019,181,1385451
3209,WSTCB,CO,2017,1090.0,Colorado,88.77624019,181,1385451
3210,WWPRB,CO,2017,15524.0,Colorado,88.77624019,181,1385451
3211,WYTCB,CO,2017,85816.0,Colorado,88.77624019,181,1385451
4703,BDPRP,CO,2018,0.0,Colorado,90.06168948,142,29876375
4706,CLPRB,CO,2018,293149.0,Colorado,90.06168948,142,29876375
4711,ENPRP,CO,2018,3457.0,Colorado,90.06168948,142,29876375
4712,GETCB,CO,2018,759.0,Colorado,90.06168948,142,29876375
4713,HYTCB,CO,2018,16618.0,Colorado,90.06168948,142,29876375
4714,NCPRB,CO,2018,121433.0,Colorado,90.06168948,142,29876375
4715,NGMPB,CO,2018,2217310.0,Colorado,90.06168948,142,29876375
4718,NUETB,CO,2018,0.0,Colorado,90.06168948,142,29876375
4719,PAPRB,CO,2018,966448.0,Colorado,90.06168948,142,29876375
4721,REPRB,CO,2018,156998.0,Colorado,90.06168948,142,29876375
4722,SOTCB,CO,2018,15336.0,Colorado,90.06168948,142,29876375
4723,TEPRB,CO,2018,3633905.0,Colorado,90.06168948,142,29876375
4724,TETCB,CO,2018,1527222.0,Colorado,90.06168948,142,29876375
4725,WDEXB,CO,2018,0.0,Colorado,90.06168948,142,29876375
4726,WDPRB,CO,2018,14728.0,Colorado,90.06168948,142,29876375
4727,WDTCB,CO,2018,14728.0,Colorado,90.06168948,142,29876375
4728,WSTCB,CO,2018,1102.0,Colorado,90.06168948,142,29876375
4729,WWPRB,CO,2018,15831.0,Colorado,90.06168948,142,29876375
4730,WYTCB,CO,2018,88720.0,Colorado,90.06168948,142,29876375
6222,BDPRP,CO,2019,0.0,Colorado,91.72734664,96,10796826
6225,CLPRB,CO,2019,270466.0,Colorado,91.72734664,96,10796826
6230,ENPRP,CO,2019,3287.0,Colorado,91.72734664,96,10796826
6231,GETCB,CO,2019,759.0,Colorado,91.72734664,96,10796826
6232,HYTCB,CO,2019,16127.0,Colorado,91.72734664,96,10796826
6233,NCPRB,CO,2019,130306.0,Colorado,91.72734664,96,10796826
6234,NGMPB,CO,2019,2394039.0,Colorado,91.72734664,96,10796826
6237,NUETB,CO,2019,0.0,Colorado,91.72734664,96,10796826
6238,PAPRB,CO,2019,1096198.0,Colorado,91.72734664,96,10796826
6240,REPRB,CO,2019,167095.0,Colorado,91.72734664,96,10796826
6241,SOTCB,CO,2019,16780.0,Colorado,91.72734664,96,10796826
6242,TEPRB,CO,2019,3927798.0,Colorado,91.72734664,96,10796826
6243,TETCB,CO,2019,1566652.0,Colorado,91.72734664,96,10796826
6244,WDEXB,CO,2019,0.0,Colorado,91.72734664,96,10796826
6245,WDPRB,CO,2019,16968.0,Colorado,91.72734664,96,10796826
6246,WDTCB,CO,2019,16968.0,Colorado,91.72734664,96,10796826
6247,WSTCB,CO,2019,1095.0,Colorado,91.72734664,96,10796826
6248,WWPRB,CO,2019,18063.0,Colorado,91.72734664,96,10796826
6249,WYTCB,CO,2019,96640.0,Colorado,91.72734664,96,10796826
