,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
233,BDPRP,DE,2015,0.0,Delaware,13.9053954,68,1452666
236,CLPRB,DE,2015,0.0,Delaware,13.9053954,68,1452666
241,ENPRP,DE,2015,0.0,Delaware,13.9053954,68,1452666
242,GETCB,DE,2015,430.0,Delaware,13.9053954,68,1452666
243,HYTCB,DE,2015,0.0,Delaware,13.9053954,68,1452666
244,NCPRB,DE,2015,1708.0,Delaware,13.9053954,68,1452666
245,NGMPB,DE,2015,0.0,Delaware,13.9053954,68,1452666
248,NUETB,DE,2015,0.0,Delaware,13.9053954,68,1452666
249,PAPRB,DE,2015,0.0,Delaware,13.9053954,68,1452666
251,REPRB,DE,2015,3517.0,Delaware,13.9053954,68,1452666
252,SOTCB,DE,2015,1230.0,Delaware,13.9053954,68,1452666
253,TEPRB,DE,2015,3517.0,Delaware,13.9053954,68,1452666
254,TETCB,DE,2015,284672.0,Delaware,13.9053954,68,1452666
255,WDEXB,DE,2015,0.0,Delaware,13.9053954,68,1452666
256,WDPRB,DE,2015,1044.0,Delaware,13.9053954,68,1452666
257,WDTCB,DE,2015,1044.0,Delaware,13.9053954,68,1452666
258,WSTCB,DE,2015,765.0,Delaware,13.9053954,68,1452666
259,WWPRB,DE,2015,1809.0,Delaware,13.9053954,68,1452666
260,WYTCB,DE,2015,48.0,Delaware,13.9053954,68,1452666
1752,BDPRP,DE,2016,0.0,Delaware,14.41948129,38,502817
1755,CLPRB,DE,2016,0.0,Delaware,14.41948129,38,502817
1760,ENPRP,DE,2016,0.0,Delaware,14.41948129,38,502817
1761,GETCB,DE,2016,430.0,Delaware,14.41948129,38,502817
1762,HYTCB,DE,2016,0.0,Delaware,14.41948129,38,502817
1763,NCPRB,DE,2016,1612.0,Delaware,14.41948129,38,502817
1764,NGMPB,DE,2016,0.0,Delaware,14.41948129,38,502817
1767,NUETB,DE,2016,0.0,Delaware,14.41948129,38,502817
1768,PAPRB,DE,2016,0.0,Delaware,14.41948129,38,502817
1770,REPRB,DE,2016,3105.0,Delaware,14.41948129,38,502817
1771,SOTCB,DE,2016,1133.0,Delaware,14.41948129,38,502817
1772,TEPRB,DE,2016,3105.0,Delaware,14.41948129,38,502817
1773,TETCB,DE,2016,280937.0,Delaware,14.41948129,38,502817
1774,WDEXB,DE,2016,0.0,Delaware,14.41948129,38,502817
1775,WDPRB,DE,2016,825.0,Delaware,14.41948129,38,502817
1776,WDTCB,DE,2016,825.0,Delaware,14.41948129,38,502817
1777,WSTCB,DE,2016,667.0,Delaware,14.41948129,38,502817
1778,WWPRB,DE,2016,1493.0,Delaware,14.41948129,38,502817
1779,WYTCB,DE,2016,49.0,Delaware,14.41948129,38,502817
3271,BDPRP,DE,2017,0.0,Delaware,13.76698515,65,1636426
