,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
407,BDPRP,IL,2015,3513.0,Illinois,219.157681,57,2533998
410,CLPRB,IL,2015,1252879.0,Illinois,219.157681,57,2533998
415,ENPRP,IL,2015,37062.0,Illinois,219.157681,57,2533998
416,GETCB,IL,2015,2042.0,Illinois,219.157681,57,2533998
417,HYTCB,IL,2015,1160.0,Illinois,219.157681,57,2533998
418,NCPRB,IL,2015,105293.0,Illinois,219.157681,57,2533998
419,NGMPB,IL,2015,2210.0,Illinois,219.157681,57,2533998
422,NUETB,IL,2015,1017377.0,Illinois,219.157681,57,2533998
423,PAPRB,IL,2015,54426.0,Illinois,219.157681,57,2533998
425,REPRB,IL,2015,355359.0,Illinois,219.157681,57,2533998
426,SOTCB,IL,2015,1938.0,Illinois,219.157681,57,2533998
427,TEPRB,IL,2015,2682250.0,Illinois,219.157681,57,2533998
428,TETCB,IL,2015,3920125.0,Illinois,219.157681,57,2533998
429,WDEXB,IL,2015,0.0,Illinois,219.157681,57,2533998
430,WDPRB,IL,2015,8185.0,Illinois,219.157681,57,2533998
431,WDTCB,IL,2015,8185.0,Illinois,219.157681,57,2533998
432,WSTCB,IL,2015,11225.0,Illinois,219.157681,57,2533998
433,WWPRB,IL,2015,19411.0,Illinois,219.157681,57,2533998
434,WYTCB,IL,2015,100154.0,Illinois,219.157681,57,2533998
1926,BDPRP,IL,2016,3423.0,Illinois,207.4305588,36,1325335
1929,CLPRB,IL,2016,977131.0,Illinois,207.4305588,36,1325335
1934,ENPRP,IL,2016,41078.0,Illinois,207.4305588,36,1325335
1935,GETCB,IL,2016,2042.0,Illinois,207.4305588,36,1325335
1936,HYTCB,IL,2016,1226.0,Illinois,207.4305588,36,1325335
1937,NCPRB,IL,2016,103746.0,Illinois,207.4305588,36,1325335
1938,NGMPB,IL,2016,2317.0,Illinois,207.4305588,36,1325335
1941,NUETB,IL,2016,1031331.0,Illinois,207.4305588,36,1325335
1942,PAPRB,IL,2016,49432.0,Illinois,207.4305588,36,1325335
1944,REPRB,IL,2016,375139.0,Illinois,207.4305588,36,1325335
1945,SOTCB,IL,2016,2033.0,Illinois,207.4305588,36,1325335
1946,TEPRB,IL,2016,2435349.0,Illinois,207.4305588,36,1325335
1947,TETCB,IL,2016,3925630.0,Illinois,207.4305588,36,1325335
1948,WDEXB,IL,2016,0.0,Illinois,207.4305588,36,1325335
1949,WDPRB,IL,2016,7597.0,Illinois,207.4305588,36,1325335
1950,WDTCB,IL,2016,7597.0,Illinois,207.4305588,36,1325335
1951,WSTCB,IL,2016,10995.0,Illinois,207.4305588,36,1325335
1952,WWPRB,IL,2016,18592.0,Illinois,207.4305588,36,1325335
1953,WYTCB,IL,2016,98445.0,Illinois,207.4305588,36,1325335
3445,BDPRP,IL,2017,3260.0,Illinois,205.9749865,32,1262924
3448,CLPRB,IL,2017,1079624.0,Illinois,205.9749865,32,1262924
3453,ENPRP,IL,2017,39548.0,Illinois,205.9749865,32,1262924
3454,GETCB,IL,2017,2042.0,Illinois,205.9749865,32,1262924
3455,HYTCB,IL,2017,1153.0,Illinois,205.9749865,32,1262924
3456,NCPRB,IL,2017,118502.0,Illinois,205.9749865,32,1262924
3457,NGMPB,IL,2017,2260.0,Illinois,205.9749865,32,1262924
3460,NUETB,IL,2017,1016522.0,Illinois,205.9749865,32,1262924
3461,PAPRB,IL,2017,47581.0,Illinois,205.9749865,32,1262924
3463,REPRB,IL,2017,378606.0,Illinois,205.9749865,32,1262924
3464,SOTCB,IL,2017,2285.0,Illinois,205.9749865,32,1262924
3465,TEPRB,IL,2017,2524593.0,Illinois,205.9749865,32,1262924
3466,TETCB,IL,2017,3890442.0,Illinois,205.9749865,32,1262924
3467,WDEXB,IL,2017,0.0,Illinois,205.9749865,32,1262924
3468,WDPRB,IL,2017,7430.0,Illinois,205.9749865,32,1262924
3469,WDTCB,IL,2017,7430.0,Illinois,205.9749865,32,1262924
3470,WSTCB,IL,2017,9450.0,Illinois,205.9749865,32,1262924
3471,WWPRB,IL,2017,16880.0,Illinois,205.9749865,32,1262924
3472,WYTCB,IL,2017,113023.0,Illinois,205.9749865,32,1262924
4964,BDPRP,IL,2018,3374.0,Illinois,213.1001319,64,5112413
4967,CLPRB,IL,2018,1095887.0,Illinois,213.1001319,64,5112413
4972,ENPRP,IL,2018,36449.0,Illinois,213.1001319,64,5112413
4973,GETCB,IL,2018,2042.0,Illinois,213.1001319,64,5112413
4974,HYTCB,IL,2018,1334.0,Illinois,213.1001319,64,5112413
4975,NCPRB,IL,2018,114443.0,Illinois,213.1001319,64,5112413
4976,NGMPB,IL,2018,2596.0,Illinois,213.1001319,64,5112413
4979,NUETB,IL,2018,1025651.0,Illinois,213.1001319,64,5112413
4980,PAPRB,IL,2018,48045.0,Illinois,213.1001319,64,5112413
4982,REPRB,IL,2018,359817.0,Illinois,213.1001319,64,5112413
4983,SOTCB,IL,2018,2739.0,Illinois,213.1001319,64,5112413
4984,TEPRB,IL,2018,2531996.0,Illinois,213.1001319,64,5112413
4985,TETCB,IL,2018,4017644.0,Illinois,213.1001319,64,5112413
4986,WDEXB,IL,2018,0.0,Illinois,213.1001319,64,5112413
4987,WDPRB,IL,2018,8890.0,Illinois,213.1001319,64,5112413
4988,WDTCB,IL,2018,8890.0,Illinois,213.1001319,64,5112413
4989,WSTCB,IL,2018,10065.0,Illinois,213.1001319,64,5112413
4990,WWPRB,IL,2018,18955.0,Illinois,213.1001319,64,5112413
4991,WYTCB,IL,2018,108328.0,Illinois,213.1001319,64,5112413
6483,BDPRP,IL,2019,3196.0,Illinois,203.43232,84,11321378
6486,CLPRB,IL,2019,1014448.0,Illinois,203.43232,84,11321378
6491,ENPRP,IL,2019,35260.0,Illinois,203.43232,84,11321378
6492,GETCB,IL,2019,2042.0,Illinois,203.43232,84,11321378
6493,HYTCB,IL,2019,1103.0,Illinois,203.43232,84,11321378
6494,NCPRB,IL,2019,135410.0,Illinois,203.43232,84,11321378
6495,NGMPB,IL,2019,2279.0,Illinois,203.43232,84,11321378
6498,NUETB,IL,2019,1030996.0,Illinois,203.43232,84,11321378
6499,PAPRB,IL,2019,46969.0,Illinois,203.43232,84,11321378
6501,REPRB,IL,2019,372731.0,Illinois,203.43232,84,11321378
6502,SOTCB,IL,2019,3503.0,Illinois,203.43232,84,11321378
6503,TEPRB,IL,2019,2467422.0,Illinois,203.43232,84,11321378
6504,TETCB,IL,2019,3951620.0,Illinois,203.43232,84,11321378
6505,WDEXB,IL,2019,0.0,Illinois,203.43232,84,11321378
