,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
436,BDPRP,IN,2015,2179.0,Indiana,187.2335142,68,2525723
439,CLPRB,IN,2015,776493.0,Indiana,187.2335142,68,2525723
444,ENPRP,IN,2015,25175.0,Indiana,187.2335142,68,2525723
445,GETCB,IN,2015,4647.0,Indiana,187.2335142,68,2525723
446,HYTCB,IN,2015,3553.0,Indiana,187.2335142,68,2525723
447,NCPRB,IN,2015,51990.0,Indiana,187.2335142,68,2525723
448,NGMPB,IN,2015,7446.0,Indiana,187.2335142,68,2525723
451,NUETB,IN,2015,0.0,Indiana,187.2335142,68,2525723
452,PAPRB,IN,2015,12686.0,Indiana,187.2335142,68,2525723
454,REPRB,IN,2015,242141.0,Indiana,187.2335142,68,2525723
455,SOTCB,IN,2015,1714.0,Indiana,187.2335142,68,2525723
456,TEPRB,IN,2015,1038766.0,Indiana,187.2335142,68,2525723
457,TETCB,IN,2015,2826490.0,Indiana,187.2335142,68,2525723
458,WDEXB,IN,2015,0.0,Indiana,187.2335142,68,2525723
459,WDPRB,IN,2015,18061.0,Indiana,187.2335142,68,2525723
460,WDTCB,IN,2015,18061.0,Indiana,187.2335142,68,2525723
461,WSTCB,IN,2015,16538.0,Indiana,187.2335142,68,2525723
462,WWPRB,IN,2015,34599.0,Indiana,187.2335142,68,2525723
463,WYTCB,IN,2015,42077.0,Indiana,187.2335142,68,2525723
1955,BDPRP,IN,2016,2389.0,Indiana,181.8275677,45,11391681
1958,CLPRB,IN,2016,654493.0,Indiana,181.8275677,45,11391681
1963,ENPRP,IN,2016,27001.0,Indiana,181.8275677,45,11391681
1964,GETCB,IN,2016,4647.0,Indiana,181.8275677,45,11391681
1965,HYTCB,IN,2016,3935.0,Indiana,181.8275677,45,11391681
1966,NCPRB,IN,2016,56205.0,Indiana,181.8275677,45,11391681
1967,NGMPB,IN,2016,6441.0,Indiana,181.8275677,45,11391681
1970,NUETB,IN,2016,0.0,Indiana,181.8275677,45,11391681
1971,PAPRB,IN,2016,10397.0,Indiana,181.8275677,45,11391681
