,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
494,BDPRP,KY,2015,833.0,Kentucky,131.3429697,129,315635700
497,CLPRB,KY,2015,1486019.0,Kentucky,131.3429697,129,315635700
502,ENPRP,KY,2015,652.0,Kentucky,131.3429697,129,315635700
503,GETCB,KY,2015,2712.0,Kentucky,131.3429697,129,315635700
504,HYTCB,KY,2015,31717.0,Kentucky,131.3429697,129,315635700
505,NCPRB,KY,2015,34627.0,Kentucky,131.3429697,129,315635700
506,NGMPB,KY,2015,108080.0,Kentucky,131.3429697,129,315635700
509,NUETB,KY,2015,0.0,Kentucky,131.3429697,129,315635700
510,PAPRB,KY,2015,16362.0,Kentucky,131.3429697,129,315635700
512,REPRB,KY,2015,75319.0,Kentucky,131.3429697,129,315635700
513,SOTCB,KY,2015,198.0,Kentucky,131.3429697,129,315635700
514,TEPRB,KY,2015,1685780.0,Kentucky,131.3429697,129,315635700
515,TETCB,KY,2015,1730308.0,Kentucky,131.3429697,129,315635700
516,WDEXB,KY,2015,0.0,Kentucky,131.3429697,129,315635700
517,WDPRB,KY,2015,30971.0,Kentucky,131.3429697,129,315635700
518,WDTCB,KY,2015,30971.0,Kentucky,131.3429697,129,315635700
519,WSTCB,KY,2015,1475.0,Kentucky,131.3429697,129,315635700
520,WWPRB,KY,2015,32445.0,Kentucky,131.3429697,129,315635700
521,WYTCB,KY,2015,0.0,Kentucky,131.3429697,129,315635700
2013,BDPRP,KY,2016,1041.0,Kentucky,126.8081795,76,2257870
2016,CLPRB,KY,2016,1041121.0,Kentucky,126.8081795,76,2257870
2021,ENPRP,KY,2016,708.0,Kentucky,126.8081795,76,2257870
2022,GETCB,KY,2016,2712.0,Kentucky,126.8081795,76,2257870
2023,HYTCB,KY,2016,32108.0,Kentucky,126.8081795,76,2257870
2024,NCPRB,KY,2016,35186.0,Kentucky,126.8081795,76,2257870
2025,NGMPB,KY,2016,102591.0,Kentucky,126.8081795,76,2257870
2028,NUETB,KY,2016,0.0,Kentucky,126.8081795,76,2257870
2029,PAPRB,KY,2016,14849.0,Kentucky,126.8081795,76,2257870
2031,REPRB,KY,2016,76971.0,Kentucky,126.8081795,76,2257870
2032,SOTCB,KY,2016,366.0,Kentucky,126.8081795,76,2257870
2033,TEPRB,KY,2016,1235531.0,Kentucky,126.8081795,76,2257870
2034,TETCB,KY,2016,1704124.0,Kentucky,126.8081795,76,2257870
2035,WDEXB,KY,2016,0.0,Kentucky,126.8081795,76,2257870
2036,WDPRB,KY,2016,30577.0,Kentucky,126.8081795,76,2257870
2037,WDTCB,KY,2016,30577.0,Kentucky,126.8081795,76,2257870
2038,WSTCB,KY,2016,1514.0,Kentucky,126.8081795,76,2257870
2039,WWPRB,KY,2016,32092.0,Kentucky,126.8081795,76,2257870
2040,WYTCB,KY,2016,0.0,Kentucky,126.8081795,76,2257870
3532,BDPRP,KY,2017,1102.0,Kentucky,116.7819997,99,1948714
3535,CLPRB,KY,2017,1015108.0,Kentucky,116.7819997,99,1948714
3540,ENPRP,KY,2017,713.0,Kentucky,116.7819997,99,1948714
3541,GETCB,KY,2017,2712.0,Kentucky,116.7819997,99,1948714
3542,HYTCB,KY,2017,41514.0,Kentucky,116.7819997,99,1948714
3543,NCPRB,KY,2017,44707.0,Kentucky,116.7819997,99,1948714
3544,NGMPB,KY,2017,101295.0,Kentucky,116.7819997,99,1948714
3547,NUETB,KY,2017,0.0,Kentucky,116.7819997,99,1948714
3548,PAPRB,KY,2017,14176.0,Kentucky,116.7819997,99,1948714
3550,REPRB,KY,2017,89649.0,Kentucky,116.7819997,99,1948714
3551,SOTCB,KY,2017,481.0,Kentucky,116.7819997,99,1948714
3552,TEPRB,KY,2017,1220228.0,Kentucky,116.7819997,99,1948714
3553,TETCB,KY,2017,1662333.0,Kentucky,116.7819997,99,1948714
3554,WDEXB,KY,2017,0.0,Kentucky,116.7819997,99,1948714
3555,WDPRB,KY,2017,33288.0,Kentucky,116.7819997,99,1948714
3556,WDTCB,KY,2017,33288.0,Kentucky,116.7819997,99,1948714
3557,WSTCB,KY,2017,1600.0,Kentucky,116.7819997,99,1948714
3558,WWPRB,KY,2017,34889.0,Kentucky,116.7819997,99,1948714
3559,WYTCB,KY,2017,0.0,Kentucky,116.7819997,99,1948714
5051,BDPRP,KY,2018,1076.0,Kentucky,122.771335,77,2944583
5054,CLPRB,KY,2018,955471.0,Kentucky,122.771335,77,2944583
5059,ENPRP,KY,2018,700.0,Kentucky,122.771335,77,2944583
5060,GETCB,KY,2018,2712.0,Kentucky,122.771335,77,2944583
5061,HYTCB,KY,2018,40220.0,Kentucky,122.771335,77,2944583
